none
none
none
none
none
none
none
none
none
none
none
none
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" 1; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" 1; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" 1; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" 1; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" 1; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" 1; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" 1; "d" "g" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" "v" 1; "d" "g" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" "v" 1; "d" "g" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" "v" 1; "d" "g" "s" 1;
"a" "e" "g" "v" "x" 1; "b" "u" 2; "c" "c" "h" "j" "t" "v" "x" "y" 1; "d" "g" "q" "s" "t" 1; "e" "d" "h" "j" "y" "z" 1;
"a" "e" "g" "v" "x" 1; "b" "u" 2; "c" "c" "h" "j" "t" "v" "x" "y" 1; "d" "g" "q" "s" "t" 1; "e" "d" "h" "j" "y" "z" 1;
"a" "e" "g" "v" "x" 1; "b" "u" 2; "c" "c" "h" "j" "t" "v" "x" "y" 1; "d" "g" "q" "s" "t" 1; "e" "d" "h" "j" "y" "z" 1;
"a" "e" "g" "v" "x" 1; "b" "u" 2; "c" "c" "h" "j" "p" "t" "v" "x" "y" 1; "d" "g" "k" "q" "s" "t" 1; "e" "d" "h" "j" "y" "z" 1;
"a" "e" "g" "v" "x" 1; "b" "u" 2; "c" "h" 2; "d" "g" "k" "q" "s" "t" 1; "e" "d" "h" "j" "y" "z" 1;
"a" "e" "g" "v" "x" 1; "b" "u" 2; "c" "h" 2; "d" "g" "k" "q" "s" "t" 1; "e" "d" "h" "j" "y" "z" 1;
"a" "e" "g" "v" "x" 1; "b" "u" 2; "c" "h" 2; "d" "g" "k" "q" "s" "t" 1; "e" "d" "h" "j" "y" "z" 1;
"a" "e" "g" "v" "x" 1; "b" "u" 2; "c" "h" 2; "d" "g" "k" "q" "s" "t" 1; "e" "d" "h" "j" "y" "z" 1;
"a" "e" "g" "v" "x" 1; "b" "u" 2; "c" "h" 2; "d" "g" "k" "q" "s" "t" 1; "e" "d" "h" "j" "y" "z" 1;
"a" "e" "g" "v" "x" 1; "b" "u" 2; "c" "h" 2; "d" "g" "k" "q" "s" "t" 1; "e" "d" "h" "j" "y" "z" 1;
"a" "e" "g" "v" "x" 1; "b" "n" "u" "x" 2; "c" "h" 2; "d" "g" "k" "q" "s" "t" 1; "e" "d" "h" "j" "y" "z" 1;
"a" "e" "g" "v" "x" 1; "b" "n" "u" "x" 2; "c" "h" 2; "d" "g" "k" "q" "s" "t" 1; "e" "d" "h" "j" "y" "z" 1;
"a" "e" "g" "v" "x" 1; "b" "n" "u" "x" 2; "c" "h" 2; "d" "g" "k" "q" "s" "t" 1; "e" "d" "h" "j" "y" "z" 1;
"a" "e" "g" "v" "x" 1; "b" "n" "u" "x" 2; "c" "h" 2; "d" "g" "i" "k" "q" "s" "t" 1; "e" "d" "h" "j" "y" "z" 1;
"a" "e" "g" "v" "x" 1; "b" "n" "u" "x" 2; "c" "h" 2; "d" "g" "i" "k" "q" "s" "t" 1; "e" "d" "h" "j" "y" "z" 1;
"a" "e" "g" "v" "x" 1; "b" "n" "u" "x" 2; "c" "h" 2; "d" "g" "i" "k" "q" "s" "t" 1; "e" "d" "h" "j" "y" "z" 1;
"a" "e" "g" "n" "r" "v" "x" 1; "b" "n" "u" "x" 2; "c" "c" "h" 2; "d" "g" "i" "k" "q" "s" "t" "x" 1; "e" "d" "h" "j" "s" "y" "z" 1;
"a" "e" "g" "n" "r" "v" "x" 1; "b" "n" "u" "x" 2; "c" "c" "h" 2; "d" "g" "i" "k" "q" "s" "t" "x" 1; "e" "d" "h" "j" "s" "y" "z" 1;
"a" "e" "g" "n" "r" "v" "x" 1; "b" "n" "u" "x" 2; "c" "c" "h" 2; "d" "g" "i" "k" "q" "s" "t" "x" 1; "e" "d" "h" "j" "s" "y" "z" 1;
"a" "e" "g" "n" "r" "v" "x" 1; "b" "n" "u" "x" 2; "c" "c" "h" 2; "d" "g" "i" "k" "q" "s" "t" "x" 1; "e" "d" "h" "j" "s" "y" "z" 1;
"a" "e" "g" "n" "r" "v" "x" 1; "b" "n" "u" "x" 2; "c" "c" "h" 2; "d" "g" "i" "k" "q" "s" "t" "x" 1; "e" "d" "h" "j" "s" "y" "z" 1;
"a" "e" "g" "n" "r" "v" "x" 1; "b" "n" "u" "x" 2; "c" "c" "h" 2; "d" "x" 2; "e" "d" "h" "j" "s" "y" "z" 1;
"a" "e" "g" "n" "r" "v" "x" 1; "b" "n" "u" "x" 2; "c" "c" "h" 2; "d" "x" 2; "e" "d" "h" "j" "s" "y" "z" 1;
"a" "e" "g" "n" "r" "v" "x" 1; "b" "n" "u" "x" 2; "c" "c" "h" 2; "d" "x" 3; "e" "d" "h" "j" "s" "y" "z" 1;
"a" "e" "g" "n" "r" "v" "x" 1; "b" "n" "u" "x" 2; "c" "c" "h" 2; "d" "x" 3; "e" "d" "h" "j" "s" "y" "z" 1;
"a" "e" "g" "n" "r" "v" "x" 1; "b" "n" "u" "x" 2; "c" "c" "h" "m" 2; "d" "x" 3; "e" "d" "h" "j" "s" "y" "z" 1;
"a" "x" 2; "b" "n" "u" "x" 2; "c" "h" 3; "d" "x" 3; "e" "d" "h" "j" "s" "u" "y" "z" 1;
"a" "x" 2; "b" "n" "u" "x" 2; "c" "h" 3; "d" "x" 3; "e" "d" "h" "j" "s" "u" "y" "z" 1;
"a" "x" 2; "b" "n" "u" "x" 2; "c" "h" 3; "d" "x" 3; "e" "d" "h" "j" "s" "u" "y" "z" 1;
"a" "x" 2; "b" "n" "u" "x" 2; "c" "h" 3; "d" "x" 3; "e" "d" "h" "j" "s" "u" "y" "z" 1;
"a" "x" 3; "b" "u" 3; "c" "h" 3; "d" "x" 3; "e" "d" "h" "j" "s" "u" "y" "z" 1;
"a" "x" 3; "b" "u" 3; "c" "h" 3; "d" "x" 3; "e" "d" "h" "j" "s" "u" "y" "z" 1;
"a" "x" 3; "b" "u" 3; "c" "h" 3; "d" "x" 3; "e" "d" "h" "j" "s" "u" "x" "y" "z" 1;
"a" "x" 3; "b" "u" 3; "c" "h" 3; "d" "x" 3; "e" "d" "h" "j" "n" "s" "u" "x" "y" "z" 1;
"a" "x" 3; "b" "u" 3; "c" "h" 3; "d" "x" 3; "e" "d" "g" "h" "j" "n" "s" "u" "x" "y" "z" 1;
"a" "x" 3; "b" "u" 3; "c" "h" 3; "d" "x" 3; "e" "d" "g" "h" "j" "n" "s" "u" "x" "y" "z" 1;
"a" "x" 3; "b" "u" "x" 3; "c" "h" 3; "d" "x" 3; "e" "d" "g" "h" "j" "n" "s" "u" "x" "y" "z" 1;
"a" "x" 3; "b" "u" "x" 3; "c" "h" 3; "d" "x" 3; "e" "d" "g" "h" "j" "n" "s" "u" "x" "y" "z" 1;
"a" "x" 3; "b" "u" "x" 3; "c" "h" 3; "d" "x" 3; "e" "d" "g" "h" "j" "n" "s" "u" "x" "y" "z" 1;
"a" "x" 3; "b" "u" "x" 3; "c" "h" 3; "d" "x" 3; "e" "d" "g" "h" "j" "n" "s" "u" "x" "y" "z" 1;
"a" "x" 3; "b" "u" "x" 3; "c" "h" 3; "d" "x" 3; "e" "d" "g" "h" "j" "n" "s" "u" "x" "y" "z" 1;
"a" "x" 3; "b" "u" "x" 3; "c" "h" 3; "d" "x" 3; "e" "d" "g" "h" "j" "n" "s" "u" "x" "y" "z" 1;
"a" "x" 3; "b" "u" "x" 3; "c" "h" 3; "d" "x" 3; "e" "d" "g" "h" "j" "n" "s" "u" "x" "y" "z" 1;
"a" "x" 3; "b" "u" "x" "y" 3; "c" "h" 3; "d" "x" 3; "e" "y" 2;
"a" "x" 3; "b" "u" "x" "y" 3; "c" "h" 3; "d" "x" 3; "e" "y" 2;
"a" "x" 3; "b" "u" "x" "y" 3; "c" "h" 3; "d" "x" 3; "e" "y" 2;
"a" "x" 3; "b" "u" "x" "y" 3; "c" "h" 3; "d" "x" 3; "e" "d" "y" 2;
"a" "x" 3; "b" "u" "x" "y" 3; "c" "h" 3; "d" "x" 3; "e" "d" "y" 2;
"a" "x" 3; "b" "u" "x" "y" 3; "c" "h" 3; "d" "x" 3; "e" "d" "y" 2;
"a" "x" 3; "b" "u" "x" "y" 3; "c" "h" 3; "d" "x" 3; "e" "d" "y" 2;
"a" "x" 3; "b" "u" "x" "y" 3; "c" "c" "g" "h" "m" "n" 2; "d" "i" "x" 3; "e" "d" "h" "y" 2;
"a" "x" 3; "b" "u" "x" "y" 3; "c" "n" 3; "d" "i" "x" 3; "e" "d" "h" "y" 2;
"a" "x" 3; "b" "u" "x" "y" 3; "c" "n" 3; "d" "i" "x" 3; "e" "d" "h" "y" 2;
"a" "x" 3; "b" "u" "x" "y" 3; "c" "n" 3; "d" "i" "x" 3; "e" "d" "h" "y" 2;
"a" "x" 3; "b" "n" "u" "x" "y" 3; "c" "n" 3; "d" "i" "x" 3; "e" "d" "h" "y" 2;
"a" "x" 3; "b" "n" "u" "x" "y" 3; "c" "n" 3; "d" "i" "x" 3; "e" "d" "h" "y" 2;
"a" "x" 3; "b" "n" "u" "x" "y" 3; "c" "n" 3; "d" "i" "x" 3; "e" "d" "h" "y" 2;
"a" "x" 3; "b" "n" "u" "x" "y" 3; "c" "n" 3; "d" "i" "x" 3; "e" "d" "h" "y" 2;
"a" "x" 3; "b" "n" "u" "x" "y" 3; "c" "n" 3; "d" "i" "x" 3; "e" "d" "h" "u" "y" 2;
"a" "x" 3; "b" "n" "u" "x" "y" 3; "c" "n" 3; "d" "i" "x" 3; "e" "d" "h" "u" "y" 2;
"a" "x" 3; "b" "n" "u" "x" "y" 3; "c" "n" 3; "d" "i" "x" 3; "e" "d" "h" "u" "y" 2;
"a" "x" 3; "b" "n" "u" "x" "y" 3; "c" "n" 3; "d" "i" "x" 3; "e" "d" "h" "u" "y" 2;
"a" "x" 3; "b" "n" "u" "x" "y" 3; "c" "n" 3; "d" "i" "x" 3; "e" "d" "h" "u" "y" 2;
"a" "x" 3; "b" "n" "u" "x" "y" 3; "c" "n" 3; "d" "i" "x" 3; "e" "d" "h" "u" "y" 2;
"a" "x" 3; "b" "n" "u" "x" "y" 3; "c" "n" 3; "d" "i" "x" 3; "e" "d" "h" "u" "y" 2;
"a" "x" 3; "b" "n" "u" "x" "y" 3; "c" "n" 3; "d" "i" "x" 3; "e" "d" "h" "u" "y" 2;
"a" "x" 3; "b" "n" "u" "x" "y" 3; "c" "n" 3; "d" "i" "x" 3; "e" "d" "h" "u" "y" 2;
"a" "x" 3; "b" "n" "u" "y" 3; "c" "n" 3; "d" "i" "x" 3; "e" "d" "h" "u" "y" 2;
"a" "x" 3; "b" "n" "u" "y" 3; "c" "n" "w" 3; "d" "i" "x" 3; "e" "d" "h" "u" "y" 2;
"a" "x" 3; "b" "n" "u" "y" 3; "c" "n" "w" 3; "d" "i" "x" 3; "e" "d" "h" "u" "y" 2;
"a" "x" 3; "b" "n" "u" "y" 3; "c" "n" "w" 3; "d" "i" "x" 3; "e" "d" "h" "u" "y" 2;
"a" "x" 3; "b" "n" "u" "y" 3; "c" "n" "w" 3; "d" "i" "x" 3; "e" "d" "h" "u" "y" 2;
"a" "x" 3; "b" "n" "u" "y" 3; "c" "n" "w" 3; "d" "i" "x" 3; "e" "d" "h" "u" "y" 2;
"a" "x" 3; "b" "n" "u" "y" 3; "c" "n" "w" 3; "d" "i" "q" "x" 3; "e" "d" "h" "u" "y" 2;
"a" "x" 3; "b" "n" "u" "y" 3; "c" "n" "w" 3; "d" "i" "q" "x" 3; "e" "d" "h" "u" "y" 2;
"a" "x" 3; "b" "n" 4; "c" "n" "w" 3; "d" "i" "q" "x" 3; "e" "d" "h" "u" "y" 2;
"a" "x" 3; "b" "n" 4; "c" "n" "w" 3; "d" "i" "q" "x" 3; "e" "d" "h" "u" "y" 2;
"a" "x" 3; "b" "n" 4; "c" "n" "w" 3; "d" "i" "q" "x" 3; "e" "d" "h" "u" "y" 2;
"a" "x" 3; "b" "n" 4; "c" "n" "w" 3; "d" "i" "q" "x" 3; "e" "d" "h" "u" "y" 2;
"a" "x" 3; "b" "n" 4; "c" "n" "w" 3; "d" "i" "q" "x" 3; "e" "d" "h" "u" "y" 2;
"a" "x" 3; "b" "n" 4; "c" "n" "w" 3; "d" "i" "q" "x" 3; "e" "d" "e" "h" "u" "y" 2;
"a" "x" 3; "b" "n" 4; "c" "n" "w" 3; "d" "i" "q" "x" 3; "e" "d" "e" "h" "n" "u" "y" 2;
"a" "x" 3; "b" "n" 4; "c" "n" "w" 3; "d" "i" "q" "x" 3; "e" "d" "e" "h" "n" "u" "y" 2;
"a" "x" 3; "b" "n" 4; "c" "n" "w" 3; "d" "i" "q" "v" "x" 3; "e" "d" "e" "h" "n" "u" "y" 2;
"a" "x" 3; "b" "n" 4; "c" "n" "w" 3; "d" "i" "q" "v" "x" 3; "e" "d" "e" "h" "n" "u" "y" 2;
"a" "x" 3; "b" "n" 4; "c" "n" "w" 3; "d" "i" "q" "v" "x" 3; "e" "d" "e" "h" "n" "u" "y" 2;
"a" "x" 3; "b" "n" 4; "c" "n" "w" 3; "d" "i" "q" "v" "x" 3; "e" "e" 3;
"a" "x" 3; "b" "n" 4; "c" "n" "w" 3; "d" "i" "q" "v" "x" 3; "e" "e" 3;
"a" "i" "x" 3; "b" "n" 4; "c" "n" "w" 3; "d" "x" 4; "e" "e" 3;
"a" "i" "x" 3; "b" "n" 4; "c" "n" "w" 3; "d" "x" 4; "e" "e" 3;
"a" "i" "x" 3; "b" "n" 4; "c" "n" "w" 3; "d" "x" 4; "e" "e" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "n" "w" 3; "d" "x" 4; "e" "e" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "n" "w" 3; "d" "x" 4; "e" "e" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "n" "w" 3; "d" "x" 4; "e" "e" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "n" "w" 3; "d" "x" 4; "e" "e" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "n" "w" 3; "d" "x" 4; "e" "e" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "n" "w" 3; "d" "x" 4; "e" "e" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "n" "w" 3; "d" "x" 4; "e" "e" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "n" "w" 3; "d" "x" 4; "e" "e" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "e" "t" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "e" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "e" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "e" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "d" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "d" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "d" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "d" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "d" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "d" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "d" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "d" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "d" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "d" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "d" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "d" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "d" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "h" "n" "w" 3; "d" "x" 4; "e" "d" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "n" 4; "d" "x" 4; "e" "d" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "n" 4; "d" "x" 4; "e" "d" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "n" 4; "d" "x" 4; "e" "d" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "n" 4; "d" "x" 4; "e" "d" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "n" 4; "d" "x" 4; "e" "d" "e" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "n" 4; "d" "x" 4; "e" "d" "e" "g" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "n" 4; "d" "x" 4; "e" "d" "e" "g" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "n" 4; "d" "x" 4; "e" "d" "e" "g" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "n" 4; "d" "x" 4; "e" "d" "e" "g" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "n" 4; "d" "x" 4; "e" "d" "e" "g" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "n" 4; "d" "x" 4; "e" "d" "e" "g" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "n" 4; "d" "x" 4; "e" "d" "e" "g" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "n" 4; "d" "x" 4; "e" "d" "e" "g" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "n" 4; "d" "x" 4; "e" "d" "e" "g" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" "z" 4; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" 3;
