none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1; "d" "i" 1;
"a" "y" 1; "b" "w" 1; "d" "i" 1; "e" "s" 1;
"a" "y" 1; "b" "w" 1; "d" "i" 1; "e" "s" 1;
"a" "y" 1; "b" "w" 1; "d" "i" 1; "e" "s" 1;
"a" "y" 1; "b" "w" 1; "d" "i" 1; "e" "s" 1;
"a" "q" "y" 1; "b" "w" 1; "d" "i" 1; "e" "s" 1;
"a" "g" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "b" "j" 3; "e" "s" 3;
"a" "g" "y" 2; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "b" "j" 3; "e" "s" 3;
"a" "g" 3; "b" "d" "f" "x" 2; "c" "d" "e" 2; "d" "b" "j" 3; "e" "s" 3;
"a" "g" 3; "b" "d" "f" "x" 2; "c" "d" "e" "r" 2; "d" "b" "j" 3; "e" "s" "x" 3;
"a" "g" 3; "b" "d" "f" "x" 2; "c" "d" "e" "r" 2; "d" "b" "j" 3; "e" "s" "x" 3;
"a" "g" 3; "b" "d" "f" "x" 2; "c" "d" "e" "r" 2; "d" "b" "j" 3; "e" "s" "x" 3;
"a" "g" 3; "b" "d" "f" "x" 2; "c" "d" "e" "r" 2; "d" "b" "j" 3; "e" "s" "x" 3;
"a" "g" 3; "b" "d" "f" "x" 2; "c" "d" "e" "r" 2; "d" "b" "j" 3; "e" "s" "x" 3;
"a" "g" 3; "b" "d" "f" "x" 2; "c" "d" "e" "r" 2; "d" "b" "j" 3; "e" "s" "x" 3;
"a" "g" 3; "b" "b" "d" "f" "x" 2; "c" "d" "e" "r" "x" 2; "d" "b" "j" 3; "e" "s" "x" 3;
"a" "g" 3; "b" "b" "d" "f" "x" 2; "c" "d" "e" "r" "x" 2; "d" "b" "j" 3; "e" "s" "x" 3;
"a" "g" 3; "b" "b" "d" "f" "x" 2; "c" "d" "e" "r" "x" 2; "d" "b" "j" 3; "e" "s" "x" 3;
"a" "g" 3; "b" "b" "d" "f" "x" 2; "c" "d" "e" "r" "v" "x" 2; "d" "b" 3; "e" "s" "x" 3;
"a" "g" 3; "b" "b" "d" "f" "x" 2; "c" "d" "e" "r" "v" "x" 2; "d" "b" 3; "e" "s" "x" 3;
"a" "g" 3; "b" "b" "d" "f" "x" 2; "c" "d" "e" "r" "v" "x" 2; "d" "b" 3; "e" "s" "x" 3;
"a" "g" 3; "b" "b" "d" "f" "x" 2; "c" "d" "e" "r" "v" "x" 2; "d" "b" 3; "e" "s" "x" 3;
"a" "g" 3; "b" "b" "d" "f" "h" "x" 2; "c" "d" "e" "r" "v" "x" 2; "d" "b" 3; "e" "s" "x" 3;
"a" "g" 3; "b" "b" "d" "f" "h" "t" "x" 2; "c" "d" "e" "r" "v" "x" 2; "d" "b" 3; "e" "s" "x" 3;
"a" "g" 3; "b" "b" "d" "f" "h" "t" "x" 2; "c" "d" "e" "r" "v" "x" 2; "d" "b" 3; "e" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "d" "e" "r" "v" "x" 2; "d" "b" 3; "e" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "d" "e" "r" "v" "x" 2; "d" "b" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "d" "e" "r" "v" "x" 2; "d" "b" "i" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "d" "e" "r" "v" "x" 2; "d" "b" "i" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "d" "e" "o" "r" "v" "x" 2; "d" "b" "i" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "d" "e" "o" "r" "v" "x" 2; "d" "b" "i" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "d" "e" "o" "r" "v" "x" 2; "d" "b" "i" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "d" "e" "o" "r" "v" "x" 2; "d" "b" "i" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "d" "e" "o" "r" "v" "x" 2; "d" "b" "i" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "d" "e" "o" "r" "v" "x" 2; "d" "b" "i" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "d" "e" "o" "r" "v" "x" 2; "d" "b" "i" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "d" "e" "o" "r" "v" "x" 2; "d" "b" "i" "k" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "d" "e" "o" "r" "v" "x" 2; "d" "b" "i" "k" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "d" "e" "o" "r" "v" "x" 2; "d" "b" "i" "k" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "d" "e" "o" "r" "v" "x" 2; "d" "b" "i" "k" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "d" "e" "o" "r" "v" "x" 2; "d" "b" "i" "k" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "d" "e" "o" "r" "v" "x" 2; "d" "b" "i" "k" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "d" "e" "o" "r" "v" "x" 2; "d" "b" "i" "k" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "r" 3; "d" "b" "i" "k" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "r" 3; "d" "b" "i" "k" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "r" 3; "d" "b" "i" "k" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "r" 3; "d" "b" "i" "k" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "r" 3; "d" "b" "i" "k" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "r" 3; "d" "b" "i" "k" 3; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "r" 3; "d" "k" 4; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "r" 3; "d" "k" 4; "e" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "r" 3; "d" "k" 4; "e" "a" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "r" 3; "d" "k" 4; "e" "a" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "r" 3; "d" "k" 4; "e" "a" "h" "s" "x" 3;
"a" "g" 3; "b" "f" 3; "c" "r" "u" 3; "d" "k" 4; "e" "s" 4;
"a" "g" 3; "b" "f" 3; "c" "r" "u" 3; "d" "k" 4; "e" "s" 4;
"a" "g" 3; "b" "f" 3; "c" "r" "u" 3; "d" "k" 4; "e" "s" 4;
"a" "g" 3; "b" "f" 3; "c" "r" "u" 3; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 3; "c" "r" "u" 3; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 3; "c" "r" "u" 3; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 3; "c" "r" "u" 3; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 4; "c" "r" "u" 3; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 4; "c" "r" "u" 3; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 4; "c" "r" "u" 3; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 4; "c" "r" "u" 3; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 4; "c" "r" "u" 3; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 4; "c" "r" "u" 3; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 4; "c" "r" "u" 3; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 4; "c" "r" "u" 3; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 4; "c" "r" 4; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 4; "c" "r" 4; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 4; "c" "r" 4; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 4; "c" "r" 4; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 4; "c" "r" 4; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 4; "c" "r" 4; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 4; "c" "r" 4; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 4; "c" "r" 4; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 4; "c" "r" 4; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 4; "c" "r" 4; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 4; "c" "r" 4; "d" "k" 4; "e" "a" "s" 4;
"a" "g" 3; "b" "f" 4; "c" "r" 4; "d" "k" 4; "e" "a" "f" "s" 4;
"a" "g" 3; "b" "f" 4; "c" "r" 4; "d" "k" 4; "e" "a" "f" "s" 4;
"a" "g" 3; "b" "f" 4; "c" "r" 4; "d" "k" 4; "e" "a" "f" "s" 4;
"a" "g" 4; "b" "f" 4; "c" "r" 4; "d" "k" 4; "e" "a" "f" "s" 4;
"a" "g" 4; "b" "f" 4; "c" "r" 4; "d" "k" 4; "e" "a" "f" "s" 4;
"a" "g" 4; "b" "f" 4; "c" "r" 4; "d" "k" 4; "e" "a" "f" "s" 4;
"a" "g" 4; "b" "f" 4; "c" "r" 4; "d" "k" 4; "e" "a" "f" "s" 4;
"a" "g" 4; "b" "f" "h" 4; "c" "r" 4; "d" "b" "k" 4; "e" "a" "f" "s" 4;
"a" "g" 4; "b" "f" "h" 4; "c" "r" 4; "d" "b" "k" 4; "e" "a" "f" "s" 4;
"a" "g" 4; "b" "f" "h" 4; "c" "r" 4; "d" "b" "k" 4; "e" "a" "f" "s" 4;
"a" "g" 4; "b" "f" "h" 4; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" "s" 4;
"a" "g" 4; "b" "f" "h" 4; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "f" "h" 4; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "f" "h" 4; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "f" "h" 4; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 5; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 5; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 5; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 5; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 5; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 5; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 6; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
