none
none
none
none
none
none
"c" "a" 1;
"c" "a" 1;
"c" "a" "u" 1;
"c" "a" "u" 1;
"c" "a" "u" 1;
"c" "a" "u" 1;
"c" "a" "u" 1;
"c" "a" "u" 1; "d" "u" 1;
"c" "a" "u" 1; "d" "u" 1;
"c" "a" "u" 1; "d" "u" 1;
"c" "a" "u" 1; "d" "u" 1;
"c" "a" "u" 1; "d" "a" "u" 1;
"a" "z" 1; "c" "a" "u" 1; "d" "a" "u" 1;
"a" "z" 1; "c" "a" "u" 1; "d" "a" "u" 1;
"a" "q" "z" 1; "b" "j" "y" 1; "c" "a" "u" 1; "d" "a" "r" "u" 1;
"a" "q" "z" 1; "b" "j" "t" 1; "c" "a" "u" 1; "d" "a" "r" "u" 1; "e" "i" 2;
"a" "q" "z" 1; "b" "j" "t" 1; "c" "a" "u" 1; "d" "a" "r" "u" 1; "e" "i" 2;
"a" "q" "z" 1; "b" "j" "t" 1; "c" "a" "u" 1; "d" "a" "r" "u" 1; "e" "i" 2;
"a" "q" "z" 1; "b" "j" "t" 1; "c" "a" "u" 1; "d" "a" "r" "u" 1; "e" "i" 2;
"a" "f" "q" "z" 1; "b" "j" "t" 1; "c" "a" "u" 1; "d" "a" "h" "r" "u" 1; "e" "i" 2;
"a" "f" "q" "z" 1; "b" "j" "t" 1; "c" "a" "u" 1; "d" "a" "h" "r" "u" 1; "e" "i" 2;
"a" "f" "q" "z" 1; "b" "j" "l" "p" "t" 1; "c" "a" "u" 1; "d" "a" "h" "m" "r" "u" 1; "e" "i" 2;
"a" "f" "q" "z" 1; "b" "j" "l" "p" "t" 1; "c" "a" "u" 1; "d" "a" "h" "m" "r" "u" 1; "e" "i" 2;
"a" "f" "q" "z" 1; "b" "j" "l" "p" "t" 1; "c" "a" "u" 1; "d" "a" "h" "m" "r" "u" 1; "e" "i" 2;
"a" "a" "f" "q" "v" "z" 1; "b" "h" "j" "l" "p" "t" 1; "c" "a" "u" 1; "d" "a" "h" "m" "r" "u" 1; "e" "i" 2;
"a" "a" "f" "q" "v" "z" 1; "b" "h" "j" "l" "p" "t" 1; "c" "a" "u" 1; "d" "a" "h" "i" "m" "r" "u" 1; "e" "i" 2;
"a" "a" "f" "q" "v" "z" 1; "b" "h" "j" "l" "p" "t" 1; "c" "a" "r" "u" 1; "d" "a" "h" "i" "m" "r" "u" 1; "e" "i" 2;
"a" "a" "f" "q" "v" "z" 1; "b" "g" "h" "j" "l" "p" "t" 1; "c" "a" "r" "u" 1; "d" "a" "h" "i" "m" "r" "u" 1; "e" "i" 2;
"a" "a" "f" "q" "v" "z" 1; "b" "g" "h" "j" "l" "p" "t" 1; "c" "a" "r" "u" 1; "d" "a" "h" "i" "j" "m" "r" "u" 1; "e" "i" 2;
"a" "a" "f" "q" "v" "z" 1; "b" "g" "h" "j" "l" "p" "t" 1; "c" "a" "r" "u" 1; "d" "a" "f" "h" "i" "j" "m" "r" "u" 1; "e" "i" 2;
"a" "a" "f" "q" "v" "z" 1; "b" "g" "h" "j" "l" "p" "t" 1; "c" "a" "r" "u" 1; "d" "a" "f" "h" "i" "j" "m" "r" "u" 1; "e" "i" 2;
"a" "a" "f" "q" "v" "z" 1; "b" "g" "h" "j" "l" "p" "t" 1; "c" "a" "i" "r" "u" 1; "d" "a" "e" "f" "h" "i" "j" "m" "r" "u" "z" 1; "e" "i" 2;
"a" "a" "f" "q" "v" "z" 1; "b" "c" "g" "h" "j" "l" "p" "t" 1; "c" "a" "i" "r" "u" 1; "d" "a" "e" "f" "h" "i" "j" "m" "r" "u" "z" 1; "e" "i" 2;
"a" "a" "f" "q" "v" "w" "z" 1; "b" "p" 2; "c" "a" "c" "i" "r" "u" 1; "d" "h" 2; "e" "i" 2;
"a" "a" "f" "q" "v" "w" "z" 1; "b" "p" 2; "c" "a" "c" "i" "r" "u" "v" 1; "d" "h" 2; "e" "i" 2;
"a" "a" "f" "q" "v" "w" "z" 1; "b" "p" 2; "c" "a" "c" "i" "r" "u" "v" 1; "d" "h" 2; "e" "i" 2;
"a" "a" "f" "q" "v" "w" "z" 1; "b" "p" 2; "c" "a" "c" "i" "r" "u" "v" 1; "d" "h" 2; "e" "i" 2;
"a" "a" "f" "q" "r" "v" "w" "z" 1; "b" "f" "p" 2; "c" "a" "c" "i" "r" "s" "u" "v" 1; "d" "a" "e" "f" "h" "i" "j" "m" "r" "u" "z" 1; "e" "i" 2;
"a" "a" "f" "q" "r" "v" "w" "z" 1; "b" "f" "p" 2; "c" "a" "c" "i" "r" "s" "u" "v" 1; "d" "a" "e" "f" "h" "i" "j" "m" "r" "u" "z" 1; "e" "i" 2;
"a" "a" "f" "q" "r" "v" "w" "z" 1; "b" "f" "p" 2; "c" "a" "c" "i" "r" "s" "u" "v" 1; "d" "a" "e" "f" "h" "i" "j" "m" "r" "u" "z" 1; "e" "i" 2;
"a" "a" "f" "q" "r" "v" "w" "z" 1; "b" "f" "p" 2; "c" "a" "c" "i" "r" "s" "u" "v" 1; "d" "i" 2; "e" "i" 2;
"a" "a" "f" "i" "q" "r" "u" "v" "w" "z" 1; "b" "f" "p" 2; "c" "a" "c" "i" "r" "s" "u" "v" 1; "d" "i" 2; "e" "i" 2;
"a" "a" "f" "i" "q" "r" "u" "v" "w" "z" 1; "b" "f" "p" 2; "c" "u" 2; "d" "i" "m" 2; "e" "i" 2;
"a" "a" "f" "i" "p" "q" "r" "s" "u" "v" "w" "z" 1; "b" "f" "p" 2; "c" "u" 2; "d" "e" "i" "m" 2; "e" "i" 2;
"a" "u" 2; "b" "f" "p" 2; "c" "s" "u" 2; "d" "e" "i" "m" 2; "e" "i" 2;
"a" "u" "w" 2; "b" "f" "p" 2; "c" "s" "u" 2; "d" "e" "i" "m" 2; "e" "i" 3;
"a" "u" "w" 2; "b" "f" "p" 2; "c" "s" "u" 2; "d" "e" "i" "m" 2; "e" "i" 3;
"a" "u" "w" 2; "b" "f" "p" 2; "c" "s" "u" 2; "d" "e" "i" "m" 2; "e" "i" 3;
"a" "u" "w" 2; "b" "f" "p" 2; "c" "s" "u" 2; "d" "e" "i" "m" 2; "e" "i" 3;
"a" "u" "w" 2; "b" "f" "p" 2; "c" "s" "u" 2; "d" "e" "i" "m" 2; "e" "i" 3;
"a" "u" "w" 2; "b" "f" "p" 2; "c" "s" "u" 2; "d" "e" "i" "m" 2; "e" "i" 3;
"a" "u" "w" 2; "b" "f" "p" 2; "c" "s" "u" 2; "d" "e" "i" "m" "u" 2; "e" "i" 3;
"a" "u" "w" 2; "b" "f" "p" 2; "c" "s" "u" 2; "d" "e" "i" "m" "u" 2; "e" "i" 3;
"a" "u" "w" 2; "b" "f" "p" 2; "c" "s" "u" 2; "d" "e" "i" "m" "u" 2; "e" "i" 3;
"a" "u" "w" 2; "b" "f" "p" 2; "c" "s" "u" 2; "d" "e" "i" "m" "u" 2; "e" "i" 3;
"a" "u" "w" 2; "b" "f" "p" 2; "c" "s" "u" 2; "d" "e" "i" "m" "u" 2; "e" "i" 3;
"a" "u" "w" 2; "b" "f" "p" 2; "c" "s" "u" 2; "d" "e" "i" "m" "u" 2; "e" "i" 3;
"a" "u" "w" 2; "b" "f" "p" 2; "c" "s" "u" 2; "d" "e" "i" "m" "u" 2; "e" "i" 3;
"a" "u" "w" 2; "b" "f" "p" 2; "c" "s" "u" 2; "d" "e" "i" "m" "u" 2; "e" "i" 3;
"a" "u" "w" 2; "b" "f" "p" 2; "c" "s" "u" 2; "d" "e" "i" "m" "u" 2; "e" "i" 3;
"a" "u" "w" 2; "b" "f" 3; "c" "s" "u" 2; "d" "e" "i" "m" "u" 2; "e" "i" 3;
"a" "u" "w" 2; "b" "f" 3; "c" "s" "u" 2; "d" "e" "i" "m" "u" 2; "e" "i" 4;
"a" "u" "w" 2; "b" "f" 3; "c" "s" "u" 2; "d" "e" "i" "j" "m" "u" 2; "e" "i" 4;
"a" "u" "w" 2; "b" "f" 3; "c" "s" "u" 2; "d" "e" "i" "j" "m" "u" 2; "e" "i" 4;
"a" "u" "w" 2; "b" "f" 3; "c" "s" "u" 2; "d" "e" "i" "j" "m" "u" 2; "e" "i" 4;
"a" "u" "w" 2; "b" "f" 3; "c" "s" "u" 2; "d" "e" "i" "j" "m" "u" 2; "e" "i" 4;
"a" "u" "w" 2; "b" "f" 3; "c" "s" "u" 2; "d" "e" "i" "j" "m" "u" 2; "e" "i" 4;
"a" "u" "w" 2; "b" "f" 3; "c" "s" "u" 2; "d" "e" "i" "j" "m" "u" 2; "e" "i" 4;
"a" "u" "w" 2; "b" "f" 3; "c" "s" "u" 2; "d" "e" "i" "j" "m" "u" 2; "e" "i" 4;
"a" "u" "w" 2; "b" "f" 3; "c" "s" "u" 2; "d" "e" "i" "j" "m" "u" 2; "e" "i" 4;
"a" "u" "w" 2; "b" "f" 3; "c" "f" "s" "u" 2; "d" "e" "i" "j" "m" "u" 2; "e" "i" 4;
"a" "u" "w" 2; "b" "f" 3; "c" "f" "s" "u" 2; "d" "e" "i" "j" "m" "u" 2; "e" "i" 4;
"a" "q" "u" "w" 2; "b" "f" 3; "c" "f" "s" "u" 2; "d" "e" "i" "j" "m" "u" 2; "e" "i" 4;
"a" "q" "u" "w" 2; "b" "f" 3; "c" "f" "s" "u" 2; "d" "e" "i" "j" "m" "u" 2; "e" "i" 4;
"a" "q" "u" "w" 2; "b" "f" 3; "c" "f" "s" "u" 2; "d" "e" "i" "j" "m" "u" 2; "e" "i" 4;
"a" "q" "u" "w" 2; "b" "f" 3; "c" "f" "s" "u" 2; "d" "e" "i" "j" "m" "u" 2; "e" "i" 4;
"a" "q" "u" "w" 2; "b" "f" 3; "c" "f" "s" "u" 2; "d" "e" "i" "j" "m" "u" 2; "e" "i" 4;
"a" "q" "u" "w" 2; "b" "f" 3; "c" "f" "s" "u" 2; "d" "e" "i" "j" "m" "u" 2; "e" "i" 4;
"a" "q" "u" "w" 2; "b" "f" 3; "c" "f" "s" "u" 2; "d" "e" "i" "j" "m" "u" 2; "e" "i" 4;
"a" "q" "u" "w" 2; "b" "f" 3; "c" "f" "i" "n" "s" "u" 2; "d" "e" "i" "j" "m" "u" 2; "e" "i" 4;
"a" "q" "u" "w" 2; "b" "f" 3; "c" "f" "i" "n" "s" "u" 2; "d" "e" "i" "j" "m" "u" 2; "e" "i" 4;
"a" "q" "u" "w" 2; "b" "f" 3; "c" "f" "i" "n" "s" "u" 2; "d" "e" "i" "j" "m" "u" 2; "e" "i" 4;
"a" "q" "u" "w" 2; "b" "f" 3; "c" "f" "i" "n" "s" "u" 2; "d" "e" "i" "j" "m" "u" 2; "e" "i" 4;
"a" "q" "u" "w" 2; "b" "f" 3; "c" "f" "i" "n" "s" "u" 2; "d" "j" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "f" "i" "n" "s" "u" 2; "d" "j" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "f" "i" "n" "s" "u" 2; "d" "j" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "f" "i" "n" "s" "u" 2; "d" "j" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "f" "i" "n" "s" "u" 2; "d" "j" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "f" "i" "n" "s" "u" 2; "d" "j" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "f" "i" "n" "s" "u" 2; "d" "j" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "f" "i" "n" "s" "u" 2; "d" "j" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "f" "i" "n" "s" "u" 2; "d" "j" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "f" "i" "n" "s" "u" 2; "d" "j" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "f" "i" "n" "s" "u" 2; "d" "j" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "f" "i" "n" "s" "u" 2; "d" "j" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "f" "i" "n" "s" "u" 2; "d" "j" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "f" "i" "n" "s" "u" 2; "d" "j" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "f" "i" "n" "s" "u" 2; "d" "j" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "f" "i" "n" "s" "u" 2; "d" "j" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "f" "i" "n" "s" "u" 2; "d" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "a" "f" "h" "i" "n" "s" "u" 2; "d" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "a" "f" "h" "i" "n" "s" "u" 2; "d" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "a" "f" "h" "i" "n" "s" "u" 2; "d" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "a" "f" "h" "i" "n" "s" "u" 2; "d" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "a" "f" "h" "i" "n" "s" "u" 2; "d" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "a" "f" "h" "i" "n" "s" "u" 2; "d" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "u" 3; "d" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "u" 3; "d" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "u" 3; "d" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "u" 3; "d" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "u" 3; "d" "i" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "u" 3; "d" "i" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "u" 3; "d" "i" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "u" 3; "d" "i" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "u" 3; "d" "i" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "u" 3; "d" "i" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "u" 3; "d" "i" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "u" 3; "d" "i" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "u" 3; "d" "i" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "f" 3; "c" "u" 3; "d" "i" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "e" "f" 3; "c" "u" 3; "d" "i" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "e" "f" 3; "c" "u" 3; "d" "i" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "e" "f" 3; "c" "u" 3; "d" "i" "j" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "e" "f" "p" 3; "c" "u" 3; "d" "h" "i" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "e" "f" "p" 3; "c" "u" 3; "d" "h" "i" "m" 3; "e" "i" 4;
"a" "u" 3; "b" "e" "f" "p" 3; "c" "u" 3; "d" "h" "i" "m" 3; "e" "i" 5;
"a" "u" 3; "b" "e" "f" "p" 3; "c" "u" 3; "d" "h" "i" "m" 3; "e" "i" 5;
"a" "u" 3; "b" "e" "f" "p" 3; "c" "u" 3; "d" "h" "i" "m" 3; "e" "i" 5;
"a" "u" 3; "b" "e" "f" "p" 3; "c" "u" 3; "d" "h" "i" "m" 3; "e" "i" 5;
"a" "u" 3; "b" "e" "f" "p" 3; "c" "i" "u" 3; "d" "h" "i" "m" 3; "e" "i" 5;
"a" "u" 3; "b" "e" "f" "p" 3; "c" "i" "u" 3; "d" "h" "i" "m" 3; "e" "i" 5;
"a" "u" 3; "b" "e" "f" "p" 3; "c" "i" "u" 3; "d" "h" "i" "m" 3; "e" "i" 5;
"a" "u" 3; "b" "e" "f" "p" 3; "c" "i" "u" 3; "d" "h" "i" "m" 3; "e" "i" 5;
"a" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" "u" 3; "d" "g" "h" "i" "j" "m" 3; "e" "i" 5;
"a" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" "u" 3; "d" "g" "h" "i" "j" "m" 3; "e" "i" 5;
"a" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" "u" 3; "d" "g" "h" "i" "j" "m" 3; "e" "i" 5;
"a" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" "u" 3; "d" "g" "h" "i" "j" "m" 3; "e" "i" 5;
"a" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" "u" 3; "d" "g" "h" "i" "j" "m" 3; "e" "i" 5;
"a" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" "u" 3; "d" "g" "h" "i" "j" "m" 3; "e" "i" 5;
"a" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" "u" 3; "d" "g" "h" "i" "j" "m" 3; "e" "i" 5;
"a" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" "u" 3; "d" "h" 4; "e" "i" 5;
"a" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" "u" 3; "d" "h" 4; "e" "i" 5;
"a" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" "u" 3; "d" "h" 4; "e" "i" 5;
"a" "a" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "h" 4; "e" "i" 5;
"a" "a" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "h" 4; "e" "i" 5;
"a" "a" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "h" 4; "e" "i" 5;
"a" "a" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "h" 4; "e" "i" 5;
"a" "a" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "h" 4; "e" "i" 5;
"a" "a" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "h" 4; "e" "i" 5;
"a" "a" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "g" "h" 4; "e" "i" 5;
"a" "a" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "g" "h" 4; "e" "i" 5;
"a" "a" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "g" "h" 4; "e" "i" 5;
"a" "a" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "g" "h" 4; "e" "i" 5;
"a" "a" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "g" "h" 4; "e" "i" 5;
"a" "a" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "g" "h" 4; "e" "i" 5;
"a" "a" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "g" "h" 4; "e" "i" 5;
"a" "a" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "g" "h" 4; "e" "i" 5;
"a" "a" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "g" "h" 4; "e" "i" 5;
"a" "a" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "g" "h" "n" 4; "e" "i" 5;
"a" "a" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "g" "h" "n" 4; "e" "i" 5;
"a" "a" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "g" 5; "e" "i" 5;
"a" "a" "f" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "g" 5; "e" "i" 5;
"a" "a" "f" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "g" 5; "e" "i" 5;
"a" "a" "f" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "g" 5; "e" "i" 5;
"a" "a" "f" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "g" 5; "e" "i" 5;
"a" "a" "f" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "g" 5; "e" "i" 5;
"a" "a" "f" "q" "u" 3; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "g" 5; "e" "i" 5;
"a" "a" 4; "b" "e" "f" "o" "p" 3; "c" "i" 4; "d" "g" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" "f" "o" "p" 3; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" "f" "o" "p" 3; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" "f" "o" "p" 3; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" "f" "o" "p" 3; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" "f" "o" "p" 3; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" "f" "o" "p" 3; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" "f" "o" "p" 3; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" "f" "o" "p" 3; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" "f" "g" "o" "p" 3; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" "f" "g" "o" "p" 3; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" "f" "g" "o" "p" 3; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" "f" "g" "o" "p" 3; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" 4; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" 4; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" 4; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" 4; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" 4; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" 4; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" 4; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" 4; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" 4; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" 4; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" 4; "c" "i" 5; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" 4; "c" "i" 5; "d" "g" 6; "e" "i" 5;
"a" "a" 4; "b" "e" 4; "c" "i" 5; "d" "g" 6; "e" "i" 5;
"a" "a" 4; "b" "e" 4; "c" "i" 5; "d" "g" 6; "e" "i" 5;
"a" "a" 4; "b" "e" 4; "c" "i" 5; "d" "g" 6; "e" "i" 5;
"a" "a" 4; "b" "e" 5; "c" "i" 5; "d" "g" 6; "e" "i" 5;
"a" "a" 4; "b" "e" 5; "c" "i" 5; "d" "g" 6; "e" "i" 5;
"a" "a" 4; "b" "e" 5; "c" "i" 5; "d" "g" 6; "e" "i" 5;
"a" "a" 4; "b" "e" 5; "c" "i" 5; "d" "g" 6; "e" "i" 5;
"a" "a" 4; "b" "e" 5; "c" "i" 5; "d" "g" 6; "e" "i" 5;
"a" "a" 4; "b" "e" 5; "c" "i" 5; "d" "g" 6; "e" "i" 5;
"a" "a" 4; "b" "e" 5; "c" "i" 5; "d" "g" 6; "e" "i" 5;
"a" "a" 4; "b" "e" 5; "c" "i" 5; "d" "g" 6; "e" "i" 5;
"a" "a" 4; "b" "e" 5; "c" "i" 5; "d" "g" 6; "e" "i" 5;
"a" "a" 4; "b" "e" 5; "c" "i" 5; "d" "g" 6; "e" "i" 5;
"a" "a" 4; "b" "e" 5; "c" "i" 5; "d" "g" 6; "e" "i" 5;
"a" "a" 4; "b" "e" 5; "c" "f" "i" "u" 4; "d" "g" 6; "e" "i" 5;
"a" "a" 4; "b" "e" 5; "c" "f" "i" "u" 4; "d" "g" 6; "e" "i" 5;
"a" "a" 4; "b" "e" 5; "c" "f" "i" "u" 4; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" 5; "c" "f" "i" "u" 4; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" 5; "c" "f" "i" "u" 4; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" 5; "c" "f" "i" "u" 4; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" 5; "c" "f" "i" "u" 4; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" 5; "c" "f" "i" "u" 4; "d" "g" "m" "n" 5; "e" "i" 5;
"a" "a" 4; "b" "e" 5; "c" "f" "i" "u" 4; "d" "g" "m" "n" 5; "e" "i" 5;
