none
none
none
none
none
none
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"d" "q" "v" 1;
"d" "q" "v" 1;
"d" "q" "v" 1; "e" "e" 1;
"d" "q" "v" 1; "e" "e" 1;
"c" "b" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "b" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "b" "h" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "b" "h" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "b" "h" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "b" "h" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "b" "h" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "a" "b" "h" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "a" "b" "h" 1; "d" "m" "q" "v" 1; "e" "b" "e" 1;
"c" "a" "b" "h" 1; "d" "m" "q" "v" 1; "e" "b" "e" 1;
"c" "h" 2; "d" "j" "m" "q" "v" 1; "e" "b" "e" 1;
"b" "c" 1; "c" "h" 2; "d" "j" "m" "n" "q" "v" 1; "e" "b" "e" 1;
"b" "c" 1; "c" "h" 2; "d" "j" "m" "n" "q" "v" 1; "e" "b" "e" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "g" "w" 1; "c" "h" 2; "d" "n" "q" "v" 2; "e" "a" "b" "e" "s" "u" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "g" "w" 1; "c" "h" 2; "d" "n" "q" "v" 2; "e" "a" "b" "e" "s" "u" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "g" "w" 1; "c" "h" 2; "d" "n" "q" "v" 2; "e" "a" "b" "e" "s" "u" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "g" "w" 1; "c" "h" 2; "d" "n" "q" "v" 2; "e" "a" "b" "e" "s" "u" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "g" "w" 1; "c" "h" 2; "d" "n" "q" "v" 2; "e" "a" "b" "e" "s" "u" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "g" "w" 1; "c" "h" 2; "d" "n" "q" "v" 2; "e" "a" "b" "e" "s" "u" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "g" "w" 1; "c" "h" 2; "d" "n" "q" "v" 2; "e" "a" "b" "e" "s" "u" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "g" "w" 1; "c" "h" 2; "d" "n" "q" "v" 2; "e" "a" "b" "e" "s" "u" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "g" "w" "z" 1; "c" "h" 2; "d" "n" "q" "v" 2; "e" "a" "b" "e" "s" "u" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "g" "w" "z" 1; "c" "h" 2; "d" "n" "q" "v" 2; "e" "a" "b" "e" "s" "u" 1;
"a" "b" "c" "e" "i" "q" 1; "b" "c" "g" "w" "z" 1; "c" "h" 2; "d" "n" "q" "v" 2; "e" "a" "b" "e" "s" "u" 1;
"a" "b" "c" "e" "i" "q" 1; "b" "c" "g" "w" "z" 1; "c" "h" 2; "d" "g" "n" "q" "v" 2; "e" "a" "b" "e" "s" "u" 1;
"a" "b" "c" "e" "i" "q" 1; "b" "c" "g" "l" "s" "w" "z" 1; "c" "h" 2; "d" "g" "n" "q" "v" 2; "e" "a" "b" "e" "j" "s" "u" 1;
"a" "b" "c" "e" "i" "q" 1; "b" "c" "g" "l" "s" "w" "z" 1; "c" "h" 2; "d" "g" "n" "q" "v" 2; "e" "a" "b" "e" "j" "s" "u" 1;
"a" "b" "c" "e" "i" "q" 1; "b" "c" "g" "l" "s" "w" "z" 1; "c" "h" 2; "d" "g" "n" "q" "v" 2; "e" "a" "b" "e" "j" "s" "u" 1;
"a" "b" "c" "e" "i" "q" 1; "b" "c" "g" "l" "s" "w" "z" 1; "c" "h" 2; "d" "g" "n" "q" "v" 2; "e" "a" "b" "e" "j" "s" "u" 1;
"a" "b" "c" "e" "i" "q" 1; "b" "c" "g" "l" "s" "w" "z" 1; "c" "h" 2; "d" "g" "n" "q" "v" 2; "e" "a" "b" "e" "j" "s" "u" 1;
"a" "b" "c" "e" "i" "q" 1; "b" "c" "g" "l" "s" "w" "z" 1; "c" "h" 2; "d" "g" "n" "q" "v" 2; "e" "a" "b" "e" "j" "s" "u" 1;
"a" "b" "c" "d" "e" "i" "q" 1; "b" "c" "g" "l" "s" "w" "z" 1; "c" "h" 2; "d" "g" "n" "q" "v" "x" 2; "e" "a" "b" "e" "j" "s" "u" 1;
"a" "b" "c" "d" "e" "i" "q" 1; "b" "c" "g" "l" "s" "w" "z" 1; "c" "h" 2; "d" "g" "n" "q" "v" "x" 2; "e" "a" "b" "e" "j" "s" "u" 1;
"a" "b" "c" "d" "e" "i" "q" 1; "b" "c" "g" "l" "s" "w" "z" 1; "c" "h" 2; "d" "g" "n" "q" "v" "x" 2; "e" "a" "b" "e" "j" "s" "u" 1;
"a" "b" "c" "d" "e" "i" "q" 1; "b" "c" "g" "l" "s" "w" "z" 1; "c" "h" "n" 2; "d" "g" "n" "q" "v" "x" 2; "e" "a" "b" "e" "j" "s" "u" 1;
"a" "b" "c" "d" "e" "i" "q" 1; "b" "c" "g" "l" "s" "w" "z" 1; "c" "h" "n" 2; "d" "g" "n" "q" "v" "x" 2; "e" "a" "b" "e" "j" "s" "u" 1;
"a" "b" "c" "d" "e" "i" "q" 1; "b" "c" "g" "l" "s" "w" "z" 1; "c" "h" "n" 2; "d" "g" "n" "q" "v" "x" 2; "e" "a" "b" "e" "j" "s" "u" 1;
"a" "b" "c" "d" "e" "i" "m" "q" 1; "b" "c" "g" "l" "s" "w" "z" 1; "c" "h" "n" 2; "d" "g" "n" "q" "v" "x" 2; "e" "a" "b" "e" "j" "o" "s" "u" 1;
"a" "b" "c" "d" "e" "i" "m" "q" 1; "b" "c" "e" "g" "l" "p" "s" "w" "z" 1; "c" "h" "n" "r" 2; "d" "q" 3; "e" "j" 2;
"a" "b" "c" "d" "e" "i" "m" "q" 1; "b" "c" "e" "g" "l" "p" "s" "w" "z" 1; "c" "h" "n" "r" 2; "d" "q" 3; "e" "j" 2;
"a" "b" "c" "d" "e" "i" "m" "q" 1; "b" "c" "e" "g" "l" "p" "s" "w" "z" 1; "c" "h" "n" "r" 2; "d" "q" 3; "e" "j" 2;
"a" "b" "c" "d" "e" "i" "m" "q" 1; "b" "s" 2; "c" "h" "n" "r" 2; "d" "q" 3; "e" "j" 2;
"a" "b" "c" "d" "e" "i" "m" "q" 1; "b" "l" "s" 2; "c" "h" "n" "r" 2; "d" "q" 3; "e" "j" 2;
"a" "b" "c" "d" "e" "i" "m" "q" 1; "b" "l" "s" 2; "c" "h" "n" "r" 2; "d" "q" 3; "e" "j" 2;
"a" "b" "c" "d" "e" "i" "m" "q" "z" 1; "b" "l" "s" 2; "c" "h" "n" "r" 2; "d" "q" 3; "e" "j" 2;
"a" "b" "c" "d" "e" "i" "m" "q" "z" 1; "b" "l" "s" 2; "c" "h" "n" "r" 2; "d" "q" 3; "e" "j" 2;
"a" "b" "c" "d" "e" "i" "m" "q" "z" 1; "b" "l" "s" 2; "c" "h" "n" "r" 2; "d" "n" "q" 3; "e" "j" 2;
"a" "b" "c" "d" "e" "i" "m" "q" "z" 1; "b" "l" "s" 2; "c" "h" "n" "r" 2; "d" "n" "q" 3; "e" "j" 2;
"a" "b" "c" "d" "e" "i" "m" "q" "z" 1; "b" "l" 3; "c" "h" "n" "r" 2; "d" "n" "q" 3; "e" "j" 2;
"a" "d" 2; "b" "l" "s" 2; "c" "h" "n" "r" 2; "d" "n" 4; "e" "j" 2;
"a" "d" 2; "b" "l" "s" 2; "c" "h" "n" "r" 2; "d" "n" 4; "e" "j" 2;
"a" "d" 2; "b" "l" "s" 2; "c" "h" "n" "r" 2; "d" "n" 4; "e" "j" 2;
"a" "d" 2; "b" "l" "s" 2; "c" "h" "n" "r" 2; "d" "n" 4; "e" "j" 2;
"a" "d" 2; "b" "l" "s" "w" 2; "c" "h" "n" "r" 2; "d" "n" 4; "e" "b" "j" 2;
"a" "d" 2; "b" "l" "s" "w" 2; "c" "h" "n" "r" 2; "d" "n" 4; "e" "b" "j" 2;
"a" "d" 2; "b" "l" "s" "w" 2; "c" "h" "n" "r" 2; "d" "n" 4; "e" "b" "j" 2;
"a" "d" 2; "b" "l" "s" "w" 2; "c" "h" "n" "r" 2; "d" "n" 4; "e" "b" "j" 2;
"a" "d" 2; "b" "l" "s" "w" 2; "c" "h" "n" "r" 2; "d" "n" 4; "e" "b" "j" 2;
"a" "d" 2; "b" "l" "s" "w" 2; "c" "h" "n" "r" 2; "d" "n" 4; "e" "b" "j" 2;
"a" "d" 2; "b" "l" "s" "w" 2; "c" "h" "n" "r" 2; "d" "n" 4; "e" "b" "j" 2;
"a" "d" 2; "b" "l" "s" "w" 2; "c" "h" "n" "r" 2; "d" "n" 4; "e" "b" "j" 2;
"a" "d" 2; "b" "l" "s" "w" 2; "c" "h" "n" "r" 2; "d" "n" 4; "e" "b" "j" 2;
"a" "d" 2; "b" "l" "s" "w" 2; "c" "h" "n" "r" "t" 2; "d" "n" 4; "e" "b" "j" 2;
"a" "d" 2; "b" "l" "s" "w" 2; "c" "h" "n" "r" "t" 2; "d" "n" 4; "e" "b" "j" 2;
"a" "d" 2; "b" "l" "s" "w" 2; "c" "h" "n" "r" "t" 2; "d" "n" 4; "e" "b" "j" "m" 2;
"a" "d" 2; "b" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "b" "j" "m" "s" 2;
"a" "d" 2; "b" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "b" "j" "m" "s" 2;
"a" "d" 2; "b" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "b" "j" "m" "s" 2;
"a" "d" 2; "b" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "b" "j" "m" "s" 2;
"a" "d" 2; "b" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "j" 3;
"a" "d" "t" 2; "b" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "j" 3;
"a" "d" "t" 2; "b" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "j" 3;
"a" "d" "t" 2; "b" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "j" 3;
"a" "d" "t" 2; "b" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "j" 3;
"a" "d" "t" 2; "b" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "j" 3;
"a" "d" "t" 2; "b" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "j" 3;
"a" "d" "t" 2; "b" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "j" 3;
"a" "d" "q" "t" 2; "b" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "j" 3;
"a" "d" "q" "t" 2; "b" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "j" 3;
"a" "d" "k" "q" "t" 2; "b" "h" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "j" 3;
"a" "d" "k" "q" "t" 2; "b" "h" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "j" 3;
"a" "d" "k" "q" "t" 2; "b" "h" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "j" 3;
"a" "d" "k" "q" "t" 2; "b" "h" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "j" 3;
"a" "d" "k" "q" "t" 2; "b" "h" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "j" 3;
"a" "d" "k" "q" "t" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "j" 3;
"a" "d" "k" "q" "t" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "j" 3;
"a" "d" "k" "q" "t" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "j" 3;
"a" "d" "k" "q" "t" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "j" 3;
"a" "d" "k" "q" "t" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 4; "e" "j" 3;
"a" "d" "k" "q" "t" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" 3;
"a" "d" "k" "q" "t" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" 3;
"a" "d" "k" "q" "t" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" 3;
"a" "d" "k" "q" "t" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" 3;
"a" "d" "k" "q" "t" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" 3;
"a" "d" "k" "q" "t" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" 3;
"a" "d" "k" "q" "t" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" 3;
"a" "d" "k" "q" "t" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" 3;
"a" "d" "k" "q" "t" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" 3;
"a" "d" "k" "q" "t" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" 3;
"a" "d" "k" "q" "t" "z" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" 3;
"a" "d" "k" "q" "t" "z" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" 3;
"a" "d" "k" "q" "t" "z" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" 3;
"a" "d" "k" "q" "t" "z" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "k" "q" "t" "z" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "k" "q" "t" "z" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "k" "q" "t" "z" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "k" "q" "t" "z" 2; "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "k" "t" "z" 2; "b" "a" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "k" "t" "z" 2; "b" "a" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "k" "t" "z" 2; "b" "a" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "k" "t" "z" 2; "b" "a" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "k" "t" "z" 2; "b" "a" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "k" "t" "z" 2; "b" "a" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "k" "t" "z" 2; "b" "a" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "k" "t" "z" 2; "b" "a" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "k" "t" "z" 2; "b" "a" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "k" "t" "z" 2; "b" "a" "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "k" "t" "z" 2; "b" "a" "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "k" "t" "z" 2; "b" "a" "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "k" "t" "z" 2; "b" "a" "b" "e" "h" "s" "w" 2; "c" "n" 3; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" 3; "b" "a" "b" "e" "h" "s" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" 3; "b" "a" "b" "e" "h" "s" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" 3; "b" "a" "b" "e" "h" "s" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" 3; "b" "a" "b" "e" "h" "i" "s" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" 3; "b" "a" "b" "e" "h" "i" "s" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" 3; "b" "a" "b" "e" "h" "i" "s" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" 3; "b" "a" "b" "e" "h" "i" "s" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" 3; "b" "a" "b" "e" "h" "i" "s" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" 3; "b" "a" "b" "e" "h" "i" "s" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" 3; "b" "a" "b" "e" "h" "i" "s" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" 3; "b" "a" "b" "e" "h" "i" "s" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" 3; "b" "a" "b" "e" "h" "i" "s" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" 3; "b" "a" "b" "e" "h" "i" "s" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" 3; "b" "a" "b" "e" "h" "i" "s" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" 3; "b" "a" "b" "e" "h" "i" "s" "u" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" 3; "b" "a" "b" "e" "h" "i" "s" "u" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" 3; "b" "a" "b" "e" "h" "i" "s" "u" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" 3; "b" "a" "b" "e" "h" "i" "s" "u" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" 3; "b" "a" "b" "e" "h" "i" "s" "u" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "q" 3; "b" "a" "b" "e" "h" "i" "s" "u" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "q" 3; "b" "a" "b" "e" "h" "i" "s" "u" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "q" 3; "b" "a" "b" "e" "h" "i" "s" "u" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "q" 3; "b" "a" "b" "e" "h" "i" "s" "u" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "q" 3; "b" "a" "b" "e" "h" "i" "s" "u" "w" 2; "c" "n" 4; "d" "n" 5; "e" "j" "m" "s" 3;
"a" "d" "q" 3; "b" "a" "b" "e" "h" "i" "s" "u" "w" 2; "c" "n" 4; "d" "n" 5; "e" "d" "j" "m" "s" 3;
"a" "d" "q" 3; "b" "a" "b" "e" "h" "i" "s" "u" "w" 2; "c" "n" 4; "d" "n" 5; "e" "d" "j" "m" "s" 3;
"a" "d" "q" 3; "b" "a" "b" "e" "h" "i" "s" "u" "w" 2; "c" "n" 4; "d" "n" 5; "e" "d" "j" "m" "s" 3;
"a" "d" "q" 3; "b" "a" "b" "e" "h" "i" "s" "u" "w" 2; "c" "n" 4; "d" "n" 5; "e" "d" "j" "m" "s" 3;
"a" "d" "q" 3; "b" "a" "b" "e" "h" "i" "s" "u" "w" 2; "c" "n" 4; "d" "n" 5; "e" "d" "j" "m" "s" 3;
"a" "d" "q" 3; "b" "h" 3; "c" "n" 4; "d" "n" 5; "e" "d" "j" "m" "s" 3;
"a" "d" "q" 3; "b" "h" 3; "c" "n" 4; "d" "n" 5; "e" "d" "j" "m" "s" 3;
"a" "d" "q" 3; "b" "h" 3; "c" "n" 4; "d" "n" 5; "e" "d" "j" "m" "s" 3;
"a" "d" "q" 3; "b" "h" 3; "c" "n" 4; "d" "n" 5; "e" "d" "j" "m" "s" 3;
"a" "d" "q" 3; "b" "h" 3; "c" "n" 4; "d" "n" 5; "e" "d" "j" "m" "s" 3;
"a" "d" "q" 3; "b" "h" 3; "c" "n" 4; "d" "n" 5; "e" "d" "j" "m" "s" 3;
"a" "d" "q" 3; "b" "h" 3; "c" "n" 4; "d" "n" 5; "e" "d" "j" "m" "s" 3;
"a" "d" "q" 3; "b" "h" 3; "c" "n" 4; "d" "n" 5; "e" "d" "j" "m" "s" 3;
"a" "d" "q" 3; "b" "h" 3; "c" "n" 4; "d" "n" 5; "e" "d" "j" "m" "s" 3;
"a" "d" "q" 3; "b" "h" 3; "c" "n" 4; "d" "n" 5; "e" "d" "j" "m" "s" 3;
"a" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" 5; "e" "d" "j" "m" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" 5; "e" "d" "j" "m" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" 5; "e" "d" "j" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" 5; "e" "d" "j" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
