none
none
none
none
none
none
none
none
"b" "r" 1;
"b" "r" 1; "c" "s" 1;
"b" "r" 1; "c" "s" 1;
"b" "b" "r" 1; "c" "s" 1;
"b" "b" "r" 1; "c" "s" 1;
"a" "v" 1; "b" "b" "r" 1; "c" "s" 1;
"a" "v" 1; "b" "b" "r" "z" 1; "c" "s" 1;
"a" "j" "v" 1; "b" "b" "r" "z" 1; "c" "s" 1;
"a" "j" "v" 1; "b" "b" "r" "z" 1; "c" "s" 1; "e" "j" 1;
"a" "j" "v" 1; "b" "b" 2; "c" "s" 1; "e" "j" 1;
"a" "j" "v" 1; "b" "b" 2; "c" "s" 1; "e" "j" 1;
"a" "j" "v" 1; "b" "b" 2; "c" "s" 1; "e" "j" 1;
"a" "j" "v" 1; "b" "b" 2; "c" "s" 1; "e" "j" 1;
"a" "j" "v" 1; "b" "b" 2; "c" "s" 1; "e" "j" 1;
"a" "f" "j" "u" "v" 1; "b" "a" "b" 2; "c" "b" "s" 1; "d" "b" "z" 2; "e" "e" "j" "n" "r" "x" 1;
"a" "f" "j" "u" "v" 1; "b" "a" "b" 2; "c" "b" "s" 1; "d" "b" "z" 2; "e" "e" "j" "n" "r" "x" 1;
"a" "f" "j" "u" "v" 1; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "b" "z" 2; "e" "e" "j" "n" "r" "x" 1;
"a" "f" "j" "u" "v" 1; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "b" "r" "z" 2; "e" "e" "j" "n" "r" "x" 1;
"a" "f" "j" "u" "v" 1; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "b" "r" "z" 2; "e" "e" "j" "n" "r" "x" 1;
"a" "f" "j" "p" "u" "v" 1; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "b" "r" "z" 2; "e" "e" "i" "j" "n" "r" "x" 1;
"a" "f" "j" "p" "u" "v" 1; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "b" "r" "z" 2; "e" "e" "i" "j" "n" "r" "x" 1;
"a" "u" 2; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "b" "r" "z" 2; "e" "e" "i" "j" "n" "r" "x" 1;
"a" "u" 2; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "b" "r" "z" 2; "e" "e" "i" "j" "n" "r" "x" 1;
"a" "u" 2; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "b" "r" "z" 2; "e" "e" "i" "j" "n" "r" "x" 1;
"a" "u" 2; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "b" "r" "z" 2; "e" "e" "i" "j" "n" "r" "x" 1;
"a" "u" 2; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "b" "r" "z" 2; "e" "e" "i" "j" "n" "r" "x" 1;
"a" "u" 2; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "b" "r" "z" 2; "e" "e" "i" "j" "n" "r" "x" 1;
"a" "u" 2; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "b" "r" "z" 2; "e" "e" "i" "j" "n" "r" "x" 1;
"a" "u" 2; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "b" "r" "z" 2; "e" "e" "i" "j" "n" "r" "x" 1;
"a" "u" 2; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "b" "r" "z" 2; "e" "e" "i" "j" "n" "r" "x" 1;
"a" "u" 2; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "b" "r" "z" 2; "e" "a" "e" "i" "j" "n" "r" "x" 1;
"a" "f" "u" 2; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "b" "r" "z" 2; "e" "a" "e" "i" "j" "n" "r" "x" "y" 1;
"a" "f" "u" 2; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "b" "r" "z" 2; "e" "a" "e" "i" "j" "n" "r" "x" "y" 1;
"a" "f" "u" "w" 2; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "b" "r" "z" 2; "e" "a" "e" "i" "j" "n" "r" "x" "y" 1;
"a" "f" "u" "w" 2; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "b" "r" "z" 2; "e" "a" "e" "i" "j" "n" "r" "x" "y" 1;
"a" "f" "j" "u" "w" 2; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "b" "r" "z" 2; "e" "a" "e" "i" "j" "n" "p" "r" "x" "y" 1;
"a" "f" "j" "u" "w" 2; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "b" "r" "z" 2; "e" "a" "e" "i" "j" "n" "p" "r" "x" "y" 1;
"a" "f" "j" "u" "w" 2; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "r" 3; "e" "a" "e" "i" "j" "n" "o" "p" "r" "x" "y" 1;
"a" "f" "j" "u" "w" 2; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "r" 3; "e" "a" "e" "i" "j" "n" "o" "p" "r" "x" "y" 1;
"a" "f" "j" "u" "w" 2; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "r" 3; "e" "a" "e" "i" "j" "n" "o" "p" "r" "x" "y" 1;
"a" "f" 3; "b" "a" "b" 2; "c" "b" "s" "u" 1; "d" "r" 3; "e" "a" "e" "i" "j" "n" "o" "p" "r" "x" "y" 1;
"a" "f" 3; "b" "b" 3; "c" "b" "s" "u" 1; "d" "r" 3; "e" "a" "e" "i" "j" "n" "o" "p" "r" "x" "y" 1;
"a" "f" 3; "b" "b" 3; "c" "b" "s" "u" 1; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "x" "y" 1;
"a" "f" 3; "b" "b" 3; "c" "b" "s" "u" 1; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "x" "y" 1;
"a" "f" 3; "b" "b" 3; "c" "b" "s" "u" 1; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "x" "y" 1;
"a" "f" 3; "b" "b" 3; "c" "b" "s" "u" 1; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "x" "y" 1;
"a" "f" "u" 3; "b" "b" 3; "c" "b" "s" "u" 1; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "x" "y" "z" 1;
"a" "f" "u" 3; "b" "b" 3; "c" "b" "s" "u" 1; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "x" "y" "z" 1;
"a" "f" "u" 3; "b" "b" 3; "c" "b" "s" "u" 1; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "x" "y" "z" 1;
"a" "f" "u" 3; "b" "b" 3; "c" "b" "s" "u" 1; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "v" "x" "y" "z" 1;
"a" "f" "u" 3; "b" "b" 3; "c" "b" "s" "u" 1; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "v" "x" "y" "z" 1;
"a" "f" "u" 3; "b" "b" 3; "c" "b" "c" "m" "n" "s" "u" 1; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "v" "x" "y" "z" 1;
"a" "f" "u" 3; "b" "a" "b" 3; "c" "m" "u" 2; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "v" "x" "y" "z" 1;
"a" "f" "u" 3; "b" "a" "b" 3; "c" "m" "u" 2; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "v" "x" "y" "z" 1;
"a" "f" "u" 3; "b" "a" "b" 3; "c" "m" "u" 2; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "v" "x" "y" "z" 1;
"a" "f" "u" 3; "b" "a" "b" 3; "c" "m" 3; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "v" "x" "y" "z" 1;
"a" "f" "u" 3; "b" "a" "b" 3; "c" "m" 3; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "v" "x" "y" "z" 1;
"a" "f" "u" 3; "b" "a" "b" 3; "c" "m" 3; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "v" "x" "y" "z" 1;
"a" "f" "u" 3; "b" "a" "b" 3; "c" "m" 3; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "v" "x" "y" "z" 1;
"a" "f" "u" 3; "b" "a" "b" 3; "c" "m" 3; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "v" "x" "y" "z" 1;
"a" "f" "u" 3; "b" "a" "b" 3; "c" "m" 3; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "v" "x" "y" "z" 1;
"a" "f" "u" 3; "b" "a" "b" 3; "c" "m" 3; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "v" "w" "x" "y" "z" 1;
"a" "f" "u" 3; "b" "a" "b" 3; "c" "m" 3; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "v" "w" "x" "y" "z" 1;
"a" "f" "u" 3; "b" "a" "b" 3; "c" "m" 3; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "v" "w" "x" "y" "z" 1;
"a" "f" "u" 3; "b" "a" "b" 3; "c" "m" 3; "d" "r" 3; "e" "a" "b" "e" "i" "j" "n" "o" "p" "r" "v" "w" "x" "y" "z" 1;
"a" "u" 4; "b" "a" "b" 3; "c" "m" 3; "d" "r" 3; "e" "p" 2;
"a" "u" 4; "b" "a" "b" 3; "c" "m" 3; "d" "r" 3; "e" "p" 2;
"a" "u" 4; "b" "a" "b" 3; "c" "m" 3; "d" "r" 3; "e" "p" 2;
"a" "u" 4; "b" "a" "b" 3; "c" "m" 3; "d" "r" 3; "e" "p" 2;
"a" "u" 4; "b" "a" "b" 3; "c" "m" 3; "d" "r" 3; "e" "p" 2;
"a" "u" 4; "b" "a" "b" 3; "c" "m" 3; "d" "r" 3; "e" "p" "w" 2;
"a" "u" 4; "b" "a" "b" 3; "c" "m" 3; "d" "r" 3; "e" "p" "w" 2;
"a" "u" 4; "b" "a" "b" 3; "c" "m" 3; "d" "r" 3; "e" "p" "w" 2;
"a" "u" 4; "b" "a" "b" 3; "c" "m" 3; "d" "r" 3; "e" "p" "w" 2;
"a" "u" 4; "b" "a" "b" 3; "c" "m" 3; "d" "r" 3; "e" "p" "w" 2;
"a" "u" 4; "b" "a" "b" 3; "c" "m" 3; "d" "r" 3; "e" "p" "w" 2;
"a" "u" 4; "b" "a" "b" 3; "c" "m" 3; "d" "r" "z" 3; "e" "p" "w" 2;
"a" "u" 4; "b" "a" "b" 3; "c" "m" 3; "d" "r" "z" 3; "e" "p" "w" 2;
"a" "u" 4; "b" "a" "b" 3; "c" "m" 3; "d" "r" "z" 3; "e" "p" "w" 2;
"a" "u" 4; "b" "a" "b" 3; "c" "m" 3; "d" "r" "z" 3; "e" "p" "w" 2;
"a" "u" 4; "b" "b" 4; "c" "m" 3; "d" "r" "z" 3; "e" "p" "w" 2;
"a" "u" 4; "b" "b" 4; "c" "m" 3; "d" "r" "z" 3; "e" "e" "p" "r" "w" 2;
"a" "u" 4; "b" "b" 4; "c" "m" 3; "d" "r" "z" 3; "e" "e" "p" "r" "w" 2;
"a" "u" 4; "b" "b" 4; "c" "m" 3; "d" "r" "z" 3; "e" "e" "p" "r" "w" 2;
"a" "u" 4; "b" "b" 4; "c" "m" 3; "d" "r" "z" 3; "e" "e" "p" "r" "w" 2;
"a" "u" 4; "b" "b" 4; "c" "m" 3; "d" "r" "z" 3; "e" "e" "p" "r" "w" 2;
"a" "u" 4; "b" "b" 4; "c" "m" 3; "d" "r" "z" 3; "e" "e" "p" "r" "w" 2;
"a" "u" 4; "b" "b" 4; "c" "m" 3; "d" "r" "z" 3; "e" "e" "p" "r" "w" 2;
"a" "u" 4; "b" "b" 4; "c" "m" 3; "d" "r" "z" 3; "e" "e" "p" "r" "w" 2;
"a" "u" 4; "b" "b" 4; "c" "m" 3; "d" "r" "z" 3; "e" "e" "p" "r" "w" 2;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" "z" 3; "e" "e" "p" "r" 2;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" "z" 3; "e" "e" "p" "r" 2;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" "z" 3; "e" "e" "p" "r" 2;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" "z" 3; "e" "e" "p" "r" 2;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" 3; "d" "r" 4; "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" "u" 3; "d" "r" 5; "e" "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" "u" 3; "d" "r" 5; "e" "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" "u" 3; "d" "r" 5; "e" "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" 4; "c" "m" "u" 3; "d" "r" 5; "e" "e" "p" "r" 3;
"a" "u" 4; "b" "a" "b" "j" 3; "c" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" 3; "c" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" 3; "c" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" 3; "c" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" 3; "c" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" 3; "c" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" 3; "c" "f" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" 3; "c" "f" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" "u" 3; "c" "f" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" "u" 3; "c" "f" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" "u" 3; "c" "f" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" "u" 3; "c" "f" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" "u" 3; "c" "f" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" "u" 3; "c" "f" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" "u" 3; "c" "f" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" "u" 3; "c" "f" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" "u" 3; "c" "f" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" "u" 3; "c" "f" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" "u" 3; "c" "f" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" "u" 3; "c" "f" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" "u" 3; "c" "f" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" "u" 3; "c" "f" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" "u" 3; "c" "f" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" "u" 3; "c" "f" "u" 3; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" "u" 3; "c" "u" 4; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" "u" 3; "c" "u" 4; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" "u" 3; "c" "u" 4; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" "u" 3; "c" "u" 4; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" "o" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" "o" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" "o" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" "o" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" "o" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" "o" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" "o" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "j" "o" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "p" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "p" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "p" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "p" "u" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
