none
none
none
none
none
none
none
none
"b" "l" 1; "c" "w" 1; "d" "v" 1;
"b" "l" 1; "c" "w" 1; "d" "v" 1;
"b" "l" 1; "c" "w" 1; "d" "v" 1;
"b" "l" 1; "c" "w" 1; "d" "v" 1;
"b" "l" 1; "c" "w" 1; "d" "v" 1;
"b" "l" 1; "c" "w" 1; "d" "v" 1;
"a" "k" 1; "b" "l" "r" 1; "c" "w" 1; "d" "v" 1;
"a" "k" 1; "b" "l" "r" 1; "c" "w" 1; "d" "v" 1;
"a" "k" 1; "b" "l" "r" 1; "c" "w" 1; "d" "v" 1;
"a" "k" 1; "b" "l" "r" 1; "c" "w" 1; "d" "v" 1;
"a" "k" 1; "b" "l" "r" 1; "c" "h" "v" "w" 1; "d" "v" 1;
"a" "k" 1; "b" "l" "r" 1; "c" "h" "v" "w" 1; "d" "v" 1;
"a" "k" 1; "b" "l" "r" 1; "c" "h" "v" "w" 1; "d" "v" 1;
"a" "k" 1; "b" "l" "r" 1; "c" "h" "v" "w" 1; "d" "v" 1;
"a" "c" "k" 1; "b" "l" "r" 1; "c" "h" "o" "v" "w" 1; "d" "v" 1;
"a" "c" "k" 1; "b" "l" "r" 1; "c" "h" "o" "v" "w" 1; "d" "v" 1;
"a" "c" "k" 1; "b" "l" "r" 1; "c" "h" "o" "v" "w" 1; "d" "v" 1;
"a" "c" "j" "k" 1; "b" "l" "r" 1; "c" "h" "o" "s" "v" "w" 1; "d" "g" "m" "v" "x" 1; "e" "e" 1;
"a" "c" "j" "k" 1; "b" "l" "r" 1; "c" "h" "o" "s" "v" "w" 1; "d" "g" "m" "v" "x" 1; "e" "e" 1;
"a" "c" "j" "k" 1; "b" "g" "l" "r" 1; "c" "h" "o" "s" "v" "w" 1; "d" "g" "m" "v" "x" 1; "e" "e" 1;
"a" "c" "j" "k" "l" 1; "b" "g" "l" "r" 1; "c" "h" "o" "s" "v" "w" 1; "d" "g" "m" "v" "x" 1; "e" "e" 1;
"a" "c" "j" "k" "l" 1; "b" "g" "l" "r" 1; "c" "h" "o" "s" "v" "w" 1; "d" "g" "m" "v" "x" 1; "e" "e" 1;
"a" "c" "j" "k" "l" 1; "b" "g" "l" "r" 1; "c" "h" 2; "d" "g" "m" "v" "x" 1; "e" "e" 1;
"a" "b" "c" "j" "k" "l" 1; "b" "r" 2; "c" "h" 3; "d" "g" "m" "v" "x" 1; "e" "c" "e" 1;
"a" "b" "c" "j" "k" "l" 1; "b" "r" 2; "c" "h" 3; "d" "g" "m" "v" "x" 1; "e" "c" "e" 1;
"a" "b" "c" "j" "k" "l" 1; "b" "r" 2; "c" "h" 3; "d" "g" "m" "v" "x" 1; "e" "c" "e" 1;
"a" "b" "c" "j" "k" "l" 1; "b" "r" 2; "c" "h" 3; "d" "g" "m" "v" "x" 1; "e" "c" "e" 1;
"a" "b" "c" "j" "k" "l" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" "o" "v" "x" 1; "e" "c" "e" 1;
"a" "b" "c" "j" "k" "l" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" "o" "v" "x" 1; "e" "c" "e" 1;
"a" "b" "c" "j" "k" "l" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" "o" "v" "x" 1; "e" "c" "e" 1;
"a" "b" "c" "j" "k" "l" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" "o" "v" "x" 1; "e" "c" "e" 1;
"a" "b" "c" "j" "k" "l" "m" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" "o" "v" "x" 1; "e" "c" "e" "v" 1;
"a" "b" "c" "j" "k" "l" "m" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" "o" "v" "x" 1; "e" "c" "e" "v" 1;
"a" "b" "c" "j" "k" "l" "m" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" "o" "v" "x" 1; "e" "c" "e" "v" 1;
"a" "b" "c" "j" "k" "l" "m" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" "o" "v" "x" 1; "e" "c" "e" "v" 1;
"a" "b" "c" "j" "k" "l" "m" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" "o" "v" "x" 1; "e" "c" "e" "v" 1;
"a" "b" "c" "j" "k" "l" "m" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" "o" "v" "x" 1; "e" "c" "e" "v" 1;
"a" "b" "c" "j" "k" "l" "m" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" "o" "v" "x" 1; "e" "c" "e" "v" "w" 1;
"a" "b" "c" "j" "k" "l" "m" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" "o" "v" "x" 1; "e" "c" "e" "v" "w" 1;
"a" "b" "c" "j" "k" "l" "m" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" "o" "v" "x" 1; "e" "c" "e" "v" "w" 1;
"a" "b" "c" "f" "j" "k" "l" "m" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" "o" "v" "x" 1; "e" "c" "e" "v" "w" 1;
"a" "b" "c" "f" "j" "k" "l" "m" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" "o" "v" "x" 1; "e" "c" "e" "v" "w" 1;
"a" "b" "c" "f" "j" "k" "l" "m" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" "o" "v" "x" 1; "e" "c" "e" "v" "w" 1;
"a" "b" "c" "f" "j" "k" "l" "m" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" "o" "v" "x" 1; "e" "c" "e" "v" "w" "x" 1;
"a" "b" "c" "f" "j" "k" "l" "m" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" "o" "v" "x" 1; "e" "c" "e" "v" "w" "x" 1;
"a" "b" "c" "f" "j" "k" "l" "m" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" "o" "v" "x" 1; "e" "c" "e" "v" "w" "x" 1;
"a" "b" "c" "f" "j" "k" "l" "m" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" "o" "v" "x" 1; "e" "c" "e" "v" "w" "x" 1;
"a" "b" "c" "f" "j" "k" "l" "m" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" 2; "e" "c" "e" "v" "w" "x" 1;
"a" "b" "c" "f" "j" "k" "l" "m" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" 2; "e" "c" 2;
"a" "b" "c" "f" "j" "k" "l" "m" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" 2; "e" "c" 2;
"a" "b" "c" "f" "j" "k" "l" "m" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" 2; "e" "c" 2;
"a" "b" "c" "f" "j" "k" "l" "m" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" 2; "e" "c" 2;
"a" "b" "c" "f" "j" "k" "l" "m" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" 2; "e" "c" 2;
"a" "b" "c" "f" "j" "k" "l" "m" "v" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" 2; "e" "c" 2;
"a" "b" "c" "f" "j" "k" "l" "m" "v" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" 2; "e" "c" 2;
"a" "b" "c" "f" "j" "k" "l" "m" "v" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" 2; "e" "c" 2;
"a" "b" "c" "f" "j" "k" "l" "m" "v" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" 2; "e" "c" 2;
"a" "b" "c" "f" "j" "k" "l" "m" "v" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" 2; "e" "c" 2;
"a" "b" "c" "f" "j" "k" "l" "m" "v" 1; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" 2; "e" "c" 2;
"a" "m" 2; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" 2; "e" "c" "w" 2;
"a" "m" 2; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" 2; "e" "c" "w" 2;
"a" "m" 2; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" 2; "e" "c" "w" 2;
"a" "m" 2; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" 2; "e" "c" "w" 2;
"a" "m" 2; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" "o" 2; "e" "c" "w" 2;
"a" "m" 2; "b" "l" "r" 2; "c" "h" 3; "d" "g" "m" "o" 2; "e" "c" "w" 2;
"a" "m" 2; "b" "l" "r" 2; "c" "h" 3; "d" "b" "g" "m" "o" 2; "e" "c" "w" 2;
"a" "m" 2; "b" "l" "r" 2; "c" "h" 3; "d" "b" "g" "m" "o" 2; "e" "c" "w" 2;
"a" "m" 2; "b" "l" "r" 2; "c" "h" 3; "d" "b" "g" "o" 2; "e" "c" "w" 2;
"a" "m" 2; "b" "l" "r" 2; "c" "h" 3; "d" "b" "g" "o" 2; "e" "c" "w" 2;
"a" "m" 2; "b" "l" "r" 2; "c" "h" 3; "d" "b" "g" "o" 2; "e" "c" "w" 2;
"a" "m" 2; "b" "l" "r" 2; "c" "h" 3; "d" "b" "g" "o" 2; "e" "c" "w" 2;
"a" "m" "v" 2; "b" "l" "r" 2; "c" "h" 3; "d" "b" "g" "o" 2; "e" "c" "w" 2;
"a" "m" "v" 2; "b" "l" "r" 2; "c" "h" 3; "d" "b" "g" "o" 2; "e" "c" "w" 2;
"a" "m" "v" 2; "b" "l" "r" "y" 2; "c" "h" 3; "d" "b" "g" "o" 2; "e" "c" "w" 2;
"a" "m" "v" 2; "b" "l" "r" "y" 2; "c" "h" 3; "d" "b" "g" "o" 2; "e" "c" "w" 2;
"a" "m" "v" 2; "b" "l" "r" "y" 2; "c" "h" 3; "d" "b" "g" "o" 2; "e" "c" "w" 2;
"a" "m" "v" 2; "b" "l" "r" "y" 2; "c" "h" 3; "d" "b" "g" "o" 2; "e" "c" "w" 2;
"a" "m" "v" 2; "b" "l" "r" "y" 2; "c" "h" 3; "d" "b" "g" "o" 2; "e" "c" "w" 2;
"a" "m" "v" 2; "b" "l" "r" "y" 2; "c" "h" 3; "d" "b" "g" "o" 2; "e" "c" "w" 2;
"a" "m" "v" 2; "b" "l" "r" "y" 2; "c" "h" 3; "d" "b" "g" "o" 2; "e" "c" "w" 2;
"a" "m" "v" 2; "b" "l" "r" "y" 2; "c" "h" 3; "d" "b" "g" "o" "x" 2; "e" "c" "w" 2;
"a" "m" "v" 2; "b" "l" "r" "y" 2; "c" "h" 3; "d" "b" "g" "o" "x" 2; "e" "c" "w" 2;
"a" "m" "v" 2; "b" "l" "r" "y" 2; "c" "h" 3; "d" "b" "g" "o" "x" 2; "e" "c" "w" 2;
"a" "m" "v" 2; "b" "l" "r" "y" 2; "c" "h" 3; "d" "b" "g" "o" "x" 2; "e" "c" "w" 2;
"a" "m" "v" 2; "b" "l" "r" "y" 2; "c" "h" 3; "d" "b" "g" "o" "x" 2; "e" "c" "w" 2;
"a" "m" "v" 2; "b" "l" "r" "y" 2; "c" "h" 3; "d" "b" "g" "o" "x" 2; "e" "c" "w" 2;
"a" "m" "v" 2; "b" "l" "r" "y" 2; "c" "h" 3; "d" "b" "g" "o" "x" 2; "e" "c" "w" 2;
"a" "c" "m" "v" 2; "b" "y" 3; "c" "h" 3; "d" "b" "g" "o" "x" 2; "e" "c" "w" 2;
"a" "c" "m" "v" 2; "b" "y" 3; "c" "h" 3; "d" "b" "g" "o" "x" 2; "e" "c" "w" 2;
"a" "c" "m" "v" 2; "b" "y" 3; "c" "h" 3; "d" "b" "g" "o" "x" 2; "e" "c" "w" 2;
"a" "c" "m" "v" 2; "b" "y" 3; "c" "h" 3; "d" "b" "g" "o" "x" 2; "e" "c" "w" 2;
"a" "c" "m" "v" 2; "b" "y" 3; "c" "h" 3; "d" "b" "g" "o" "x" 2; "e" "c" "w" 2;
"a" "c" "m" "v" 2; "b" "y" 3; "c" "h" 3; "d" "b" "g" "o" "x" 2; "e" "c" "w" 2;
"a" "c" "m" "v" 2; "b" "y" 3; "c" "h" "s" 3; "d" "b" "g" "o" "x" 2; "e" "c" "w" 2;
"a" "c" "m" "v" 2; "b" "y" 3; "c" "h" "s" 3; "d" "b" "g" "o" "x" 2; "e" "c" "w" 2;
"a" "c" "m" "v" 2; "b" "y" 3; "c" "h" "s" 3; "d" "b" "g" "o" "x" 2; "e" "c" "w" 2;
"a" "c" "m" "v" 2; "b" "y" 3; "c" "h" "s" 3; "d" "b" "g" "o" "x" 2; "e" "c" "e" "w" 2;
"a" "c" "m" "v" 2; "b" "y" 3; "c" "h" "s" 3; "d" "b" "g" "o" "x" 2; "e" "c" "e" "w" 2;
"a" "c" "m" "v" 2; "b" "y" 3; "c" "h" "s" 3; "d" "b" "g" "o" "x" 2; "e" "c" "e" "w" 2;
"a" "c" "m" "v" 2; "b" "y" 3; "c" "h" "s" 3; "d" "b" "g" "o" "x" 2; "e" "c" "e" "w" 2;
"a" "c" "m" "v" 2; "b" "y" 3; "c" "h" "s" 3; "d" "b" "g" "o" "x" 2; "e" "c" "e" "w" 2;
"a" "c" "m" "v" 2; "b" "y" 3; "c" "h" "s" 3; "d" "b" "g" "o" "x" 2; "e" "c" "e" "w" 2;
"a" "b" "c" "m" "v" 2; "b" "y" 3; "c" "h" "s" 3; "d" "b" "g" "o" "x" 2; "e" "c" "e" "w" 2;
"a" "b" "c" "m" "v" 2; "b" "y" 3; "c" "h" "s" 3; "d" "b" "e" "g" "o" "x" 2; "e" "e" 3;
"a" "b" "c" "m" "v" 2; "b" "y" 3; "c" "h" "s" 3; "d" "b" "e" "g" "o" "x" 2; "e" "e" 3;
"a" "b" "c" "m" "v" 2; "b" "y" 3; "c" "h" "s" 3; "d" "b" "e" "g" "o" "x" 2; "e" "e" 3;
"a" "b" "c" "m" "v" 2; "b" "y" 3; "c" "h" "s" 3; "d" "b" "e" "g" "o" "x" 2; "e" "e" 3;
"a" "b" "c" "m" "v" 2; "b" "y" 3; "c" "h" "s" 3; "d" "b" "e" "g" "o" "x" 2; "e" "e" 3;
"a" "b" "c" "k" "m" "v" 2; "b" "y" 3; "c" "h" "s" 3; "d" "o" 3; "e" "e" 3;
"a" "b" 3; "b" "y" 3; "c" "h" "s" 3; "d" "o" 3; "e" "e" 3;
"a" "b" 3; "b" "y" 3; "c" "h" "s" 3; "d" "o" 3; "e" "e" 3;
"a" "b" 3; "b" "y" 3; "c" "h" "s" 3; "d" "o" 3; "e" "e" 3;
"a" "b" 3; "b" "y" 3; "c" "h" "s" 3; "d" "o" 3; "e" "e" 3;
"a" "b" 3; "b" "y" 3; "c" "h" "s" 3; "d" "o" "v" 3; "e" "e" 3;
"a" "b" 3; "b" "y" 3; "c" "h" "s" 3; "d" "o" "v" 3; "e" "e" 3;
"a" "b" 3; "b" "y" 3; "c" "h" "s" 3; "d" "o" "v" 3; "e" "e" 3;
"a" "b" 3; "b" "y" 3; "c" "h" "s" 3; "d" "o" "v" 3; "e" "e" 3;
"a" "b" 3; "b" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" 3; "b" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" 3; "b" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" 3; "b" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" 3; "b" "l" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "r" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "r" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "r" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "r" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "r" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "r" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "r" "y" 3; "c" "h" "s" 3; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "r" "y" 3; "c" "h" 4; "d" "e" "o" "v" 3; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "r" "y" 3; "c" "h" 4; "d" "v" 4; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "r" "y" 3; "c" "h" 4; "d" "v" 4; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "r" "y" 3; "c" "h" 4; "d" "v" 4; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "r" "y" 3; "c" "h" 4; "d" "v" 4; "e" "e" 3;
"a" "b" "v" 3; "b" "l" "r" "y" 3; "c" "h" 4; "d" "v" 4; "e" "e" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "h" 4; "d" "v" 4; "e" "e" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "h" 4; "d" "v" 4; "e" "e" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "h" 4; "d" "v" 4; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "h" 4; "d" "v" 4; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "h" 4; "d" "v" 4; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "h" 4; "d" "v" 4; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "h" 4; "d" "v" 4; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "h" 4; "d" "v" 4; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "h" 4; "d" "v" 4; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "h" 4; "d" "v" 4; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "h" 4; "d" "v" 4; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "h" 4; "d" "v" 4; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "h" 4; "d" "v" 4; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 4; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 4; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 4; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 4; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 4; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 4; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "c" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "c" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "c" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "c" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "c" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "c" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "c" "e" "k" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "c" "e" "k" "y" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "c" "e" "k" "y" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "c" "e" "k" "y" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "c" "e" "k" "y" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "c" "e" "k" "y" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "c" "e" "k" "y" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "c" "e" "k" "y" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "c" "e" "k" "y" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "c" "e" "k" "y" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "c" "e" "k" "y" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "c" "e" "k" "y" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "c" "e" "k" "y" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "c" "e" "k" "y" 3;
"a" "b" "v" 3; "b" "y" 4; "c" "a" "h" 4; "d" "v" 5; "e" "c" "e" "k" "q" "y" 3;
