none
none
none
none
none
none
none
none
none
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "c" "p" 2; "e" "t" 1;
"b" "p" 1; "c" "p" 2; "e" "t" 1;
"b" "p" 1; "c" "p" 2; "e" "t" 1;
"b" "p" 1; "c" "p" 2; "e" "t" 1;
"b" "p" 1; "c" "p" 2; "e" "t" 1;
"b" "p" 1; "c" "p" 2; "e" "t" 1;
"a" "c" 1; "b" "e" "p" 1; "c" "p" 2; "e" "t" 1;
"a" "c" "i" 1; "b" "e" "p" 1; "c" "p" 2; "e" "t" 1;
"a" "c" "i" 1; "b" "e" "p" 1; "c" "p" 2; "e" "t" 1;
"a" "c" "i" 1; "b" "e" "p" 1; "c" "p" 2; "e" "f" "t" 1;
"a" "c" "f" "i" "j" "k" "p" "r" "w" "x" "y" 1; "b" "e" "i" "p" "t" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" "z" 1;
"a" "c" "f" "i" "j" "k" "p" "r" "w" "x" "y" 1; "b" "e" "i" "p" "t" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" "z" 1;
"a" "c" "f" "i" "j" "k" "p" "r" "w" "x" "y" 1; "b" "e" "i" "p" "t" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "s" "w" 1; "e" "a" "f" "i" "t" "z" 1;
"a" "c" "f" "i" "j" "k" "p" "r" "w" "x" "y" 1; "b" "e" "i" "p" "t" "z" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "s" "w" 1; "e" "a" "f" "i" "t" "z" 1;
"a" "c" "f" "i" "j" "k" "p" "r" "w" "x" "y" 1; "b" "e" "i" "p" "t" "z" 1; "c" "p" "s" 2; "d" "a" "b" "c" "i" "m" "s" "w" 1; "e" "a" "f" "i" "t" "z" 1;
"a" "y" 2; "b" "t" 2; "c" "p" "s" 2; "d" "a" "b" "c" "i" "m" "s" "t" "w" 1; "e" "a" "f" "i" "k" "t" "z" 1;
"a" "y" 2; "b" "t" 2; "c" "p" "s" 2; "d" "a" "b" "c" "i" "m" "s" "t" "w" "y" 1; "e" "a" "f" "i" "k" "t" "z" 1;
"a" "y" 2; "b" "t" 2; "c" "p" "s" 2; "d" "a" "b" "c" "i" "m" "s" "t" "w" "y" 1; "e" "a" "f" "i" "k" "t" "x" "z" 1;
"a" "y" 2; "b" "t" 2; "c" "p" "s" 2; "d" "a" "b" "c" "i" "m" "s" "t" "w" "y" 1; "e" "a" "f" "i" "k" "t" "x" "z" 1;
"a" "y" 2; "b" "t" 2; "c" "p" "s" 2; "d" "a" "b" "c" "i" "j" "m" "s" "t" "w" "y" 1; "e" "a" "f" "i" "k" "t" "x" "z" 1;
"a" "y" 2; "b" "t" 2; "c" "p" "s" 2; "d" "a" "b" "c" "i" "j" "m" "s" "t" "w" "y" 1; "e" "a" "f" "i" "k" "t" "x" "z" 1;
"a" "y" 2; "b" "t" 2; "c" "p" "s" 2; "d" "a" "b" "c" "i" "j" "m" "s" "t" "w" "y" 1; "e" "a" "f" "i" "k" "t" "x" "z" 1;
"a" "y" 2; "b" "t" 2; "c" "p" "s" 2; "d" "a" "b" "c" "i" "j" "m" "s" "t" "w" "y" 1; "e" "a" "f" "i" "k" "t" "x" "z" 1;
"a" "y" 2; "b" "t" "z" 2; "c" "p" "s" 2; "d" "a" "b" "c" "i" "j" "m" "s" "t" "w" "y" 1; "e" "a" "f" "i" "k" "t" "x" "z" 1;
"a" "y" 2; "b" "t" "z" 2; "c" "p" "s" 2; "d" "a" "b" "c" "i" "j" "m" "s" "t" "w" "y" 1; "e" "a" "f" "i" "k" "t" "x" "z" 1;
"a" "y" 2; "b" "t" "z" 2; "c" "p" "s" 2; "d" "a" "b" "c" "i" "j" "m" "s" "t" "w" "y" 1; "e" "a" "f" "i" "k" "t" "x" "z" 1;
"a" "j" "y" 2; "b" "t" "z" 2; "c" "p" "s" 2; "d" "i" 2; "e" "a" "f" "i" "k" "m" "t" "x" "z" 1;
"a" "j" "y" 2; "b" "t" "z" 2; "c" "p" "s" 2; "d" "i" 2; "e" "a" "f" "i" "k" "m" "t" "x" "z" 1;
"a" "j" "y" 2; "b" "t" "z" 2; "c" "b" "p" "s" 2; "d" "i" 2; "e" "a" "f" "i" "k" "m" "t" "x" "z" 1;
"a" "j" "y" 2; "b" "t" "z" 2; "c" "b" "p" "s" 2; "d" "i" 2; "e" "a" "t" 2;
"a" "j" "y" 2; "b" "t" "z" 2; "c" "b" "p" "s" 2; "d" "i" 2; "e" "a" "t" 2;
"a" "j" "y" 2; "b" "t" "z" 2; "c" "b" "p" "s" 2; "d" "i" 2; "e" "a" "t" 2;
"a" "j" "r" "y" 2; "b" "t" "z" 2; "c" "b" "p" "s" 2; "d" "i" 2; "e" "a" "t" 2;
"a" "r" 3; "b" "t" "z" 2; "c" "b" "m" "p" "s" 2; "d" "i" 2; "e" "a" "t" "w" 2;
"a" "r" 3; "b" "t" "z" 2; "c" "b" "m" "p" "s" 2; "d" "i" 2; "e" "a" "t" "w" 2;
"a" "r" 3; "b" "l" "t" "z" 2; "c" "b" "m" "p" "s" 2; "d" "i" 2; "e" "a" "t" "w" 2;
"a" "r" 3; "b" "l" "t" "z" 2; "c" "b" "m" "p" "s" 2; "d" "i" 2; "e" "a" "t" "w" 2;
"a" "r" 3; "b" "l" "t" "z" 2; "c" "b" "m" "p" "s" 2; "d" "i" 2; "e" "a" "t" "w" 2;
"a" "r" 3; "b" "l" "t" "z" 2; "c" "b" "m" "p" "s" 2; "d" "i" 2; "e" "a" "t" "w" 2;
"a" "r" 3; "b" "c" "l" "t" "z" 2; "c" "b" "m" "p" "s" 2; "d" "i" 2; "e" "a" "t" "w" 2;
"a" "r" 3; "b" "c" "l" "t" "z" 2; "c" "b" "m" "p" "s" 2; "d" "i" 2; "e" "a" "t" "w" 2;
"a" "r" 3; "b" "c" "l" "t" "z" 2; "c" "b" "m" "n" "p" "s" 2; "d" "i" 2; "e" "a" "t" "w" 2;
"a" "r" 3; "b" "c" "l" "t" "z" 2; "c" "b" "m" "n" "p" "s" 2; "d" "i" 2; "e" "a" "t" "w" 2;
"a" "r" 3; "b" "c" "l" "t" "z" 2; "c" "b" "m" "n" "p" "s" 2; "d" "i" 2; "e" "a" "t" "w" 2;
"a" "r" 3; "b" "c" "l" "t" "z" 2; "c" "b" "m" "n" "p" "s" 2; "d" "i" 2; "e" "a" "t" "w" 2;
"a" "r" 3; "b" "c" "l" "n" "t" "z" 2; "c" "b" "m" "n" "p" "s" 2; "d" "i" 2; "e" "a" "t" 2;
"a" "r" 3; "b" "c" "l" "n" "t" "z" 2; "c" "b" "m" "n" "p" "s" 2; "d" "i" 2; "e" "a" "t" 2;
"a" "r" 3; "b" "c" "l" "n" "t" "z" 2; "c" "b" "m" "n" "p" "s" 2; "d" "i" 2; "e" "a" "t" 2;
"a" "r" 3; "b" "c" "l" "n" "t" "z" 2; "c" "b" "m" "n" "p" "s" 2; "d" "i" 2; "e" "a" "t" 2;
"a" "r" 3; "b" "c" "l" "n" "t" "z" 2; "c" "b" "m" "n" "p" "s" 2; "d" "i" 2; "e" "a" "t" 2;
"a" "r" 3; "b" "c" "l" "n" "t" "z" 2; "c" "b" "m" "n" "p" "s" 2; "d" "i" 2; "e" "a" "t" 2;
"a" "r" 3; "b" "c" "l" "n" "t" "z" 2; "c" "b" "m" "n" "p" "s" 2; "d" "i" 2; "e" "a" "t" 2;
"a" "r" 3; "b" "c" "l" "n" "t" "z" 2; "c" "b" "m" "n" "p" "s" 2; "d" "i" 2; "e" "a" "t" 2;
"a" "r" 3; "b" "c" "l" "n" "t" "z" 2; "c" "b" "m" "n" "p" "s" 2; "d" "i" "w" 2; "e" "a" "t" 2;
"a" "r" 3; "b" "c" "e" "l" "n" "t" "u" "z" 2; "c" "b" "m" "n" "p" "s" 2; "d" "i" "w" 2; "e" "a" "t" 2;
"a" "r" 3; "b" "c" "e" "l" "n" "t" "u" "z" 2; "c" "b" "k" "m" "n" "p" "s" 2; "d" "i" "w" 2; "e" "a" "t" 2;
"a" "r" 3; "b" "c" "e" "l" "n" "t" "u" "z" 2; "c" "b" "k" "m" "n" "p" "s" 2; "d" "i" "w" 2; "e" "a" "t" 2;
"a" "r" 3; "b" "c" "e" "l" "n" "t" "u" "z" 2; "c" "b" "k" "m" "n" "p" "s" 2; "d" "i" "w" 2; "e" "a" "t" "x" 2;
"a" "r" 3; "b" "c" "e" "l" "n" "t" "u" "z" 2; "c" "b" "k" "m" "n" "p" "s" 2; "d" "i" "w" 2; "e" "a" "t" "x" 2;
"a" "r" 3; "b" "l" 3; "c" "b" "k" "m" "n" "p" "s" 2; "d" "i" "w" 2; "e" "a" "t" "x" 2;
"a" "r" 3; "b" "l" 3; "c" "b" "k" "m" "n" "p" "s" 2; "d" "i" "w" 2; "e" "a" "t" "x" 2;
"a" "r" 3; "b" "l" 3; "c" "b" "k" "m" "n" "p" "s" 2; "d" "i" "w" 2; "e" "a" "n" "r" "t" "x" 2;
"a" "r" 3; "b" "l" 3; "c" "b" "k" "m" "n" "p" "s" 2; "d" "i" "w" 2; "e" "a" "n" "r" "t" "x" 2;
"a" "r" 3; "b" "l" 3; "c" "b" "h" "k" "m" "n" "p" 2; "d" "i" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "l" 3; "c" "b" "h" "k" "m" "n" "p" 2; "d" "i" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "l" 3; "c" "p" 3; "d" "i" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "l" 3; "c" "p" 3; "d" "i" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "l" 3; "c" "p" 3; "d" "i" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "l" 3; "c" "p" 3; "d" "i" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "l" 3; "c" "p" 3; "d" "i" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "l" 3; "c" "p" 3; "d" "e" "i" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "l" 3; "c" "p" 3; "d" "e" "i" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "l" 3; "c" "p" 4; "d" "a" "e" "i" "w" 2; "e" "r" 3;
"a" "r" 3; "b" "l" 3; "c" "p" 4; "d" "a" "e" "i" "l" "w" 2; "e" "r" "t" 3;
"a" "r" 3; "b" "l" 3; "c" "p" 4; "d" "a" "e" "i" "l" "w" 2; "e" "r" "t" 3;
"a" "r" 3; "b" "l" "t" 3; "c" "p" 4; "d" "a" "e" "i" "l" "t" "w" 2; "e" "a" "r" "t" 3;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" "w" 2; "e" "a" "r" "t" 3;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" "w" 2; "e" "a" "r" "t" 3;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" "w" 2; "e" "a" "r" "t" 3;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" "w" 2; "e" "a" "r" "t" 3;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" "w" 2; "e" "a" "r" "t" 3;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" "w" 2; "e" "a" "r" "t" 3;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" "w" 2; "e" "r" 4;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" "w" 2; "e" "r" 4;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" "w" 2; "e" "r" 4;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" "w" 2; "e" "r" 4;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" "w" 2; "e" "r" 4;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 4;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 4;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 4;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 4;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 4;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 4;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 5;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 5;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 5;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 5;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 6;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 6;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 6;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 6;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 6;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 6;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 6;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 6;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 6;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 6;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 6;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 6;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 6;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 6;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 6;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 6;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 6;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "t" 2; "e" "r" 6;
"a" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "p" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "p" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "p" "r" 3; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "c" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "c" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "c" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "c" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "c" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "c" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "q" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "c" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "q" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "c" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "q" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "c" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "q" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "c" "e" "i" "l" "r" "t" 2; "e" "r" 6;
