none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "j" 1;
"a" "j" 1;
"a" "j" 1;
"a" "j" 1; "d" "p" 1;
"a" "j" 1; "d" "p" 1;
"a" "j" 1; "d" "p" 1;
"a" "j" 1; "d" "p" 1;
"a" "j" 1; "d" "p" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1; "e" "b" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1; "e" "b" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1; "e" "b" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1; "e" "b" 1;
"a" "e" "j" "s" "z" 1; "b" "r" 2; "c" "q" "t" 2; "d" "p" 2; "e" "o" 2;
"a" "e" "j" "s" "z" 1; "b" "r" 2; "c" "q" "t" 2; "d" "p" 2; "e" "o" 2;
"a" "e" "j" "s" "z" 1; "b" "r" 2; "c" "q" "t" 2; "d" "p" 2; "e" "o" 2;
"a" "e" "f" "j" "s" "z" 1; "b" "r" 2; "c" "q" "t" 2; "d" "p" 2; "e" "d" "o" 2;
"a" "e" "f" "j" "s" "y" "z" 1; "b" "r" 2; "c" "q" "t" 2; "d" "p" 2; "e" "d" "o" 2;
"a" "e" "f" "j" "s" "y" "z" 1; "b" "r" 2; "c" "q" "t" 2; "d" "p" 2; "e" "d" "o" 2;
"a" "e" "f" "j" "s" "y" "z" 1; "b" "r" 2; "c" "q" "t" 2; "d" "p" 2; "e" "d" "o" 2;
"a" "e" "f" "j" "s" "u" "y" "z" 1; "b" "r" 2; "c" "q" "t" 2; "d" "p" 2; "e" "d" "o" "s" 2;
"a" "e" "f" "j" "s" "u" "y" "z" 1; "b" "r" 2; "c" "q" "t" 2; "d" "p" 2; "e" "d" "o" "s" 2;
"a" "e" "f" "j" "s" "u" "y" "z" 1; "b" "r" 2; "c" "q" "t" 2; "d" "p" 2; "e" "d" "o" "s" 2;
"a" "e" "f" "j" "s" "u" "y" "z" 1; "b" "r" 2; "c" "q" "t" 2; "d" "p" 2; "e" "d" "o" "s" 2;
"a" "e" "f" "j" "s" "u" "y" "z" 1; "b" "r" 2; "c" "q" "t" 2; "d" "p" 2; "e" "d" "o" "s" 2;
"a" "e" "f" "j" "n" "q" "s" "u" "y" "z" 1; "b" "r" 2; "c" "q" "t" 2; "d" "p" 2; "e" "d" "o" "s" 2;
"a" "e" "f" "j" "n" "q" "s" "u" "y" "z" 1; "b" "r" 2; "c" "q" 3; "d" "p" 2; "e" "d" "o" "s" 2;
"a" "j" "z" 2; "b" "r" 2; "c" "q" 3; "d" "p" 2; "e" "d" "o" "s" 2;
"a" "j" "z" 2; "b" "r" 2; "c" "q" 3; "d" "p" 2; "e" "d" "o" "s" 2;
"a" "j" "z" 2; "b" "r" 2; "c" "q" 3; "d" "p" 2; "e" "d" "o" "s" 2;
"a" "j" "z" 2; "b" "r" 2; "c" "q" 3; "d" "p" 2; "e" "d" "o" "s" 2;
"a" "j" "z" 2; "b" "r" 2; "c" "q" 3; "d" "p" 2; "e" "d" "o" "s" 2;
"a" "j" "z" 2; "b" "r" 2; "c" "q" 3; "d" "p" 2; "e" "d" "o" "s" 2;
"a" "j" "z" 2; "b" "r" 2; "c" "q" 3; "d" "p" 2; "e" "d" "o" "s" 2;
"a" "j" "z" 2; "b" "r" 2; "c" "q" 3; "d" "p" 2; "e" "d" "o" "s" 2;
"a" "j" "z" 2; "b" "r" 2; "c" "q" 3; "d" "p" 2; "e" "d" "o" "s" 2;
"a" "j" "z" 2; "b" "b" "r" 2; "c" "q" 3; "d" "p" 2; "e" "d" "o" "s" 2;
"a" "j" "z" 2; "b" "b" "r" 2; "c" "q" 3; "d" "p" 2; "e" "d" "o" "s" 2;
"a" "j" "z" 2; "b" "b" "r" 2; "c" "q" 3; "d" "p" 2; "e" "d" "o" "s" 2;
"a" "j" "z" 2; "b" "b" "r" 2; "c" "q" 3; "d" "p" 2; "e" "d" "o" "s" 2;
"a" "j" "z" 2; "b" "b" "r" 2; "c" "q" 3; "d" "p" 2; "e" "d" "o" "s" 2;
"a" "j" "z" 2; "b" "b" "r" 2; "c" "q" 3; "d" "p" 2; "e" "d" "o" "s" "z" 2;
"a" "j" "z" 2; "b" "b" "r" 2; "c" "q" 4; "d" "p" 2; "e" "d" "o" "s" "z" 2;
"a" "j" "z" 2; "b" "b" "r" 2; "c" "q" 4; "d" "p" 2; "e" "d" "o" "s" "z" 2;
"a" "j" "z" 2; "b" "b" "r" 2; "c" "q" 4; "d" "p" 2; "e" "d" "o" "s" "z" 2;
"a" "j" "s" "z" 2; "b" "b" "r" 2; "c" "q" 4; "d" "p" 2; "e" "d" "o" "s" "v" "z" 2;
"a" "j" "s" "z" 2; "b" "b" "r" 2; "c" "q" 4; "d" "p" 2; "e" "d" "o" "s" "v" "z" 2;
"a" "j" "s" "z" 2; "b" "b" "r" 2; "c" "q" 4; "d" "p" 2; "e" "d" "o" "s" "v" "z" 2;
"a" "j" "s" "z" 2; "b" "b" "r" 2; "c" "q" 4; "d" "p" 2; "e" "d" "o" "s" "v" "z" 2;
"a" "j" "s" "z" 2; "b" "b" "r" 2; "c" "q" 4; "d" "p" 2; "e" "d" "o" "s" "v" "z" 2;
"a" "f" "j" "s" "z" 2; "b" "b" "r" 2; "c" "q" 4; "d" "p" "y" 2; "e" "d" "o" "s" "v" "z" 2;
"a" "f" "j" "s" "z" 2; "b" "b" "r" 2; "c" "q" 4; "d" "n" "p" "y" 2; "e" "d" "o" "s" "v" "z" 2;
"a" "f" "j" "s" "z" 2; "b" "b" "r" 2; "c" "q" 4; "d" "n" "p" "y" 2; "e" "d" "o" "s" "v" "z" 2;
"a" "f" "j" "s" "z" 2; "b" "b" "r" 2; "c" "q" 4; "d" "b" "n" "p" "y" 2; "e" "v" 3;
"a" "f" "j" "s" "z" 2; "b" "b" "r" 2; "c" "q" 4; "d" "b" "n" "p" "y" 2; "e" "v" 3;
"a" "f" "j" "s" "z" 2; "b" "b" "r" 2; "c" "q" 4; "d" "b" "n" "p" "y" 2; "e" "v" 3;
"a" "f" "j" "s" "z" 2; "b" "b" "r" 2; "c" "q" 4; "d" "b" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "r" 2; "c" "q" 4; "d" "b" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "r" 2; "c" "q" 4; "d" "b" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "r" 2; "c" "q" 4; "d" "b" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "r" 2; "c" "q" 4; "d" "b" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "r" 2; "c" "q" 4; "d" "b" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "r" 2; "c" "q" 4; "d" "b" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "r" 2; "c" "q" 4; "d" "b" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "r" 2; "c" "q" 4; "d" "b" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "r" 2; "c" "q" 4; "d" "b" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "j" "r" 2; "c" "q" 4; "d" "b" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "j" "r" 2; "c" "q" 4; "d" "b" "l" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "j" "r" 2; "c" "q" 4; "d" "b" "l" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "j" "r" 2; "c" "q" 4; "d" "b" "l" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "j" "r" 2; "c" "q" 4; "d" "b" "l" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "j" "r" 2; "c" "q" 4; "d" "b" "l" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "j" "r" 2; "c" "q" 4; "d" "b" "l" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "j" "r" 2; "c" "q" 4; "d" "b" "l" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "j" "r" 2; "c" "q" 4; "d" "b" "l" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "j" "r" 2; "c" "q" 4; "d" "b" "l" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "j" "r" 2; "c" "q" 4; "d" "b" "l" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "j" "r" 2; "c" "q" 4; "d" "b" "l" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "j" "r" 2; "c" "q" 4; "d" "b" "l" "n" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "j" "r" 2; "c" "q" 4; "d" "b" "l" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "j" "r" 2; "c" "q" 4; "d" "b" "l" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "j" "r" 2; "c" "q" 4; "d" "b" "l" "p" "y" 2; "e" "v" 3;
"a" "a" "f" "j" "s" "z" 2; "b" "b" "c" "d" "j" "r" 2; "c" "q" 4; "d" "b" "l" "p" "y" 2; "e" "v" 3;
"a" "z" 3; "b" "b" "c" "d" "i" "j" "r" 2; "c" "q" 4; "d" "b" "l" "p" "y" 2; "e" "v" 3;
"a" "z" 3; "b" "b" "c" "d" "i" "j" "r" 2; "c" "q" 4; "d" "b" "l" "p" "y" 2; "e" "v" 3;
"a" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "l" "p" "y" 2; "e" "v" 3;
"a" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "l" "p" "y" 2; "e" "v" 3;
"a" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "l" "p" "y" 2; "e" "v" 3;
"a" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "v" 3;
"a" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "v" 3;
"a" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "v" 3;
"a" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "v" 3;
"a" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "v" 3;
"a" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "v" 3;
"a" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "v" 3;
"a" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "v" 3;
"a" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "v" 3;
"a" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "v" 3;
"a" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "v" 3;
"a" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "v" 3;
"a" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "v" 3;
"a" "z" 3; "b" "d" 4; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "v" 3;
"a" "z" 3; "b" "d" 4; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "o" "v" 3;
"a" "z" 3; "b" "d" 4; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "o" "v" 3;
"a" "z" 3; "b" "d" 4; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "o" "v" 3;
"a" "z" 3; "b" "d" 4; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "o" "v" 3;
"a" "z" 3; "b" "d" 4; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "o" "v" 3;
"a" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "o" "v" 3;
"a" "n" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "o" "v" 3;
"a" "n" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "o" "v" 3;
"a" "n" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "o" "v" 3;
"a" "n" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "o" "v" 3;
"a" "j" "n" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "o" "v" 3;
"a" "j" "n" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "o" "v" 3;
"a" "j" "n" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "o" "v" 3;
"a" "j" "n" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "o" "v" 3;
"a" "j" "n" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "l" "p" "y" 2; "e" "o" "v" 3;
"a" "j" "n" "z" 3; "b" "d" 3; "c" "q" 4; "d" "b" "e" "i" "l" "p" "y" 2; "e" "o" "v" 3;
"a" "j" "n" "z" 3; "b" "d" 3; "c" "q" 4; "d" "e" 3; "e" "o" "v" 3;
"a" "j" "n" "z" 3; "b" "d" 3; "c" "q" 4; "d" "e" 3; "e" "o" "v" 3;
"a" "j" "n" "z" 3; "b" "d" "u" 3; "c" "q" 4; "d" "e" 3; "e" "o" "v" 3;
"a" "j" "n" "z" 3; "b" "d" "u" 3; "c" "q" 4; "d" "e" 3; "e" "o" "v" 3;
"a" "j" "n" "z" 3; "b" "d" "u" 3; "c" "q" 4; "d" "e" 3; "e" "v" 4;
"a" "j" "n" "z" 3; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" 3; "e" "v" 4;
"a" "j" "n" "z" 3; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" 3; "e" "v" 4;
"a" "j" "n" "z" 3; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" 3; "e" "v" 4;
"a" "j" "n" "z" 3; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" 3; "e" "v" 4;
"a" "j" "n" "z" 3; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "y" 3; "e" "v" 4;
"a" "j" "n" "z" 3; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "y" 3; "e" "v" 4;
"a" "j" "n" "z" 3; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "y" 3; "e" "v" 4;
"a" "j" "n" "z" 3; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "y" 3; "e" "v" 4;
"a" "j" "n" "z" 3; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "y" 3; "e" "v" 4;
"a" "j" "n" "z" 3; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "l" "y" 3; "e" "v" 4;
"a" "a" "j" "n" "z" 3; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "l" "y" 3; "e" "v" 4;
"a" "a" "j" "n" "z" 3; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "l" "y" 3; "e" "v" 4;
"a" "a" "j" "n" "z" 3; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "l" "y" 3; "e" "v" 4;
"a" "a" "j" "n" "z" 3; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "l" "y" 3; "e" "o" "v" 3;
"a" "j" 4; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "l" "y" 3; "e" "o" "v" 3;
"a" "j" 4; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "l" "y" 3; "e" "o" "v" 3;
"a" "j" 4; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "l" "y" 3; "e" "o" "v" 3;
"a" "j" 4; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "l" "y" 3; "e" "o" "v" 3;
"a" "j" 4; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "l" "y" 3; "e" "o" "v" 3;
"a" "j" 4; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "l" "y" 3; "e" "o" "v" 3;
"a" "j" 4; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "l" "y" 3; "e" "o" "v" 3;
"a" "a" "j" 4; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "l" "y" 3; "e" "o" "v" 3;
"a" "a" "j" 4; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "l" "y" 3; "e" "o" "v" 3;
"a" "a" "j" 4; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "l" "y" 3; "e" "k" "o" "v" 3;
"a" "a" "j" 4; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "l" "y" 3; "e" "k" "o" "v" 3;
"a" "a" "j" 4; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "l" "y" 3; "e" "k" "o" "v" 3;
"a" "a" "j" 4; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "l" "y" 3; "e" "k" "o" "v" 3;
"a" "a" "j" 4; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "l" "y" 3; "e" "k" "o" "v" 3;
"a" "a" "j" 4; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "l" "y" 3; "e" "k" "o" "v" 3;
"a" "a" "j" 4; "b" "d" "u" 3; "c" "q" 4; "d" "b" "e" "l" "y" 3; "e" "k" "o" "v" 3;
"a" "a" "j" 4; "b" "d" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" 3; "e" "k" "o" "v" 3;
"a" "a" "j" 4; "b" "d" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" 3; "e" "k" "o" "v" 3;
"a" "a" "j" 4; "b" "d" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" 3; "e" "k" "o" "v" 3;
"a" "a" 4; "b" "d" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" 3; "e" "k" "o" "v" 3;
"a" "a" 4; "b" "d" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "d" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "d" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "d" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "d" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "d" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "d" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "d" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "d" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "k" "o" "q" "v" 3;
