"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"a" "i" 1; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 1; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 1; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 2; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 2; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 2; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 2; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 2; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 2; "b" "w" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" 2; "b" "w" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" 2; "b" "v" "w" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" 2; "b" "v" "w" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" 2; "b" "v" "w" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" 2; "b" "v" "w" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "e" "t" "v" "w" 1; "c" "o" "r" "t" 1; "d" "k" 2; "e" "a" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "e" "t" "v" "w" "y" 1; "c" "o" "r" "t" 1; "d" "k" 2; "e" "a" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "e" "t" "v" "w" "y" 1; "c" "o" "r" "t" 1; "d" "k" 2; "e" "a" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "e" "t" "v" "w" "y" 1; "c" "o" "r" "t" 1; "d" "k" 2; "e" "a" "g" "t" "w" 1;
"a" "i" "r" 2; "b" "e" "t" "v" "w" "y" 1; "c" "o" "r" "t" 1; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "e" "t" "v" "w" "y" 1; "c" "o" "r" "t" 1; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "e" "g" "t" "v" "w" "y" 1; "c" "a" "b" "c" "o" "r" "t" 1; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "e" "g" "t" "v" "w" "y" 1; "c" "a" "b" "c" "o" "r" "t" 1; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "e" "g" "t" "v" "w" "y" 1; "c" "a" "b" "c" "o" "r" "t" 1; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "y" 2; "c" "a" "b" "c" "o" "r" "t" 1; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "y" 2; "c" "a" "b" "c" "o" "r" "t" 1; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "y" 2; "c" "a" "b" "c" "o" "r" "t" 1; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "y" 2; "c" "a" "b" "c" "o" "r" "t" 1; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "y" 2; "c" "a" "b" "c" "o" "r" "t" 1; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "y" 2; "c" "c" 2; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "y" 2; "c" "c" 2; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "y" 2; "c" "c" 2; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "y" 2; "c" "c" 2; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "e" "g" "m" "t" "v" "w" "y" 1; "c" "c" 2; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "e" "g" "m" "t" "v" "w" "y" 1; "c" "c" 2; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "e" "g" "m" "t" "v" "w" "y" 1; "c" "c" 2; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "e" "g" "m" "t" "v" "w" "y" 1; "c" "c" 2; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "e" "g" "m" "t" "v" "w" "y" 1; "c" "c" 2; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "e" 2; "c" "c" 2; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "e" 2; "c" "c" 2; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "e" "w" 2; "c" "c" 2; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "e" "w" 2; "c" "c" 2; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "w" 3; "c" "c" 2; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "w" 3; "c" "c" "t" 2; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "w" 3; "c" "c" "t" 2; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "w" 3; "c" "c" "t" 2; "d" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "w" 3; "c" "c" "t" 2; "d" "j" "k" 2; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "w" 3; "c" "c" "t" 2; "d" "j" 3; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "w" 3; "c" "c" "t" 2; "d" "j" 3; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "w" 3; "c" "c" "t" 2; "d" "j" 3; "e" "g" "w" 2;
"a" "i" "r" 2; "b" "w" 3; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "w" 2;
"a" "i" "r" 2; "b" "w" 3; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "w" 2;
"a" "i" 3; "b" "w" 3; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "w" 2;
"a" "i" 3; "b" "w" 3; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "w" 2;
"a" "i" 3; "b" "w" 3; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "t" "w" 2;
"a" "i" 3; "b" "w" 3; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 3; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 3; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 3; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 3; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 3; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 3; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 3; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 3; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 3; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 3; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 3; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 4; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 4; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 4; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 4; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 4; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 4; "c" "c" "t" 2; "d" "j" 3; "e" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 4; "c" "c" 3; "d" "j" 3; "e" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 4; "c" "c" 3; "d" "j" 3; "e" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 4; "c" "c" 3; "d" "j" 3; "e" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 4; "c" "c" 3; "d" "j" 3; "e" "a" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 4; "c" "c" 3; "d" "j" 3; "e" "a" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 4; "c" "c" 3; "d" "j" 3; "e" "a" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 4; "c" "c" 3; "d" "j" 3; "e" "a" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 4; "c" "c" 3; "d" "j" 3; "e" "a" "c" "g" "p" "t" "w" 2;
"a" "i" 3; "b" "w" 4; "c" "c" 3; "d" "j" 3; "e" "a" "c" "g" "p" "t" "w" "x" 2;
"a" "i" 3; "b" "w" 4; "c" "c" 3; "d" "j" 3; "e" "a" "c" "g" "p" "t" "w" "x" 2;
"a" "i" 3; "b" "w" 4; "c" "c" 3; "d" "j" 3; "e" "a" "c" "g" "p" "t" "w" "x" 2;
"a" "i" 3; "b" "w" 4; "c" "c" 3; "d" "j" 3; "e" "a" "c" "g" "p" "t" "w" "x" 2;
"a" "d" "i" 3; "b" "w" 4; "c" "c" 3; "d" "j" 3; "e" "a" "c" "g" "p" "t" "w" "x" 2;
"a" "d" "i" 3; "b" "w" 4; "c" "c" 3; "d" "j" 3; "e" "a" "c" "g" "p" "t" "w" "x" 2;
"a" "d" "i" 3; "b" "w" 4; "c" "c" 3; "d" "j" 3; "e" "a" "c" "g" "p" "t" "w" "x" 2;
"a" "d" "i" 3; "b" "w" 4; "c" "c" 3; "d" "j" 3; "e" "a" "c" "g" "p" "t" "w" "x" 2;
"a" "d" "i" 3; "b" "w" 4; "c" "c" 3; "d" "j" 3; "e" "a" "c" "g" "p" "t" "w" "x" 2;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" 3; "e" "c" 3;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" 3; "e" "c" 3;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" 3; "e" "c" 3;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" 3; "e" "c" 3;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" 3; "e" "c" 3;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" 3; "e" "c" 3;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" 3; "e" "a" "c" 3;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" 3; "e" "a" "c" 3;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" 3; "e" "a" "c" 3;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" 3; "e" "a" "c" 3;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" 3; "e" "a" "c" 3;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" 3; "e" "a" "c" 3;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" 3; "e" "a" "c" "x" 3;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" 3; "e" "a" "c" "x" 3;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" 3; "e" "c" 4;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" 3; "e" "c" 4;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" 3; "e" "c" 4;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" 3; "e" "c" 4;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" 3; "e" "c" 4;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" 3; "e" "c" 4;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" 3; "e" "c" 4;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" 3; "e" "c" 4;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" 3; "e" "c" 4;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" 3; "e" "c" 4;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" 3; "e" "c" 4;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" 3; "e" "c" 4;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" 3; "e" "c" 4;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" "x" 3; "e" "c" 4;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" 4; "d" "j" "q" "x" 3; "e" "c" 4;
"a" "d" "i" "w" 3; "b" "w" 4; "c" "c" "t" 4; "d" "j" "q" "x" 3; "e" "c" 4;
"a" "d" "i" "w" "y" 3; "b" "w" 4; "c" "c" "t" 4; "d" "j" "q" "x" 3; "e" "c" 4;
"a" "d" "i" "w" "y" 3; "b" "w" 4; "c" "c" "t" 4; "d" "j" "q" "x" 3; "e" "c" 4;
"a" "d" "i" "w" "y" 3; "b" "w" 4; "c" "c" "t" 4; "d" "j" "q" "x" 3; "e" "c" 4;
"a" "d" "i" "w" "y" 3; "b" "w" 4; "c" "c" "t" 4; "d" "j" "q" "x" 3; "e" "c" 4;
"a" "d" "i" "w" "y" 3; "b" "w" 4; "c" "c" "t" 4; "d" "j" "q" "x" 3; "e" "c" 4;
"a" "d" "i" "w" "y" 3; "b" "w" 4; "c" "c" "t" 4; "d" "j" "q" 4; "e" "c" 4;
"a" "d" "i" "w" "y" 3; "b" "w" 4; "c" "c" "o" "t" 4; "d" "j" "q" 4; "e" "c" 4;
"a" "d" "i" "w" "y" 3; "b" "w" 4; "c" "c" "o" "t" 4; "d" "j" "q" 4; "e" "c" 4;
"a" "d" "y" 4; "b" "w" 4; "c" "c" "o" "t" 4; "d" "q" 4; "e" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "c" "o" "t" 4; "d" "q" 4; "e" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "c" "o" "t" 4; "d" "q" 4; "e" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "c" "o" "t" 4; "d" "q" 4; "e" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "c" "o" "t" 4; "d" "q" 4; "e" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "c" "o" "t" 4; "d" "q" 4; "e" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "c" "o" "t" 4; "d" "q" 4; "e" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 4;
"a" "d" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 4;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 4;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" "v" 4; "e" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" "v" 4; "e" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" "v" 4; "e" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" "v" 4; "e" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" "v" 4; "e" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" "v" 4; "e" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "d" "r" "y" 4; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "y" 5; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "y" 5; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "y" 5; "b" "v" "w" 4; "c" "o" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "y" 5; "b" "v" "w" 4; "c" "o" "p" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "y" 5; "b" "v" "w" 4; "c" "o" "p" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "y" 5; "b" "v" "w" 4; "c" "o" "p" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "y" 5; "b" "w" 5; "c" "o" "p" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "y" 5; "b" "w" 5; "c" "o" "p" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "y" 5; "b" "w" 5; "c" "o" "p" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "y" 5; "b" "w" 5; "c" "o" "p" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "y" 5; "b" "w" 5; "c" "o" "p" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "y" 5; "b" "w" 5; "c" "o" "p" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "y" 5; "b" "w" 5; "c" "o" "p" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "y" 5; "b" "w" 5; "c" "o" "p" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "y" 5; "b" "w" 5; "c" "o" "p" "t" 4; "d" "q" 4; "e" "a" "c" 5;
