none
none
none
none
none
none
none
none
none
none
none
none
"d" "d" 1;
"d" "d" 1;
"d" "d" 1;
"d" "d" 1;
"d" "d" 1;
"d" "c" "d" 1;
"d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" "r" 1;
"b" "m" 1; "d" "c" "d" "r" 1;
"b" "m" 1; "c" "y" 1; "d" "c" "d" "r" 1;
"b" "m" 1; "c" "y" 1; "d" "c" "d" "r" 1;
"b" "m" 1; "c" "y" 1; "d" "c" "d" "r" 1;
"b" "m" 1; "c" "y" 1; "d" "c" "d" "r" 1;
"b" "m" 1; "c" "y" 1; "d" "c" "d" "r" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "y" 1; "d" "c" "d" "r" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "y" 1; "d" "c" "d" "r" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "c" "d" "r" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "c" "d" "r" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "c" "d" "r" 1;
"a" "z" 2; "b" "h" "m" 2; "c" "l" "q" 2; "d" "z" 2; "e" "p" 2;
"a" "z" 2; "b" "h" "m" 2; "c" "l" "q" 2; "d" "z" 2; "e" "p" 2;
"a" "z" 2; "b" "h" "m" 2; "c" "l" 3; "d" "j" "z" 2; "e" "p" 2;
"a" "z" 2; "b" "h" "m" 2; "c" "l" 3; "d" "j" "z" 2; "e" "p" 2;
"a" "z" 2; "b" "h" "m" "n" 2; "c" "l" 3; "d" "j" "p" "z" 2; "e" "p" 2;
"a" "z" 2; "b" "h" "m" "n" 2; "c" "l" 3; "d" "j" "p" "z" 2; "e" "p" 2;
"a" "z" 2; "b" "h" "m" "n" 2; "c" "l" 3; "d" "j" "p" "z" 2; "e" "p" 2;
"a" "z" 2; "b" "h" "m" "n" 2; "c" "l" 3; "d" "j" "p" "z" 2; "e" "p" 2;
"a" "z" 2; "b" "h" "m" "n" 2; "c" "l" 3; "d" "j" "p" "z" 2; "e" "p" 2;
"a" "z" 2; "b" "h" "m" "n" 2; "c" "l" 3; "d" "j" "p" "z" 2; "e" "p" 2;
"a" "z" 2; "b" "h" "m" "n" 2; "c" "l" 3; "d" "j" "p" "z" 2; "e" "p" 2;
"a" "z" 2; "b" "h" "m" "n" 2; "c" "l" 3; "d" "j" "p" "z" 2; "e" "p" 2;
"a" "z" 2; "b" "h" "m" "n" 2; "c" "l" 3; "d" "j" "p" "z" 2; "e" "p" 2;
"a" "r" "z" 2; "b" "h" "m" "n" 2; "c" "l" 3; "d" "j" "p" "z" 2; "e" "p" 2;
"a" "r" "z" 2; "b" "h" "m" "n" 2; "c" "l" 3; "d" "j" "p" "z" 2; "e" "p" 2;
"a" "p" "r" "z" 2; "b" "h" "m" "n" 2; "c" "l" 3; "d" "j" "p" "z" 2; "e" "p" 2;
"a" "p" "r" "z" 2; "b" "h" "m" "n" 2; "c" "l" 3; "d" "j" "p" "z" 2; "e" "p" 2;
"a" "p" "r" "z" 2; "b" "h" "m" "n" 2; "c" "l" 3; "d" "j" "p" "z" 2; "e" "p" 2;
"a" "p" "r" "z" 2; "b" "h" "m" "n" 2; "c" "l" 3; "d" "j" "p" "z" 2; "e" "p" 2;
"a" "p" "r" "z" 2; "b" "h" "m" "n" 2; "c" "l" 3; "d" "j" "p" "z" 2; "e" "p" 2;
"a" "p" "r" "z" 2; "b" "h" "m" "n" 2; "c" "l" 3; "d" "j" "p" "z" 2; "e" "p" 2;
"a" "p" "r" "z" 2; "b" "h" "m" "n" 2; "c" "l" "q" 3; "d" "j" "p" "z" 2; "e" "p" 2;
"a" "p" "r" "z" 2; "b" "h" "m" "n" 2; "c" "l" "q" 3; "d" "j" "p" "z" 2; "e" "p" 2;
"a" "p" "r" "z" 2; "b" "h" "m" "n" 2; "c" "l" "q" 3; "d" "j" "p" "z" 2; "e" "d" "p" 2;
"a" "p" "r" "z" 2; "b" "h" "m" "n" 2; "c" "l" "q" 3; "d" "j" "p" "z" 2; "e" "d" "p" 2;
"a" "p" "r" "z" 2; "b" "h" "m" "n" 2; "c" "l" "q" 3; "d" "j" "p" "z" 2; "e" "d" "p" 2;
"a" "p" "r" "z" 2; "b" "h" "m" "n" 2; "c" "l" "q" 3; "d" "j" "p" "z" 2; "e" "d" "p" 2;
"a" "p" "r" "z" 2; "b" "h" "m" "n" 2; "c" "l" "q" 3; "d" "j" "p" "z" 2; "e" "d" "p" 2;
"a" "p" "r" "z" 2; "b" "h" "m" "n" 2; "c" "l" "q" 3; "d" "j" "p" "z" 2; "e" "d" "p" 2;
"a" "p" "r" "z" 2; "b" "h" "m" "n" 2; "c" "l" "q" 3; "d" "j" "p" "z" 2; "e" "d" "p" 2;
"a" "p" "r" "z" 2; "b" "h" "m" "n" 2; "c" "l" "q" 3; "d" "j" "p" "z" 2; "e" "d" "p" 2;
"a" "p" "r" "z" 2; "b" "h" "m" "n" 2; "c" "l" "q" 3; "d" "j" "p" "r" "z" 2; "e" "d" "p" "t" 2;
"a" "p" "r" "z" 2; "b" "h" "m" "n" 2; "c" "l" "q" 3; "d" "j" "p" "r" "z" 2; "e" "d" "p" "t" 2;
"a" "p" "r" "z" 2; "b" "h" "m" "n" 2; "c" "l" "q" 3; "d" "j" "p" "r" "z" 2; "e" "d" "p" "t" 2;
"a" "p" "r" "z" 2; "b" "h" "m" "n" 2; "c" "l" "q" 3; "d" "j" "p" "r" "z" 2; "e" "d" "p" "t" 2;
"a" "p" "r" "z" 2; "b" "h" "m" "n" "r" 2; "c" "l" "q" 3; "d" "j" "p" "r" "z" 2; "e" "d" "p" "t" 2;
"a" "p" "r" "z" 2; "b" "h" "m" "n" "r" 2; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "d" "p" "t" 2;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "d" "p" "t" 2;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "d" "j" "p" "t" 2;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "d" "j" "p" "t" 2;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "d" "j" "p" "t" 2;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "d" "j" "p" "t" 2;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "d" "j" "p" "t" 2;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "d" "j" "p" "t" 2;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "d" "j" "p" "t" 2;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "d" "j" "p" "t" 2;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "d" "j" "p" "t" 2;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "d" "j" "p" "t" 2;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "w" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "w" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "w" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "w" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "w" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "w" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "w" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "w" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "j" "k" "p" "r" "w" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "b" "j" "k" "p" "r" "w" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "b" "j" "k" "p" "r" "w" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "b" "j" "k" "p" "r" "w" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "b" "j" "k" "p" "r" "w" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "b" "j" "k" "p" "r" "w" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "b" "j" "k" "p" "r" "w" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "b" "j" "k" "p" "r" "w" "z" 2; "e" "j" 3;
"a" "p" "r" "z" 2; "b" "m" 3; "c" "l" "q" "x" 3; "d" "b" "j" "k" "p" "r" "w" "z" 2; "e" "j" 3;
"a" "z" 3; "b" "m" 3; "c" "l" "q" "x" 3; "d" "b" "j" "k" "p" "r" "w" "z" 2; "e" "j" 3;
"a" "z" 3; "b" "m" 3; "c" "l" "q" "x" 3; "d" "b" "j" "k" "p" "r" "w" "z" 2; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "l" "q" "x" 3; "d" "b" "j" "k" "p" "r" "w" "z" 2; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "l" "q" "x" 3; "d" "b" "j" "k" "p" "r" "w" "z" 2; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "l" "q" "x" 3; "d" "b" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "l" "q" "x" 3; "d" "b" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "l" "q" "x" 3; "d" "b" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "l" "q" "x" 3; "d" "b" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "l" "q" "x" 3; "d" "b" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "l" "q" "x" 3; "d" "b" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "l" "q" "x" 3; "d" "b" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "l" "q" "x" 3; "d" "b" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "l" "q" "x" 3; "d" "b" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "l" "q" "x" 3; "d" "b" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "l" "q" "x" 3; "d" "b" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "l" "q" "x" 3; "d" "b" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "l" "q" "x" 3; "d" "b" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "l" "q" "x" 3; "d" "b" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "l" "q" "x" 3; "d" "b" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "d" "l" "q" "x" 3; "d" "b" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "d" "l" "q" "x" 3; "d" "b" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "d" "l" "q" "x" 3; "d" "b" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "d" "l" "q" "x" 3; "d" "b" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "d" "l" "q" "x" 3; "d" "b" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "d" "l" "q" "x" 3; "d" "b" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "d" "l" "q" "x" 3; "d" "b" "p" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "d" "l" "q" "x" 3; "d" "b" "p" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "d" "l" "q" "x" 3; "d" "b" "p" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "d" "l" "q" "x" 3; "d" "b" "p" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "d" "l" "q" "x" 3; "d" "b" "p" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "d" "l" "q" "x" 3; "d" "b" "p" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "d" "l" "q" "x" 3; "d" "b" "p" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "d" "l" "q" "x" 3; "d" "b" "p" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "d" "l" "q" "x" 3; "d" "b" "p" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "d" "l" "q" "x" 3; "d" "b" "p" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "d" "l" "q" "s" "x" 3; "d" "b" "p" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "d" "l" "q" "s" "x" 3; "d" "b" "p" "q" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "d" "l" "q" "s" "x" 3; "d" "b" "p" "q" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "d" "l" "q" "s" "x" 3; "d" "b" "p" "q" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "d" "l" "q" "s" "x" 3; "d" "b" "p" "q" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "d" "l" "q" "s" "x" 3; "d" "b" "p" "q" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "b" "p" "q" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "b" "p" "q" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "p" "q" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "p" "q" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "p" "q" 3; "e" "j" "z" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "p" "q" 3; "e" "j" "z" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "p" "q" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "p" "q" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "p" "q" 3; "e" "j" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "p" "q" 3; "e" "j" "p" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "p" "q" 3; "e" "j" "p" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "p" "q" 3; "e" "j" "p" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "p" "q" 3; "e" "j" "p" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "p" "q" 3; "e" "j" "p" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "p" "q" 3; "e" "j" "p" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "k" "p" "q" 3; "e" "j" "p" 3;
