none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "d" "n" 1;
"c" "d" "n" 1;
"c" "d" "n" 1;
"c" "d" "n" 1;
"c" "d" "n" 1;
"b" "z" 1; "c" "d" "n" 1;
"b" "z" 1; "c" "d" "n" 1;
"b" "z" 1; "c" "d" "n" 1;
"b" "z" 1; "c" "d" "n" 1;
"b" "z" 1; "c" "c" "d" "n" 1;
"b" "z" 1; "c" "c" "d" "n" "s" 1; "e" "p" 1;
"a" "n" 1; "b" "z" 1; "c" "c" "d" "n" "s" 1; "e" "p" "s" 1;
"a" "n" 1; "b" "z" 1; "c" "c" "d" "n" "s" 1; "e" "i" "p" "s" 1;
"a" "n" 1; "b" "z" 1; "c" "c" "d" "n" "s" 1; "e" "i" "p" "s" 1;
"a" "n" 1; "b" "z" 1; "c" "c" "d" "n" "s" 1; "e" "i" "p" "s" 1;
"a" "n" 1; "b" "z" 1; "c" "c" "d" "n" "s" 1; "e" "i" "p" "s" 1;
"a" "n" 1; "b" "z" 1; "c" "c" "d" "n" "s" 1; "e" "i" "p" "s" "y" 1;
"a" "p" 2; "b" "h" 2; "c" "f" "n" "s" 2; "d" "j" 2; "e" "s" 2;
"a" "p" 2; "b" "h" 2; "c" "f" "n" "s" 2; "d" "j" 2; "e" "s" 2;
"a" "p" 2; "b" "h" 2; "c" "f" "n" "s" 2; "d" "j" 2; "e" "s" 2;
"a" "p" 2; "b" "h" 2; "c" "f" "n" "s" 2; "d" "j" 2; "e" "s" 2;
"a" "p" 2; "b" "h" 2; "c" "f" "n" "s" 2; "d" "j" 2; "e" "s" 2;
"a" "p" 2; "b" "h" 2; "c" "f" "n" "s" 2; "d" "j" 2; "e" "s" 2;
"a" "p" 2; "b" "h" 2; "c" "f" "n" "s" 2; "d" "j" 2; "e" "s" 2;
"a" "p" 2; "b" "h" 2; "c" "f" "n" "s" 2; "d" "j" 2; "e" "s" 2;
"a" "p" 2; "b" "h" 2; "c" "f" "n" "s" 2; "d" "j" 2; "e" "s" 2;
"a" "p" 2; "b" "h" 2; "c" "f" "n" "s" 2; "d" "j" 2; "e" "s" 2;
"a" "p" 2; "b" "h" 2; "c" "c" "f" "n" "s" 2; "d" "j" 2; "e" "s" 2;
"a" "p" 2; "b" "h" 2; "c" "c" "f" "n" "s" 2; "d" "j" 2; "e" "s" 2;
"a" "e" "p" 2; "b" "h" 2; "c" "c" "f" "n" "s" 2; "d" "b" "j" 2; "e" "s" 2;
"a" "e" "p" 2; "b" "h" 2; "c" "c" "f" "n" "s" 2; "d" "b" "j" 2; "e" "s" 2;
"a" "e" "p" 2; "b" "h" 2; "c" "c" "f" "n" "s" 2; "d" "b" "j" 2; "e" "s" 2;
"a" "e" "p" 2; "b" "h" 2; "c" "c" "f" "n" "s" 2; "d" "b" "j" 2; "e" "s" 2;
"a" "e" "p" 2; "b" "h" 2; "c" "c" "f" "n" "s" 2; "d" "b" "j" 2; "e" "s" 2;
"a" "e" "p" 2; "b" "h" 2; "c" "c" "f" "n" "s" 2; "d" "b" "j" 2; "e" "s" 2;
"a" "e" "p" 2; "b" "h" 2; "c" "c" "f" "n" "s" 2; "d" "b" "j" 2; "e" "s" 2;
"a" "e" "p" 2; "b" "h" 2; "c" "c" "f" "n" "s" 2; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "p" 2; "b" "h" 2; "c" "c" "f" "n" "s" 2; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "p" 2; "b" "h" 2; "c" "c" "f" "n" "s" 2; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "p" 2; "b" "h" 2; "c" "c" "f" "n" "s" 2; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "p" 2; "b" "h" 2; "c" "c" "f" "n" "s" 2; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "p" 2; "b" "h" 2; "c" "c" "f" "n" "s" 2; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "p" 2; "b" "h" 2; "c" "c" "f" "n" "s" 2; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "p" 2; "b" "h" 2; "c" "c" "f" "n" "s" 2; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "p" 2; "b" "h" 2; "c" "c" "f" "n" "s" 2; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "p" 2; "b" "h" 2; "c" "c" "f" "n" "s" 2; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "g" "p" 2; "b" "h" 2; "c" "c" "f" "n" "s" 2; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "g" "p" 2; "b" "h" 2; "c" "c" "f" "n" "s" 2; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "g" "p" 2; "b" "h" 2; "c" "c" "e" "f" "n" "s" 2; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "g" "p" 2; "b" "h" 2; "c" "c" "e" "f" "n" "s" 2; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "g" "p" 2; "b" "h" 2; "c" "c" "e" "f" "n" "s" 2; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "g" "p" 2; "b" "h" 2; "c" "c" "e" "f" "n" "s" 2; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "g" "p" 2; "b" "h" 2; "c" "c" "e" "f" "n" "s" 2; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "g" "p" 2; "b" "h" "k" 2; "c" "e" 3; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "g" "p" 2; "b" "h" "k" 2; "c" "e" 3; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "g" "p" 2; "b" "h" "k" 2; "c" "e" 3; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "g" "p" 2; "b" "h" "k" 2; "c" "e" 3; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "g" "p" 2; "b" "h" "k" 2; "c" "e" 3; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "g" "p" 2; "b" "h" "k" 2; "c" "e" 3; "d" "b" "j" 2; "e" "i" "s" 2;
"a" "e" "g" "p" 2; "b" "h" "k" 2; "c" "e" 3; "d" "b" "g" "j" 2; "e" "i" "s" 2;
"a" "e" "g" "p" 2; "b" "h" "k" 2; "c" "e" 3; "d" "b" "g" "j" "z" 2; "e" "i" "s" 2;
"a" "e" "g" "n" "p" 2; "b" "h" "k" "z" 2; "c" "e" 3; "d" "b" "g" "j" "z" 2; "e" "e" "i" "s" 2;
"a" "e" "g" "n" "p" 2; "b" "f" "h" "k" "z" 2; "c" "e" "s" 3; "d" "b" "g" "j" "z" 2; "e" "e" "i" "s" 2;
"a" "e" "g" "n" "p" 2; "b" "f" "h" "k" "z" 2; "c" "e" "s" 3; "d" "b" "g" "j" "z" 2; "e" "e" "i" "s" 2;
"a" "e" "g" "n" "p" 2; "b" "f" "h" "k" "z" 2; "c" "e" "s" 3; "d" "b" "g" "j" "z" 2; "e" "e" "i" "s" 2;
"a" "e" "g" "n" "p" 2; "b" "f" "h" "k" "z" 2; "c" "e" "s" 3; "d" "b" "g" "j" "z" 2; "e" "e" "i" "s" 2;
"a" "e" "g" "n" "p" 2; "b" "f" "h" "k" "z" 2; "c" "e" "s" 3; "d" "b" "g" "j" "z" 2; "e" "e" "i" "s" 2;
"a" "e" "g" "n" "p" 2; "b" "f" "h" "k" "z" 2; "c" "e" "s" 3; "d" "b" "g" "j" "z" 2; "e" "e" "i" "s" 2;
"a" "e" "g" "n" "p" 2; "b" "f" "h" "k" "z" 2; "c" "e" "s" 3; "d" "b" "g" "j" "z" 2; "e" "e" "i" "s" 2;
"a" "b" "e" "g" "n" "p" 2; "b" "f" "h" "k" "z" 2; "c" "e" "s" 3; "d" "b" "g" "j" "z" 2; "e" "e" "i" "s" 2;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "f" "h" "k" "z" 2; "c" "e" "s" 3; "d" "b" "g" "j" "z" 2; "e" "e" "i" "s" 2;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "f" "h" "k" "z" 2; "c" "e" "s" 3; "d" "b" "g" "j" "z" 2; "e" "e" "i" "s" 2;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "f" "h" "k" "z" 2; "c" "e" "s" 3; "d" "b" "g" "j" "z" 2; "e" "e" "i" "s" 2;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "f" "h" "k" "z" 2; "c" "e" "s" 3; "d" "b" "g" "j" "z" 2; "e" "e" "i" "s" 2;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "f" "h" "k" "z" 2; "c" "e" "s" 3; "d" "b" "g" "j" "z" 2; "e" "b" "e" "i" "s" 2;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "f" "h" "k" "z" 2; "c" "e" "s" 3; "d" "b" "g" "j" "z" 2; "e" "b" "e" "i" "s" 2;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "f" "h" "k" "t" "z" 2; "c" "e" "s" 3; "d" "b" "g" "j" "z" 2; "e" "b" "e" "i" "s" 2;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "f" "h" "k" "t" "z" 2; "c" "e" "s" 3; "d" "b" "g" "j" "z" 2; "e" "b" "e" "i" "s" 2;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "f" "h" "i" "k" "t" "z" 2; "c" "e" "s" 3; "d" "b" "g" "j" "z" 2; "e" "b" "e" "i" "s" 2;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "f" "h" "i" "k" "t" "z" 2; "c" "e" "s" 3; "d" "b" "g" "j" "z" 2; "e" "b" "e" "i" "s" 2;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "f" "h" "i" "k" "t" "z" 2; "c" "e" "s" 3; "d" "b" "g" "j" "z" 2; "e" "b" "c" "e" "i" "s" 2;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "b" "f" "g" "j" "z" 2; "e" "b" "c" "e" "i" "s" 2;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "b" "f" "g" "h" "j" "k" "z" 2; "e" "b" "c" "e" "i" "s" 2;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "b" "f" "g" "h" "j" "k" "z" 2; "e" "e" 3;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "b" "f" "g" "h" "j" "k" "z" 2; "e" "e" 3;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "b" "f" "g" "h" "j" "k" "z" 2; "e" "e" 3;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "b" "f" "g" "h" "j" "k" "z" 2; "e" "e" 3;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "b" "f" "g" "h" "j" "k" "z" 2; "e" "e" 3;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 3;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 3;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 3;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 3;
"a" "b" "e" "g" "i" "n" "p" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 3;
"a" "b" "e" "g" "i" "n" "p" "s" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 3;
"a" "b" "e" "g" "i" "n" "p" "s" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 3;
"a" "b" "e" "g" "i" "n" "p" "s" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 3;
"a" "b" "e" "g" "i" "n" "p" "s" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 3;
"a" "b" "e" "g" "i" "n" "p" "s" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 3;
"a" "b" "e" "g" "i" "n" "p" "s" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 3;
"a" "b" "e" "g" "i" "n" "p" "s" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 3;
"a" "b" "e" "g" "i" "n" "p" "s" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 3;
"a" "b" "e" "g" "i" "l" "n" "p" "s" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 3;
"a" "b" "e" "g" "i" "l" "n" "p" "s" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 3;
"a" "b" "e" "g" "i" "l" "n" "p" "s" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 3;
"a" "b" "e" "g" "i" "l" "n" "p" "s" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 3;
"a" "b" "e" "g" "i" "l" "n" "p" "s" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 3;
"a" "b" "e" "g" "i" "l" "n" "p" "s" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 3;
"a" "b" "e" "g" "i" "l" "n" "p" "s" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 3;
"a" "b" "e" "g" "i" "l" "n" "p" "s" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 3;
"a" "b" "e" "g" "i" "l" "n" "p" "s" "y" 2; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 4;
"a" "g" 3; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 4;
"a" "g" 3; "b" "h" 3; "c" "e" "s" 3; "d" "k" 3; "e" "e" 4;
"a" "g" 3; "b" "h" 3; "c" "e" "q" "s" 3; "d" "k" 3; "e" "e" 4;
"a" "g" 3; "b" "h" 3; "c" "e" "q" "s" 3; "d" "k" 3; "e" "e" 4;
"a" "g" 3; "b" "h" 3; "c" "e" "q" "s" 3; "d" "k" 3; "e" "e" 4;
"a" "g" 3; "b" "h" 3; "c" "e" "q" "s" 3; "d" "k" 3; "e" "e" 4;
"a" "g" 3; "b" "h" 3; "c" "e" "q" "s" 3; "d" "k" 3; "e" "e" 4;
"a" "g" 3; "b" "h" 3; "c" "e" "q" "s" 3; "d" "k" 3; "e" "e" 4;
"a" "g" 3; "b" "h" 3; "c" "e" "q" "s" 3; "d" "k" "z" 3; "e" "e" 4;
"a" "g" 3; "b" "h" 3; "c" "e" "o" "q" "s" 3; "d" "k" "z" 3; "e" "e" 4;
"a" "g" 3; "b" "h" 3; "c" "e" "o" "q" "s" 3; "d" "k" "z" 3; "e" "e" 4;
"a" "g" 3; "b" "h" 3; "c" "e" "o" "q" "s" 3; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "g" 3; "b" "h" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "g" 3; "b" "h" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "g" 3; "b" "h" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "g" 3; "b" "h" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "g" 3; "b" "h" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "g" "y" 3; "b" "h" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "g" "y" 3; "b" "h" "z" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "g" "y" 3; "b" "h" "z" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "g" "y" 3; "b" "h" "z" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "g" "y" 3; "b" "h" "z" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "g" "y" 3; "b" "h" "z" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "g" "y" 3; "b" "h" "z" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "g" "y" 3; "b" "h" "z" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "g" "y" 3; "b" "h" "z" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "g" "y" 3; "b" "h" "z" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "g" "y" 3; "b" "h" "z" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "g" "y" 3; "b" "h" "z" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "g" "y" 3; "b" "h" "z" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "g" "y" 3; "b" "h" "z" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "g" "y" 3; "b" "h" "z" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "e" "g" "h" "k" "z" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "e" "g" "h" "k" "z" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "e" "g" "h" "k" "z" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "e" "g" "h" "k" "z" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "e" "g" "h" "k" "z" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "e" "g" "h" "k" "z" 3; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 4; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 4; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 4; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 4; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 4; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 4; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 4; "c" "e" 4; "d" "h" "k" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 4; "c" "e" 4; "d" "h" "k" "x" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "e" "h" 4; "c" "e" 4; "d" "h" "k" "x" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 5; "c" "e" 4; "d" "f" "h" "k" "x" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 5; "c" "e" 4; "d" "f" "h" "k" "x" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 5; "c" "e" 4; "d" "f" "h" "k" "x" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 5; "c" "e" 4; "d" "f" "h" "k" "x" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 5; "c" "e" 4; "d" "f" "h" "k" "x" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 5; "c" "e" 4; "d" "f" "h" "k" "x" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 5; "c" "e" 4; "d" "f" "h" "k" "x" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 5; "c" "e" 4; "d" "f" "h" "x" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 5; "c" "e" 4; "d" "f" "h" "x" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 5; "c" "e" 4; "d" "f" "h" "x" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 5; "c" "e" 4; "d" "f" "h" "x" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 5; "c" "e" 4; "d" "f" "h" "v" "x" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 5; "c" "e" 4; "d" "f" "h" "v" "x" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 5; "c" "e" 4; "d" "f" "h" "v" "x" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 5; "c" "e" 4; "d" "f" "h" "v" "x" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 5; "c" "e" 4; "d" "f" "h" "v" "x" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 5; "c" "e" 4; "d" "f" "h" "v" "x" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 5; "c" "e" 4; "d" "f" "h" "v" "x" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 5; "c" "e" 4; "d" "f" "h" "v" "x" "z" 3; "e" "e" 4;
"a" "y" 4; "b" "h" 5; "c" "e" 4; "d" "f" "h" "v" "x" "z" 3; "e" "e" "p" 4;
"a" "y" 4; "b" "h" 5; "c" "e" 4; "d" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 4; "b" "h" 6; "c" "e" 4; "d" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 4; "b" "h" 6; "c" "e" 4; "d" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 4; "b" "h" 6; "c" "e" "q" 4; "d" "h" "v" 4; "e" "e" "p" 4;
