none
none
none
"a" "b" 1;
"a" "b" 1;
"a" "b" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1; "c" "b" 1;
"a" "b" "n" 1; "c" "b" 1;
"a" "b" "n" 1; "c" "b" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1; "e" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1; "e" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1; "e" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1; "e" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1; "e" "e" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1; "e" "e" "m" "t" "w" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1; "e" "e" "m" "t" "w" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1; "e" "e" "m" "t" "w" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1; "e" "t" 2;
"a" "b" "n" 1; "b" "c" "e" "q" 1; "c" "b" "n" 1; "d" "e" "m" "r" 1; "e" "t" 2;
"a" "b" "n" 1; "b" "c" "e" "q" 1; "c" "b" "n" 1; "d" "e" "m" "r" 1; "e" "t" 2;
"a" "b" "n" 1; "b" "c" "e" "q" 1; "c" "b" "n" 1; "d" "e" "m" "r" 1; "e" "t" 2;
"a" "b" "n" 1; "b" "c" "e" "q" 1; "c" "b" "n" 1; "d" "e" "m" "r" 1; "e" "t" 2;
"a" "b" "n" 1; "b" "c" "e" "q" 1; "c" "n" 2; "d" "e" "m" "r" 1; "e" "t" 2;
"a" "b" "n" 1; "b" "c" "e" "q" 1; "c" "n" 2; "d" "e" "m" "r" 1; "e" "t" 2;
"a" "b" "n" 1; "b" "e" 2; "c" "n" 2; "d" "e" "g" "k" "m" "r" 1; "e" "t" 2;
"a" "b" "n" 1; "b" "e" 2; "c" "n" 2; "d" "e" "g" "k" "m" "r" 1; "e" "t" 2;
"a" "b" "n" 1; "b" "e" 2; "c" "n" 2; "d" "e" "g" "j" "k" "m" "r" 1; "e" "t" 2;
"a" "b" "n" 1; "b" "e" 2; "c" "n" 2; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "t" 2;
"a" "b" "n" 1; "b" "e" 2; "c" "n" 2; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "t" 2;
"a" "b" "n" 1; "b" "e" 2; "c" "n" 2; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "t" 2;
"a" "b" "n" 1; "b" "e" 2; "c" "n" 2; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "t" 2;
"a" "b" "n" 1; "b" "e" 2; "c" "n" 2; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "t" 2;
"a" "b" "n" 1; "b" "e" 2; "c" "n" 2; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "t" 2;
"a" "b" "n" "s" "u" 1; "b" "e" 3; "c" "n" 2; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "t" 2;
"a" "b" "n" "s" "u" 1; "b" "e" 3; "c" "n" 2; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "t" 2;
"a" "b" "n" "s" "u" 1; "b" "e" 3; "c" "n" 2; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "t" 2;
"a" "b" "n" "s" "u" 1; "b" "e" 3; "c" "n" 2; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "t" 2;
"a" "b" "n" "s" "u" 1; "b" "e" 3; "c" "n" 2; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "t" 2;
"a" "b" "n" "s" "u" 1; "b" "e" 3; "c" "n" 2; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "t" 2;
"a" "b" "n" "s" "u" 1; "b" "e" 3; "c" "n" 2; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "o" "t" 2;
"a" "b" "n" "s" "u" 1; "b" "e" 3; "c" "n" 2; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "o" "t" 2;
"a" "b" "n" "s" "u" 1; "b" "e" 3; "c" "n" 2; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "o" "t" 2;
"a" "b" "n" "s" "u" 1; "b" "e" 3; "c" "n" 2; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "o" "t" 2;
"a" "b" "n" "s" "u" 1; "b" "e" 3; "c" "n" 2; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "o" "t" 2;
"a" "b" "n" "s" "u" 1; "b" "e" 3; "c" "n" 2; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "m" "o" "t" 2;
"a" "b" "n" "s" "u" 1; "b" "e" 3; "c" "n" 2; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "m" "o" "t" 2;
"a" "b" "n" "s" "u" 1; "b" "e" 3; "c" "n" 2; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "m" "o" "t" 2;
"a" "b" "n" "s" "u" 1; "b" "e" 3; "c" "n" 3; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "m" "o" "t" 2;
"a" "b" "n" "s" "u" 1; "b" "e" 3; "c" "n" 3; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "m" "o" "t" 2;
"a" "b" "n" "s" "u" 1; "b" "e" 3; "c" "n" 3; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "m" "o" "t" 2;
"a" "b" "n" "s" "u" "x" 1; "b" "e" 3; "c" "n" 3; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "m" "o" "t" 2;
"a" "b" "n" "s" "u" "x" 1; "b" "e" 3; "c" "n" 3; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "m" "o" "t" 2;
"a" "b" "n" "s" "u" "x" 1; "b" "e" 3; "c" "n" 3; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "m" "o" "t" 2;
"a" "b" "n" "s" "u" "x" 1; "b" "e" 3; "c" "n" 3; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "m" "o" "t" 2;
"a" "b" "n" "s" "u" "x" 1; "b" "e" 3; "c" "n" 3; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "m" "o" "t" 2;
"a" "b" "n" "s" "u" "x" 1; "b" "e" 3; "c" "n" 3; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" "m" "o" "t" 2;
"a" "b" "n" "s" "u" "x" 1; "b" "e" 4; "c" "n" 3; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" 3;
"a" "s" 2; "b" "e" 4; "c" "n" 3; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" 3;
"a" "s" 2; "b" "e" 4; "c" "n" 3; "d" "e" "g" "j" "k" "m" "r" 1; "e" "e" 3;
"a" "s" "u" 2; "b" "e" 4; "c" "n" 3; "d" "e" "g" "j" "k" "l" "m" "r" 1; "e" "e" 3;
"a" "s" "u" 2; "b" "e" 4; "c" "n" 3; "d" "e" "g" "j" "k" "l" "m" "p" "r" 1; "e" "e" 3;
"a" "s" "u" 2; "b" "e" 4; "c" "n" 4; "d" "e" "f" "g" "j" "k" "l" "m" "p" "r" 1; "e" "e" 3;
"a" "s" "u" 2; "b" "e" 4; "c" "n" 4; "d" "e" "f" "g" "j" "k" "l" "m" "p" "r" 1; "e" "e" 3;
"a" "s" "u" 2; "b" "e" 4; "c" "n" 4; "d" "e" "f" "g" "j" "k" "l" "m" "p" "r" 1; "e" "e" "o" 3;
"a" "s" "u" 2; "b" "e" 4; "c" "n" 4; "d" "e" "f" "g" "j" "k" "l" "m" "p" "r" 1; "e" "e" "o" 3;
"a" "s" "u" 2; "b" "e" 4; "c" "n" 4; "d" "e" "f" "g" "j" "k" "l" "m" "p" "r" 1; "e" "e" "o" 3;
"a" "s" "u" 2; "b" "e" 4; "c" "n" 4; "d" "g" 2; "e" "e" "o" 3;
"a" "s" "u" 2; "b" "e" 4; "c" "n" 4; "d" "g" 2; "e" "e" "o" 3;
"a" "s" "u" 2; "b" "e" 4; "c" "n" 4; "d" "g" 2; "e" "e" "o" 3;
"a" "s" "u" 2; "b" "e" 4; "c" "n" 4; "d" "g" 2; "e" "e" "o" 3;
"a" "s" "u" 2; "b" "e" 3; "c" "n" 4; "d" "g" 2; "e" "e" "o" 3;
"a" "s" "u" 2; "b" "e" 3; "c" "n" 4; "d" "g" 2; "e" "e" "o" 3;
"a" "s" "u" 2; "b" "e" 3; "c" "n" 4; "d" "g" 2; "e" "e" "o" 3;
"a" "s" "u" 2; "b" "e" 3; "c" "n" 4; "d" "g" 2; "e" "e" "o" 3;
"a" "s" "u" 2; "b" "e" 3; "c" "n" 4; "d" "g" 2; "e" "e" "o" 3;
"a" "n" "s" "u" 2; "b" "e" 3; "c" "n" 4; "d" "g" 2; "e" "e" "o" 3;
"a" "n" "s" "u" 2; "b" "e" 3; "c" "n" 4; "d" "g" 2; "e" "e" "o" 3;
"a" "n" "s" "u" 2; "b" "e" 3; "c" "n" 4; "d" "g" 2; "e" "e" "o" 3;
"a" "n" "s" "u" 2; "b" "e" 3; "c" "n" 4; "d" "g" 2; "e" "e" "o" 3;
"a" "n" "s" "u" 2; "b" "e" 3; "c" "n" 4; "d" "g" 2; "e" "e" "o" 3;
"a" "n" "s" "u" 2; "b" "e" 3; "c" "n" 4; "d" "g" 2; "e" "e" "o" 3;
"a" "n" "s" "u" 2; "b" "e" 3; "c" "n" 4; "d" "g" "j" 2; "e" "e" "o" 3;
"a" "n" "s" "u" 2; "b" "e" 3; "c" "n" 4; "d" "g" "j" 2; "e" "e" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" "j" 2; "e" "e" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" "j" 2; "e" "e" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" "j" 2; "e" "e" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" "j" 2; "e" "e" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" "j" 2; "e" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" "j" 2; "e" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" "j" 2; "e" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" "j" 2; "e" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" "j" 2; "e" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" "j" 2; "e" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" "j" 2; "e" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "d" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "d" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "d" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "d" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "d" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "d" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "d" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "d" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "d" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "d" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "d" "e" "m" "o" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "a" "g" "j" 2; "e" "d" "e" "m" "o" "w" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "w" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "w" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "w" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "w" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "w" 3;
"a" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "w" 3;
"a" "n" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "w" 3;
"a" "n" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "w" 3;
"a" "n" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "w" 3;
"a" "n" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "w" 3;
"a" "n" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "w" 3;
"a" "n" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "v" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "v" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "v" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "v" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "v" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "v" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "v" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "v" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "v" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "v" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "q" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "q" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "q" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "q" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "q" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "q" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "q" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "q" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "q" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "q" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "d" "e" "m" "o" "q" "w" 3;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "e" 4;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "e" 4;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "e" 4;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "e" 4;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "e" 4;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "e" 4;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "e" 4;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "e" 4;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "e" 4;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "e" 4;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "e" 4;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "e" 4;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "e" 4;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "e" 4;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "e" 4;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "e" 4;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "e" 4;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" 3; "e" "e" 4;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "g" "t" 3; "e" "e" 4;
"a" "n" "s" "u" 3; "b" "e" 4; "c" "n" 4; "d" "j" 4; "e" "e" "o" 4;
"a" "u" 4; "b" "e" 4; "c" "n" 4; "d" "j" 4; "e" "e" "o" 4;
"a" "u" 4; "b" "e" 4; "c" "n" 4; "d" "j" 4; "e" "e" "o" 4;
"a" "u" 4; "b" "e" 4; "c" "n" 4; "d" "j" 4; "e" "e" "o" 4;
"a" "u" 4; "b" "e" 4; "c" "n" 4; "d" "j" 4; "e" "e" "o" 4;
"a" "u" 4; "b" "e" 4; "c" "n" 4; "d" "j" 4; "e" "e" "o" 4;
"a" "u" 4; "b" "e" 4; "c" "n" 4; "d" "j" 4; "e" "e" "o" 4;
"a" "u" 4; "b" "e" 4; "c" "n" 4; "d" "j" 4; "e" "e" "o" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "o" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "o" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "o" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "o" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "o" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "o" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "o" "q" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "o" "q" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "o" "q" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "o" "q" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "o" "q" 4;
