none
none
none
none
none
none
none
none
none
none
"b" "c" 1;
"b" "c" 1; "e" "f" 1;
"b" "c" 1; "e" "f" 1;
"b" "c" 1; "e" "f" 1;
"b" "c" 1; "d" "i" 1; "e" "f" 1;
"b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "d" "i" 1; "e" "f" "g" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "d" "i" 1; "e" "f" "g" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "d" "i" 1; "e" "f" "g" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "d" "i" 1; "e" "f" "g" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "d" "i" 1; "e" "f" "g" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "d" "i" 1; "e" "f" "g" 1;
"a" "f" "i" 1; "b" "c" 2; "d" "c" "d" "i" 1; "e" "f" "g" 1;
"a" "f" "i" 1; "b" "c" "o" 2; "d" "c" "d" "i" 1; "e" "f" "g" "q" 1;
"a" "e" "f" "i" 1; "b" "c" "o" 2; "d" "c" "d" "i" 1; "e" "f" "g" "q" 1;
"a" "e" "f" "i" 1; "b" "c" "o" 2; "d" "b" "c" "d" "i" 1; "e" "a" "f" "g" "q" 1;
"a" "e" "f" "i" 1; "b" "c" "o" 2; "d" "b" "c" "d" "i" 1; "e" "a" "f" "g" "n" "q" 1;
"a" "e" "f" "i" 1; "b" "c" "o" 2; "d" "b" "c" "d" "i" 1; "e" "a" "f" "g" "n" "q" 1;
"a" "e" "f" "i" 1; "b" "c" "o" 2; "d" "b" "c" "d" "i" 1; "e" "a" "f" "g" "n" "q" 1;
"a" "e" "f" "i" "s" 1; "b" "c" "o" 2; "d" "b" "c" "d" "i" 1; "e" "a" "f" "g" "n" "q" 1;
"a" "e" "f" "g" "i" "s" 1; "b" "c" "o" 2; "d" "a" "b" "c" "d" "i" 1; "e" "a" "b" "f" "g" "n" "q" 1;
"a" "s" 2; "b" "c" "o" 2; "d" "a" "b" "c" "d" "i" 1; "e" "a" "b" "f" "g" "n" "q" 1;
"a" "e" "s" 2; "b" "c" "o" 2; "d" "a" "b" "c" "d" "i" 1; "e" "a" "b" "f" "g" "n" "q" 1;
"a" "e" "s" 2; "b" "c" "o" 2; "d" "a" "b" "c" "d" "i" 1; "e" "a" "b" "f" "g" "n" "q" 1;
"a" "e" "s" 2; "b" "c" "o" 2; "d" "a" "b" "c" "d" "i" 1; "e" "a" "b" "f" "g" "n" "q" 1;
"a" "s" 3; "b" "c" "u" 3; "c" "e" "h" "n" "s" 1; "d" "b" "n" 2; "e" "a" "b" "j" "n" 2;
"a" "s" 3; "b" "c" "u" 3; "c" "e" "h" "n" "s" "u" 1; "d" "b" "n" 2; "e" "a" "b" "j" "n" 2;
"a" "s" 3; "b" "c" "u" 3; "c" "e" "g" "h" "n" "s" "u" "w" 1; "d" "b" "n" 2; "e" "a" "b" "j" "n" 2;
"a" "s" 3; "b" "c" "u" 3; "c" "e" "g" "h" "n" "s" "u" "w" 1; "d" "b" "n" 2; "e" "a" "b" "j" "n" 2;
"a" "s" 3; "b" "u" 4; "c" "e" "g" "h" "n" "s" "u" "w" 1; "d" "b" "n" 2; "e" "a" "b" "j" "n" 2;
"a" "s" 3; "b" "u" 4; "c" "e" "g" "h" "n" "s" "u" "w" 1; "d" "b" "n" 2; "e" "a" "b" "j" "n" 2;
"a" "s" 3; "b" "u" 4; "c" "e" "g" "h" "n" "s" "u" "w" 1; "d" "b" "n" 2; "e" "a" "b" "j" "n" 2;
"a" "s" 3; "b" "u" 4; "c" "e" "g" "h" "n" "s" "u" "w" 1; "d" "b" "n" 2; "e" "a" "b" "j" "n" 2;
"a" "s" 3; "b" "u" 4; "c" "e" "g" "h" "n" "s" "u" "w" 1; "d" "b" "n" 2; "e" "a" "b" "j" "n" 2;
"a" "s" 3; "b" "u" 4; "c" "e" "g" "h" "n" "s" "u" "w" 1; "d" "b" "n" 2; "e" "a" "b" "j" "n" 2;
"a" "s" 3; "b" "u" 4; "c" "h" 2; "d" "b" "n" 2; "e" "a" "b" "j" "n" 2;
"a" "s" 3; "b" "u" 4; "c" "h" 2; "d" "b" 3; "e" "a" "b" "j" "n" 2;
"a" "s" 3; "b" "u" 4; "c" "h" 2; "d" "b" 3; "e" "a" "b" "j" "n" 2;
"a" "s" 4; "b" "u" 4; "c" "h" 2; "d" "b" 3; "e" "a" "b" "j" "n" 2;
"a" "s" 4; "b" "u" 4; "c" "h" 2; "d" "b" 3; "e" "a" "b" "j" "n" 2;
"a" "s" 4; "b" "u" 4; "c" "h" 2; "d" "b" 3; "e" "a" "b" "j" "n" 2;
"a" "s" 4; "b" "u" 4; "c" "h" 2; "d" "b" 3; "e" "a" "b" "j" "n" 2;
"a" "s" 4; "b" "u" 4; "c" "h" 2; "d" "b" 3; "e" "a" "b" "j" "n" 2;
"a" "s" 4; "b" "u" 4; "c" "h" 2; "d" "b" 3; "e" "a" "b" "j" "n" 2;
"a" "s" 4; "b" "u" 4; "c" "h" 2; "d" "b" 3; "e" "a" "b" "j" "n" 2;
"a" "s" 4; "b" "u" 4; "c" "h" 2; "d" "b" 3; "e" "a" "b" "j" "n" 2;
"a" "s" 4; "b" "u" 4; "c" "h" 2; "d" "b" 3; "e" "a" "b" "j" "n" 2;
"a" "s" 4; "b" "u" 4; "c" "h" 2; "d" "b" 3; "e" "a" "b" "j" "n" 2;
"a" "s" 4; "b" "u" 4; "c" "h" 2; "d" "b" 4; "e" "a" "b" "j" "n" 2;
"a" "s" 4; "b" "u" 4; "c" "h" 2; "d" "b" 4; "e" "a" "b" "j" "n" 2;
"a" "s" 5; "b" "u" 4; "c" "h" 2; "d" "b" 5; "e" "a" "b" "j" "n" 2;
"a" "s" 5; "b" "u" 4; "c" "h" 2; "d" "b" 5; "e" "a" "b" "j" "n" 2;
"a" "s" 5; "b" "u" 4; "c" "h" 2; "d" "b" 5; "e" "a" "b" "j" "n" 2;
"a" "s" 5; "b" "u" 4; "c" "h" 2; "d" "b" 5; "e" "a" "b" "g" "j" "n" 2;
"a" "s" 5; "b" "u" 4; "c" "h" 2; "d" "b" 5; "e" "a" "b" "g" "j" "n" 2;
"a" "s" 5; "b" "u" 4; "c" "h" 2; "d" "b" 5; "e" "a" "b" "g" "j" "n" 2;
"a" "s" 5; "b" "u" 4; "c" "h" 2; "d" "b" 5; "e" "a" "b" "g" "j" "n" 2;
"a" "s" 5; "b" "u" 4; "c" "h" 2; "d" "b" 5; "e" "a" "b" "g" "j" "n" 2;
"a" "s" 5; "b" "u" 4; "c" "h" 2; "d" "b" 5; "e" "a" "b" "g" "j" "n" 2;
"a" "s" 5; "b" "u" 4; "c" "h" 2; "d" "b" 5; "e" "a" "b" "g" "j" "n" 2;
"a" "s" 5; "b" "u" 4; "c" "h" 2; "d" "b" 5; "e" "a" "b" "g" "j" "n" 2;
"a" "s" 5; "b" "u" 4; "c" "h" 2; "d" "b" 5; "e" "a" "b" "g" "j" "n" 2;
"a" "s" 5; "b" "u" 4; "c" "h" 2; "d" "b" 5; "e" "a" "b" "g" "j" "n" 2;
"a" "s" 5; "b" "u" 4; "c" "h" 2; "d" "b" 5; "e" "a" "b" "g" "j" "n" 2;
"a" "s" 5; "b" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "a" "b" "g" "j" "n" 2;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 3;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 3;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 3;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 3;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 3;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 3;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 3;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 3;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 3;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" "z" 3;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" "z" 3;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" "z" 3;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" "z" 3;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "k" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "k" "m" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "k" "m" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "k" "m" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "k" "m" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "h" "k" "m" "s" 2; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 5; "b" "c" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" "v" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" "v" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" "v" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" "v" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" "v" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" "v" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" "v" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" "v" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" "v" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" "v" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" "v" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" "v" 5; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" 6; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" 6; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" 6; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" 6; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" 6; "e" "j" 4;
