none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "g" 1;
"d" "g" 1;
"d" "g" 1;
"d" "g" 1;
"d" "g" 1;
"d" "g" 1;
"d" "g" 1;
"d" "g" 1;
"d" "g" 1;
"d" "g" 1;
"d" "g" 1;
"d" "g" 1;
"a" "g" 1; "d" "g" 1;
"a" "e" "g" "z" 1; "d" "g" 1;
"a" "e" "g" "z" 1; "c" "o" 1; "d" "g" 1;
"a" "e" "g" "z" 1; "c" "o" 1; "d" "g" 1;
"a" "e" "g" "z" 1; "c" "o" 1; "d" "g" 1;
"a" "e" "g" "z" 1; "c" "a" "o" 1; "d" "g" 1; "e" "t" 1;
"a" "e" "g" "z" 1; "c" "a" "o" 1; "d" "g" 1; "e" "t" 1;
"a" "e" "g" "z" 1; "c" "a" "o" 1; "d" "g" 1; "e" "t" 1;
"a" "e" "g" "z" 1; "c" "a" "o" 1; "d" "g" 1; "e" "t" 1;
"a" "e" "g" "z" 1; "c" "a" "o" 1; "d" "g" 1; "e" "t" 1;
"a" "e" "g" "v" "z" 1; "c" "a" "o" 1; "d" "g" 1; "e" "t" 1;
"a" "e" "g" "v" "z" 1; "c" "a" "g" "o" 1; "d" "g" 1; "e" "t" 1;
"a" "e" "g" "v" "z" 1; "c" "a" "g" "o" 1; "d" "g" 1; "e" "t" 1;
"a" "e" "g" "v" "z" 1; "c" "a" "e" "g" "o" 1; "d" "g" 1; "e" "t" 1;
"a" "r" "z" 2; "b" "a" "f" "g" "n" "o" "s" 1; "c" "a" "f" "g" "r" 2; "d" "b" "g" "j" "k" "r" 1; "e" "i" "m" "s" "t" "u" "z" 1;
"a" "r" "z" 2; "b" "a" "f" "g" "n" "o" "s" 1; "c" "a" "f" "g" "r" 2; "d" "b" "g" "j" "k" "r" 1; "e" "i" "m" "s" "t" "u" "z" 1;
"a" "r" "z" 2; "b" "a" "f" "g" "n" "o" "s" 1; "c" "a" "f" "g" "r" 2; "d" "b" "g" "j" "k" "r" 1; "e" "i" "m" "s" "t" "u" "z" 1;
"a" "r" "z" 2; "b" "a" "f" "g" "n" "o" "s" 1; "c" "a" "f" "g" "r" 2; "d" "b" "g" "j" "k" "r" 1; "e" "i" "m" "s" "t" "u" "z" 1;
"a" "r" "z" 2; "b" "a" "f" "g" "l" "n" "o" "s" 1; "c" "a" "f" "g" "r" 2; "d" "b" "g" "j" "k" "r" 1; "e" "i" "m" "s" "t" "u" "z" 1;
"a" "r" "z" 2; "b" "a" "f" "g" "l" "n" "o" "s" 1; "c" "a" "b" "f" "g" "r" 2; "d" "b" "g" "j" "k" "r" 1; "e" "i" "m" "s" "t" "u" "z" 1;
"a" "r" "z" 2; "b" "a" "f" "g" "l" "n" "o" "s" 1; "c" "a" "b" "f" "g" "r" 2; "d" "b" "g" "j" "k" "r" 1; "e" "i" "m" "s" "t" "u" "z" 1;
"a" "n" "r" "z" 2; "b" "a" "f" "g" "l" "n" "o" "s" 1; "c" "a" "b" "f" "g" "r" 2; "d" "b" "g" "j" "k" "r" "s" 1; "e" "i" "m" "s" "t" "u" "z" 1;
"a" "n" "r" "z" 2; "b" "a" "f" "g" "l" "n" "o" "s" 1; "c" "a" "b" "f" "g" "r" "v" 2; "d" "b" "g" "j" "k" "r" "s" 1; "e" "d" "i" "m" "s" "t" "u" "z" 1;
"a" "n" "r" "z" 2; "b" "a" "f" "g" "l" "n" "o" "s" 1; "c" "a" "b" "f" "g" "r" "v" 2; "d" "b" "g" "j" "k" "r" "s" 1; "e" "d" "i" "m" "s" "t" "u" "z" 1;
"a" "n" "r" "z" 2; "b" "a" "f" "g" "l" "n" "o" "s" 1; "c" "a" "b" "f" "g" "r" "v" 2; "d" "b" "g" "j" "k" "r" "s" 1; "e" "d" "i" "m" "s" "t" "u" "z" 1;
"a" "n" "r" "z" 2; "b" "a" "f" "g" "l" "n" "o" "s" 1; "c" "a" "b" "f" "g" "r" "v" 2; "d" "b" "g" "j" "k" "r" "s" 1; "e" "d" "i" "m" "s" "t" "u" "z" 1;
"a" "n" "r" "z" 2; "b" "a" "e" "f" "g" "l" "n" "o" "s" 1; "c" "a" "b" "f" "g" "r" "v" 2; "d" "b" "g" "j" "k" "r" "s" 1; "e" "d" "i" "m" "s" "t" "u" "z" 1;
"a" "n" "r" "z" 2; "b" "a" "e" "f" "g" "l" "n" "o" "s" 1; "c" "a" "b" "f" "g" "r" "v" 2; "d" "b" "g" "j" "k" "r" "s" 1; "e" "d" "i" "m" "s" "t" "u" "z" 1;
"a" "n" "r" "z" 2; "b" "a" "e" "f" "g" "l" "n" "o" "s" 1; "c" "a" "b" "f" "g" "r" "v" 2; "d" "b" "g" "j" "k" "r" "s" 1; "e" "d" "i" "m" "s" "t" "u" "z" 1;
"a" "n" "r" "z" 2; "b" "a" "e" "f" "g" "k" "l" "n" "o" "s" 1; "c" "a" "b" "f" "g" "r" "v" 2; "d" "b" "g" "j" "k" "r" "s" 1; "e" "d" "i" "m" "s" "t" "u" "z" 1;
"a" "n" "r" "z" 2; "b" "a" "e" "f" "g" "k" "l" "m" "n" "o" "s" 1; "c" "r" 3; "d" "k" 2; "e" "d" "i" "m" "s" "t" "u" "z" 1;
"a" "n" "r" "z" 2; "b" "a" "e" "f" "g" "k" "l" "m" "n" "o" "s" 1; "c" "r" 3; "d" "k" 2; "e" "d" "i" "m" "s" "t" "u" "z" 1;
"a" "n" "r" "z" 2; "b" "a" "e" "f" "g" "k" "l" "m" "n" "o" "s" 1; "c" "r" 3; "d" "k" 2; "e" "d" "i" "m" "s" "t" "u" "z" 1;
"a" "n" "r" "z" 2; "b" "a" "e" "f" "g" "k" "l" "m" "n" "o" "s" 1; "c" "f" "r" 3; "d" "k" 2; "e" "b" "d" "i" "m" "s" "t" "u" "z" 1;
"a" "n" "r" "z" 2; "b" "a" "e" "f" "g" "k" "l" "m" "n" "o" "s" 1; "c" "b" "f" "r" 3; "d" "k" 2; "e" "b" "d" "i" "m" "s" "t" "u" "w" "z" 1;
"a" "n" "r" "z" 2; "b" "a" "e" "f" "g" "k" "l" "m" "n" "o" "s" 1; "c" "f" 4; "d" "k" 2; "e" "b" "d" "i" "m" "s" "t" "u" "w" "z" 1;
"a" "n" 3; "b" "a" "e" "f" "g" "k" "l" "m" "n" "o" "s" 1; "c" "f" 4; "d" "k" 2; "e" "b" "d" "i" "m" "s" "t" "u" "w" "z" 1;
"a" "n" 3; "b" "a" "e" "f" "g" "k" "l" "m" "n" "o" "s" 1; "c" "f" 4; "d" "k" 2; "e" "b" "d" "i" "m" "s" "t" "u" "w" "z" 1;
"a" "n" 3; "b" "a" "e" "f" "g" "k" "l" "m" "n" "o" "s" 1; "c" "f" 4; "d" "k" 2; "e" "b" "d" "i" "m" "s" "t" "u" "w" "z" 1;
"a" "n" 3; "b" "a" "e" "f" "g" "k" "l" "m" "n" "o" "s" 1; "c" "f" 4; "d" "k" 2; "e" "b" "d" "i" "m" "s" "t" "u" "w" "z" 1;
"a" "n" 3; "b" "a" "e" "f" "g" "k" "l" "m" "n" "o" "s" 1; "c" "f" 4; "d" "k" 2; "e" "b" "d" "i" "m" "s" "t" "u" "w" "z" 1;
"a" "n" 3; "b" "a" "e" "f" "g" "k" "l" "m" "n" "o" "s" 1; "c" "f" 4; "d" "k" 2; "e" "b" "d" "i" "m" "s" "t" "u" "w" "z" 1;
"a" "n" 3; "b" "a" "e" "f" "g" "k" "l" "m" "n" "o" "s" 1; "c" "f" 4; "d" "k" 2; "e" "b" "d" "i" "m" "s" "t" "u" "w" "z" 1;
"a" "n" 3; "b" "a" "e" "f" "g" "k" "l" "m" "n" "o" "s" 1; "c" "f" 4; "d" "k" 2; "e" "b" "d" "i" "m" "s" "t" "u" "w" "z" 1;
"a" "n" 3; "b" "a" "e" "f" "g" "k" "l" "m" "n" "o" "s" 1; "c" "f" "g" 4; "d" "k" 2; "e" "b" "d" "f" "i" "m" "s" "t" "u" "w" "z" 1;
"a" "n" 3; "b" "a" "e" "f" "g" "k" "l" "m" "n" "o" "s" 1; "c" "f" "g" 4; "d" "k" 2; "e" "b" "d" "f" "i" "m" "s" "t" "u" "w" "z" 1;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "k" "l" "m" "n" "o" "s" 1; "c" "f" "g" 4; "d" "k" 2; "e" "b" "d" "f" "i" "m" "s" "t" "u" "w" "z" 1;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "k" "l" "m" "n" "o" "s" 1; "c" "f" "g" 4; "d" "k" 2; "e" "b" "d" "f" "i" "m" "s" "t" "u" "w" "z" 1;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "k" "l" "m" "n" "o" "s" 1; "c" "f" "g" 4; "d" "k" 2; "e" "b" "d" "f" "i" "m" "s" "t" "u" "w" "z" 1;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "s" 1; "c" "f" "g" 4; "d" "k" 2; "e" "b" "d" "f" "i" "m" "s" "t" "u" "w" "z" 1;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "s" 1; "c" "f" "g" 4; "d" "k" 2; "e" "b" "d" "f" "i" "m" "s" "t" "u" "w" "z" 1;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "s" "y" 1; "c" "f" "g" 4; "d" "k" 2; "e" "b" "d" "f" "i" "m" "s" "t" "u" "w" "z" 1;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "s" "y" 1; "c" "f" "g" 4; "d" "k" "r" 2; "e" "b" "d" "f" "i" "m" "o" "s" "t" "u" "w" "z" 1;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "s" "y" 1; "c" "f" "g" 4; "d" "k" "r" 2; "e" "b" "d" "f" "i" "m" "o" "s" "t" "u" "w" "z" 1;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "s" "y" 1; "c" "f" "g" 4; "d" "k" "r" 2; "e" "b" "d" "f" "i" "m" "o" "s" "t" "u" "w" "z" 1;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "s" "y" 1; "c" "f" "g" 4; "d" "k" "r" 2; "e" "b" "d" "f" "i" "m" "o" "s" "t" "u" "w" "z" 1;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "s" "y" 1; "c" "f" "g" 4; "d" "k" "r" 2; "e" "b" "d" "f" "i" "m" "o" "s" "t" "u" "w" "z" 1;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "s" "y" 1; "c" "g" 5; "d" "k" "p" "r" 2; "e" "b" "d" "f" "i" "m" "o" "s" "t" "u" "w" "z" 1;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "s" "y" 1; "c" "g" 5; "d" "k" "p" "r" 2; "e" "b" "d" "f" "i" "m" "o" "s" "t" "u" "w" "z" 1;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "s" "y" 1; "c" "g" 5; "d" "k" "p" "r" "t" 2; "e" "b" "d" "f" "i" "m" "o" "s" "t" "u" "w" "z" 1;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "s" "y" 1; "c" "g" 5; "d" "k" "p" "r" "t" 2; "e" "b" "d" "f" "i" "m" "o" "s" "t" "u" "w" "z" 1;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "q" "s" "y" 1; "c" "g" 5; "d" "k" "p" "r" "t" 2; "e" "b" "d" "f" "h" "i" "m" "o" "s" "t" "u" "w" "z" 1;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "q" "s" "y" 1; "c" "g" 5; "d" "k" "p" "r" "t" 2; "e" "b" "d" "f" "h" "i" "m" "o" "s" "t" "u" "w" "z" 1;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "q" "s" "y" 1; "c" "g" 5; "d" "k" "p" "r" "t" 2; "e" "b" 2;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "q" "s" "y" 1; "c" "g" 5; "d" "k" "p" "r" "t" 2; "e" "b" 2;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "q" "s" "y" 1; "c" "g" 5; "d" "k" "p" "r" "t" 2; "e" "b" 2;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "q" "s" "y" 1; "c" "g" 5; "d" "k" "p" "r" "s" "t" 2; "e" "b" 2;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "q" "s" "y" 1; "c" "g" 5; "d" "k" "p" "r" "s" "t" 2; "e" "b" 2;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "q" "s" "y" 1; "c" "g" 5; "d" "k" "p" "r" "s" "t" 2; "e" "b" 2;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "q" "s" "y" 1; "c" "g" 5; "d" "k" "p" "r" "s" "t" 2; "e" "b" "h" 2;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "q" "s" "y" 1; "c" "g" 5; "d" "k" "p" "r" "s" "t" 2; "e" "b" "h" 2;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "q" "s" "y" 1; "c" "g" 5; "d" "k" "p" "r" "s" 2; "e" "b" "h" 2;
"a" "n" "p" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "q" "s" "y" 1; "c" "g" 5; "d" "k" "p" "r" "s" 2; "e" "b" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "e" "f" "g" "i" "k" "l" "m" "n" "o" "q" "r" "s" "y" 1; "c" "g" 5; "d" "k" "p" "r" "s" 2; "e" "b" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "e" "f" "g" "h" "i" "k" "l" "m" "n" "o" "q" "r" "y" 1; "c" "g" 5; "d" "k" "p" "r" "s" 2; "e" "b" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "e" "f" "g" "h" "i" "k" "l" "m" "n" "o" "q" "r" "y" 1; "c" "g" 5; "d" "k" "p" "r" "s" 2; "e" "b" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "e" "f" "g" "h" "i" "k" "l" "m" "n" "o" "q" "r" "y" 1; "c" "g" 5; "d" "j" "k" "p" "r" "s" 2; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "e" "f" "g" "h" "i" "k" "l" "m" "n" "o" "p" "q" "r" "x" "y" 1; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "e" "f" "g" "h" "i" "k" "l" "m" "n" "o" "p" "q" "r" "x" "y" 1; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "e" "f" "g" "h" "i" "k" "l" "m" "n" "o" "p" "q" "r" "x" "y" 1; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "e" "f" "g" "h" "i" "k" "l" "m" "n" "o" "p" "q" "r" "x" "y" 1; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "e" "f" "g" "h" "i" "k" "l" "m" "n" "o" "p" "q" "r" "x" "y" 1; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "e" "f" "g" "h" "i" "k" "l" "m" "n" "o" "p" "q" "r" "x" "y" 1; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "e" "f" "g" "h" "i" "k" "l" "m" "n" "o" "p" "q" "r" "x" "y" 1; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "e" "f" "g" "h" "i" "k" "l" "m" "n" "o" "p" "q" "r" "x" "y" 1; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "e" "f" "g" "h" "i" "k" "l" "m" "n" "o" "p" "q" "r" "x" "y" 1; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
