none
none
none
none
"d" "r" 1;
"d" "r" 1;
"d" "r" 1;
"d" "r" 1;
"d" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"c" "t" 1; "d" "p" "r" 1;
"c" "t" 1; "d" "p" "r" 1;
"c" "t" 1; "d" "p" "r" 1;
"c" "t" 1; "d" "p" "r" 1;
"c" "t" 1; "d" "p" "r" 1;
"a" "e" 1; "c" "t" 1; "d" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "a" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "a" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "a" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 3; "b" "a" 2; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 3; "b" "a" 2; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 3; "b" "a" 2; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 3; "b" "a" 2; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 3; "b" "a" 3; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 4; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 3; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 3; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 3; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 3; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 3; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 3; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 3; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 3; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 3; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 3; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 3; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 3; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 3; "c" "j" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" "p" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" "p" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" "p" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" "p" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" "p" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" "p" "y" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" "p" "y" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 4; "b" "a" "p" "y" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" "x" 4; "b" "a" "p" "y" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" "x" 4; "b" "a" "p" "y" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" "x" 4; "b" "a" "d" "p" "y" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" "x" 4; "b" "a" "d" "p" "y" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" "x" 4; "b" "a" "d" "p" "y" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" "i" "x" 4; "b" "a" "d" "p" "y" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" "i" "x" 4; "b" "a" "d" "p" "y" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" "i" "x" 4; "b" "a" "d" "p" "y" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" "i" "x" 4; "b" "a" "d" "p" "y" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" "i" "x" 4; "b" "a" "d" "p" "y" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" "i" "x" 4; "b" "a" "d" "p" "y" 3; "c" "j" "o" "u" 3; "d" "m" 4; "e" "u" 6;
"a" "e" "i" "x" 4; "b" "a" "d" "p" "y" 3; "c" "j" "o" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" "i" "x" 4; "b" "a" "d" "p" "y" 3; "c" "j" "o" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" "i" "x" 4; "b" "a" "d" "p" "y" 3; "c" "j" "o" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" "i" "x" 4; "b" "a" "d" "p" "y" 3; "c" "j" "o" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" "i" "x" 4; "b" "a" "d" "p" "y" 3; "c" "j" "o" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" "i" "x" 4; "b" "a" "d" "p" "y" 3; "c" "j" "o" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" "i" "x" 4; "b" "a" "d" "p" "y" 3; "c" "j" "o" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" "i" "x" 4; "b" "a" "d" "p" "y" 3; "c" "j" "o" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" "i" "x" 4; "b" "y" 4; "c" "j" "o" "t" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" "i" "x" 4; "b" "y" 4; "c" "j" "o" "t" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" "i" "x" 4; "b" "y" 4; "c" "j" "o" "t" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "o" "t" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "o" "t" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "o" "t" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "o" "t" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "o" "t" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "o" "t" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "o" "t" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "o" "t" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "o" "t" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "o" "t" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "o" "t" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "o" "t" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "o" "t" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "o" "t" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "o" "t" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "o" "t" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "o" "q" "t" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "o" "q" "t" "u" "z" 3; "d" "m" 4; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "q" 4; "d" "m" 4; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "q" 4; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "q" 4; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "q" 4; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "q" 4; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "q" 4; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "q" 4; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "q" 4; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "q" 4; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 4; "c" "j" "q" 4; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 5; "c" "j" "q" 4; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 5; "c" "j" "q" 4; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 5; "c" "j" "q" 4; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 5; "c" "j" "q" 4; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 5; "c" "j" 5; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 5; "c" "j" 5; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 5; "c" "j" 5; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 5; "c" "j" 5; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 5; "c" "j" 5; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 5; "c" "j" 5; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 5; "c" "j" 5; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 5; "c" "j" 5; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 5; "c" "j" 5; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 5; "c" "j" 5; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 5; "c" "j" 5; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 5; "c" "j" 5; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 5; "c" "j" 5; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 5; "c" "j" 5; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 5; "c" "j" 5; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 5; "c" "j" 5; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 5; "c" "j" 5; "d" "m" 5; "e" "u" 6;
"a" "e" 5; "b" "y" 5; "c" "j" 5; "d" "m" 5; "e" "u" 6;
