none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "l" 1;
"d" "l" 1;
"d" "l" 1;
"d" "l" 1;
"d" "l" 1;
"c" "c" 1; "d" "l" 1;
"c" "c" 1; "d" "l" 1;
"c" "c" "u" 1; "d" "l" 1;
"a" "k" 1; "c" "c" "u" 1; "d" "l" 1;
"a" "k" 1; "c" "c" "u" 1; "d" "l" 1;
"a" "k" 1; "c" "c" "u" 1; "d" "l" "z" 1;
"a" "k" 1; "c" "c" "n" "u" 1; "d" "l" "z" 1;
"a" "k" 1; "c" "c" "n" "u" 1; "d" "l" "z" 1;
"a" "k" 1; "c" "c" "n" "u" 1; "d" "l" "z" 1;
"a" "k" 1; "c" "c" "n" "s" "u" 1; "d" "l" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "l" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "l" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "l" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "l" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "l" "s" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "l" "s" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "l" "s" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "j" "l" "s" "z" 1; "e" "x" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "j" "l" "s" "z" 1; "e" "x" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "j" "l" "s" "z" 1; "e" "x" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "j" "l" "s" "z" 1; "e" "x" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "j" "l" "s" "z" 1; "e" "x" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "j" "l" "s" "z" 1; "e" "x" 1;
"a" "a" "b" "j" "k" "s" "y" 1; "b" "c" "t" "x" 1; "c" "c" "d" "l" "n" "s" "u" 1; "d" "b" 3; "e" "h" "i" "v" "x" "z" 1;
"a" "a" "b" "j" "k" "s" "y" 1; "b" "c" "t" "x" 1; "c" "c" "d" "l" "n" "s" "u" 1; "d" "b" 3; "e" "h" "i" "v" "x" "z" 1;
"a" "a" "b" "f" "j" "k" "s" "y" 1; "b" "c" "t" "x" 1; "c" "c" "d" "l" "n" "p" "s" "u" 1; "d" "b" 3; "e" "g" "h" "i" "v" "x" "z" 1;
"a" "a" "b" "f" "j" "k" "s" "y" 1; "b" "c" "t" "x" 1; "c" "c" "d" "l" "n" "p" "s" "u" 1; "d" "b" 3; "e" "g" "h" "i" "v" "x" "z" 1;
"a" "a" "b" "f" "j" "k" "s" "y" 1; "b" "c" "t" "v" "x" 1; "c" "c" "d" "l" "n" "p" "s" "u" 1; "d" "b" 3; "e" "g" "h" "i" "v" "x" "z" 1;
"a" "a" "b" "f" "j" "k" "s" "y" 1; "b" "c" "t" "v" "x" 1; "c" "c" "d" "l" "n" "p" "s" "u" 1; "d" "b" 3; "e" "g" "h" "i" "v" "x" "z" 1;
"a" "a" "b" "d" "f" "j" "k" "s" "y" 1; "b" "c" "t" "v" "x" 1; "c" "c" "d" "e" "j" "l" "n" "p" "s" "u" 1; "d" "b" 3; "e" "g" "h" "i" "v" "x" "z" 1;
"a" "a" "b" "d" "f" "j" "k" "s" "y" 1; "b" "c" "t" "v" "x" 1; "c" "c" "d" "e" "j" "l" "n" "p" "s" "u" 1; "d" "b" 3; "e" "g" "h" "i" "v" "x" "z" 1;
"a" "a" "b" "d" "f" "j" "k" "s" "y" 1; "b" "c" "t" "v" "x" 1; "c" "c" "d" "e" "j" "l" "n" "p" "s" "u" 1; "d" "b" 3; "e" "g" "h" "i" "v" "x" "z" 1;
"a" "a" "b" "d" "f" "j" "k" "r" "s" "y" 1; "b" "c" "t" "v" "x" 1; "c" "c" "d" "e" "j" "l" "n" "p" "s" "u" 1; "d" "b" 3; "e" "g" "h" "i" "v" "x" "z" 1;
"a" "a" "b" "d" "e" "f" "j" "k" "r" "s" "y" 1; "b" "c" "t" "v" "x" 1; "c" "c" "d" "e" "j" "l" "n" "p" "s" "u" 1; "d" "b" 3; "e" "g" "h" "i" "v" "x" "z" 1;
"a" "a" "b" "d" "e" "f" "j" "k" "r" "s" "y" 1; "b" "c" "t" "v" "x" 1; "c" "c" "d" "e" "j" "l" "n" "p" "s" "u" 1; "d" "b" 3; "e" "g" "h" "i" "v" "x" "z" 1;
"a" "a" "b" "d" "e" "f" "j" "k" "r" "s" "y" 1; "b" "c" "t" "v" "x" 1; "c" "c" "d" "e" "j" "l" "n" "p" "s" "u" 1; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "a" "b" "d" "e" "f" "j" "k" "r" "s" "y" 1; "b" "c" "t" "v" "x" 1; "c" "c" "d" "e" "j" "l" "n" "p" "s" "u" 1; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "a" "b" "d" "e" "f" "j" "k" "r" "s" "y" 1; "b" "c" "t" "v" "x" 1; "c" "c" "d" "e" "j" "l" "n" "p" "s" "u" 1; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "a" "b" "d" "e" "f" "j" "k" "r" "s" "y" 1; "b" "c" "t" "v" "x" 1; "c" "c" "d" "e" "j" "l" "n" "p" "s" "u" "w" 1; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "e" 2; "b" "c" "t" "v" "x" 1; "c" "d" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "e" 2; "b" "c" "t" "v" "x" 1; "c" "d" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "e" 2; "b" "c" "t" "v" "x" 1; "c" "d" "j" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "e" 2; "b" "c" "t" "v" "x" 1; "c" "d" "j" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "e" 2; "b" "c" "t" "v" "x" 1; "c" "d" "j" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "e" 2; "b" "c" "o" "t" "v" "x" 1; "c" "d" "j" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "e" 2; "b" "c" "o" "t" "v" "x" 1; "c" "d" "j" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "e" "s" 2; "b" "c" "o" "t" "v" "x" 1; "c" "d" "j" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "e" "s" 2; "b" "c" "o" "t" "v" "x" 1; "c" "d" "j" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "e" "s" 2; "b" "c" "h" "o" "t" "v" "x" 1; "c" "d" "j" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "e" "s" 2; "b" "c" "h" "o" "t" "v" "x" 1; "c" "d" "j" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "e" "s" 2; "b" "c" "h" "o" "t" "v" "x" 1; "c" "d" "j" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "e" "s" 2; "b" "c" "h" "o" "t" "v" "x" 1; "c" "d" "j" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "e" "s" 2; "b" "c" "h" "o" "t" "v" "x" 1; "c" "d" "j" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "e" "s" "y" 2; "b" "c" "h" "o" "t" "v" "x" 1; "c" "d" "j" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "b" "e" "s" "y" 2; "b" "c" "h" "o" "t" "v" "x" 1; "c" "d" "j" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "b" "e" "s" "y" 2; "b" "c" "h" "o" "t" "v" "x" 1; "c" "d" "j" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "b" "e" "s" "y" 2; "b" "c" "h" "o" "t" "v" "x" 1; "c" "d" "j" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "b" "e" "s" "y" 2; "b" "c" "h" "o" "t" "v" "x" 1; "c" "d" "j" "s" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "b" "e" "s" "y" 2; "b" "c" "h" "o" "t" "v" "x" 1; "c" "d" "j" "s" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "b" "e" "s" "y" 2; "b" "c" "f" "h" "l" "o" "t" "v" "x" 1; "c" "d" "j" "s" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "b" "e" "s" "y" 2; "b" "c" "f" "h" "l" "o" "t" "v" "x" 1; "c" "d" "j" "s" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "b" "e" "s" "y" 2; "b" "c" "f" "h" "l" "o" "t" "v" "x" 1; "c" "d" "j" "s" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "b" "e" "s" "y" 2; "b" "c" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "j" "s" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "b" "e" "s" "y" 2; "b" "c" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "j" "s" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "b" "e" "s" "y" 2; "b" "c" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "j" "s" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "b" "e" "s" "y" 2; "b" "c" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "j" "s" 2; "d" "b" 3; "e" "g" "h" "i" "r" "v" "x" "z" 1;
"a" "b" "e" "s" "y" 2; "b" "c" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "j" "s" 2; "d" "b" 3; "e" "i" 2;
"a" "b" "e" "s" "y" 2; "b" "c" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "j" "s" 2; "d" "b" 3; "e" "i" 2;
"a" "b" "e" "s" "y" 2; "b" "c" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "j" "s" 2; "d" "b" 3; "e" "i" 2;
"a" "b" "e" "s" "y" 2; "b" "c" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "j" "s" 2; "d" "b" 3; "e" "i" 2;
"a" "e" 3; "b" "c" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "j" "s" 2; "d" "b" 3; "e" "i" 2;
"a" "e" 3; "b" "c" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "j" "s" 2; "d" "b" 3; "e" "i" 2;
"a" "e" 3; "b" "c" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "j" "s" 2; "d" "b" 3; "e" "i" 2;
"a" "e" 3; "b" "c" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" 2;
"a" "e" 3; "b" "c" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" 2;
"a" "e" 3; "b" "c" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" 2;
"a" "e" 3; "b" "c" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" 2;
"a" "e" 3; "b" "c" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" 2;
"a" "e" 3; "b" "c" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" 2;
"a" "e" 3; "b" "c" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" 2;
"a" "e" 3; "b" "c" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" 2;
"a" "e" 3; "b" "c" "e" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" 2;
"a" "e" 3; "b" "c" "e" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" "r" 2;
"a" "e" 3; "b" "c" "e" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" "r" 2;
"a" "e" 3; "b" "c" "e" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" "r" 2;
"a" "e" 3; "b" "c" "e" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" "r" 2;
"a" "e" 3; "b" "c" "e" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" "r" 2;
"a" "e" 3; "b" "c" "e" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" "r" 2;
"a" "e" 3; "b" "c" "e" "f" "h" "l" "n" "o" "t" "v" "x" 1; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" "r" 2;
"a" "e" 3; "b" "c" "e" "f" "h" "l" "n" "o" "r" "t" "v" "x" 1; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" "r" "t" 2;
"a" "e" 3; "b" "c" "e" "f" "h" "l" "n" "o" "r" "t" "v" "x" 1; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" "r" "t" 2;
"a" "e" "s" 3; "b" "c" "e" "f" "h" "l" "n" "o" "r" "t" "u" "v" "x" 1; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" 3;
"a" "e" "s" 3; "b" "c" "e" "f" "h" "l" "n" "o" "r" "t" "u" "v" "x" 1; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" 3;
"a" "e" "s" 3; "b" "c" "e" "f" "h" "l" "n" "o" "r" "t" "u" "v" "x" 1; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" 3;
"a" "e" "s" 3; "b" "o" 2; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" 3;
"a" "e" "s" 3; "b" "o" 2; "c" "d" "e" "j" "s" 2; "d" "b" 3; "e" "i" 3;
"a" "e" "s" 3; "b" "o" 2; "c" "d" "e" "j" "s" 2; "d" "b" "l" 3; "e" "i" 3;
"a" "e" "s" 3; "b" "o" 2; "c" "d" "e" "j" "s" 2; "d" "b" "l" 3; "e" "i" 3;
"a" "e" "s" 3; "b" "o" 2; "c" "d" "e" "j" "s" 2; "d" "b" "l" 3; "e" "i" 3;
"a" "e" "s" 3; "b" "o" 2; "c" "d" "e" "j" "s" 2; "d" "b" "l" 3; "e" "i" 3;
"a" "e" "s" 3; "b" "o" 2; "c" "d" "e" "j" "s" 2; "d" "b" "l" 3; "e" "i" 3;
"a" "e" "s" 3; "b" "o" 2; "c" "d" "e" "j" "s" 2; "d" "b" "l" 3; "e" "i" 3;
"a" "e" "s" 3; "b" "o" 2; "c" "d" "e" "j" "s" 2; "d" "b" "l" "p" 3; "e" "i" 3;
"a" "e" "s" 3; "b" "o" 2; "c" "d" "e" "j" "o" "s" 2; "d" "b" "l" "p" 3; "e" "i" 3;
"a" "e" "s" 3; "b" "o" 2; "c" "d" "e" "j" "o" "s" 2; "d" "b" "l" "p" 3; "e" "i" 3;
"a" "e" "s" 3; "b" "o" 2; "c" "d" "e" "j" "o" "s" 2; "d" "b" "l" "p" 3; "e" "i" 3;
"a" "e" "s" 3; "b" "o" 2; "c" "d" "e" "j" "o" "s" 2; "d" "b" "l" "p" 3; "e" "i" 3;
"a" "e" "s" 3; "b" "o" 2; "c" "d" "e" "j" "o" "s" 2; "d" "b" "l" "p" 3; "e" "i" 3;
"a" "s" 4; "b" "o" 2; "c" "d" "e" "j" "o" "s" 2; "d" "b" "l" "p" 3; "e" "i" 3;
"a" "s" 4; "b" "o" 2; "c" "d" "e" "j" "o" "s" 2; "d" "b" "l" "p" 3; "e" "i" 3;
"a" "s" 4; "b" "o" 2; "c" "d" "j" "o" "s" 2; "d" "b" "l" "p" 3; "e" "i" 3;
"a" "s" 4; "b" "o" "v" 2; "c" "d" "j" "o" "s" 2; "d" "b" "l" "p" 3; "e" "i" 3;
"a" "s" 4; "b" "o" "v" 2; "c" "d" "j" "o" "s" 2; "d" "b" "l" "p" 3; "e" "i" 3;
"a" "s" 4; "b" "o" "v" 2; "c" "d" "j" "o" "s" 2; "d" "b" "l" "p" 3; "e" "i" 3;
"a" "s" 4; "b" "o" "v" 2; "c" "d" "j" "o" "s" 2; "d" "b" "l" "p" 3; "e" "i" 3;
"a" "s" 4; "b" "o" "v" 2; "c" "d" "j" "o" "s" 2; "d" "b" "l" "p" 3; "e" "i" 3;
"a" "s" 4; "b" "o" "v" 2; "c" "d" "j" "o" "s" 2; "d" "b" "l" "p" 3; "e" "i" 3;
"a" "s" 4; "b" "o" "v" 2; "c" "d" "j" "o" "s" 2; "d" "b" "l" "p" 3; "e" "i" 3;
"a" "s" 4; "b" "o" "v" 2; "c" "d" "j" "o" "s" 2; "d" "b" "l" "p" 3; "e" "i" 3;
"a" "s" 4; "b" "o" "v" 2; "c" "d" "j" "o" "s" 2; "d" "b" "l" "p" 3; "e" "i" 3;
"a" "s" 4; "b" "o" "v" 2; "c" "d" "j" "o" "s" 2; "d" "b" "l" "p" 3; "e" "i" "t" 3;
"a" "s" 4; "b" "o" "v" 2; "c" "d" "g" "j" "o" "s" 2; "d" "b" "l" "p" 3; "e" "i" "t" 3;
"a" "s" 4; "b" "i" "o" "v" 2; "c" "d" "g" "j" "o" "s" 2; "d" "b" 4; "e" "i" "t" 3;
"a" "s" 4; "b" "i" "o" "v" 2; "c" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" "t" 3;
"a" "s" 4; "b" "i" "o" "v" 2; "c" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" "t" 3;
"a" "s" 4; "b" "i" "o" "v" 2; "c" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" "t" 3;
"a" "s" 4; "b" "i" 3; "c" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" "t" 3;
"a" "s" 4; "b" "i" 3; "c" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" "t" 3;
"a" "s" 4; "b" "i" 3; "c" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" "t" 3;
"a" "s" 4; "b" "i" 3; "c" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" "t" 3;
"a" "s" 4; "b" "i" 3; "c" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" 4;
"a" "s" 4; "b" "i" 3; "c" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" 4;
"a" "s" 4; "b" "i" 3; "c" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" 4;
"a" "e" "s" 4; "b" "i" 3; "c" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" 4;
