none
none
none
none
none
none
none
none
none
none
none
none
"d" "c" 1;
"d" "c" 1;
"b" "n" 1; "d" "c" 1;
"b" "n" 1; "d" "c" 1;
"b" "n" 1; "d" "c" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "q" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "q" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "q" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "q" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "q" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "l" "q" "r" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "l" "q" "r" "w" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "l" "q" "r" "w" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "l" "q" "r" "w" "y" 1;
"a" "h" "p" 1; "b" "d" "n" 1; "d" "r" 2; "e" "e" 1;
"a" "h" "p" 1; "b" "d" "n" 2; "c" "b" "d" "n" "r" 1; "d" "l" "r" 2; "e" "e" "f" "p" 1;
"a" "h" "p" 1; "b" "d" "n" 2; "c" "b" "d" "n" "r" 1; "d" "l" "r" 2; "e" "e" "f" "p" 1;
"a" "h" "p" 1; "b" "d" "n" 2; "c" "b" 2; "d" "l" "r" 2; "e" "e" "f" "p" 1;
"a" "h" "p" 1; "b" "d" "n" 2; "c" "b" 2; "d" "l" "r" 2; "e" "e" "f" "p" 1;
"a" "h" "p" 1; "b" "d" "n" 2; "c" "b" 2; "d" "l" "r" 2; "e" "e" "f" "p" 1;
"a" "h" "p" 1; "b" "d" "n" 2; "c" "b" 2; "d" "l" "r" 2; "e" "e" "f" "p" 1;
"a" "h" "p" 1; "b" "d" "n" 2; "c" "b" 2; "d" "l" "r" 2; "e" "e" "f" "p" 1;
"a" "h" "p" 1; "b" "d" "n" 2; "c" "b" 2; "d" "l" "r" 2; "e" "e" "f" "p" 1;
"a" "e" "h" "i" "p" 1; "b" "d" "n" 2; "c" "b" "n" 2; "d" "l" "r" 2; "e" "e" "f" "p" 1;
"a" "e" "h" "i" "p" 1; "b" "d" "n" 2; "c" "n" 3; "d" "l" "r" 2; "e" "e" "f" "p" "z" 1;
"a" "e" "h" "i" "p" 1; "b" "d" "n" 2; "c" "n" 3; "d" "l" "r" 2; "e" "e" "f" "p" "z" 1;
"a" "e" "h" "i" "j" "p" 1; "b" "n" 2; "c" "n" 3; "d" "l" "r" 2; "e" "e" "f" "p" "z" 1;
"a" "e" "h" "i" "j" "p" 1; "b" "n" 2; "c" "n" 3; "d" "l" "r" 2; "e" "e" "f" "p" "z" 1;
"a" "e" "h" "i" "j" "p" 1; "b" "n" 2; "c" "n" 3; "d" "l" "r" 2; "e" "d" "e" "f" "p" "r" "z" 1;
"a" "e" "h" "i" "j" "p" 1; "b" "n" 2; "c" "n" 3; "d" "l" "r" 2; "e" "d" "e" "f" "p" "r" "z" 1;
"a" "e" "h" "i" "j" "p" 1; "b" "n" 2; "c" "n" 3; "d" "l" "r" 2; "e" "d" "e" "f" "p" "r" "z" 1;
"a" "h" 2; "b" "n" 2; "c" "n" 3; "d" "l" "r" 2; "e" "d" "e" "f" "j" "p" "r" "z" 1;
"a" "h" 2; "b" "n" 2; "c" "n" 3; "d" "l" "r" 2; "e" "d" "e" "f" "j" "p" "r" "z" 1;
"a" "h" 2; "b" "n" 2; "c" "n" 3; "d" "l" "r" 2; "e" "d" "e" "f" "j" "p" "r" "z" 1;
"a" "h" 2; "b" "n" 2; "c" "n" 3; "d" "l" "r" 2; "e" "d" "e" "f" "j" "p" "r" "z" 1;
"a" "h" 2; "b" "n" 2; "c" "n" 3; "d" "l" "r" 2; "e" "d" "e" "f" "j" "p" "r" "z" 1;
"a" "h" 2; "b" "n" 2; "c" "n" 3; "d" "l" "r" 2; "e" "d" "e" "f" "j" "p" "r" "z" 1;
"a" "h" "j" 2; "b" "n" 2; "c" "n" 3; "d" "l" "r" 2; "e" "d" "e" "f" "j" "p" "r" "z" 1;
"a" "h" "j" 2; "b" "n" 2; "c" "n" 3; "d" "l" "r" 2; "e" "d" "e" "f" "j" "p" "r" "z" 1;
"a" "h" "j" 2; "b" "n" 2; "c" "n" 3; "d" "l" "r" 2; "e" "d" "e" "f" "j" "p" "r" "z" 1;
"a" "h" "j" 2; "b" "n" 2; "c" "n" 3; "d" "l" "r" 2; "e" "d" "e" "f" "j" "p" "r" "z" 1;
"a" "h" "j" 2; "b" "n" 2; "c" "n" 3; "d" "l" "r" 2; "e" "d" "e" "f" "j" "p" "r" "z" 1;
"a" "h" "j" 2; "b" "n" 2; "c" "n" 3; "d" "l" "r" 2; "e" "d" "e" "f" "j" "p" "r" "z" 1;
"a" "h" "j" 2; "b" "n" 2; "c" "n" 3; "d" "l" "r" 2; "e" "d" "e" "f" "j" "p" "r" "z" 1;
"a" "h" "j" 2; "b" "n" 2; "c" "n" 3; "d" "l" "r" 2; "e" "d" "e" "f" "j" "p" "r" "z" 1;
"a" "h" "j" 2; "b" "n" 2; "c" "n" 3; "d" "l" "r" 2; "e" "d" "e" "f" "j" "p" "r" "z" 1;
"a" "h" "j" 2; "b" "n" 2; "c" "n" 3; "d" "l" "r" "s" 2; "e" "j" 2;
"a" "h" "j" 2; "b" "n" 2; "c" "n" 3; "d" "l" "r" "s" 2; "e" "j" 2;
"a" "h" "j" 2; "b" "n" 2; "c" "n" 3; "d" "l" "r" "s" 2; "e" "j" 2;
"a" "h" "j" 2; "b" "n" "o" 2; "c" "n" 3; "d" "l" "r" "s" 2; "e" "j" 2;
"a" "h" "j" 2; "b" "n" "o" 2; "c" "n" 3; "d" "l" "r" "s" 2; "e" "j" 2;
"a" "h" "j" 2; "b" "n" "o" 2; "c" "n" 3; "d" "l" "r" "s" 2; "e" "j" "z" 2;
"a" "h" "j" 2; "b" "n" "o" 2; "c" "n" 3; "d" "r" 3; "e" "j" "z" 2;
"a" "h" "j" 2; "b" "n" "o" 2; "c" "n" 3; "d" "r" 3; "e" "j" "z" 2;
"a" "h" "j" 2; "b" "n" "o" 2; "c" "n" 3; "d" "r" 3; "e" "j" "z" 2;
"a" "h" "j" 2; "b" "n" "o" 2; "c" "n" 3; "d" "r" 3; "e" "j" "z" 2;
"a" "h" "j" 2; "b" "n" "o" 2; "c" "n" 3; "d" "r" 3; "e" "j" "z" 2;
"a" "h" "j" 2; "b" "n" "o" 2; "c" "n" 3; "d" "r" 3; "e" "j" "z" 2;
"a" "h" "j" 2; "b" "n" "o" 2; "c" "n" 3; "d" "r" 3; "e" "j" "z" 2;
"a" "h" "j" 2; "b" "n" "o" 2; "c" "n" 3; "d" "r" 3; "e" "j" "z" 2;
"a" "h" "j" 2; "b" "n" "o" 2; "c" "n" 3; "d" "r" 3; "e" "j" "z" 2;
"a" "h" "j" 2; "b" "n" "o" 2; "c" "n" 3; "d" "r" 3; "e" "j" "z" 2;
"a" "h" "j" 2; "b" "n" "o" 2; "c" "n" 3; "d" "r" 3; "e" "j" "z" 2;
"a" "h" "j" 2; "b" "n" "o" 2; "c" "n" 3; "d" "r" 3; "e" "j" "z" 2;
"a" "h" "j" 2; "b" "n" "o" 2; "c" "n" 3; "d" "r" 3; "e" "j" "z" 2;
"a" "h" "j" 2; "b" "n" "o" 2; "c" "n" 3; "d" "r" 3; "e" "j" "z" 2;
"a" "h" "j" 2; "b" "n" "o" 2; "c" "n" 3; "d" "r" 3; "e" "j" "z" 2;
"a" "h" "j" 2; "b" "n" "o" 2; "c" "n" 3; "d" "r" 3; "e" "j" "z" 2;
"a" "h" "j" 2; "b" "n" "o" 2; "c" "n" 3; "d" "r" 3; "e" "j" "z" 2;
"a" "h" "j" 2; "b" "n" "o" 2; "c" "n" 3; "d" "r" 3; "e" "j" "z" 2;
"a" "h" "j" 2; "b" "n" "o" 2; "c" "n" 3; "d" "r" 3; "e" "j" "z" 2;
"a" "h" "j" 2; "b" "n" "o" "r" 2; "c" "n" 3; "d" "r" 3; "e" "j" 3;
"a" "h" "j" 2; "b" "n" "o" "r" 2; "c" "n" 3; "d" "r" 3; "e" "j" 3;
"a" "h" "j" "t" 2; "b" "n" "o" "r" 2; "c" "n" 3; "d" "r" 3; "e" "j" 3;
"a" "h" 3; "b" "n" 3; "c" "n" 3; "d" "l" "r" 3; "e" "j" 3;
"a" "h" 3; "b" "n" 3; "c" "n" 3; "d" "l" "r" 3; "e" "j" 3;
"a" "h" 3; "b" "n" 3; "c" "n" 3; "d" "l" "r" 3; "e" "j" 3;
"a" "h" 3; "b" "n" 3; "c" "n" 3; "d" "l" "r" 3; "e" "j" 3;
"a" "h" 3; "b" "n" 3; "c" "n" 3; "d" "l" "r" 3; "e" "j" 3;
"a" "h" 3; "b" "n" 3; "c" "n" 3; "d" "l" "r" 3; "e" "j" 3;
"a" "h" 3; "b" "n" 3; "c" "n" 3; "d" "l" "r" 3; "e" "j" 3;
"a" "h" 3; "b" "n" 3; "c" "n" 3; "d" "l" "r" 3; "e" "j" 3;
"a" "h" 3; "b" "n" 3; "c" "n" 3; "d" "l" "r" 3; "e" "j" 3;
"a" "h" 3; "b" "n" 3; "c" "n" 3; "d" "l" "r" 3; "e" "j" 3;
"a" "h" 3; "b" "n" 3; "c" "n" 3; "d" "l" "r" 3; "e" "j" 3;
"a" "h" 3; "b" "n" 3; "c" "n" 3; "d" "l" "r" 3; "e" "j" 3;
"a" "h" 3; "b" "n" 3; "c" "n" 3; "d" "l" "r" 3; "e" "j" 3;
"a" "h" 4; "b" "n" 3; "c" "b" "n" 3; "d" "l" "r" 3; "e" "j" 3;
"a" "h" 4; "b" "n" 3; "c" "b" "n" 3; "d" "l" "r" 3; "e" "j" 3;
"a" "h" 4; "b" "n" 3; "c" "b" "n" 3; "d" "l" "r" 3; "e" "j" 3;
"a" "h" 4; "b" "n" 3; "c" "b" "n" 3; "d" "l" "r" "s" 3; "e" "j" 3;
"a" "h" 4; "b" "n" 3; "c" "b" "n" 3; "d" "l" "r" "s" 3; "e" "j" 3;
"a" "h" 4; "b" "n" 3; "c" "b" "n" 3; "d" "l" "r" "s" 3; "e" "j" 3;
"a" "h" 4; "b" "n" 3; "c" "b" "n" 3; "d" "l" "r" "s" 3; "e" "j" 3;
"a" "h" 5; "b" "n" 3; "c" "b" "n" 3; "d" "l" "r" "s" 3; "e" "j" 3;
"a" "h" 5; "b" "n" 3; "c" "b" "n" 3; "d" "l" "r" "s" 3; "e" "j" 3;
"a" "h" 5; "b" "n" 3; "c" "b" "n" 3; "d" "l" "r" "s" 3; "e" "j" 3;
"a" "h" 5; "b" "n" 3; "c" "b" "n" 3; "d" "l" "r" "s" 3; "e" "j" 3;
"a" "h" 5; "b" "n" 3; "c" "b" "n" 3; "d" "l" "r" "s" 3; "e" "j" 3;
"a" "h" 5; "b" "n" 3; "c" "b" "n" 3; "d" "l" "r" "s" 3; "e" "j" 3;
"a" "h" 5; "b" "n" 3; "c" "b" "n" 3; "d" "l" "r" "s" 3; "e" "j" 3;
"a" "h" 5; "b" "n" 3; "c" "b" "n" 3; "d" "l" "r" "s" 3; "e" "j" 3;
"a" "h" 5; "b" "n" "o" 3; "c" "b" "n" 3; "d" "l" "r" "s" 3; "e" "j" 3;
"a" "h" 5; "b" "n" "o" 3; "c" "b" "l" "n" 3; "d" "l" "r" "s" 3; "e" "j" 3;
"a" "h" 5; "b" "n" "o" 3; "c" "b" "l" "n" 3; "d" "l" "r" "s" 3; "e" "j" 3;
"a" "h" 5; "b" "n" "o" 3; "c" "b" "l" "n" 3; "d" "l" "r" "s" 3; "e" "j" 3;
"a" "h" 5; "b" "n" "o" 3; "c" "b" "l" "n" 3; "d" "c" "l" "r" "s" 3; "e" "j" 3;
"a" "h" 5; "b" "n" "o" 3; "c" "b" "l" "n" 3; "d" "c" "l" "r" "s" 3; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" 3; "d" "c" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" 3; "d" "c" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" 3; "d" "c" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" 3; "d" "c" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" 3; "d" "c" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" 3; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" "v" 3; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" "v" 3; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" "v" 3; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" "v" 3; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" "v" 3; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" "v" 3; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" "v" 3; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" "v" 3; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" "v" 3; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" "v" 3; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" "v" 3; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" "v" 3; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" "v" 3; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" "v" 3; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" "v" 3; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" "v" 3; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" "v" 3; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" "v" 3; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" 3; "c" "b" "l" "n" "v" 3; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" "r" 3; "c" "b" "l" "n" "v" 3; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" "r" 3; "c" "n" 4; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" "r" 3; "c" "n" 4; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" "r" 3; "c" "n" 4; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" "r" 3; "c" "n" 4; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "n" "o" "r" 3; "c" "n" 4; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "m" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "m" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "m" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "m" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "m" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "m" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "m" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "n" 4; "d" "c" "s" 4; "e" "j" "l" "m" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "l" "n" 4; "d" "s" 5; "e" "j" "l" "m" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "l" "n" 4; "d" "s" 5; "e" "j" "l" "m" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "l" "n" 4; "d" "s" 5; "e" "j" "l" "m" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "l" "n" 4; "d" "s" 5; "e" "j" "l" "m" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "l" "n" 4; "d" "s" 5; "e" "j" "l" "m" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "l" "n" 4; "d" "s" 5; "e" "j" "l" "m" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "l" "n" 4; "d" "s" 5; "e" "j" "l" "m" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "l" "n" 4; "d" "s" 5; "e" "j" "l" "m" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "l" "n" 4; "d" "s" 5; "e" "j" "l" "m" "z" 3;
"a" "h" 6; "b" "r" 4; "c" "l" "n" 4; "d" "s" 5; "e" "l" 4;
"a" "h" 6; "b" "r" 4; "c" "l" "n" 4; "d" "s" 5; "e" "l" 4;
"a" "h" 6; "b" "r" 4; "c" "l" "n" 4; "d" "s" 5; "e" "l" 4;
"a" "h" 6; "b" "r" 4; "c" "l" "n" 4; "d" "s" 5; "e" "l" 4;
"a" "h" 6; "b" "r" 4; "c" "l" "n" 4; "d" "s" 5; "e" "l" 4;
"a" "h" 6; "b" "r" 4; "c" "l" "n" 4; "d" "s" 5; "e" "l" 4;
"a" "h" 6; "b" "r" 4; "c" "l" "n" 4; "d" "s" 5; "e" "l" 4;
"a" "h" 6; "b" "r" 4; "c" "l" "n" 4; "d" "s" 5; "e" "l" 4;
"a" "h" 6; "b" "r" 4; "c" "l" "n" 4; "d" "s" 5; "e" "l" 4;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 5; "e" "l" 4;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 5; "e" "j" "l" 4;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 5; "e" "j" "l" 4;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "j" "l" 4;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "j" "l" 4;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "n" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "n" "r" 4; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 5; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 5; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 6; "b" "r" 5; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 7; "b" "r" 5; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 7; "b" "r" 5; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 7; "b" "r" 5; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 7; "b" "r" 5; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
