none
none
none
none
none
none
none
none
none
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "f" "x" 1;
"d" "f" "x" 1;
"d" "f" "x" 1;
"d" "f" "x" 1;
"b" "r" 1; "d" "f" "x" 1;
"b" "r" 1; "d" "f" "x" 1;
"b" "r" 1; "d" "f" "x" 1;
"b" "r" 1; "d" "f" "x" 1;
"b" "r" 1; "d" "f" "x" 1;
"b" "r" 1; "d" "f" "s" "x" 1;
"b" "r" 1; "d" "f" "s" "x" 1;
"a" "q" 1; "b" "r" 1; "d" "f" "s" "x" 1;
"a" "q" 1; "b" "r" 1; "d" "f" "s" "x" 1;
"a" "q" 1; "b" "r" 1; "d" "f" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 1; "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 1; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "r" 2;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "r" 2;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "r" 2;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "r" 2;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "r" 2;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "r" 2;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "r" 2;
"a" "g" "h" 2; "b" "r" 2; "c" "n" 3; "d" "r" 3; "e" "i" 2;
"a" "g" "h" 2; "b" "r" 2; "c" "n" 3; "d" "r" 3; "e" "i" 2;
"a" "g" "h" 2; "b" "r" 2; "c" "n" 3; "d" "r" 3; "e" "i" 2;
"a" "g" "h" 2; "b" "r" 2; "c" "n" 3; "d" "r" 3; "e" "i" 2;
"a" "g" "h" 2; "b" "r" 2; "c" "n" 3; "d" "r" 3; "e" "i" 2;
"a" "g" "h" 2; "b" "r" 2; "c" "n" 3; "d" "r" 3; "e" "i" 2;
"a" "g" "h" 2; "b" "r" 2; "c" "n" 3; "d" "r" 3; "e" "i" 2;
"a" "g" "h" 2; "b" "r" 2; "c" "n" 3; "d" "r" 3; "e" "i" 2;
"a" "g" "h" 2; "b" "r" 2; "c" "n" 3; "d" "r" 3; "e" "i" 2;
"a" "g" "h" 2; "b" "r" 2; "c" "n" 3; "d" "r" 3; "e" "i" 2;
"a" "h" 3; "b" "r" 2; "c" "n" 3; "d" "r" 3; "e" "i" 2;
"a" "h" 3; "b" "r" 2; "c" "n" "y" 3; "d" "r" 3; "e" "i" 2;
"a" "h" 3; "b" "r" 2; "c" "n" "y" 3; "d" "r" 3; "e" "i" 2;
"a" "h" 3; "b" "r" 2; "c" "n" "y" 3; "d" "r" 3; "e" "i" 2;
"a" "h" 3; "b" "r" 2; "c" "n" "y" 3; "d" "r" 3; "e" "i" 2;
"a" "h" 3; "b" "r" 2; "c" "n" "s" "y" 3; "d" "r" 3; "e" "i" 2;
"a" "h" 3; "b" "r" 2; "c" "n" "s" "y" 3; "d" "r" 3; "e" "i" 2;
"a" "h" 3; "b" "r" 2; "c" "n" "s" "y" 3; "d" "r" 3; "e" "i" 2;
"a" "h" 3; "b" "r" 2; "c" "n" "s" "y" 3; "d" "r" 3; "e" "i" 2;
"a" "h" 3; "b" "r" 2; "c" "s" 4; "d" "r" 3; "e" "i" 2;
"a" "h" 3; "b" "r" 2; "c" "s" 4; "d" "r" 3; "e" "i" 2;
"a" "h" 3; "b" "r" "v" 2; "c" "s" 4; "d" "r" 3; "e" "i" 2;
"a" "h" 3; "b" "r" "v" 2; "c" "s" 4; "d" "r" 3; "e" "i" 2;
"a" "h" 3; "b" "r" 3; "c" "s" 4; "d" "r" 3; "e" "i" 2;
"a" "h" 3; "b" "r" 3; "c" "s" 4; "d" "r" 3; "e" "i" 2;
"a" "h" 3; "b" "r" "v" 3; "c" "s" 4; "d" "r" 3; "e" "i" 2;
"a" "h" 3; "b" "r" "v" 3; "c" "s" 4; "d" "r" 3; "e" "i" 2;
"a" "h" 3; "b" "r" "v" 3; "c" "s" 4; "d" "r" 4; "e" "i" 2;
"a" "h" 3; "b" "r" "v" 3; "c" "n" "s" 4; "d" "r" 4; "e" "i" 2;
"a" "h" 3; "b" "r" "v" 3; "c" "n" "s" 4; "d" "r" 4; "e" "i" 2;
"a" "h" 3; "b" "r" "v" 3; "c" "n" "s" 4; "d" "r" 4; "e" "i" 2;
"a" "h" 3; "b" "r" "v" 3; "c" "n" "s" 4; "d" "r" 4; "e" "i" 2;
"a" "h" 3; "b" "r" "v" 3; "c" "n" "s" 4; "d" "r" 4; "e" "i" 2;
"a" "h" 3; "b" "r" "v" 3; "c" "n" "s" 4; "d" "r" 4; "e" "i" 2;
"a" "h" 3; "b" "r" "v" 3; "c" "n" "s" 4; "d" "r" 4; "e" "i" 2;
"a" "h" 3; "b" "r" "v" 3; "c" "s" 5; "d" "r" 4; "e" "i" 2;
"a" "h" 3; "b" "r" "v" 3; "c" "s" 5; "d" "r" 4; "e" "i" 2;
"a" "h" 3; "b" "r" "v" 3; "c" "s" 5; "d" "r" 4; "e" "i" 2;
"a" "h" 3; "b" "r" "v" 3; "c" "s" 5; "d" "d" "r" 3; "e" "i" 2;
"a" "h" 3; "b" "r" "v" 3; "c" "s" 5; "d" "d" "r" 3; "e" "i" "u" 2;
"a" "h" 3; "b" "r" "v" 3; "c" "s" 5; "d" "d" "l" "r" 3; "e" "i" "u" 2;
"a" "h" 3; "b" "r" "v" 3; "c" "s" 5; "d" "d" "l" "r" 3; "e" "i" "u" 2;
"a" "h" 3; "b" "r" "v" 3; "c" "n" "s" 5; "d" "d" "l" "r" 3; "e" "i" "u" 2;
"a" "h" 3; "b" "r" "v" 3; "c" "n" "s" 5; "d" "d" "l" "r" 3; "e" "i" "u" "w" 2;
"a" "h" 3; "b" "r" "v" 3; "c" "n" "s" 5; "d" "d" "l" "r" 3; "e" "i" "u" "w" 2;
"a" "h" 3; "b" "r" "v" 3; "c" "n" "s" 5; "d" "d" "l" "r" 3; "e" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "r" "v" 3; "c" "n" "s" 5; "d" "d" "l" "r" 3; "e" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "r" "v" 3; "c" "n" "s" 5; "d" "d" "l" "r" 3; "e" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "r" "v" 3; "c" "n" "s" 5; "d" "d" "l" "r" 3; "e" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "r" "v" 3; "c" "s" 6; "d" "d" "l" "r" 3; "e" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "r" "v" 3; "c" "s" 6; "d" "d" "l" "r" 3; "e" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "r" "v" 3; "c" "s" 6; "d" "d" "l" "r" 3; "e" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "r" "v" 3; "c" "s" 6; "d" "d" "l" "r" 3; "e" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "r" "v" 3; "c" "s" 6; "d" "d" "l" "r" 3; "e" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "r" "v" 3; "c" "s" 6; "d" "d" "l" "r" 3; "e" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "r" "v" 3; "c" "s" 6; "d" "d" "l" "r" 3; "e" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "r" "v" 3; "c" "s" 6; "d" "d" "l" "r" 3; "e" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "r" "v" 3; "c" "s" 6; "d" "d" "l" "r" 3; "e" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "r" "v" 3; "c" "s" 6; "d" "d" "l" "r" 3; "e" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "r" "v" 3; "c" "s" 6; "d" "d" "l" "r" 3; "e" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "v" 4; "c" "s" 6; "d" "d" "l" "r" 3; "e" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "v" 4; "c" "s" 6; "d" "d" "l" "r" 3; "e" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "v" 4; "c" "s" 6; "d" "d" "l" "r" 3; "e" "h" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "v" 4; "c" "s" 6; "d" "d" "l" "r" 3; "e" "h" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "v" 4; "c" "s" 6; "d" "d" "l" "r" 3; "e" "h" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "v" 4; "c" "s" 6; "d" "d" "l" "r" 3; "e" "h" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "v" 4; "c" "s" 6; "d" "d" "l" "r" 3; "e" "h" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "v" 4; "c" "s" 6; "d" "d" "l" "r" 3; "e" "h" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "v" 4; "c" "s" 6; "d" "d" "l" "r" 3; "e" "h" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "v" 4; "c" "s" 6; "d" "d" "l" "r" 3; "e" "h" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "v" 4; "c" "s" 6; "d" "d" "l" "r" 3; "e" "h" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "v" 4; "c" "s" 6; "d" "d" "l" "r" 3; "e" "h" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "v" 4; "c" "s" 6; "d" "d" "l" "r" 3; "e" "h" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "v" 4; "c" "s" 6; "d" "d" "l" "r" 3; "e" "h" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "v" 4; "c" "s" 6; "d" "d" "l" "r" 3; "e" "h" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "v" 4; "c" "s" 6; "d" "d" "l" "r" 3; "e" "h" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "v" 4; "c" "s" 6; "d" "d" "l" "r" 3; "e" "h" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "v" 4; "c" "s" 6; "d" "d" "l" "r" 3; "e" "h" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "v" 4; "c" "s" 6; "d" "l" 4; "e" "h" "i" "u" "w" 2;
"a" "c" "h" 3; "b" "v" 4; "c" "s" 6; "d" "l" 4; "e" "h" "i" "u" "w" 2;
"a" "c" "g" "h" 3; "b" "v" 4; "c" "s" 6; "d" "l" 4; "e" "h" "i" "u" "w" 2;
"a" "c" "g" "h" 3; "b" "v" 4; "c" "s" 6; "d" "l" 4; "e" "h" "i" "u" "w" 2;
"a" "c" "g" "h" 3; "b" "v" 4; "c" "s" 6; "d" "l" 4; "e" "h" "i" "u" "w" 2;
"a" "c" "g" "h" "n" 3; "b" "v" 4; "c" "s" 6; "d" "l" 4; "e" "h" "i" "u" "w" 2;
"a" "c" "g" "h" "n" 3; "b" "v" 4; "c" "s" 6; "d" "l" 4; "e" "h" "i" "m" "u" "w" 2;
"a" "c" "g" "h" "n" 3; "b" "v" 4; "c" "s" 6; "d" "l" 4; "e" "h" "i" "m" "t" "u" "w" 2;
"a" "c" "g" "h" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 4; "e" "h" "i" "m" "t" "u" "w" 2;
"a" "c" "g" "h" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 4; "e" "h" "i" "m" "t" "u" "w" 2;
"a" "c" "g" "h" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" "r" 4; "e" "h" "i" "m" "t" "u" "w" 2;
"a" "c" "g" "h" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "h" "i" "m" "t" "u" "w" 2;
"a" "c" "g" "h" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "h" "i" "m" "t" "u" "w" 2;
"a" "c" "g" "h" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "h" "i" "m" "t" "u" "w" 2;
"a" "c" "g" "h" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "h" "i" "m" "t" "u" "w" 2;
"a" "c" "g" "h" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "h" "i" "m" "t" "u" "w" 2;
"a" "c" "g" "h" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "h" "i" "m" "t" "u" "w" 2;
"a" "c" "g" "h" "j" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "t" "u" "w" 2;
"a" "c" "g" "h" "j" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "t" "u" "w" 2;
"a" "c" "g" "h" "j" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "t" "u" "w" 2;
"a" "c" "g" "h" "j" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "t" "u" "w" 2;
"a" "c" "g" "h" "j" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "t" "u" "w" 2;
"a" "c" "g" "h" "j" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "t" "u" "w" 2;
"a" "c" "g" "h" "j" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "t" "u" "w" 2;
"a" "c" "g" "h" "j" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "t" "u" "w" 2;
"a" "c" "g" "h" "j" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "t" "u" "w" 2;
"a" "c" "g" "h" "j" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "t" "u" "w" 2;
"a" "c" "g" "h" "j" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "t" "u" "w" 2;
"a" "c" "g" "h" "j" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "t" "u" "w" "z" 2;
"a" "c" "g" "h" "j" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "t" "u" "w" "z" 2;
"a" "c" "g" "h" "j" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "t" "u" "w" "z" 2;
"a" "c" "g" "h" "j" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "j" "m" "t" "u" "w" "z" 2;
"a" "c" "g" "h" "j" "n" 3; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "j" "m" "t" "u" "w" "z" 2;
"a" "n" 4; "b" "v" 4; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "j" "m" "t" "u" "w" "z" 2;
"a" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "t" "u" "w" "z" 2;
"a" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "t" "u" "w" "z" 2;
"a" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "t" "u" "w" "z" 2;
"a" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "t" "u" "w" "z" 2;
"a" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "t" "u" "w" "z" 2;
"a" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "t" "u" "w" "z" 2;
"a" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "n" "t" "u" "w" "z" 2;
"a" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "n" "t" "u" "w" "z" 2;
"a" "j" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "n" "t" "u" "w" "z" 2;
"a" "j" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "n" "t" "u" "w" "z" 2;
"a" "j" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "n" "t" "u" "w" "z" 2;
"a" "j" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "n" "t" "u" "w" "z" 2;
"a" "j" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "n" "t" "u" "w" "z" 2;
"a" "j" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "n" "t" "u" "w" "z" 2;
"a" "j" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "n" "t" "u" "w" "z" 2;
"a" "j" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "n" "t" "u" "w" "z" 2;
"a" "j" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "n" "t" "u" "w" "z" 2;
"a" "j" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "n" "t" "u" "w" "z" 2;
"a" "j" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "n" "t" "u" "w" "z" 2;
"a" "j" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "n" "t" "u" "w" "z" 2;
"a" "j" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "n" "t" "u" "w" "z" 2;
"a" "j" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "n" "t" "u" "w" "z" 2;
"a" "j" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "n" "t" "u" "w" "z" 2;
"a" "j" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "n" "t" "u" "w" "z" 2;
"a" "j" "n" 4; "b" "v" 5; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "n" "t" "u" "w" "z" 2;
"a" "j" "n" 4; "b" "m" "r" "v" "x" 4; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "n" "t" "u" "w" "z" 2;
"a" "j" "n" 4; "b" "m" "r" "v" "x" 4; "c" "s" 7; "d" "l" 5; "e" "b" "h" "i" "m" "n" "t" "u" "w" "z" 2;
"a" "j" "n" 4; "b" "m" 5; "c" "s" 7; "d" "l" 5; "e" "w" 3;
"a" "j" "n" 4; "b" "m" 5; "c" "s" 7; "d" "l" 5; "e" "w" 3;
"a" "j" "n" 4; "b" "m" 5; "c" "s" 7; "d" "l" 5; "e" "w" 3;
"a" "j" "n" 4; "b" "m" 5; "c" "s" 7; "d" "l" 5; "e" "w" 3;
"a" "j" "n" 4; "b" "m" 5; "c" "s" 7; "d" "l" 5; "e" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" 5; "e" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" 5; "e" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" 5; "e" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" 5; "e" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" 5; "e" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" 5; "e" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" 5; "e" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" 5; "e" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" 5; "e" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" 5; "e" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" 5; "e" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" "r" 5; "e" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" "r" 5; "e" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" "r" 5; "e" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" "r" 5; "e" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" "r" 5; "e" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" "r" 5; "e" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" "r" 5; "e" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" "r" 5; "e" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" "r" 5; "e" "c" "u" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" "r" 5; "e" "c" "u" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" "r" 5; "e" "c" "t" "u" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" "r" 5; "e" "c" "t" "u" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" "r" 5; "e" "c" "t" "u" "w" 3;
