none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "l" 1;
"c" "l" 1;
"b" "q" "r" 1; "c" "l" 1;
"b" "q" "r" 1; "c" "l" 1;
"b" "q" "r" 1; "c" "l" 1;
"b" "q" "r" 1; "c" "l" 1; "d" "g" "r" 1;
"b" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "x" 1;
"b" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "x" 1;
"b" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "x" 1;
"b" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "x" 1;
"b" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "x" 1;
"b" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "x" 1;
"b" "m" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "x" 1;
"b" "m" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "j" "x" 1;
"b" "m" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "j" "x" 1;
"b" "m" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "j" "x" 1;
"b" "m" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "j" "x" 1;
"b" "m" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "j" "x" 1;
"b" "m" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "j" "x" 1;
"a" "d" "f" "h" "r" 1; "b" "f" "m" "q" "r" 1; "c" "f" "i" "l" "r" 1; "d" "b" "g" "l" "q" "r" 1; "e" "a" "i" "j" "q" "x" 1;
"a" "d" "e" "f" "h" "p" "r" 1; "b" "f" 2; "c" "l" "m" 2; "d" "b" "g" "k" "l" "m" "o" "p" "q" "r" "t" "y" 1; "e" "a" "b" "d" "g" "i" "j" "q" "u" "x" 1;
"a" "d" "e" "f" "h" "p" "r" 1; "b" "f" 2; "c" "l" "m" 2; "d" "b" "g" "k" "l" "m" "o" "p" "q" "r" "t" "y" 1; "e" "a" "b" "d" "g" "i" "j" "q" "u" "x" 1;
"a" "c" "d" "e" "f" "h" "p" "r" 1; "b" "f" 2; "c" "l" "m" 2; "d" "b" "g" "k" "l" "m" "o" "p" "q" "r" "t" "y" 1; "e" "a" "b" "d" "g" "i" "j" "m" "q" "u" "v" "x" 1;
"a" "c" "d" "e" "f" "h" "p" "r" 1; "b" "f" 2; "c" "l" "m" 2; "d" "b" "g" "k" "l" "m" "o" "p" "q" "r" "t" "y" 1; "e" "a" "b" "d" "g" "i" "j" "m" "q" "u" "v" "x" 1;
"a" "c" "d" "e" "f" "h" "o" "p" "r" 1; "b" "f" 2; "c" "l" "m" 2; "d" "b" "g" "k" "l" "m" "o" "p" "q" "r" "t" "y" 1; "e" "a" "b" "d" "g" "i" "j" "m" "q" "u" "v" "x" 1;
"a" "c" "d" "e" "f" "h" "o" "p" "r" 1; "b" "f" 2; "c" "l" "m" 2; "d" "b" "g" "k" "l" "m" "o" "p" "q" "r" "t" "y" 1; "e" "a" "b" "d" "g" "i" "j" "m" "q" "u" "v" "x" 1;
"a" "e" 2; "b" "f" 2; "c" "l" "m" 2; "d" "b" "g" "k" "l" "m" "o" "p" "q" "r" "t" "y" 1; "e" "a" "b" "d" "g" "i" "j" "m" "q" "u" "v" "x" 1;
"a" "e" 2; "b" "f" 2; "c" "l" "m" 2; "d" "b" "g" "k" "l" "m" "o" "p" "q" "r" "t" "y" 1; "e" "a" "b" "d" "g" "i" "j" "m" "q" "u" "v" "x" 1;
"a" "e" 2; "b" "f" 2; "c" "l" "m" 2; "d" "b" "g" "k" "l" "m" "o" "p" "q" "r" "t" "y" 1; "e" "a" "b" "d" "g" "i" "j" "m" "q" "u" "v" "x" 1;
"a" "e" 2; "b" "f" 2; "c" "l" "m" 2; "d" "b" "g" "k" "l" "m" "o" "p" "q" "r" "t" "y" 1; "e" "a" "b" "d" "g" "i" "j" "m" "q" "u" "v" "x" 1;
"a" "e" 3; "b" "f" 2; "c" "l" "m" 2; "d" "b" "g" "k" "l" "m" "o" "p" "q" "r" "t" "y" 1; "e" "a" "b" "d" "g" "i" "j" "m" "q" "u" "v" "x" 1;
"a" "e" 3; "b" "f" 2; "c" "l" "m" 2; "d" "b" "g" "k" "l" "m" "o" "p" "q" "r" "t" "y" 1; "e" "a" "b" "d" "g" "i" "j" "m" "q" "u" "v" "x" 1;
"a" "e" 3; "b" "f" 2; "c" "l" "m" 2; "d" "b" "g" "k" "l" "m" "o" "p" "q" "r" "t" "y" 1; "e" "a" "b" "d" "g" "i" "j" "m" "q" "u" "v" "x" 1;
"a" "e" 3; "b" "f" 2; "c" "l" "m" 2; "d" "b" "g" "k" "l" "m" "o" "p" "q" "r" "t" "y" 1; "e" "a" "b" "d" "f" "g" "i" "j" "m" "q" "u" "v" "x" 1;
"a" "e" 3; "b" "f" 2; "c" "l" "m" 2; "d" "m" 2; "e" "a" "b" "d" "f" "g" "i" "j" "m" "q" "u" "v" "x" 1;
"a" "e" 3; "b" "f" "o" 2; "c" "l" "m" "r" 2; "d" "m" 2; "e" "a" "b" "d" "f" "g" "i" "j" "k" "m" "q" "u" "v" "x" 1;
"a" "e" 3; "b" "f" "o" 2; "c" "l" "m" "r" "u" 2; "d" "m" 2; "e" "i" 2;
"a" "e" 3; "b" "f" "o" 2; "c" "l" "m" "r" "u" 2; "d" "m" 2; "e" "i" 2;
"a" "e" 3; "b" "f" "o" 2; "c" "l" "m" "r" "u" 2; "d" "m" 2; "e" "i" 2;
"a" "e" 3; "b" "f" "o" 2; "c" "l" "m" "r" "u" 2; "d" "m" 2; "e" "i" 2;
"a" "e" 3; "b" "f" "o" 2; "c" "l" "m" "r" "u" 2; "d" "m" 2; "e" "i" 2;
"a" "e" 3; "b" "f" "o" 2; "c" "l" "m" "r" "u" 2; "d" "m" 2; "e" "i" 2;
"a" "e" 3; "b" "f" "o" 2; "c" "l" "m" "r" "u" 2; "d" "m" 2; "e" "i" 2;
"a" "e" 3; "b" "f" "o" 2; "c" "l" "m" "r" "u" 2; "d" "m" 2; "e" "i" 2;
"a" "e" 3; "b" "f" "o" 2; "c" "l" "m" "r" "u" 2; "d" "m" 2; "e" "i" 2;
"a" "e" 3; "b" "f" "o" 2; "c" "l" "m" "r" "u" 2; "d" "m" "y" 2; "e" "i" "x" 2;
"a" "e" 3; "b" "f" "o" 2; "c" "l" "m" "r" "u" 2; "d" "m" "y" 2; "e" "i" "x" 2;
"a" "e" 3; "b" "f" "o" 2; "c" "l" "m" "r" "u" 2; "d" "m" "y" 2; "e" "i" "l" "x" 2;
"a" "e" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "y" 2; "e" "i" "l" "x" 2;
"a" "e" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "y" 2; "e" "i" "l" "x" 2;
"a" "e" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "y" 2; "e" "i" "l" "x" 2;
"a" "e" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "y" 2; "e" "i" "l" "x" "z" 2;
"a" "e" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "y" 2; "e" "i" "l" "x" "z" 2;
"a" "e" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "y" 2; "e" "z" 3;
"a" "e" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "y" 2; "e" "z" 3;
"a" "e" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "y" 2; "e" "z" 3;
"a" "e" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 3;
"a" "e" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 3;
"a" "e" "r" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 3;
"a" "e" "r" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 3;
"a" "e" "r" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 3;
"a" "e" "r" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 3;
"a" "e" "r" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 3;
"a" "e" "r" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 3;
"a" "e" "r" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 3;
"a" "e" "r" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 3;
"a" "e" "r" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 3;
"a" "e" "r" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 3;
"a" "e" "r" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 3;
"a" "e" "r" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 3;
"a" "e" "r" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 3;
"a" "e" "r" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 3;
"a" "e" "r" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 3;
"a" "e" "r" 3; "b" "f" "o" 2; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 3;
"a" "e" "r" 3; "b" "f" 3; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 3;
"a" "e" "r" 3; "b" "f" 3; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 3;
"a" "e" "r" 3; "b" "f" 3; "c" "u" 3; "d" "m" "r" "y" 2; "e" "x" "z" 3;
"a" "e" "r" 3; "b" "f" 3; "c" "u" 3; "d" "m" "r" "y" 2; "e" "x" "z" 3;
"a" "e" "r" 3; "b" "f" 3; "c" "u" 3; "d" "m" "r" "y" 2; "e" "x" "z" 3;
"a" "e" "r" 3; "b" "f" 3; "c" "u" 3; "d" "m" "r" "y" 2; "e" "x" "z" 3;
"a" "e" "r" 3; "b" "f" 3; "c" "u" 3; "d" "m" "r" "y" 2; "e" "x" "z" 3;
"a" "e" "r" 3; "b" "f" 3; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 4;
"a" "e" "r" 3; "b" "f" 3; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 4;
"a" "e" "r" 3; "b" "f" 3; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 3; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 3; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 3; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 3; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 3; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 3; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 3; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 3; "c" "u" 3; "d" "m" "r" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 3; "c" "u" 3; "d" "m" "r" "u" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 3; "c" "u" 3; "d" "m" "r" "u" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 3; "c" "u" 3; "d" "m" "r" "u" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 3; "c" "u" 3; "d" "m" "q" "r" "u" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 3; "c" "u" 3; "d" "m" "q" "r" "u" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 3; "c" "u" 3; "d" "m" "q" "r" "u" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 3; "c" "u" 3; "d" "m" "q" "r" "u" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 3; "c" "u" 3; "d" "m" "q" "r" "u" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 3; "c" "u" 3; "d" "m" "q" "r" "u" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 3; "c" "u" 3; "d" "m" "q" "r" "u" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" "u" 3; "d" "m" "q" "r" "u" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" "u" 3; "d" "m" "q" "r" "u" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" "u" 3; "d" "m" "q" "r" "u" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" "u" 3; "d" "m" "q" "r" "u" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" "u" 3; "d" "m" "q" "r" "u" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" "u" 3; "d" "m" "q" "r" "u" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" "u" 3; "d" "m" "q" "r" "u" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" "u" 3; "d" "m" "q" "r" "u" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 3; "d" "m" "q" "r" "u" "x" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "m" "q" "r" "u" "x" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "m" "q" "r" "u" "x" "y" 2; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" 3; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" 3; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" 3; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" 3; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" 3; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" 3; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" 3; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" 3; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" 3; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" 3; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" 3; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" 3; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" 3; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" 3; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" 3; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" 3; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" 3; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" 3; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" "u" 3; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" "u" 3; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" "u" 3; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" "u" 3; "e" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" "u" 3; "e" "x" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" "u" 3; "e" "x" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" "u" 3; "e" "x" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" "u" 3; "e" "x" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" "u" 3; "e" "x" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" "u" 3; "e" "x" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" "u" 3; "e" "x" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" "u" 3; "e" "x" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" "r" "u" 3; "e" "x" "z" 4;
"a" "e" "r" "w" 3; "b" "a" "f" 3; "c" "m" 4; "d" "q" "r" "u" 3; "e" "x" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 4; "c" "m" 4; "d" "q" "r" "u" 3; "e" "x" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 4; "c" "m" 4; "d" "q" "r" "u" 3; "e" "x" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 4; "c" "m" 4; "d" "q" "r" "u" 3; "e" "x" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 4; "c" "m" 4; "d" "q" "r" "u" 3; "e" "x" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 4; "c" "m" 4; "d" "q" "r" "u" 3; "e" "x" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 4; "c" "m" 4; "d" "q" "r" "u" 3; "e" "x" "z" 4;
"a" "e" "r" "w" 3; "b" "f" 4; "c" "m" 4; "d" "q" "r" "u" 3; "e" "x" "z" 4;
"a" "e" 4; "b" "f" 4; "c" "m" 4; "d" "q" "r" "u" 3; "e" "x" "z" 4;
"a" "e" 4; "b" "f" 4; "c" "m" 4; "d" "q" "r" "u" 3; "e" "x" "z" 4;
"a" "e" 4; "b" "f" 4; "c" "m" 4; "d" "q" "r" "u" 3; "e" "x" "z" 4;
"a" "e" 4; "b" "f" 4; "c" "m" 4; "d" "q" "r" "u" 3; "e" "x" "z" 4;
"a" "e" 4; "b" "f" 4; "c" "m" 4; "d" "q" "r" "u" 3; "e" "x" "z" 4;
"a" "e" 4; "b" "f" 4; "c" "m" 4; "d" "q" "r" "u" 3; "e" "x" "z" 4;
"a" "e" 4; "b" "f" 4; "c" "m" 4; "d" "q" "r" "u" 3; "e" "x" "z" 4;
"a" "e" 4; "b" "f" 4; "c" "m" 4; "d" "q" "r" "u" 3; "e" "x" "z" 4;
"a" "e" 4; "b" "f" 4; "c" "m" 4; "d" "q" "r" "u" 3; "e" "x" "z" 4;
"a" "e" 4; "b" "f" 4; "c" "m" 4; "d" "q" "r" "u" 3; "e" "x" "z" 4;
"a" "e" 4; "b" "f" 4; "c" "m" 4; "d" "q" "r" "u" 3; "e" "x" "z" 4;
"a" "e" 4; "b" "f" 4; "c" "m" 4; "d" "q" "r" "u" 3; "e" "x" "z" 4;
"a" "e" 4; "b" "f" 4; "c" "m" 4; "d" "b" "q" "r" "u" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 4; "c" "m" 4; "d" "b" "q" "r" "u" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 4; "c" "m" 4; "d" "b" "q" "r" "u" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 4; "c" "m" 4; "d" "b" "q" "r" "u" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 4; "c" "m" 4; "d" "b" "q" "r" "u" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 4; "c" "m" 4; "d" "b" "q" "r" "u" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 4; "c" "m" 4; "d" "b" "q" "r" "u" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 4; "c" "m" 4; "d" "b" "q" "r" "u" 3; "e" "x" 5;
"a" "e" 4; "b" "a" "f" 4; "c" "m" 4; "d" "b" "q" "r" "u" 3; "e" "x" 5;
"a" "e" 4; "b" "a" "f" 4; "c" "m" 4; "d" "b" "q" "r" "u" 3; "e" "x" 5;
"a" "e" 4; "b" "a" "f" 4; "c" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "a" "f" 4; "c" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "a" "f" 4; "c" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "a" "f" 4; "c" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "a" "f" 4; "c" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 5; "c" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 5; "c" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 5; "c" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 5; "c" "l" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 5; "c" "l" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 5; "c" "l" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 5; "c" "l" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 5; "c" "l" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 5; "c" "l" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 5; "c" "l" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 5; "c" "l" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
