none
none
none
none
none
none
none
"b" "h" 1;
"b" "h" 1;
"a" "v" 1; "b" "h" 1;
"a" "v" 1; "b" "h" 1;
"a" "v" 1; "b" "h" 1; "c" "b" 1;
"a" "v" 1; "b" "h" 1; "c" "b" 1;
"a" "v" 1; "b" "h" 1; "c" "b" 1; "d" "l" 1;
"a" "v" 1; "b" "h" 1; "c" "b" 1; "d" "l" 1;
"a" "v" 1; "b" "h" 1; "c" "b" 1; "d" "l" 1;
"a" "v" 1; "b" "h" 1; "c" "b" 1; "d" "l" 1;
"a" "v" 1; "b" "h" 1; "c" "b" 1; "d" "l" 1;
"a" "c" "e" "r" "t" "v" 1; "b" "h" "t" 1; "c" "b" "h" "l" "o" "s" 1; "d" "h" "r" 2; "e" "v" 2;
"a" "c" "e" "r" "t" "v" 1; "b" "c" "h" "t" 1; "c" "b" "h" "l" "o" "s" 1; "d" "h" "r" 2; "e" "v" 2;
"a" "c" "e" "r" "t" "v" 1; "b" "c" "h" "t" 1; "c" "b" "h" "l" "o" "s" 1; "d" "h" "r" 2; "e" "v" 2;
"a" "c" "e" "r" "t" "v" 1; "b" "c" "h" "t" 1; "c" "b" "h" "l" "o" "s" 1; "d" "h" "r" 2; "e" "v" 2;
"a" "c" "e" "r" "t" "v" 1; "b" "c" "h" "t" 1; "c" "b" "h" "l" "o" "s" 1; "d" "h" "r" 2; "e" "v" 2;
"a" "c" "e" "r" "t" "v" 1; "b" "c" "g" "h" "t" 1; "c" "b" "h" "l" "o" "s" 1; "d" "h" "r" 2; "e" "v" 2;
"a" "c" "e" "r" "t" "v" 1; "b" "c" "g" "h" "t" 1; "c" "b" "h" "l" "o" "s" "z" 1; "d" "h" "r" 2; "e" "p" "v" 2;
"a" "c" "e" "r" "t" "v" 1; "b" "c" "g" "h" "t" 1; "c" "b" "h" "l" "o" "s" "z" 1; "d" "h" "r" 2; "e" "p" "v" 2;
"a" "c" "e" "r" "t" "v" 1; "b" "c" "g" "h" "t" 1; "c" "b" "h" "l" "o" "s" "z" 1; "d" "h" "r" 2; "e" "p" "v" 2;
"a" "c" "e" "r" "t" "v" 1; "b" "c" "g" "h" "t" 1; "c" "b" "h" "l" "o" "s" "z" 1; "d" "h" "r" 2; "e" "p" "v" 2;
"a" "c" "e" "f" "r" "t" "v" 1; "b" "c" "g" "h" "t" 1; "c" "b" "h" "l" "o" "s" "z" 1; "d" "h" "r" 2; "e" "p" "v" 2;
"a" "c" "e" "f" "r" "t" "v" 1; "b" "c" "f" "g" "h" "t" 1; "c" "l" 2; "d" "h" "r" 2; "e" "p" "v" 2;
"a" "c" "e" "f" "r" "t" "v" 1; "b" "c" "f" "g" "h" "t" 1; "c" "l" 2; "d" "h" "r" 2; "e" "p" "v" 2;
"a" "c" "e" "f" "r" "t" "v" 1; "b" "c" "f" "g" "h" "t" 1; "c" "l" 2; "d" "h" "r" 2; "e" "p" "v" 2;
"a" "c" "e" "f" "r" "t" "v" 1; "b" "c" "f" "g" "h" "t" 1; "c" "l" 2; "d" "h" "r" 2; "e" "p" "v" 2;
"a" "c" "e" "f" "i" "r" "t" "v" 1; "b" "c" 2; "c" "l" 2; "d" "h" "r" 2; "e" "p" "v" 2;
"a" "c" "e" "f" "i" "r" "t" "v" 1; "b" "c" 2; "c" "l" 2; "d" "h" "r" 2; "e" "p" "v" 2;
"a" "c" "e" "f" "h" "i" "r" "t" "v" 1; "b" "c" 2; "c" "l" 2; "d" "h" "r" 2; "e" "p" "v" 2;
"a" "c" "e" "f" "h" "i" "r" "t" "v" 1; "b" "c" 2; "c" "l" 2; "d" "h" "r" 2; "e" "p" "v" 2;
"a" "c" "e" "f" "h" "i" "r" "t" "v" 1; "b" "c" 2; "c" "l" 2; "d" "h" "r" 2; "e" "p" "v" 2;
"a" "c" "e" "f" "h" "i" "r" "s" "t" "v" 1; "b" "c" 2; "c" "l" 2; "d" "h" "r" 2; "e" "p" "v" 2;
"a" "c" "e" "f" "h" "i" "r" "s" "t" "v" 1; "b" "c" 2; "c" "l" 2; "d" "h" "r" 2; "e" "p" "v" 2;
"a" "c" "e" "f" "h" "i" "r" "s" "t" "v" 1; "b" "c" 2; "c" "l" 2; "d" "h" "r" 2; "e" "p" "v" 2;
"a" "c" "e" "f" "h" "i" "r" "s" "t" "v" 1; "b" "c" 2; "c" "l" 2; "d" "h" "r" 2; "e" "p" "v" 2;
"a" "c" "e" "f" "h" "i" "r" "s" "t" "v" 1; "b" "c" 2; "c" "l" 2; "d" "h" "r" 2; "e" "b" "p" "v" 2;
"a" "c" "e" "f" "h" "i" "r" "s" "t" "v" 1; "b" "c" 2; "c" "l" "n" 2; "d" "h" "r" 2; "e" "b" "p" "v" 2;
"a" "c" "e" "f" "h" "i" "r" "s" "t" "v" 1; "b" "c" 2; "c" "l" "n" 2; "d" "h" "r" 2; "e" "b" "p" "v" 2;
"a" "c" "e" "f" "h" "i" "r" "s" "t" "v" 1; "b" "c" 2; "c" "l" "n" 2; "d" "h" "r" 2; "e" "b" "p" "v" 2;
"a" "c" "e" "f" "h" "i" "r" "s" "t" "v" 1; "b" "c" 2; "c" "l" "n" 2; "d" "h" "r" 2; "e" "b" "p" "v" 2;
"a" "c" "e" "f" "h" "i" "r" "s" "t" "v" 1; "b" "c" 2; "c" "l" "n" 2; "d" "h" "r" 2; "e" "b" "p" "v" 2;
"a" "s" 2; "b" "c" 2; "c" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "p" "v" 2;
"a" "s" 2; "b" "c" 2; "c" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "p" "v" 2;
"a" "s" 2; "b" "c" 2; "c" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "p" "v" 2;
"a" "s" 2; "b" "c" 2; "c" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "p" "v" 2;
"a" "s" 2; "b" "c" 2; "c" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "p" "v" 2;
"a" "s" 2; "b" "c" 2; "c" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "p" "v" 2;
"a" "s" 2; "b" "c" 2; "c" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "p" "v" 2;
"a" "s" 2; "b" "c" 2; "c" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "p" "v" 2;
"a" "s" 2; "b" "c" 2; "c" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "p" "v" 2;
"a" "s" 2; "b" "c" 2; "c" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "p" "v" 2;
"a" "s" 2; "b" "c" 2; "c" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "p" "v" 2;
"a" "s" 2; "b" "c" "h" 2; "c" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "p" "v" 2;
"a" "s" 2; "b" "c" "h" 2; "c" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "p" "v" 2;
"a" "s" 2; "b" "c" "h" 2; "c" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "p" "v" 2;
"a" "s" "v" 2; "b" "c" "h" 2; "c" "g" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "p" "v" 2;
"a" "g" "s" "v" 2; "b" "c" "h" 2; "c" "g" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "p" "v" 2;
"a" "g" "s" "v" 2; "b" "c" "h" 2; "c" "g" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "p" "v" 2;
"a" "g" "s" "v" 2; "b" "c" "h" 2; "c" "g" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "p" "v" 2;
"a" "g" "i" "s" "v" 2; "b" "c" "h" 2; "c" "g" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "p" "v" 2;
"a" "g" "i" "s" "v" 2; "b" "c" "h" 2; "c" "g" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "p" "v" 2;
"a" "g" "i" "s" "v" 2; "b" "c" "h" 2; "c" "g" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "p" "v" 2;
"a" "g" "i" "s" "v" 2; "b" "c" "h" 2; "c" "g" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "p" "v" 2;
"a" "g" "i" "s" "v" 2; "b" "c" "h" 2; "c" "g" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "p" "v" 2;
"a" "g" "i" "s" "v" 2; "b" "c" "h" 2; "c" "g" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "p" "v" 2;
"a" "g" "i" "s" "v" 2; "b" "c" "g" "h" 2; "c" "g" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "g" "p" "v" 2;
"a" "g" "i" "s" "v" 2; "b" "c" "g" "h" 2; "c" "g" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "g" "p" "v" 2;
"a" "g" "i" "s" "v" 2; "b" "c" "g" "h" 2; "c" "g" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "g" "p" "v" 2;
"a" "g" "i" "s" "v" 2; "b" "c" "g" "h" 2; "c" "g" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "g" "p" "v" 2;
"a" "v" 3; "b" "c" "g" "h" 2; "c" "g" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" "e" "g" "p" "v" 2;
"a" "v" 3; "b" "c" "g" "h" 2; "c" "g" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" 3;
"a" "v" 3; "b" "c" "g" "h" 2; "c" "g" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" 3;
"a" "v" 3; "b" "c" "g" "h" 2; "c" "g" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" 3;
"a" "v" 3; "b" "c" "g" "h" 2; "c" "g" "l" "n" 2; "d" "h" "p" "r" 2; "e" "b" 3;
"a" "v" 3; "b" "c" "g" "h" 2; "c" "g" "l" "n" 2; "d" "r" 3; "e" "b" 3;
"a" "v" 3; "b" "c" "g" "h" 2; "c" "g" "l" "n" 2; "d" "r" 3; "e" "b" 3;
"a" "v" 3; "b" "c" "g" "h" "y" 2; "c" "g" "l" "n" 2; "d" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" "g" "h" "y" 2; "c" "g" "l" "n" 2; "d" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "g" "l" "n" 2; "d" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "g" "l" "n" 2; "d" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "g" "l" "n" 2; "d" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "g" "l" "n" 2; "d" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "g" "l" "n" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "g" "l" "n" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "g" "l" "n" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "g" "l" "n" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "g" "l" "n" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "g" "l" "n" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "g" "l" "n" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "g" "l" "n" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "g" "l" "n" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "g" "l" "n" "s" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "g" "l" "n" "s" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "g" "l" "n" "s" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "g" "l" "n" "s" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "g" "l" "n" "s" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "g" "l" "n" "s" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "f" "g" "l" "n" "s" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "f" "g" "l" "n" "s" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "f" "g" "l" "n" "s" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "f" "g" "l" "n" "s" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "f" "g" "l" "n" "s" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "f" "g" "l" "n" "s" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "f" "g" "l" "n" "s" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "f" "g" "l" "n" "s" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "f" "g" "l" "n" "s" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "f" "g" "l" "n" "s" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "v" 4; "b" "c" 3; "c" "f" "g" "l" "n" "s" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "s" "v" 3; "b" "c" 3; "c" "f" "g" "l" "n" "s" 2; "d" "p" "r" 3; "e" "b" 3;
"a" "s" "v" 3; "b" "c" "y" 3; "c" "f" "s" 3; "d" "p" "r" 3; "e" "b" 3;
"a" "s" "v" 3; "b" "c" "y" 3; "c" "f" "s" 3; "d" "p" "r" 3; "e" "b" 3;
"a" "s" "v" 3; "b" "c" "y" 3; "c" "f" "s" 3; "d" "p" "r" 3; "e" "b" 3;
"a" "s" "v" 3; "b" "c" "y" 3; "c" "f" "s" 3; "d" "p" "r" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "f" "s" 3; "d" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "f" "s" 3; "d" "h" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "f" "s" 3; "d" "h" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "f" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "f" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "f" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "f" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "y" 3; "c" "f" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "k" "y" 3; "c" "f" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "k" "y" 3; "c" "f" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "k" "y" 3; "c" "f" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "k" "y" 3; "c" "f" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "k" "y" 3; "c" "f" "s" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
