none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "i" 1;
"b" "i" 1;
"b" "i" 1;
"b" "i" 1;
"b" "i" 1;
"b" "i" 1;
"b" "i" 1;
"b" "i" 1;
"b" "i" 1; "d" "n" 1;
"b" "i" 1; "d" "n" 1;
"a" "l" 1; "b" "i" 1; "d" "n" 1; "e" "i" "p" 1;
"a" "l" 1; "b" "i" 1; "d" "n" 1; "e" "p" 2;
"a" "l" "p" "r" 1; "b" "i" "j" 1; "c" "a" "d" "e" "f" "k" "m" 1; "d" "n" "z" 1; "e" "b" "i" "p" 2;
"a" "l" "p" "r" 1; "b" "i" "j" 1; "c" "a" "d" "e" "f" "k" "m" 1; "d" "n" "z" 1; "e" "b" "i" "p" 2;
"a" "l" "p" "r" 1; "b" "i" "j" 1; "c" "a" "d" "e" "f" "k" "m" 1; "d" "n" "z" 1; "e" "b" "i" "p" 2;
"a" "k" "l" "p" "r" 1; "b" "i" "j" 1; "c" "a" "d" "e" "f" "k" "m" 1; "d" "n" "z" 1; "e" "b" "i" "p" 2;
"a" "k" "l" "p" "r" "t" 1; "b" "i" "j" 1; "c" "a" "d" "e" "f" "k" "m" 1; "d" "n" "z" 1; "e" "b" "i" "p" 2;
"a" "j" "k" "l" "p" "r" "t" 1; "b" "i" "j" "l" 1; "c" "a" "d" "e" "f" "k" "m" 1; "d" "n" "s" "z" 1; "e" "b" "i" "p" 2;
"a" "j" "k" "l" "p" "r" "t" 1; "b" "i" "j" "l" 1; "c" "a" "d" "e" "f" "k" "m" 1; "d" "n" "s" "z" 1; "e" "b" "i" "p" 2;
"a" "j" "k" "l" "p" "r" "t" 1; "b" "i" "j" "l" 1; "c" "a" "d" "e" "f" "k" "m" 1; "d" "n" "s" "z" 1; "e" "b" "i" "p" 2;
"a" "j" "k" "l" "p" "r" "t" 1; "b" "i" "j" "l" "x" 1; "c" "a" "d" "e" "f" "k" "m" 1; "d" "n" "s" "z" 1; "e" "b" "i" "p" 2;
"a" "j" "k" "l" "p" "r" "t" 1; "b" "i" "j" "l" "x" "z" 1; "c" "a" "d" "e" "f" "k" "m" "z" 1; "d" "n" "s" "z" 1; "e" "b" "i" "p" 2;
"a" "j" "k" "l" "p" "r" "t" 1; "b" "i" "j" "l" "x" "z" 1; "c" "a" "d" "e" "f" "k" "m" "z" 1; "d" "n" "s" "z" 1; "e" "b" "i" "p" 2;
"a" "j" "k" "l" "p" "r" "t" 1; "b" "i" "j" "l" "x" "z" 1; "c" "a" "d" "e" "f" "k" "m" "z" 1; "d" "n" "s" "z" 1; "e" "b" "i" "p" 2;
"a" "k" "l" "p" "r" "t" 1; "b" "i" "j" "l" "x" "z" 1; "c" "a" "d" "e" "f" "k" "m" "u" "z" 1; "d" "n" "r" "s" "z" 1; "e" "b" "i" "p" 2;
"a" "k" "l" "p" "r" "t" 1; "b" "i" "j" "l" "x" "z" 1; "c" "a" "d" "e" "f" "k" "m" "u" "z" 1; "d" "n" "r" "s" "z" 1; "e" "b" "i" "p" 2;
"a" "k" "l" "p" "r" "t" 1; "b" "i" "j" "l" "x" "z" 1; "c" "a" "d" "e" "f" "k" "m" "u" "z" 1; "d" "n" "r" "s" "z" 1; "e" "b" "i" "p" 2;
"a" "k" "l" "p" "r" "t" 1; "b" "i" "j" "l" "x" "z" 1; "c" "a" "d" "e" "f" "k" "m" "u" "z" 1; "d" "n" "p" "r" "s" "y" "z" 1; "e" "b" "i" "p" 2;
"a" "k" "l" "p" "r" "t" 1; "b" "i" "j" "l" "x" "z" 1; "c" "a" "d" "e" "f" "k" "m" "u" "z" 1; "d" "n" "p" "r" "s" "y" "z" 1; "e" "b" "i" "p" 2;
"a" "k" "l" "m" "p" "r" "t" 1; "b" "i" "j" "l" "x" "z" 1; "c" "a" "d" "e" "f" "k" "m" "u" "z" 1; "d" "n" "p" "r" "s" "y" "z" 1; "e" "b" "i" "p" 2;
"a" "k" "l" "m" "p" "r" "t" 1; "b" "e" "i" "j" "l" "x" "z" 1; "c" "a" "d" "e" "f" "k" "m" "u" "z" 1; "d" "a" "n" "p" "r" "s" "y" "z" 1; "e" "b" "i" "p" 2;
"a" "k" "l" "m" "p" "r" "t" 1; "b" "e" "i" "j" "l" "x" "z" 1; "c" "a" "d" "e" "f" "k" "m" "u" "z" 1; "d" "a" "n" "p" "r" "s" "y" "z" 1; "e" "b" "i" "p" 2;
"a" "k" "l" "m" "p" "r" "t" 1; "b" "e" "i" "j" "l" "x" "z" 1; "c" "a" "d" "e" "f" "k" "m" "u" "z" 1; "d" "a" "n" "p" "r" "s" "y" "z" 1; "e" "b" "i" "p" 2;
"a" "k" "l" "m" "p" "r" "t" 1; "b" "b" "e" "i" "j" "l" "x" "z" 1; "c" "a" "d" "e" "f" "k" "m" "u" "z" 1; "d" "a" "n" "p" "r" "s" "y" "z" 1; "e" "b" "i" "p" 2;
"a" "k" "l" "m" "p" "r" "t" 1; "b" "b" "e" "i" "j" "l" "x" "z" 1; "c" "a" "d" "e" "f" "k" "m" "u" "z" 1; "d" "a" "n" "p" "r" "s" "y" "z" 1; "e" "b" "i" "p" 2;
"a" "k" "l" "m" "p" "r" "t" 1; "b" "b" "e" "i" "j" "l" "x" "z" 1; "c" "a" "d" "e" "f" "k" "m" "u" "z" 1; "d" "a" "n" "p" "r" "s" "y" "z" 1; "e" "b" "i" "p" 2;
"a" "k" "l" "m" "p" "r" "t" 1; "b" "b" "e" "i" "j" "l" "x" "z" 1; "c" "a" "d" "e" "f" "k" "m" "u" "z" 1; "d" "a" "n" "p" "r" "s" "y" "z" 1; "e" "b" "i" "p" 2;
"a" "k" "l" "m" "p" "r" "t" 1; "b" "b" "e" "i" "j" "l" "x" "z" 1; "c" "a" "d" "e" "f" "k" "m" "u" "z" 1; "d" "a" "n" "p" "r" "s" "y" "z" 1; "e" "b" "i" "p" 2;
"a" "k" "l" "m" "p" "r" "t" 1; "b" "b" "e" "i" "j" "l" "x" "z" 1; "c" "a" "d" "e" "f" "k" "m" "u" "z" 1; "d" "a" "n" "p" "r" "s" "y" "z" 1; "e" "b" "i" "p" 2;
"a" "k" "l" "m" "p" "r" "t" 1; "b" "b" "e" "i" "j" "l" "r" "x" "z" 1; "c" "a" "d" "e" "f" "k" "m" "u" "z" 1; "d" "a" "n" "p" "r" "s" "y" "z" 1; "e" "b" "i" "p" 2;
"a" "k" "l" "m" "p" "r" "t" 1; "b" "b" "e" "i" "j" "l" "r" "x" "z" 1; "c" "a" "d" "e" "f" "k" "m" "u" "z" 1; "d" "a" "n" "p" "r" "s" "y" "z" 1; "e" "b" "i" "p" 2;
"a" "k" "l" "m" "p" "r" "t" 1; "b" "b" "e" "i" "j" "l" "r" "x" "z" 1; "c" "a" "d" "e" "f" "k" "m" "u" "z" 1; "d" "a" "n" "p" "r" "s" "y" "z" 1; "e" "b" "i" "p" 2;
"a" "k" "l" "m" "p" "r" "t" 1; "b" "b" "e" "i" "j" "l" "p" "r" "x" "z" 1; "c" "a" "d" "e" "f" "k" "m" "u" "z" 1; "d" "a" "n" "p" "q" "r" "s" "u" "y" "z" 1; "e" "b" "i" "p" 2;
"a" "m" 2; "b" "b" 2; "c" "a" "d" "e" "f" "k" "m" "u" "w" "z" 1; "d" "q" 2; "e" "b" "i" "p" 2;
"a" "m" 2; "b" "b" 2; "c" "a" "d" "e" "f" "k" "m" "u" "w" "z" 1; "d" "q" 2; "e" "b" "i" "p" 2;
"a" "m" 2; "b" "b" 2; "c" "a" "d" "e" "f" "k" "m" "u" "w" "z" 1; "d" "q" 2; "e" "b" "e" "i" "p" 2;
"a" "m" 2; "b" "b" 2; "c" "a" "d" "e" "f" "k" "m" "u" "w" "z" 1; "d" "q" 2; "e" "b" "e" "i" "p" 2;
"a" "m" 2; "b" "b" 2; "c" "a" "d" "e" "f" "k" "m" "u" "w" "z" 1; "d" "q" 2; "e" "b" "e" "i" "p" 2;
"a" "m" 2; "b" "b" 2; "c" "a" "d" "e" "f" "k" "m" "u" "w" "z" 1; "d" "q" 2; "e" "b" "e" "i" "p" 2;
"a" "m" "r" "t" 2; "b" "b" 2; "c" "a" "d" "e" "f" "i" "k" "m" "u" "w" "z" 1; "d" "q" 2; "e" "b" "e" "i" "p" 2;
"a" "m" "r" "t" 2; "b" "b" 2; "c" "a" "d" "e" "f" "i" "k" "m" "w" "z" 1; "d" "q" 2; "e" "b" "e" "i" "p" 2;
"a" "m" "r" "t" 2; "b" "b" 2; "c" "a" "d" "e" "f" "i" "k" "m" "w" "z" 1; "d" "q" 2; "e" "b" "e" "i" "p" 2;
"a" "m" "r" "t" 2; "b" "b" 2; "c" "a" "d" "e" "f" "i" "k" "m" "w" "z" 1; "d" "q" 2; "e" "b" "e" "i" "p" 2;
"a" "m" "r" "t" 2; "b" "b" 2; "c" "a" "d" "e" "f" "i" "k" "m" "p" "w" "z" 1; "d" "q" 2; "e" "b" "e" "i" "p" "r" 2;
"a" "m" "r" "t" 2; "b" "b" 2; "c" "a" "d" "e" "f" "i" "k" "m" "p" "w" "z" 1; "d" "q" 2; "e" "b" "e" "i" "p" "r" 2;
"a" "m" "r" "t" 2; "b" "b" 2; "c" "a" "d" "e" "f" "i" "k" "m" "p" "w" "x" "z" 1; "d" "q" 2; "e" "b" "e" "i" "p" "r" 2;
"a" "m" "r" "t" 2; "b" "b" 2; "c" "a" "d" "e" "f" "i" "k" "m" "p" "w" "x" "z" 1; "d" "q" 2; "e" "b" "e" "i" "p" "r" 2;
"a" "m" "r" "t" 2; "b" "b" 2; "c" "a" "d" "e" "f" "i" "k" "m" "p" "w" "x" "z" 1; "d" "q" 2; "e" "b" "e" "i" "p" "r" 2;
"a" "m" "r" "t" 2; "b" "b" 2; "c" "p" 2; "d" "q" 2; "e" "b" "e" "i" "p" "r" 2;
"a" "m" "r" "t" 2; "b" "b" 2; "c" "p" 2; "d" "q" 2; "e" "b" "e" "i" "p" "r" 2;
"a" "m" "r" "t" 2; "b" "b" 2; "c" "p" 2; "d" "q" 2; "e" "b" "e" "i" "p" "r" 2;
"a" "m" "r" "t" 2; "b" "b" 2; "c" "p" 2; "d" "q" 2; "e" "b" "e" "i" "p" "r" 2;
"a" "m" "r" "t" 2; "b" "b" 2; "c" "p" 2; "d" "q" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "m" "r" "t" 2; "b" "b" 2; "c" "p" 2; "d" "q" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "m" "r" "t" 2; "b" "b" 2; "c" "p" 2; "d" "q" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "m" "r" "t" 2; "b" "b" 2; "c" "p" 2; "d" "q" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "m" "r" "t" 2; "b" "b" 2; "c" "p" 2; "d" "q" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "m" "r" "t" 2; "b" "b" "z" 2; "c" "p" 2; "d" "q" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "m" "r" "t" 2; "b" "b" "z" 2; "c" "p" 2; "d" "q" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "m" "r" "t" 2; "b" "b" "z" 2; "c" "p" 2; "d" "q" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "m" "r" "t" 2; "b" "b" "z" 2; "c" "p" 2; "d" "q" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "m" "r" "t" 2; "b" "b" "z" 2; "c" "p" 2; "d" "q" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "m" "r" "t" 2; "b" "b" "z" 2; "c" "p" 2; "d" "q" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "m" "r" "t" 2; "b" "b" "z" 2; "c" "p" 2; "d" "q" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "r" 3; "b" "b" "z" 2; "c" "p" 2; "d" "q" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "r" 3; "b" "b" "z" 2; "c" "p" 2; "d" "q" "u" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "r" 3; "b" "b" "p" "z" 2; "c" "p" 2; "d" "q" "u" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "r" 3; "b" "b" "p" "z" 2; "c" "i" "p" 2; "d" "q" "u" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "r" 3; "b" "b" "p" "z" 2; "c" "i" "p" 2; "d" "q" "u" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "r" 3; "b" "b" "p" "z" 2; "c" "i" "p" 2; "d" "q" "u" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "r" 3; "b" "b" "p" "z" 2; "c" "i" "p" 2; "d" "q" "u" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "r" 3; "b" "b" "p" "z" 2; "c" "i" "p" 2; "d" "q" "u" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "r" 3; "b" "b" "p" "z" 2; "c" "i" "p" 2; "d" "n" "q" "u" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "r" 3; "b" "b" "p" "z" 2; "c" "i" "p" 2; "d" "n" "q" "u" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "r" 3; "b" "b" "p" "z" 2; "c" "i" "p" 2; "d" "n" "q" "u" 2; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "r" 3; "b" "b" "p" "z" 2; "c" "i" "p" 2; "d" "q" 3; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "r" 3; "b" "b" "p" "z" 2; "c" "i" "p" 2; "d" "q" 3; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "r" 3; "b" "b" "h" "p" "z" 2; "c" "i" "p" 2; "d" "q" 3; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "r" 3; "b" "b" "h" "p" "z" 2; "c" "i" "p" 2; "d" "q" 3; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "r" 3; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "k" "r" 3; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "k" "r" 3; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "k" "r" 3; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "k" "r" 3; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "k" "r" 3; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "k" 4; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "k" 4; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "b" "e" "i" "p" "r" "y" 2;
"a" "k" 4; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "b" "e" "i" "p" "r" "x" "y" 2;
"a" "k" 4; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "b" "e" "i" "p" "r" "x" "y" 2;
"a" "k" 4; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "b" "e" "i" "p" "r" "x" "y" 2;
"a" "k" 4; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "b" "e" "i" "p" "r" "x" "y" 2;
"a" "k" 4; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "b" "e" "i" "p" "r" "x" "y" 2;
"a" "k" 4; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "b" "e" "i" "p" "r" "x" "y" 2;
"a" "k" 4; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "i" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "i" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "i" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "i" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "i" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "i" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "i" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "i" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "i" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "i" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "i" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "i" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "i" "r" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 3; "d" "q" 3; "e" "i" "r" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 4; "d" "q" 3; "e" "i" "r" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 4; "d" "q" 3; "e" "i" "r" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 4; "d" "q" 3; "e" "i" "r" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 4; "d" "q" 3; "e" "i" "r" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 4; "d" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 4; "d" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 4; "d" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 4; "d" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 4; "d" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 4; "b" "h" 3; "c" "i" 4; "d" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 3; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 3; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 3; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "p" "r" "x" 3;
"a" "k" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "p" "r" "x" 3;
"a" "k" "r" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "p" "r" "x" 3;
"a" "k" "r" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "p" "r" "x" 3;
"a" "k" "r" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "p" "r" "x" 3;
"a" "k" "r" 5; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "p" "r" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "p" "r" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "p" "r" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "p" "r" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "p" "r" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "l" "p" "r" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "l" "p" "r" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "l" "p" "r" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "l" "p" "r" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "l" "p" "r" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "l" "p" "r" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "l" "p" "r" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "l" "o" "p" "r" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "l" "m" "o" "p" "r" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "l" "m" "o" "p" "r" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "l" "m" "o" "p" "r" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "l" "m" "o" "p" "r" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "l" "m" "o" "p" "r" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" "q" "y" 3; "e" "i" "l" "m" "o" "p" "r" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" 4; "e" "i" "l" "m" "o" "p" "r" "x" 3;
