none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "r" 1;
"b" "r" 1;
"b" "r" 1;
"b" "r" 1;
"a" "n" 1; "b" "r" 1;
"a" "n" 1; "b" "j" "r" 1; "c" "k" 1;
"a" "n" 1; "b" "j" "r" 1; "c" "k" 1;
"a" "n" "r" 1; "b" "d" "j" "r" 1; "c" "k" 1; "e" "y" 1;
"a" "n" "r" 1; "b" "d" "j" "r" 1; "c" "k" 1; "e" "y" 1;
"a" "b" "c" "h" "i" "n" "o" "r" "x" "y" 1; "b" "n" 2; "c" "a" 2; "d" "b" 2; "e" "w" "z" 2;
"a" "b" 2; "b" "n" 2; "c" "a" 2; "d" "b" 2; "e" "w" "z" 2;
"a" "b" 2; "b" "n" 2; "c" "a" 2; "d" "b" 2; "e" "w" "z" 2;
"a" "b" 2; "b" "n" 2; "c" "a" 2; "d" "b" 2; "e" "w" "z" 2;
"a" "b" 2; "b" "n" 2; "c" "a" "y" 2; "d" "b" 2; "e" "w" "z" 2;
"a" "b" 2; "b" "n" 2; "c" "a" "k" "y" 2; "d" "b" 2; "e" "w" "z" 2;
"a" "b" 2; "b" "n" 2; "c" "a" "k" "y" 2; "d" "b" 2; "e" "w" "z" 2;
"a" "b" 2; "b" "n" 2; "c" "a" "k" "y" 2; "d" "b" 2; "e" "w" "z" 2;
"a" "b" 2; "b" "n" 2; "c" "a" "k" "y" 2; "d" "b" 2; "e" "w" "z" 2;
"a" "b" "n" 2; "b" "n" 2; "c" "a" "k" "s" "y" 2; "d" "b" 2; "e" "m" "w" "z" 2;
"a" "b" "n" 2; "b" "n" 2; "c" "a" "k" "s" "y" 2; "d" "b" 2; "e" "m" "w" "z" 2;
"a" "b" "n" 2; "b" "n" 2; "c" "a" "k" "s" "y" 2; "d" "b" 2; "e" "m" "w" "z" 2;
"a" "b" "n" 2; "b" "n" 2; "c" "a" "k" "s" "y" 2; "d" "b" 2; "e" "m" "w" "z" 2;
"a" "b" "n" 2; "b" "a" "n" 2; "c" "a" "k" "s" "y" 2; "d" "b" 2; "e" "m" "w" "z" 2;
"a" "b" "n" 2; "b" "a" "d" "n" 2; "c" "a" "k" "s" "y" 2; "d" "b" 2; "e" "m" "w" "z" 2;
"a" "b" "n" "x" 2; "b" "a" "d" "n" 2; "c" "a" "j" "k" "s" "y" 2; "d" "b" 2; "e" "m" "w" "z" 2;
"a" "b" "n" "x" 2; "b" "a" "d" "n" 2; "c" "a" "j" "k" "s" "y" 2; "d" "b" 2; "e" "m" "w" "z" 2;
"a" "b" "n" "x" 2; "b" "a" "d" "n" 2; "c" "a" "j" "k" "s" "y" 2; "d" "b" 2; "e" "m" "w" "z" 2;
"a" "b" "n" "x" 2; "b" "a" "d" "n" 2; "c" "a" "j" "k" "s" "y" 2; "d" "b" 2; "e" "m" "w" "z" 2;
"a" "b" "n" "x" 2; "b" "a" "d" "n" 2; "c" "a" "j" "k" "r" "s" "y" 2; "d" "b" 2; "e" "m" "w" "z" 2;
"a" "b" "n" "x" 2; "b" "a" "d" "n" 2; "c" "a" "j" "k" "r" "s" "y" 2; "d" "b" "c" 2; "e" "m" "q" "w" "z" 2;
"a" "b" "n" "x" 2; "b" "a" "d" "n" 2; "c" "a" "j" "k" "r" "s" "y" 2; "d" "b" "c" 2; "e" "m" "q" "w" "z" 2;
"a" "b" "x" 2; "b" "a" "d" "n" 2; "c" "a" "j" "k" "r" "s" "y" 2; "d" "b" "c" 2; "e" "m" "q" "w" "z" 2;
"a" "b" "x" 2; "b" "a" "d" "n" 2; "c" "a" "j" "k" "r" "s" "y" 2; "d" "b" "c" 2; "e" "m" "q" "w" "z" 2;
"a" "b" "x" 2; "b" "a" "d" "n" 2; "c" "k" 3; "d" "b" "c" 2; "e" "m" "q" "w" "z" 2;
"a" "b" "x" 2; "b" "a" "d" "n" 2; "c" "k" 3; "d" "b" "c" 2; "e" "m" "q" "w" "z" 2;
"a" "b" "x" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" "c" 2; "e" "m" "q" "w" "z" 2;
"a" "b" "x" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" "c" 2; "e" "m" "q" "w" "z" 2;
"a" "b" "x" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" "c" 2; "e" "m" "q" "w" "z" 2;
"a" "b" "x" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" "c" 2; "e" "m" "q" "w" "z" 2;
"a" "b" "x" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" "c" 2; "e" "m" "q" "w" "z" 2;
"a" "b" "x" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" "c" 2; "e" "m" "q" "w" "z" 2;
"a" "b" "x" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" "c" 2; "e" "m" "q" "w" "z" 2;
"a" "b" "x" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" "c" 2; "e" "m" "q" "t" "w" "z" 2;
"a" "b" "x" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "b" "x" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "b" "x" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "b" "x" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "b" "x" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "b" "x" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "b" "x" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "b" "x" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "b" "x" "z" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "b" "x" "z" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "b" "x" "z" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "b" "x" "z" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "b" "x" "z" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "b" "x" "z" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "b" "x" "z" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "b" "x" "z" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "b" "x" "z" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "b" "q" "r" "x" "z" 2; "b" "a" "b" "d" "n" 2; "c" "k" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "b" "q" "r" "x" "z" 2; "b" "a" "b" "d" "n" "q" 2; "c" "k" "s" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "b" "q" "r" "x" "z" 2; "b" "a" "b" "d" "g" "n" "q" 2; "c" "k" "s" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "b" "q" "r" "x" "z" 2; "b" "a" "b" "d" "g" "n" "q" 2; "c" "k" "s" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "b" "q" "r" "x" "z" 2; "b" "a" "b" "d" "g" "n" "q" 2; "c" "k" "s" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "z" 3; "b" "a" "b" "d" "g" "n" "q" 2; "c" "k" "s" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "z" 3; "b" "a" "b" "d" "g" "n" "q" 2; "c" "k" "s" 3; "d" "b" 3; "e" "m" "q" "t" "w" "z" 2;
"a" "z" 3; "b" "a" "b" "d" "g" "n" "q" 2; "c" "k" "o" "s" 3; "d" "b" 3; "e" "i" "m" "q" "t" "w" "z" 2;
"a" "z" 3; "b" "a" "b" "d" "g" "n" "q" 2; "c" "k" "o" "s" 3; "d" "b" 3; "e" "i" "m" "q" "t" "w" "z" 2;
"a" "z" 3; "b" "a" "b" "d" "g" "n" "q" 2; "c" "k" "o" "s" 3; "d" "b" 3; "e" "i" "m" "q" "t" "w" "z" 2;
"a" "z" 3; "b" "a" "b" "d" "g" "n" "q" 2; "c" "k" "o" "s" 3; "d" "b" 3; "e" "i" "m" "q" "t" "w" "z" 2;
"a" "z" 3; "b" "a" "b" "d" "g" "n" "q" 2; "c" "k" "o" "s" 3; "d" "b" 3; "e" "i" "m" "n" "q" "t" "w" "z" 2;
"a" "z" 3; "b" "a" "b" "d" "g" "n" "q" 2; "c" "k" "o" "s" 3; "d" "b" 3; "e" "i" "m" "n" "q" "t" "w" "z" 2;
"a" "z" 3; "b" "a" "b" "d" "g" "n" "q" 2; "c" "k" "o" "s" 3; "d" "b" 3; "e" "i" "m" "n" "q" "t" "w" "z" 2;
"a" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "i" "m" "n" "q" "t" "w" "z" 2;
"a" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "t" 3;
"a" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "t" 3;
"a" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "t" 3;
"a" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "t" 3;
"a" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "t" 3;
"a" "l" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "t" 3;
"a" "l" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "t" 3;
"a" "l" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "t" 3;
"a" "l" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "t" 3;
"a" "l" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "t" 3;
"a" "l" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "t" 3;
"a" "l" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "t" 3;
"a" "l" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "t" 3;
"a" "l" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "t" 3;
"a" "l" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "t" 3;
"a" "l" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "t" 3;
"a" "l" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "t" 3;
"a" "l" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "t" 3;
"a" "l" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "t" 3;
"a" "i" "l" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "t" 3;
"a" "i" "l" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "t" 3;
"a" "i" "l" "z" 3; "b" "a" 4; "c" "k" "o" "s" 3; "d" "b" 4; "e" "t" 3;
"a" "z" 4; "b" "a" "d" 3; "c" "o" 4; "d" "b" 4; "e" "t" 3;
"a" "z" 4; "b" "a" "d" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" 3;
"a" "z" 4; "b" "a" "d" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" 3;
"a" "z" 4; "b" "a" "d" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" 3;
"a" "z" 4; "b" "a" "d" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" 3;
"a" "z" 4; "b" "a" "d" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" 3;
"a" "z" 4; "b" "a" "d" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" "z" 3;
"a" "z" 4; "b" "a" "d" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" "z" 3;
"a" "z" 4; "b" "a" "d" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" "z" 3;
"a" "z" 4; "b" "a" "d" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" "z" 3;
"a" "z" 4; "b" "a" "d" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" "z" 3;
"a" "z" 4; "b" "a" "d" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" "z" 3;
"a" "z" 4; "b" "a" "d" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" "z" 3;
"a" "z" 4; "b" "a" "d" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" "y" "z" 3;
"a" "z" 4; "b" "a" "d" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" "y" "z" 3;
"a" "z" 4; "b" "a" "d" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" "y" "z" 3;
"a" "z" 4; "b" "a" "d" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" "y" "z" 3;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" "y" "z" 3;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" "y" "z" 3;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" "y" "z" 3;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" "y" "z" 3;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" "y" "z" 3;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" "y" "z" 3;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" 4; "d" "b" 4; "e" "t" "w" "y" "z" 3;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" 4; "d" "b" 4; "e" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" 4; "d" "b" 4; "e" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" 4; "d" "b" 4; "e" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 4; "d" "b" 4; "e" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 4; "d" "b" 4; "e" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 4; "d" "b" 4; "e" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 4; "d" "b" 4; "e" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 4; "d" "b" 4; "e" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 4; "d" "b" 4; "e" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 4; "d" "b" 4; "e" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 4; "d" "b" 4; "e" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 4; "d" "b" 4; "e" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 4; "d" "b" 4; "e" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "s" 5; "d" "b" 4; "e" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "s" 5; "d" "b" 4; "e" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "s" 5; "d" "b" 4; "e" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "s" 5; "d" "b" 4; "e" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "s" 5; "d" "b" 4; "e" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "s" 5; "d" "b" 4; "e" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "s" 5; "d" "b" 4; "e" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "z" 4; "b" "a" "d" "g" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "z" 4; "b" "a" "d" "g" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "z" 4; "b" "a" "b" "d" "g" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "z" 4; "b" "a" "b" "d" "g" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "z" 4; "b" "a" "b" "d" "g" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" "z" 4; "b" "a" "b" "d" "g" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" "z" 4; "b" "a" "b" "d" "g" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" "z" 4; "b" "a" "b" "d" "g" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" "z" 4; "b" "a" "b" "d" "g" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" "z" 4; "b" "a" "b" "d" "g" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" "z" 4; "b" "a" "b" "d" "g" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" "z" 4; "b" "a" "b" "d" "g" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" "z" 4; "b" "a" "b" "d" "g" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" "z" 4; "b" "a" "b" "d" "g" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" "z" 4; "b" "a" "b" "d" "g" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" 5; "b" "a" "b" "d" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" 5; "b" "a" "b" "d" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" 5; "b" "a" "b" "d" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" 5; "b" "a" "b" "d" "k" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" 5; "b" "a" "b" "d" "k" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" 5; "b" "a" "b" "d" "k" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" 5; "b" "a" "b" "d" "k" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
