none
none
none
none
none
none
"c" "s" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "f" "s" 1; "e" "b" 1;
"c" "f" "s" 1; "e" "b" 1;
"b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 1; "b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 1; "b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 1; "b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 1; "b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 1; "b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 1; "b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 1; "b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "f" "i" "t" "w" 1; "e" "g" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "t" "w" 1; "e" "g" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "t" "w" 1; "e" "g" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "t" "w" 1; "e" "g" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "t" "w" 1; "e" "g" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "t" "w" "y" 1; "e" "g" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "t" "w" "y" 1; "e" "g" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "t" "w" "y" 1; "e" "g" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "t" "w" "y" 1; "e" "g" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "t" "w" "y" 1; "e" "g" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "t" "w" "y" 1; "e" "g" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "t" "w" "y" 1; "e" "g" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "k" "t" "w" "y" 1; "e" "g" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "k" "t" "w" "y" 1; "e" "g" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "k" "t" "w" "y" 1; "e" "g" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "k" "t" "w" "y" 1; "e" "g" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "k" "t" "w" "y" 1; "e" "g" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "k" "t" "w" "y" 1; "e" "g" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "k" "t" "w" "y" 1; "e" "g" "s" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "k" "t" "w" "y" 1; "e" "g" "s" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "k" "t" "w" "y" 1; "e" "g" "s" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "k" "t" "w" "y" 1; "e" "g" "h" "s" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "k" "t" "w" "y" 1; "e" "g" "h" "s" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "c" "d" "f" "i" "k" "t" "w" "y" 1; "e" "g" "h" "s" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "a" "c" "d" "f" "i" "k" "t" "w" "y" 1; "e" "g" "h" "s" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "a" "c" "d" "f" "i" "k" "t" "w" "y" 1; "e" "g" "h" "s" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "a" "c" "d" "f" "i" "k" "t" "w" "y" 1; "e" "g" "h" "s" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "a" "c" "d" "f" "i" "k" "t" "w" "y" 1; "e" "g" "h" "s" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "a" "c" "d" "f" "i" "k" "t" "w" "y" 1; "e" "g" "h" "s" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "a" "c" "d" "f" "i" "k" "t" "w" "y" 1; "e" "g" "h" "s" 2;
"a" "a" 3; "b" "g" "j" 2; "c" "f" 2; "d" "a" "c" "d" "f" "i" "k" "t" "w" "y" 1; "e" "g" "h" "s" 2;
"a" "a" 3; "b" "g" 2; "c" "f" 2; "d" "a" "c" "d" "f" "i" "k" "t" "w" "y" 1; "e" "g" "h" "s" 2;
"a" "a" 3; "b" "g" 2; "c" "f" 2; "d" "a" "c" "d" "f" "i" "k" "t" "w" "y" 1; "e" "g" "h" "s" 2;
"a" "a" 3; "b" "g" 2; "c" "f" 2; "d" "a" "c" "d" "f" "i" "k" "t" "w" "y" 1; "e" "g" "h" "s" 2;
"a" "a" 3; "b" "g" 2; "c" "f" 2; "d" "a" "c" "d" "f" "i" "k" "o" "t" "w" "y" 1; "e" "g" "h" "s" 2;
"a" "a" "v" 3; "b" "g" 2; "c" "f" 2; "d" "a" "c" "d" "f" "i" "k" "o" "t" "w" "y" 1; "e" "g" "h" "s" "v" 2;
"a" "a" "v" 3; "b" "g" 2; "c" "f" "q" 2; "d" "a" "c" "d" "f" "i" "j" "k" "o" "t" "w" "y" 1; "e" "g" "h" "s" "v" 2;
"a" "a" "v" 3; "b" "g" 2; "c" "q" 3; "d" "a" "c" "d" "f" "i" "j" "k" "o" "t" "w" "y" 1; "e" "g" "h" "s" "v" 2;
"a" "a" "v" 3; "b" "g" 2; "c" "q" 3; "d" "a" "c" "d" "f" "i" "j" "k" "o" "t" "w" "y" 1; "e" "g" "h" "s" "v" 2;
"a" "a" "v" 3; "b" "g" 2; "c" "q" 3; "d" "a" "c" "d" "f" "i" "j" "k" "o" "t" "w" "y" 1; "e" "g" "h" "s" "v" 2;
"a" "a" "v" 3; "b" "g" 2; "c" "q" 3; "d" "o" 2; "e" "g" "h" "s" "v" 2;
"a" "a" "v" 3; "b" "g" 2; "c" "q" 3; "d" "f" "o" 2; "e" "v" 3;
"a" "a" "v" 3; "b" "g" 2; "c" "q" 3; "d" "f" "o" 2; "e" "v" 3;
"a" "a" "v" 3; "b" "g" 2; "c" "q" 3; "d" "f" "o" 2; "e" "v" 3;
"a" "a" "v" 3; "b" "g" 2; "c" "q" 3; "d" "f" "o" 2; "e" "v" 3;
"a" "a" "v" 3; "b" "g" 2; "c" "q" 3; "d" "f" "o" 2; "e" "v" 3;
"a" "a" "v" 3; "b" "g" 2; "c" "q" 3; "d" "f" "o" 2; "e" "v" 3;
"a" "a" "v" 3; "b" "g" 2; "c" "q" 3; "d" "f" "o" 2; "e" "v" 3;
"a" "a" "v" 3; "b" "g" 2; "c" "q" 3; "d" "f" "o" 2; "e" "v" 3;
"a" "a" "v" 3; "b" "g" 2; "c" "q" 3; "d" "f" "o" 2; "e" "v" 3;
"a" "a" "v" 3; "b" "g" 2; "c" "q" 3; "d" "f" "o" 2; "e" "v" 3;
"a" "a" "v" 3; "b" "g" 2; "c" "q" 3; "d" "f" "o" 2; "e" "v" 3;
"a" "a" "v" 3; "b" "g" 2; "c" "q" 3; "d" "f" "o" 2; "e" "v" 3;
"a" "a" "v" 3; "b" "g" 2; "c" "q" 3; "d" "f" "o" 2; "e" "v" 3;
"a" "a" "v" 3; "b" "g" 2; "c" "q" 3; "d" "e" "f" "o" 2; "e" "v" 3;
"a" "a" "v" 3; "b" "g" 2; "c" "q" 3; "d" "e" "f" "o" 2; "e" "v" 3;
"a" "a" "v" 3; "b" "g" 2; "c" "q" 3; "d" "e" "f" "o" 2; "e" "v" 4;
"a" "a" "v" 3; "b" "g" 2; "c" "q" 3; "d" "e" "f" "o" 2; "e" "v" 4;
"a" "a" "v" 3; "b" "g" "o" 2; "c" "q" 3; "d" "e" "f" "o" 2; "e" "v" 4;
"a" "a" "v" 3; "b" "g" "o" 2; "c" "q" 3; "d" "e" "f" "o" 2; "e" "v" 4;
"a" "a" "v" 3; "b" "g" 3; "c" "q" 3; "d" "e" "f" "o" 2; "e" "v" 4;
"a" "a" "v" 3; "b" "g" 3; "c" "q" 3; "d" "e" "f" "o" 2; "e" "v" 4;
"a" "a" "v" 3; "b" "g" 3; "c" "q" 3; "d" "e" "f" "o" 2; "e" "v" 4;
"a" "a" "v" 3; "b" "g" 3; "c" "q" 3; "d" "e" "f" "o" 2; "e" "v" 4;
"a" "a" "v" 3; "b" "g" 3; "c" "q" 3; "d" "e" "f" "o" 2; "e" "v" 4;
"a" "a" "v" 3; "b" "g" 3; "c" "q" 3; "d" "e" "f" "o" 2; "e" "v" 4;
"a" "v" 3; "b" "g" 3; "c" "q" 3; "d" "e" "f" "o" 2; "e" "v" 4;
"a" "v" 3; "b" "g" 3; "c" "q" 3; "d" "e" "f" "o" 2; "e" "v" 4;
"a" "v" 3; "b" "g" 3; "c" "q" 3; "d" "e" "f" "o" 2; "e" "v" 4;
"a" "v" 3; "b" "g" 3; "c" "q" 3; "d" "e" "f" "o" 2; "e" "v" 4;
"a" "v" 3; "b" "g" 3; "c" "q" 3; "d" "e" "f" "o" 2; "e" "v" 4;
"a" "v" 3; "b" "g" 3; "c" "q" 3; "d" "e" "f" "o" 2; "e" "v" 4;
"a" "v" 3; "b" "g" 3; "c" "q" 3; "d" "d" "e" "f" "o" 2; "e" "v" 4;
"a" "v" 3; "b" "g" 3; "c" "q" 3; "d" "d" "e" "f" "o" 2; "e" "v" 4;
"a" "v" 3; "b" "g" "n" 3; "c" "q" 3; "d" "d" "e" "f" "o" 2; "e" "v" 4;
"a" "v" 3; "b" "g" "n" 3; "c" "q" 3; "d" "d" "e" "f" "o" 2; "e" "v" 4;
"a" "v" 3; "b" "g" "n" 3; "c" "q" 3; "d" "d" "e" "f" "o" 2; "e" "v" 4;
"a" "v" 3; "b" "g" "n" 3; "c" "q" 3; "d" "d" "e" "f" "o" 2; "e" "v" 4;
"a" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "d" "e" "f" "o" 2; "e" "v" 4;
"a" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "d" "e" "f" "o" 2; "e" "v" 4;
"a" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "d" "e" "f" "o" 2; "e" "v" 4;
"a" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "d" "e" "f" "o" 2; "e" "v" 4;
"a" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "d" "e" "f" "o" 2; "e" "v" 4;
"a" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "d" "e" "f" "o" 2; "e" "v" 4;
"a" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "d" "e" "f" "o" 2; "e" "v" 4;
"a" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "d" "e" "f" "o" 2; "e" "v" 4;
"a" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "d" "e" "f" "o" 2; "e" "v" 4;
"a" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "d" "e" "f" "o" 2; "e" "v" 4;
"a" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "d" "e" "f" "o" 2; "e" "v" 4;
"a" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "d" "e" "f" "o" 2; "e" "v" 4;
"a" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "d" "e" "f" "o" 2; "e" "v" 4;
"a" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "d" "e" "f" "o" "y" 2; "e" "v" 4;
"a" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "d" "e" "f" "o" "y" 2; "e" "v" 4;
"a" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "d" "e" "f" "o" "y" 2; "e" "v" 4;
"a" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "d" "e" "f" "o" "y" 2; "e" "v" 4;
"a" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "d" "e" "f" "i" "o" "y" 2; "e" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "d" "e" "f" "i" "o" "y" 2; "e" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "b" "c" "d" "e" "f" "i" "o" "y" 2; "e" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "b" "c" "d" "e" "f" "i" "o" "y" 2; "e" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "b" "c" "d" "e" "f" "i" "o" "p" "w" "y" 2; "e" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "b" "c" "d" "e" "f" "i" "o" "p" "w" "y" 2; "e" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "b" "c" "d" "e" "f" "i" "o" "p" "w" "y" 2; "e" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "i" 3; "e" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "i" 3; "e" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "i" 3; "e" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "i" 3; "e" "g" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "i" 3; "e" "g" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "i" 3; "e" "g" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "i" 3; "e" "g" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "i" 3; "e" "g" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "i" 3; "e" "g" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "i" 3; "e" "g" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "i" 3; "e" "g" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "i" 3; "e" "g" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "i" 3; "e" "g" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "i" 3; "e" "g" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "i" 3; "e" "g" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "i" 3; "e" "g" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "i" 3; "e" "g" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "i" 3; "e" "g" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "i" 3; "e" "g" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "i" 3; "e" "g" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "i" 3; "e" "g" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "i" 3; "e" "g" "v" 4;
"a" "s" "u" "v" 3; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "i" 3; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "i" 3; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "i" 3; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" 3; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" 3; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" 3; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "f" 3; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "f" 3; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "f" 3; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "f" 3; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "f" 3; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "f" 3; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "f" 3; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "f" 3; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "f" 3; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "f" 3; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "f" 3; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "f" 3; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "f" 3; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "c" "e" "f" 3; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "e" 4; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "e" 4; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "e" 4; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "e" "f" 4; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "e" "f" 4; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "e" "f" 4; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "e" "f" 4; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "e" "f" 4; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "e" "f" 4; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "e" "f" 4; "e" "g" "v" 4;
"a" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "e" "f" 4; "e" "g" "v" 4;
"a" "d" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "e" "f" 4; "e" "g" 5;
"a" "d" "v" 4; "b" "g" "n" "o" 3; "c" "q" 3; "d" "e" "f" 4; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "q" 3; "d" "e" "f" 4; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "q" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "q" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "q" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "q" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "q" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "q" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "q" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "q" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "q" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "q" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "q" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "f" "q" "t" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "f" "q" "t" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "f" "q" "t" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "f" "q" "t" 3; "d" "e" 5; "e" "g" 5;
