none
none
none
none
none
none
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"b" "n" 1; "c" "a" 1;
"b" "n" 1; "c" "a" 1;
"b" "n" "v" 1; "c" "a" 1; "e" "y" 1;
"b" "n" "v" "x" 1; "c" "a" 1; "e" "y" 1;
"b" "n" "v" "x" 1; "c" "a" 1; "e" "y" 1;
"b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "b" "k" "n" "r" "v" "x" 1; "c" "a" 1; "d" "i" 1; "e" "b" "y" 1;
"b" "b" "k" "n" "r" "v" "x" 1; "c" "a" 1; "d" "i" 1; "e" "b" "y" 1;
"a" "a" "i" "j" 1; "b" "r" "x" 2; "c" "a" "x" 1; "d" "i" "l" 1; "e" "b" "y" 1;
"a" "a" "i" "j" "n" 1; "b" "r" "x" 2; "c" "a" "x" 1; "d" "i" "l" 1; "e" "b" "y" 1;
"a" "a" "i" "j" "n" 1; "b" "r" "x" 2; "c" "a" "x" 1; "d" "i" "l" 1; "e" "b" "y" 1;
"a" "a" "i" "j" "n" 1; "b" "r" "x" 2; "c" "a" "x" 1; "d" "i" "l" 1; "e" "b" "y" 1;
"a" "a" "i" "j" "n" 1; "b" "r" "x" 2; "c" "a" "r" "x" 1; "d" "i" "l" 1; "e" "b" "y" 1;
"a" "a" "i" "j" "n" 1; "b" "r" "x" 2; "c" "a" "r" "x" 1; "d" "i" "l" 1; "e" "b" "y" 1;
"a" "a" "i" "j" "n" 1; "b" "r" "x" 2; "c" "a" "r" "x" 1; "d" "i" "l" 1; "e" "b" "d" "y" 1;
"a" "a" "i" "j" "n" 1; "b" "r" "x" 2; "c" "a" "r" "x" 1; "d" "i" "l" 1; "e" "b" "d" "y" 1;
"a" "a" "i" "j" "n" 1; "b" "r" "x" 2; "c" "a" "r" "x" 1; "d" "i" "l" 1; "e" "b" "d" "y" 1;
"a" "a" "i" "j" "n" "p" 1; "b" "r" "x" 2; "c" "a" "r" "x" 1; "d" "i" "l" 1; "e" "b" "d" "y" 1;
"a" "a" "i" "j" "n" "p" 1; "b" "r" "x" 2; "c" "a" "r" "x" 1; "d" "i" "l" 1; "e" "b" "d" "y" 1;
"a" "a" "i" "j" "n" "p" 1; "b" "r" "x" 2; "c" "a" "r" "x" 1; "d" "h" "i" "l" 1; "e" "b" "d" "y" 1;
"a" "a" "i" "j" "n" "p" 1; "b" "r" "x" 2; "c" "a" "r" "x" 1; "d" "h" "i" "l" 1; "e" "b" "d" "y" 1;
"a" "a" "i" "j" "n" "p" 1; "b" "r" "x" 2; "c" "a" "r" "x" 1; "d" "h" "i" "l" 1; "e" "b" "d" "y" 1;
"a" "a" "i" "j" "n" "p" 1; "b" "r" "x" 2; "c" "a" "r" "x" 1; "d" "h" "i" "l" 1; "e" "b" "d" "h" "y" 1;
"a" "a" "g" "i" "j" "n" "p" 1; "b" "n" "r" "x" 2; "c" "a" "r" "x" 1; "d" "h" "i" "l" 1; "e" "b" "d" "h" "x" "y" 1;
"a" "a" "g" "i" "j" "n" "p" 1; "b" "n" "r" "x" 2; "c" "a" "r" "x" 1; "d" "h" "i" "l" 1; "e" "b" "d" "h" "x" "y" 1;
"a" "a" "g" "i" "j" "n" "p" 1; "b" "n" "r" "x" 2; "c" "a" "r" "x" 1; "d" "h" "i" "l" 1; "e" "b" "d" "h" "x" "y" 1;
"a" "a" "g" "i" "j" "n" "p" 1; "b" "n" "r" "x" 2; "c" "a" "r" "x" 1; "d" "h" "i" "l" 1; "e" "b" "d" "h" "x" "y" 1;
"a" "a" "g" "i" "j" "n" "p" 1; "b" "n" "r" "x" 2; "c" "a" "r" "x" 1; "d" "h" "i" "l" 1; "e" "b" "d" "h" "r" "x" "y" 1;
"a" "a" "g" "i" "j" "n" "p" 1; "b" "n" "r" "x" 2; "c" "a" "r" "x" 1; "d" "h" "i" "l" "t" 1; "e" "b" "d" "h" "r" "x" "y" 1;
"a" "a" "g" "i" "j" "n" "p" 1; "b" "n" "r" "x" 2; "c" "a" "r" "x" 1; "d" "h" "i" "l" "t" 1; "e" "b" "d" "h" "r" "x" "y" 1;
"a" "a" "g" "i" "j" "n" "p" 1; "b" "r" 3; "c" "a" "k" "r" "x" 1; "d" "h" "i" "l" "t" 1; "e" "b" "d" "h" "r" "x" "y" 1;
"a" "a" "g" "i" "j" "n" "p" "t" 1; "b" "r" 3; "c" "a" "k" "r" "x" 1; "d" "h" "i" "l" "t" "z" 1; "e" "b" "d" "h" "r" "x" "y" 1;
"a" "a" "g" "i" "j" "n" "p" "t" 1; "b" "r" 3; "c" "a" "h" "k" "r" "x" 1; "d" "h" "i" "l" "t" "z" 1; "e" "b" "d" "h" "l" "r" "x" "y" 1;
"a" "a" "g" "i" "j" "n" "p" "t" 1; "b" "r" 3; "c" "a" "h" "k" "o" "r" "x" 1; "d" "h" "i" "l" "t" "z" 1; "e" "b" "d" "h" "l" "p" "r" "x" "y" 1;
"a" "a" "g" "i" "j" "n" "p" "t" 1; "b" "r" 3; "c" "a" "h" "k" "o" "r" "x" 1; "d" "h" "i" "l" "t" "z" 1; "e" "b" "d" "h" "l" "p" "r" "x" "y" 1;
"a" "a" "g" "i" "j" "n" "p" "t" 1; "b" "r" 3; "c" "a" "h" "k" "o" "r" "x" 1; "d" "h" "i" "l" "t" "z" 1; "e" "b" "d" "h" "l" "p" "r" "x" "y" 1;
"a" "a" "g" "i" "j" "n" "p" "t" 1; "b" "r" 3; "c" "a" "h" "k" "o" "r" "x" 1; "d" "h" "i" "l" "t" "z" 1; "e" "b" "d" "h" "l" "p" "r" "x" "y" 1;
"a" "a" "g" "i" "j" "n" "p" "t" 1; "b" "r" 3; "c" "a" "h" "k" "o" "r" "x" 1; "d" "h" "i" "l" "t" "z" 1; "e" "b" "d" "h" "l" "p" "r" "x" "y" 1;
"a" "a" "g" "i" "j" "n" "p" "t" "v" 1; "b" "r" 3; "c" "a" "h" "k" "o" "r" "x" 1; "d" "h" "i" "l" "t" "z" 1; "e" "b" "d" "h" "l" "p" "r" "x" "y" 1;
"a" "a" "g" "i" "j" "n" "p" "t" "v" 1; "b" "r" 3; "c" "a" "h" "k" "o" "r" "x" 1; "d" "h" "i" "l" "t" "z" 1; "e" "b" "d" "h" "l" "p" "r" "w" "x" "y" 1;
"a" "a" "g" "i" "j" "n" "p" "t" "v" 1; "b" "r" 3; "c" "a" "h" "k" "o" "r" "x" 1; "d" "h" "i" "l" "n" "r" "t" "z" 1; "e" "p" "r" 2;
"a" "a" "g" "i" "j" "n" "p" "t" "v" 1; "b" "r" 3; "c" "a" "h" "k" "o" "r" "x" 1; "d" "h" "i" "l" "n" "r" "t" "z" 1; "e" "p" "r" 2;
"a" "a" "g" "i" "j" "n" "p" "t" "v" "x" 1; "b" "r" 3; "c" "a" "h" "k" "o" "r" "x" 1; "d" "h" "i" "l" "n" "r" "t" "z" 1; "e" "p" "r" 2;
"a" "a" "g" "i" "j" "n" "p" "t" "v" "x" 1; "b" "r" 3; "c" "a" "h" "k" "o" "r" "x" 1; "d" "h" "i" "l" "n" "r" "t" "z" 1; "e" "p" "r" 2;
"a" "a" "g" "i" "j" "n" "p" "t" "v" "x" 1; "b" "r" 3; "c" "a" "h" "k" "o" "r" "x" 1; "d" "h" "i" "l" "n" "r" "t" "z" 1; "e" "p" "r" 2;
"a" "g" 2; "b" "r" 3; "c" "a" "b" "h" "k" "o" "p" "r" "x" 1; "d" "b" "h" "i" "l" "n" "r" "t" "z" 1; "e" "p" "r" 2;
"a" "g" 2; "b" "r" 3; "c" "a" "b" "h" "k" "o" "p" "r" "x" 1; "d" "b" "h" "i" "l" "n" "r" "t" "z" 1; "e" "p" "r" 2;
"a" "g" 2; "b" "r" 3; "c" "a" "b" "h" "k" "o" "p" "r" "x" 1; "d" "b" "h" "i" "l" "n" "r" "t" "u" "z" 1; "e" "p" "r" 2;
"a" "g" "k" 2; "b" "r" 3; "c" "a" "b" "h" "k" "o" "p" "r" "x" 1; "d" "b" "h" "i" "l" "n" "r" "t" "u" "z" 1; "e" "p" "r" 2;
"a" "g" "k" 2; "b" "r" 3; "c" "a" "b" "h" "k" "o" "p" "r" "x" 1; "d" "b" "h" "i" "l" "n" "r" "t" "u" "z" 1; "e" "p" "r" 2;
"a" "g" "k" 2; "b" "r" 3; "c" "a" "b" "h" "k" "o" "p" "r" "x" 1; "d" "b" 2; "e" "p" "r" 2;
"a" "g" "k" 2; "b" "r" 3; "c" "a" "b" "h" "k" "o" "p" "r" "x" 1; "d" "b" "u" 2; "e" "p" "r" 2;
"a" "g" "k" 2; "b" "r" 3; "c" "a" "b" "h" "k" "o" "p" "r" "x" 1; "d" "b" "u" 2; "e" "p" "r" 2;
"a" "g" "k" 2; "b" "r" 3; "c" "a" "b" "h" "k" "o" "p" "r" "x" 1; "d" "b" "u" 2; "e" "p" "r" 2;
"a" "g" "k" 2; "b" "r" "x" 3; "c" "a" "b" "h" "k" "o" "p" "r" "x" 1; "d" "b" "u" 2; "e" "p" "r" 2;
"a" "g" "k" 2; "b" "r" "x" 3; "c" "a" "b" "h" "k" "o" "p" "r" "x" 1; "d" "b" "u" 2; "e" "p" "r" 2;
"a" "g" "k" 2; "b" "r" "x" 3; "c" "a" "b" "h" "k" "o" "p" "r" "v" "x" 1; "d" "b" "u" 2; "e" "p" "r" "y" 2;
"a" "g" "k" 2; "b" "r" "x" 3; "c" "a" "b" "h" "k" "o" "p" "r" "v" "x" 1; "d" "b" "u" 2; "e" "p" "r" "y" 2;
"a" "g" "k" 2; "b" "r" "x" 3; "c" "a" "b" "h" "k" "o" "p" "r" "v" "x" 1; "d" "b" "u" 2; "e" "p" "r" "y" 2;
"a" "g" "k" 2; "b" "r" "x" 3; "c" "a" "b" "h" "k" "o" "p" "r" "v" "x" 1; "d" "b" "u" 2; "e" "p" "r" "y" 2;
"a" "g" "k" 2; "b" "r" "x" 3; "c" "a" "b" "h" "k" "o" "p" "r" "v" "x" 1; "d" "b" "u" 2; "e" "p" "r" "y" 2;
"a" "g" "k" 2; "b" "r" "x" 3; "c" "a" "b" "h" "k" "o" "p" "r" "v" "x" 1; "d" "b" "u" 2; "e" "p" "r" "y" 2;
"a" "g" "k" 2; "b" "r" "x" 3; "c" "a" "b" "h" "k" "o" "p" "r" "v" "x" 1; "d" "b" "u" 2; "e" "p" "r" "y" 2;
"a" "g" "k" 2; "b" "r" "x" 3; "c" "a" "b" "h" "k" "o" "p" "r" "v" "x" 1; "d" "b" "u" 2; "e" "p" "r" "y" 2;
"a" "g" "k" 2; "b" "x" 4; "c" "a" "b" "h" "k" "o" "p" "r" "v" "x" 1; "d" "b" "u" 2; "e" "p" "r" "y" 2;
"a" "g" "k" 2; "b" "x" 4; "c" "b" 2; "d" "b" "u" 2; "e" "p" "r" "y" 2;
"a" "g" "k" 2; "b" "x" 4; "c" "b" 2; "d" "b" "u" 2; "e" "p" "r" "y" 2;
"a" "g" "k" 2; "b" "x" 4; "c" "b" 2; "d" "b" "u" 2; "e" "p" "r" "y" 2;
"a" "g" "k" "n" "v" 2; "b" "x" 4; "c" "b" 2; "d" "b" "u" 2; "e" "d" "p" "r" "y" 2;
"a" "g" "k" "n" "v" 2; "b" "x" 4; "c" "b" 2; "d" "b" "u" 2; "e" "d" "p" "r" "y" 2;
"a" "g" "k" "n" "v" 2; "b" "x" 4; "c" "b" 2; "d" "b" "u" 2; "e" "d" "p" "r" "y" 2;
"a" "g" "k" "n" "v" 2; "b" "x" 4; "c" "b" 2; "d" "b" "u" 2; "e" "d" "p" "r" "y" 2;
"a" "g" "k" "n" "v" 2; "b" "x" 4; "c" "b" 2; "d" "b" "u" 2; "e" "d" "p" "r" "y" 2;
"a" "g" "k" "n" "v" 2; "b" "x" 4; "c" "b" 2; "d" "b" "u" 2; "e" "d" "p" "r" "y" 2;
"a" "g" "k" "n" "v" 2; "b" "x" 4; "c" "b" 2; "d" "b" "u" 2; "e" "d" "p" "r" "y" 2;
"a" "g" "k" "n" "v" 2; "b" "x" 4; "c" "b" 2; "d" "b" "u" 2; "e" "d" "p" "r" "y" 2;
"a" "g" "k" "n" "v" 2; "b" "x" 4; "c" "b" 2; "d" "b" "u" 2; "e" "d" "p" "r" "y" 2;
"a" "g" "k" "n" "v" 2; "b" "x" 4; "c" "b" 2; "d" "b" "u" 2; "e" "d" "p" "r" "y" 2;
"a" "g" "k" "n" "t" "v" 2; "b" "x" 4; "c" "b" 2; "d" "b" "u" 2; "e" "d" "p" "r" 2;
"a" "k" 3; "b" "x" 4; "c" "b" 2; "d" "b" "l" "u" 2; "e" "d" "p" "r" 2;
"a" "k" 3; "b" "x" 4; "c" "b" 2; "d" "b" "l" "u" 2; "e" "d" "p" "r" 2;
"a" "k" 3; "b" "x" 4; "c" "b" 2; "d" "b" "l" "u" 2; "e" "d" "p" "r" 2;
"a" "k" 3; "b" "x" 4; "c" "b" 2; "d" "b" "l" "u" 2; "e" "d" "p" "r" 2;
"a" "k" 3; "b" "x" 4; "c" "b" 2; "d" "b" "l" "u" 2; "e" "d" "p" "r" 2;
"a" "k" 3; "b" "x" 4; "c" "b" 2; "d" "b" "l" "u" 2; "e" "d" "p" "r" 2;
"a" "k" 3; "b" "x" 4; "c" "b" 2; "d" "b" "l" "u" 2; "e" "d" "p" "r" 2;
"a" "k" 3; "b" "x" 4; "c" "b" 2; "d" "b" "l" "u" 2; "e" "d" "p" "r" 2;
"a" "k" 3; "b" "x" 4; "c" "b" 2; "d" "b" "l" "u" "z" 2; "e" "d" "p" "r" 2;
"a" "k" 3; "b" "x" 4; "c" "b" 2; "d" "b" "l" "u" "z" 2; "e" "d" "p" "r" 2;
"a" "k" 3; "b" "x" 4; "c" "b" "d" 2; "d" "b" "l" "u" "z" 2; "e" "d" "p" "r" 2;
"a" "k" 3; "b" "x" 4; "c" "b" "d" 2; "d" "b" "l" "u" "z" 2; "e" "d" "p" "r" 2;
"a" "k" 3; "b" "x" 4; "c" "b" "d" 2; "d" "b" "l" "u" "z" 2; "e" "d" "p" "r" 2;
"a" "k" 3; "b" "x" 4; "c" "b" "d" 2; "d" "b" "l" "u" "z" 2; "e" "d" "p" "r" 2;
"a" "k" 3; "b" "x" 4; "c" "b" "d" 2; "d" "b" "l" "u" "z" 2; "e" "d" "p" "r" 2;
"a" "k" 3; "b" "x" 4; "c" "b" "d" 2; "d" "b" "l" "u" "z" 2; "e" "d" "p" "r" 2;
"a" "k" 3; "b" "x" 4; "c" "b" "d" 2; "d" "b" "l" "u" "z" 2; "e" "d" "p" "r" 2;
"a" "k" 3; "b" "x" 4; "c" "b" "d" 2; "d" "b" "l" "u" "z" 2; "e" "d" "p" "r" 2;
"a" "k" 3; "b" "x" 4; "c" "b" "d" 2; "d" "b" "l" "u" "z" 2; "e" "d" "p" "r" 2;
"a" "k" 3; "b" "x" 4; "c" "b" "d" 2; "d" "b" "l" "u" "z" 2; "e" "d" "p" "r" 2;
"a" "k" 3; "b" "x" 4; "c" "b" "d" 2; "d" "b" "l" "u" "z" 2; "e" "d" "p" "r" 2;
"a" "k" 3; "b" "x" 4; "c" "b" "d" 2; "d" "b" "l" "u" "z" 2; "e" "d" "p" "r" "s" 2;
"a" "k" 3; "b" "x" 4; "c" "b" "d" 2; "d" "b" "l" "u" "z" 2; "e" "d" "p" "r" "s" 2;
"a" "k" 3; "b" "x" 4; "c" "b" "d" 2; "d" "b" "l" "u" "z" 2; "e" "d" "p" "r" "s" 2;
"a" "k" 3; "b" "x" 4; "c" "b" "d" 2; "d" "b" "l" "u" "z" 2; "e" "d" "p" "r" "s" 2;
"a" "k" 3; "b" "x" 4; "c" "b" 3; "d" "b" "l" "n" "u" "z" 2; "e" "d" "p" "r" "s" 2;
"a" "k" 3; "b" "x" 4; "c" "b" 3; "d" "b" "l" "n" "u" "z" 2; "e" "d" "p" "r" "s" 2;
"a" "k" 3; "b" "x" 4; "c" "b" 3; "d" "b" "l" "n" "u" "z" 2; "e" "d" "p" "r" "s" 2;
"a" "k" 3; "b" "x" 4; "c" "b" 3; "d" "b" "l" "n" "u" "z" 2; "e" "d" "p" "r" "s" 2;
"a" "k" 3; "b" "x" 4; "c" "b" 3; "d" "b" "l" "n" "u" "z" 2; "e" "d" "p" "r" "s" 2;
"a" "k" 3; "b" "x" 4; "c" "b" 3; "d" "b" "l" "n" "u" "z" 2; "e" "d" "p" "r" "s" 2;
"a" "k" 3; "b" "x" 4; "c" "b" 3; "d" "b" 3; "e" "d" "p" "r" "s" 2;
"a" "k" 3; "b" "x" 4; "c" "b" 3; "d" "b" 3; "e" "d" "p" "r" "s" 2;
"a" "g" "k" 3; "b" "x" 4; "c" "b" 3; "d" "b" 3; "e" "d" "p" "r" "s" 2;
"a" "g" "k" 3; "b" "x" 4; "c" "b" 3; "d" "b" 3; "e" "d" "p" "r" "s" 2;
"a" "g" "k" 3; "b" "x" 4; "c" "b" 3; "d" "b" 3; "e" "d" "p" "r" "s" 2;
"a" "g" "k" 3; "b" "x" 4; "c" "b" 3; "d" "b" 3; "e" "d" "p" "r" "s" 2;
"a" "g" "k" 3; "b" "x" 4; "c" "b" 3; "d" "b" 3; "e" "d" "p" "r" "s" 2;
"a" "g" "k" 3; "b" "x" 4; "c" "b" 3; "d" "b" 3; "e" "d" "p" "r" "s" 2;
"a" "g" "k" 3; "b" "x" 4; "c" "b" 3; "d" "b" 3; "e" "d" "p" "r" "s" 2;
"a" "g" "k" 3; "b" "x" 4; "c" "b" 3; "d" "b" 3; "e" "d" "p" "r" "s" 2;
"a" "k" 4; "b" "x" 4; "c" "b" 3; "d" "b" 3; "e" "b" "d" "p" "r" "s" 2;
"a" "k" 4; "b" "x" 4; "c" "b" 3; "d" "b" 3; "e" "b" "d" "p" "r" "s" 2;
"a" "k" 4; "b" "x" 4; "c" "b" 3; "d" "b" 3; "e" "b" "d" "p" "r" "s" 2;
"a" "k" 4; "b" "x" 4; "c" "b" 4; "d" "b" 3; "e" "b" "d" "p" "r" "s" 2;
"a" "k" 4; "b" "x" 4; "c" "b" 4; "d" "b" 3; "e" "b" "d" "p" "r" "s" 2;
"a" "k" 4; "b" "x" 4; "c" "b" 4; "d" "b" 3; "e" "b" 3;
"a" "k" 4; "b" "x" 4; "c" "b" 4; "d" "b" 3; "e" "b" 3;
"a" "k" 4; "b" "x" 4; "c" "b" 4; "d" "b" 3; "e" "b" 3;
"a" "k" 4; "b" "x" 4; "c" "b" 4; "d" "b" 3; "e" "b" 3;
"a" "k" 4; "b" "x" 4; "c" "b" 4; "d" "b" 3; "e" "b" 3;
"a" "k" 4; "b" "x" 4; "c" "b" 4; "d" "b" 3; "e" "b" 3;
"a" "k" 4; "b" "x" 4; "c" "b" 4; "d" "b" "u" 3; "e" "b" 3;
"a" "k" 4; "b" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 4; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 5; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 5; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 5; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 5; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 5; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 5; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 5; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 5; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 5; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 5; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 5; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 5; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 5; "b" "h" "x" 4; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 4; "d" "u" 4; "e" "b" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 4; "d" "u" 4; "e" "b" "m" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 4; "d" "u" 4; "e" "b" "m" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 4; "d" "u" 4; "e" "b" "m" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 4; "d" "u" 5; "e" "b" "m" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 4; "d" "u" 5; "e" "b" "m" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 4; "d" "u" 5; "e" "b" "m" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 4; "d" "u" 5; "e" "b" "m" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 4; "d" "u" 5; "e" "b" "m" 3;
