none
none
none
none
none
none
none
none
none
"a" "p" "w" 1;
"a" "p" "w" 1;
"a" "p" "w" 1;
"a" "p" "w" 1;
"a" "p" "w" 1;
"a" "p" "w" 1;
"a" "p" "w" 1;
"a" "p" "w" 1; "c" "i" 1;
"a" "p" "w" 1; "c" "i" 1;
"a" "p" "w" 1; "c" "i" 1;
"a" "p" "w" 1; "c" "i" 1;
"a" "p" "w" 1; "c" "i" 1;
"a" "p" "w" 1; "c" "i" 1;
"a" "p" "w" 1; "b" "t" 1; "c" "i" 1;
"a" "p" "w" 1; "b" "t" 1; "c" "i" 1; "e" "d" 1;
"a" "k" 2; "b" "g" "t" "x" 1; "c" "d" "i" "u" 1; "d" "f" "s" 1; "e" "d" "o" 2;
"a" "k" 2; "b" "g" "t" "x" 1; "c" "d" "i" "j" "u" 1; "d" "f" "p" "s" 1; "e" "d" "o" 2;
"a" "k" 2; "b" "g" "t" "x" 1; "c" "d" "i" "j" "u" 1; "d" "f" "p" "s" 1; "e" "d" "o" 2;
"a" "k" 3; "b" "c" "g" "t" "x" 1; "c" "d" "i" "j" "u" 1; "d" "f" "l" "p" "s" 1; "e" "d" "o" 2;
"a" "k" 3; "b" "c" "g" "t" "x" 1; "c" "d" "i" "j" "u" 1; "d" "f" "l" "p" "s" 1; "e" "d" "o" 2;
"a" "k" 3; "b" "c" "g" "t" "x" 1; "c" "d" "i" "j" "u" 1; "d" "f" "l" "p" "s" 1; "e" "d" "o" 2;
"a" "k" 3; "b" "c" "g" "t" "x" 1; "c" "d" "i" "j" "u" 1; "d" "f" "l" "p" "s" 1; "e" "d" "o" 2;
"a" "k" 3; "b" "g" 2; "c" "d" "i" "j" "u" 1; "d" "f" "l" "p" "s" 1; "e" "d" "o" 2;
"a" "k" 3; "b" "c" "g" "x" 2; "c" "d" "i" "j" "u" 1; "d" "f" "l" "p" "s" 1; "e" "d" "o" 2;
"a" "k" 3; "b" "c" "g" "x" 2; "c" "d" "i" "j" "u" 1; "d" "f" "h" "l" "p" "s" "t" 1; "e" "d" "o" 2;
"a" "k" 3; "b" "c" "g" "x" 2; "c" "d" "g" "i" "j" "u" 1; "d" "f" "h" "l" "p" "s" "t" 1; "e" "d" "o" 2;
"a" "k" 3; "b" "c" "g" "x" 2; "c" "d" "g" "i" "j" "u" 1; "d" "f" "h" "l" "p" "s" "t" 1; "e" "d" "o" 2;
"a" "k" 3; "b" "c" "g" "x" 2; "c" "d" "g" "i" "j" "u" 1; "d" "f" "h" "l" "p" "s" "t" 1; "e" "d" "o" 2;
"a" "k" 3; "b" "c" "g" "x" 2; "c" "d" "g" "i" "j" "u" 1; "d" "f" "h" "l" "p" "s" "t" 1; "e" "d" "o" 2;
"a" "k" 3; "b" "c" "g" "x" 2; "c" "d" "g" "i" "j" "u" 1; "d" "f" "h" "l" "p" "s" "t" 1; "e" "d" "o" 2;
"a" "k" 3; "b" "c" "g" "x" 2; "c" "d" "g" "i" "j" "u" 1; "d" "f" "h" "l" "p" "s" "t" 1; "e" "d" "o" 2;
"a" "k" 3; "b" "c" "g" "x" 2; "c" "d" "g" "i" "j" "u" 1; "d" "f" "h" "l" "p" "s" "t" 1; "e" "d" "o" 2;
"a" "k" 3; "b" "c" "g" "x" 2; "c" "d" "g" "i" "j" "u" 1; "d" "b" "f" "h" "l" "p" "s" "t" 1; "e" "d" "o" 2;
"a" "k" 3; "b" "c" "g" "x" 2; "c" "d" 2; "d" "b" "f" "h" "l" "m" "p" "s" "t" 1; "e" "d" "o" 2;
"a" "k" 3; "b" "l" 3; "c" "d" 2; "d" "b" "f" "h" "l" "m" "p" "s" "t" 1; "e" "d" "o" 2;
"a" "k" 3; "b" "l" "x" 3; "c" "d" 2; "d" "b" "f" "h" "l" "m" "p" "s" "t" 1; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "l" "x" 3; "c" "d" 2; "d" "b" "f" "h" "l" "m" "p" "s" "t" 1; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "l" "x" 3; "c" "d" 2; "d" "b" "f" "h" "l" "m" "p" "s" "t" 1; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "l" "x" 3; "c" "d" 2; "d" "b" "f" "h" "l" "m" "p" "s" "t" 1; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "l" "x" 3; "c" "d" 2; "d" "b" "f" "h" "l" "m" "p" "s" "t" 1; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "l" "x" 3; "c" "d" 2; "d" "b" "f" "h" "l" "m" "p" "s" "t" 1; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "l" "x" 3; "c" "d" 2; "d" "b" "f" "h" "l" "m" "p" "s" "t" 1; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "l" "x" 3; "c" "d" 2; "d" "b" "f" "h" "l" "m" "p" "s" "t" 1; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "l" "x" 3; "c" "d" 2; "d" "b" "f" "h" "l" "m" "p" "s" "t" 1; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "l" "x" 3; "c" "d" 2; "d" "b" "f" "h" "l" "m" "p" "s" "t" 1; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "l" "x" 3; "c" "d" 2; "d" "b" "f" "h" "l" "m" "p" "s" "t" 1; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "l" "x" 3; "c" "d" 2; "d" "b" "f" "h" "l" "m" "p" "s" "t" 1; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "l" "x" 3; "c" "d" 2; "d" "b" "f" "h" "l" "m" "p" "s" "t" 1; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "l" "x" 3; "c" "d" 2; "d" "b" "f" "h" "l" "m" "p" "s" "t" 1; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" 2; "d" "b" "f" "h" "l" "m" "p" "s" "t" "v" 1; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" 2; "d" "b" "f" "h" "l" "m" "p" "s" "t" "v" 1; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" 2; "d" "b" "f" "h" "l" "m" "p" "s" "t" "v" 1; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" 2; "d" "b" "f" "h" "l" "m" "p" "s" "t" "v" 1; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" 2; "d" "k" 2; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" 2; "d" "k" 2; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" 2; "d" "k" 2; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" 2; "d" "k" 2; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" "i" 2; "d" "k" 2; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" "i" 2; "d" "k" 2; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" "i" 2; "d" "k" 2; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" "i" 2; "d" "k" 2; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" "i" 2; "d" "k" 2; "e" "d" "g" "o" 2;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" "i" "x" 2; "d" "k" 2; "e" "d" "g" "o" "w" 2;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" "i" "x" 2; "d" "k" 2; "e" "d" "g" "o" "w" 2;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" "i" "x" 2; "d" "k" 2; "e" "m" 3;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" 2; "e" "m" 3;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" 2; "e" "m" 3;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" 2; "e" "m" 3;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" 2; "e" "m" 3;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" 2; "e" "m" 3;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" 2; "e" "m" 3;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" 2; "e" "m" 3;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" 2; "e" "m" 3;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" 2; "e" "m" 3;
"a" "k" 3; "b" "c" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" 2; "e" "m" 3;
"a" "k" "p" 3; "b" "c" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" "o" "s" 2; "e" "m" 3;
"a" "k" "p" 3; "b" "c" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" "o" "s" 2; "e" "m" 3;
"a" "k" "p" 3; "b" "c" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" "o" "s" 2; "e" "m" 3;
"a" "k" "p" 3; "b" "c" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" "o" "s" 2; "e" "m" 3;
"a" "k" "p" 3; "b" "c" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" "o" "s" 2; "e" "m" 3;
"a" "k" "p" 3; "b" "c" "j" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" "o" "s" 2; "e" "m" 3;
"a" "k" "p" 3; "b" "c" "j" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" "o" "s" 2; "e" "m" 3;
"a" "k" "p" 3; "b" "c" "j" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" "o" "s" 2; "e" "m" 3;
"a" "k" "p" 3; "b" "c" "j" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" "o" "s" 2; "e" "m" 3;
"a" "k" "p" 3; "b" "c" "j" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" "o" "s" 2; "e" "m" 3;
"a" "k" "p" 3; "b" "c" "j" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" "o" "s" 2; "e" "m" 3;
"a" "k" "p" 3; "b" "c" "j" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" "o" "s" 2; "e" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" "o" "s" 2; "e" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "x" 3; "c" "d" "i" "x" 2; "d" "f" "k" "o" "s" 2; "e" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "x" 3; "c" "d" "i" "p" "x" 2; "d" "f" "k" "o" "s" 2; "e" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "x" 3; "c" "d" "i" "p" "u" "x" 2; "d" "f" "k" "o" "s" 2; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "x" 3; "c" "d" "i" "p" "u" "x" 2; "d" "f" "k" "o" "s" 2; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "x" 3; "c" "i" 3; "d" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "x" 3; "c" "i" 3; "d" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "x" 3; "c" "i" 3; "d" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" 3; "d" "n" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" 3; "d" "n" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" 3; "d" "n" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" 3; "d" "n" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" 3; "d" "n" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" 3; "d" "n" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" 3; "d" "n" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" 3; "d" "n" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" 3; "d" "n" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" 3; "d" "n" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" "k" 3; "d" "n" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" "k" 3; "d" "n" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" "k" 3; "d" "n" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" "k" 3; "d" "n" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" "k" 3; "d" "n" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" "k" 3; "d" "n" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" "k" 3; "d" "n" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" "k" 3; "d" "n" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" "k" 3; "d" "n" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" "k" 3; "d" "n" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" "k" 3; "d" "n" "o" 3; "e" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" "k" 3; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "a" "k" "p" 3; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" "k" 3; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "k" 4; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" "k" 3; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "k" 4; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" "k" 3; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "k" 4; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" "k" 3; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "k" 4; "b" "c" "j" "l" "m" "x" 3; "c" "d" "i" "k" 3; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "k" 4; "b" "c" "j" "l" "m" "x" 3; "c" "k" 4; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "k" 4; "b" "c" "j" "l" "m" "x" 3; "c" "k" 4; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "k" 4; "b" "c" "j" "l" "m" "x" 3; "c" "k" 4; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "k" 4; "b" "c" "j" "l" "m" "x" 3; "c" "k" 4; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "k" 4; "b" "c" "j" "l" "m" "x" 3; "c" "k" 4; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "k" 4; "b" "c" "j" "l" "m" "x" 3; "c" "k" 4; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "k" 4; "b" "c" "j" "l" "m" "x" 3; "c" "k" 4; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "k" 4; "b" "c" "j" "l" "m" "x" 3; "c" "k" 4; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "k" 4; "b" "c" "j" "l" "m" "x" 3; "c" "k" 4; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "k" 4; "b" "c" "j" "l" "m" "x" 3; "c" "k" 4; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "k" 4; "b" "j" 4; "c" "k" 4; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "k" 4; "b" "j" 4; "c" "k" 4; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "k" 4; "b" "j" 4; "c" "k" 4; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "k" 4; "b" "j" 4; "c" "k" 4; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "k" 4; "b" "j" 4; "c" "k" 5; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "k" 4; "b" "j" 4; "c" "k" 5; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "k" 4; "b" "j" 4; "c" "k" 5; "d" "n" "o" 3; "e" "d" "h" "m" 3;
"a" "k" 4; "b" "j" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 4; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 4; "d" "n" "o" 3; "e" "m" 4;
"a" "k" 4; "b" "j" "x" 4; "c" "k" 4; "d" "n" "o" 3; "e" "m" 4;
"a" "k" "s" 4; "b" "j" "x" 4; "c" "k" 4; "d" "n" "o" 3; "e" "m" 4;
"a" "k" "s" 4; "b" "j" "x" 4; "c" "k" 4; "d" "n" "o" 3; "e" "m" 4;
"a" "k" "s" 4; "b" "j" "x" 4; "c" "k" 4; "d" "n" "o" 3; "e" "m" 4;
"a" "k" "s" 4; "b" "j" "x" 4; "c" "k" 4; "d" "n" "o" 3; "e" "m" 4;
"a" "k" "s" 4; "b" "j" "x" 4; "c" "k" 4; "d" "n" "o" 3; "e" "m" 4;
"a" "k" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" 4;
"a" "k" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" "u" 4;
"a" "k" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" "u" 4;
"a" "k" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" "u" 4;
"a" "k" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" "u" 4;
"a" "k" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" "u" 4;
"a" "k" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" "u" 4;
"a" "k" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" "u" 4;
"a" "k" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" "u" 4;
"a" "k" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" "u" 4;
"a" "k" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" "u" 4;
"a" "k" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" "u" 4;
"a" "k" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "m" "u" 4;
"a" "h" "k" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "p" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "p" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "p" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "p" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "p" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "p" "s" 4; "b" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "p" "s" 4; "b" "g" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "p" "s" 4; "b" "g" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "p" "s" 4; "b" "g" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "p" "s" 4; "b" "g" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "p" "s" 4; "b" "g" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "p" "s" 4; "b" "g" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "p" "s" 4; "b" "f" "g" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "p" "s" 4; "b" "f" "g" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
