none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "p" "y" 1;
"b" "p" "y" 1; "c" "p" 1;
"b" "p" "y" 1; "c" "p" 1;
"b" "p" "y" 1; "c" "p" 1;
"b" "p" "y" 1; "c" "p" 1;
"b" "p" "y" 1; "c" "p" 1;
"b" "p" "y" 1; "c" "p" 1; "d" "h" "r" 1; "e" "p" "z" 1;
"b" "p" "y" 1; "c" "p" 1; "d" "h" "r" 1; "e" "p" "z" 1;
"b" "p" "y" 1; "c" "p" 1; "d" "h" "r" 1; "e" "p" "z" 1;
"a" "n" "r" 1; "b" "p" "r" "v" "x" "y" 1; "c" "c" "p" "r" "z" 1; "d" "a" "h" "k" "r" 1; "e" "b" 3;
"a" "n" "r" 1; "b" "p" "r" "v" "x" "y" 1; "c" "c" "p" "r" "z" 1; "d" "a" "h" "k" "r" 1; "e" "b" 3;
"a" "n" "r" 1; "b" "p" "r" "v" "x" "y" 1; "c" "c" "p" "r" "z" 1; "d" "a" "h" "k" "r" 1; "e" "b" 3;
"a" "n" "r" 1; "b" "p" "r" "v" "x" "y" 1; "c" "c" "p" "r" "z" 1; "d" "a" "h" "k" "r" 1; "e" "b" 3;
"a" "n" "r" 1; "b" "c" "p" "r" "v" "x" "y" 1; "c" "c" "p" "r" "z" 1; "d" "a" "h" "k" "r" 1; "e" "b" 3;
"a" "n" "r" 1; "b" "c" "p" "r" "v" "x" "y" 1; "c" "c" "p" "r" "z" 1; "d" "a" "h" "k" "r" "v" 1; "e" "b" 3;
"a" "a" "n" "r" 1; "b" "c" "o" "p" "r" "v" "x" "y" 1; "c" "c" "p" "r" "z" 1; "d" "a" "h" "k" "r" "v" 1; "e" "b" 3;
"a" "a" "n" "r" 1; "b" "c" "o" "p" "r" "v" "x" "y" 1; "c" "p" 2; "d" "a" "h" "k" "r" "v" 1; "e" "b" 3;
"a" "a" "n" "r" 1; "b" "c" "o" "p" "r" "v" "x" "y" 1; "c" "p" 2; "d" "a" "h" "k" "r" "v" 1; "e" "b" 3;
"a" "a" "n" "r" 1; "b" "c" "o" "p" "r" "v" "x" "y" 1; "c" "p" 2; "d" "a" "h" "k" "r" "v" 1; "e" "b" 3;
"a" "a" "n" "r" 1; "b" "c" "o" "p" "r" "v" "x" "y" 1; "c" "p" 2; "d" "a" 2; "e" "b" 3;
"a" "a" "n" "r" 1; "b" "c" "o" "p" "r" "v" "x" "y" 1; "c" "p" 2; "d" "a" 2; "e" "b" 3;
"a" "a" "n" "r" 1; "b" "c" "o" "p" "r" "v" "x" "y" 1; "c" "p" 2; "d" "a" 2; "e" "b" 3;
"a" "a" "n" "r" 1; "b" "c" "o" "p" "r" "v" "x" "y" 1; "c" "p" 2; "d" "a" 2; "e" "b" 3;
"a" "a" "n" "r" 1; "b" "c" "o" "p" "r" "v" "x" "y" 1; "c" "p" 2; "d" "a" 2; "e" "b" 3;
"a" "a" "n" "r" 1; "b" "c" "o" "p" "r" "v" "x" "y" 1; "c" "p" 2; "d" "a" 2; "e" "b" 3;
"a" "a" "n" "r" 1; "b" "p" 2; "c" "p" 2; "d" "a" 2; "e" "b" 3;
"a" "a" "n" "r" 1; "b" "p" 2; "c" "p" 2; "d" "a" 2; "e" "b" 3;
"a" "a" "n" "r" 1; "b" "p" 2; "c" "p" 2; "d" "a" 3; "e" "b" 3;
"a" "a" "n" "r" 1; "b" "p" 2; "c" "p" 2; "d" "a" 3; "e" "b" 3;
"a" "a" "n" "r" 1; "b" "p" 2; "c" "p" 2; "d" "a" 3; "e" "b" 3;
"a" "a" "n" "r" 1; "b" "p" 2; "c" "p" 2; "d" "a" 3; "e" "b" 3;
"a" "a" "n" "r" 1; "b" "p" 2; "c" "p" 2; "d" "a" 3; "e" "b" 3;
"a" "a" "n" "r" 1; "b" "p" 2; "c" "p" 2; "d" "a" 3; "e" "b" 3;
"a" "a" "n" "r" 1; "b" "p" 2; "c" "p" 2; "d" "a" 3; "e" "b" 3;
"a" "a" "n" "r" 1; "b" "p" 2; "c" "p" 2; "d" "a" 3; "e" "b" 3;
"a" "a" "f" "n" "r" "w" 1; "b" "p" 2; "c" "p" 2; "d" "a" 3; "e" "b" 3;
"a" "a" "f" "n" "r" "w" 1; "b" "p" 2; "c" "p" 2; "d" "a" 3; "e" "b" 3;
"a" "a" "f" "n" "r" "w" 1; "b" "p" 2; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "a" "f" "n" "r" "w" 1; "b" "p" 2; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "a" "f" "n" "r" "w" 1; "b" "p" 2; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "a" "f" "n" "r" "w" 1; "b" "p" 2; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "a" "f" "n" "r" "w" 1; "b" "p" 2; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "a" "f" "n" "r" "w" 1; "b" "p" 2; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" 2; "b" "p" 2; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" 2; "b" "p" "v" 2; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" 2; "b" "p" "v" 2; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" 2; "b" "p" "v" 2; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" 2; "b" "p" "v" 2; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" 2; "b" "p" "v" 2; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" 2; "b" "p" "v" 2; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" 2; "b" "p" "v" 2; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" 2; "b" "p" "v" 2; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" 2; "b" "p" "v" 2; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" 2; "b" "p" 3; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" 2; "b" "p" 3; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" "r" 2; "b" "p" 3; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" "r" 2; "b" "p" 3; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" "r" 2; "b" "p" 3; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" "r" 2; "b" "p" 3; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" "r" 2; "b" "p" 3; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" "r" 2; "b" "p" 3; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" "r" 2; "b" "p" 3; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" "r" 2; "b" "p" 3; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" "r" 2; "b" "p" 3; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" "r" 2; "b" "p" 3; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" "r" 2; "b" "p" 3; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" "r" 2; "b" "p" 3; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" "r" "w" 2; "b" "p" 3; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" "r" "w" 2; "b" "p" 3; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" "r" "w" 2; "b" "p" 3; "c" "p" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" "r" "w" 2; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" "r" "w" 2; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" "r" "w" 2; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" "r" "w" 2; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" 3;
"a" "n" "r" "w" 2; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" "s" 3;
"a" "n" "r" "w" 2; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" "s" 3;
"a" "n" "r" "w" 2; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" "s" 3;
"a" "n" "r" "w" 2; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" "s" 3;
"a" "b" "n" "r" "w" 2; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" "s" 3;
"a" "b" "n" "r" "w" 2; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" "s" 3;
"a" "b" "n" "r" "w" 2; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" "s" 3;
"a" "b" "n" "r" "w" 2; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" "s" 3;
"a" "b" "n" "r" "w" 2; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" "s" 3;
"a" "b" "n" "r" "w" 2; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" "s" 3;
"a" "b" "n" "r" "w" 2; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" "s" 3;
"a" "b" "n" "r" "w" 2; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" "s" 3;
"a" "w" 3; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" "s" 3;
"a" "w" 3; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" "s" 3;
"a" "w" 3; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" "s" 3;
"a" "w" 3; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" "s" 3;
"a" "b" "w" 3; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" "s" 3;
"a" "b" "n" "w" 3; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" "s" 3;
"a" "b" "n" "w" 3; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" "s" 3;
"a" "b" "n" "w" 3; "b" "p" 3; "c" "p" "s" "y" 2; "d" "a" 3; "e" "b" "s" 3;
"a" "b" "n" "w" 3; "b" "p" 3; "c" "l" "p" "s" "y" 2; "d" "a" "d" 3; "e" "b" "s" 3;
"a" "b" "n" "w" 3; "b" "p" 3; "c" "l" "p" "s" "y" 2; "d" "a" "d" 3; "e" "b" "s" 3;
"a" "b" "n" "w" 3; "b" "p" 3; "c" "l" "p" "s" "y" 2; "d" "a" "d" 3; "e" "b" "s" 3;
"a" "b" "n" "w" 3; "b" "p" 3; "c" "l" "p" "s" "y" 2; "d" "a" "d" 3; "e" "b" "s" 3;
"a" "b" "n" "w" 3; "b" "p" 3; "c" "l" "p" "s" "y" 2; "d" "a" "d" 3; "e" "b" "s" 3;
"a" "b" "n" "w" 3; "b" "p" 3; "c" "l" "p" "s" "y" 2; "d" "a" "d" 3; "e" "b" "s" 3;
"a" "w" 4; "b" "p" 3; "c" "l" "p" "s" "y" 2; "d" "a" "d" 3; "e" "b" "s" 3;
"a" "w" 4; "b" "p" 3; "c" "l" "p" "s" "y" 2; "d" "a" "d" 3; "e" "b" "s" 3;
"a" "w" 4; "b" "p" 3; "c" "l" "p" "s" "y" 2; "d" "a" "d" 3; "e" "b" "s" 3;
"a" "w" 4; "b" "p" 3; "c" "l" "p" "s" "y" 2; "d" "a" "d" 3; "e" "b" "s" 3;
"a" "w" 4; "b" "p" 3; "c" "l" "p" "s" "y" 2; "d" "a" "d" 3; "e" "b" "s" 3;
"a" "w" 4; "b" "p" 3; "c" "l" "p" "s" "y" 2; "d" "a" "d" 3; "e" "b" "s" 3;
"a" "w" 4; "b" "p" 3; "c" "l" "p" "s" "y" 2; "d" "a" "d" 3; "e" "b" "s" 3;
"a" "w" 4; "b" "p" 3; "c" "l" "p" "s" "y" 2; "d" "a" "d" 3; "e" "b" "s" 3;
"a" "w" 4; "b" "p" 3; "c" "l" "p" "s" "y" 2; "d" "a" "d" 3; "e" "b" "s" 3;
"a" "w" 4; "b" "p" 3; "c" "l" "p" "s" "y" 2; "d" "a" "d" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 3; "c" "l" "p" "s" "y" 2; "d" "a" "d" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 3; "c" "l" "p" "s" "y" 2; "d" "a" "d" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "e" "l" "p" "s" "y" 2; "d" "a" "d" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "e" "l" "p" "s" "y" 2; "d" "a" "d" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "e" "l" "p" "s" "y" 2; "d" "a" "d" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "e" "l" "p" "s" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "e" "l" "p" "s" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "e" "l" "p" "s" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "e" "l" "p" "s" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "e" "l" "p" "s" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "e" "l" "p" "s" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "e" "l" "p" "s" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "e" "l" "p" "s" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "e" "l" "p" "s" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "e" "l" "p" "s" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "e" "l" "p" "s" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "e" "l" "p" "s" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "c" "e" "l" "p" "s" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "c" "e" "l" "p" "s" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "c" "e" "l" "p" "s" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "c" "e" "l" "p" "s" "v" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "c" "e" "l" "p" "s" "v" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "c" "e" "l" "p" "s" "v" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "c" "e" "l" "p" "s" "v" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "c" "e" "l" "p" "s" "v" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "c" "e" "l" "p" "s" "v" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "c" "e" "l" "p" "s" "v" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "c" "e" "l" "p" "s" "v" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "c" "e" "l" "p" "s" "v" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "c" "e" "l" "p" "s" "v" "y" 2; "d" "a" 3; "e" "b" 4;
"a" "w" 4; "b" "p" 4; "c" "v" 3; "d" "a" 3; "e" "b" 4;
"a" "w" 5; "b" "p" 4; "c" "v" 3; "d" "a" 3; "e" "b" 4;
"a" "w" 5; "b" "p" 4; "c" "c" "v" 3; "d" "a" 3; "e" "b" 4;
"a" "w" 5; "b" "p" 4; "c" "c" "v" 3; "d" "a" 3; "e" "b" 4;
"a" "w" 5; "b" "p" 4; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 4;
"a" "w" 5; "b" "p" 4; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 4;
"a" "w" 5; "b" "p" 4; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 4;
"a" "w" 5; "b" "p" 4; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 4;
"a" "w" 5; "b" "p" 4; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 5; "b" "p" 4; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 5; "b" "p" 4; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 5; "b" "p" 4; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 5; "b" "p" 4; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 5; "b" "p" 4; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 5; "b" "p" 4; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 5; "b" "p" 4; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 5; "b" "p" 4; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 5; "b" "p" 4; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 5; "b" "e" "p" "t" "v" 3; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 5; "b" "e" "p" "t" "v" 3; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 5; "b" "e" "p" "t" "v" 3; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 5; "b" "e" "p" "t" "v" 3; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 5; "b" "e" "p" "t" "v" 3; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 5; "b" "e" "p" "t" "v" 3; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 5; "b" "e" "p" "t" "v" 3; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 5; "b" "e" "p" "t" "v" 3; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 6; "b" "e" "p" "t" "v" 3; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 6; "b" "e" "p" "t" "v" 3; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 6; "b" "e" "p" "t" "v" 3; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 6; "b" "e" "p" "t" "v" 3; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 6; "b" "e" "p" "t" "v" 3; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" "v" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" "v" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" "v" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" "v" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" "v" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" "v" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" "v" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" "v" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" "v" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" "v" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" "v" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" "v" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" "v" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" "v" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" "v" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" "v" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" "v" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" "v" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" "v" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" "v" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "s" "v" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "a" "p" "s" "v" 3; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "s" 4; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "s" 4; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "s" 4; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "s" 4; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "s" 4; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "s" 4; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "s" 4; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "s" 4; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "s" 4; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "s" 4; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "s" 4; "e" "b" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 4; "c" "c" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" "p" 4; "c" "c" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" "p" 4; "c" "c" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 5; "c" "c" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 5; "c" "c" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
