none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"e" "q" 1;
"e" "q" 1;
"e" "q" 1;
"e" "q" 1;
"b" "d" "m" 1; "e" "q" 1;
"b" "d" "m" 1; "e" "q" 1;
"b" "d" "m" 1; "e" "q" 1;
"b" "d" "m" 1; "e" "o" "q" "y" 1;
"b" "d" "m" 1; "e" "o" "q" "y" 1;
"b" "d" "m" 1; "e" "o" "q" "y" 1;
"b" "d" "m" 1; "e" "o" "q" "y" 1;
"b" "d" "m" 1; "e" "o" "q" "y" 1;
"b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"a" "j" "r" 1; "b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"a" "j" "r" 1; "b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"a" "j" "r" 1; "b" "d" "m" 1; "d" "f" "y" 1; "e" "y" 2;
"a" "j" "r" 1; "b" "d" "m" 1; "d" "f" "y" 1; "e" "y" 2;
"a" "j" "k" "r" 1; "b" "d" "m" 1; "d" "f" "y" 1; "e" "y" 2;
"a" "j" "k" "r" 1; "b" "d" "m" 1; "d" "f" "y" 1; "e" "y" 2;
"a" "j" "k" "r" 1; "b" "d" "m" 1; "d" "f" "k" "y" 1; "e" "y" 2;
"a" "j" "k" "r" 1; "b" "d" "m" 1; "d" "f" "k" "y" 1; "e" "y" 2;
"a" "c" "j" "k" "r" 1; "b" "d" "m" 1; "d" "f" "k" "y" 1; "e" "y" 2;
"a" "c" "k" 2; "b" "d" "j" "k" "m" "u" 1; "c" "j" "n" "o" "p" "s" 1; "d" "f" "k" "p" "y" "z" 1; "e" "y" 3;
"a" "c" "k" 2; "b" "d" "j" "k" "m" "u" 1; "c" "j" "n" "o" "p" "s" 1; "d" "f" "k" "p" "y" "z" 1; "e" "y" 3;
"a" "k" 3; "b" "d" 2; "c" "j" "n" "o" "p" "s" 1; "d" "f" "k" "p" "y" "z" 1; "e" "y" 3;
"a" "k" 3; "b" "d" 2; "c" "j" "n" "o" "p" "s" 1; "d" "f" "k" "p" "y" "z" 1; "e" "y" 3;
"a" "k" 3; "b" "d" 2; "c" "j" "n" "o" "p" "s" 1; "d" "f" "k" "p" "v" "y" "z" 1; "e" "y" 3;
"a" "k" 3; "b" "d" 2; "c" "j" "n" "o" "p" "s" 1; "d" "f" "k" "p" "v" "y" "z" 1; "e" "y" 3;
"a" "k" 3; "b" "d" 2; "c" "j" "n" "o" "p" "s" 1; "d" "f" "k" "p" "v" "y" "z" 1; "e" "y" 3;
"a" "k" 3; "b" "d" 2; "c" "j" "n" "o" "p" "s" 1; "d" "f" "k" "p" "v" "y" "z" 1; "e" "y" 4;
"a" "k" 3; "b" "d" 2; "c" "j" "n" "o" "p" "s" 1; "d" "f" "k" "l" "p" "v" "y" "z" 1; "e" "y" 4;
"a" "k" 3; "b" "d" 2; "c" "j" "n" "o" "p" "s" 1; "d" "f" "k" "l" "p" "v" "y" "z" 1; "e" "y" 4;
"a" "k" 3; "b" "d" 2; "c" "j" "n" "o" "p" "s" 1; "d" "f" "k" "l" "p" "v" "y" "z" 1; "e" "y" 4;
"a" "k" 3; "b" "d" "k" 2; "c" "j" "n" "o" "p" "s" 1; "d" "f" "k" "l" "p" "u" "v" "y" "z" 1; "e" "y" 4;
"a" "k" 3; "b" "d" "k" "r" 2; "c" "j" "n" "o" "p" "s" 1; "d" "p" 2; "e" "y" 4;
"a" "k" 3; "b" "d" "k" "r" 2; "c" "j" "n" "o" "p" "s" 1; "d" "p" 2; "e" "y" 4;
"a" "k" 3; "b" "d" "k" "r" 2; "c" "o" 2; "d" "p" 2; "e" "y" 4;
"a" "k" 3; "b" "d" "k" "r" 2; "c" "o" 2; "d" "p" 2; "e" "y" 4;
"a" "k" 3; "b" "d" "k" "r" 2; "c" "o" 2; "d" "p" 2; "e" "y" 4;
"a" "k" 3; "b" "d" "k" "r" 2; "c" "o" 2; "d" "p" 2; "e" "y" 4;
"a" "k" 3; "b" "d" "k" "r" 2; "c" "o" 2; "d" "p" 2; "e" "y" 4;
"a" "k" 3; "b" "d" "k" "r" 2; "c" "o" 2; "d" "p" 2; "e" "y" 4;
"a" "k" 3; "b" "d" "k" "r" 2; "c" "o" 2; "d" "p" 2; "e" "y" 4;
"a" "k" 3; "b" "d" "k" "r" 2; "c" "o" 2; "d" "p" 2; "e" "y" 4;
"a" "k" 3; "b" "d" "k" "r" 2; "c" "o" 2; "d" "p" 2; "e" "y" 4;
"a" "k" 3; "b" "d" "k" "r" 2; "c" "o" 2; "d" "p" 2; "e" "y" 4;
"a" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" 2; "e" "y" 4;
"a" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" 2; "e" "y" 4;
"a" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "z" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "z" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "x" "z" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "x" "z" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "x" "z" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "x" "z" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "x" "z" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "x" "z" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "x" "z" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "x" "z" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "x" "z" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "x" "z" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "x" "z" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "x" "z" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "x" "z" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "x" "z" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "x" "z" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "x" "z" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "x" "z" 2; "e" "y" 4;
"a" "c" "k" 3; "b" "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "p" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "k" "p" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "k" "p" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "k" "p" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "k" "p" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "e" "k" "p" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "b" "d" "k" "m" "r" 2; "c" "o" 2; "d" "e" "k" "p" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "b" "d" "k" "m" "r" 2; "c" "a" "o" 2; "d" "e" "k" "p" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "b" "d" "k" "m" "r" 2; "c" "a" "o" 2; "d" "e" "k" "p" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "b" "d" "k" "m" "r" 2; "c" "a" "o" 2; "d" "e" "k" "p" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "b" "d" "k" "m" "r" 2; "c" "a" "o" 2; "d" "c" "e" "k" "p" "u" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "b" "d" "k" "m" "r" 2; "c" "a" "o" 2; "d" "c" "e" "k" "p" "u" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "b" "d" "k" "m" "r" 2; "c" "a" "o" 2; "d" "c" "e" "k" "p" "u" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "b" "d" "k" "m" "r" 2; "c" "a" "o" 2; "d" "c" "e" "k" "p" "u" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "b" "d" "k" "m" "r" 2; "c" "a" "o" 2; "d" "c" "e" "k" "p" "u" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "b" "d" "k" "m" "r" 2; "c" "a" "o" 2; "d" "c" "e" "k" "p" "u" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "b" "d" "k" "m" "r" 2; "c" "a" "o" 2; "d" "c" "e" "k" "p" "u" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "b" "d" "k" "m" "r" 2; "c" "a" "o" 2; "d" "c" "e" "k" "p" "u" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "b" "d" "k" "m" "r" 2; "c" "a" "o" 2; "d" "c" "e" "k" "p" "u" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "o" 2; "d" "c" "e" "k" "p" "u" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "o" 2; "d" "c" "e" "k" "p" "u" "x" "z" 2; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "o" 2; "d" "e" 3; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "o" "s" 2; "d" "e" 3; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "o" "s" 2; "d" "e" 3; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "o" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "o" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "o" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "o" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "o" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "o" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "n" "o" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "j" "n" "o" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "j" "n" "o" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "j" "n" "o" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "j" "n" "o" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "j" "n" "o" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "j" "n" "o" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "j" "n" "o" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "j" "n" "o" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "j" "n" "o" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "j" "n" "o" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "j" "n" "o" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "j" "n" "o" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "j" "n" "o" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "j" "n" "o" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "j" "n" "o" "p" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "j" "m" "n" "o" "p" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "j" "m" "n" "o" "p" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "j" "m" "n" "o" "p" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "a" "j" "m" "n" "o" "p" "s" 2; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "p" 3; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "p" 3; "d" "e" 4; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "p" 3; "d" "e" 5; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "p" 3; "d" "e" 5; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "p" 3; "d" "e" 5; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "p" 3; "d" "e" 5; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "p" 3; "d" "e" 5; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "p" 3; "d" "e" 5; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "n" "p" 3; "d" "e" 5; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "n" "p" 3; "d" "e" 5; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "n" "p" 3; "d" "e" 5; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "n" "p" 3; "d" "e" 5; "e" "y" 4;
"a" "k" 4; "b" "m" 3; "c" "n" "p" 3; "d" "e" 5; "e" "y" 4;
"a" "k" 4; "b" "k" "m" 3; "c" "n" "p" 3; "d" "e" 5; "e" "y" 4;
"a" "k" 4; "b" "k" "m" 3; "c" "m" "n" "p" 3; "d" "e" 5; "e" "y" 4;
"a" "k" 4; "b" "k" "m" 3; "c" "m" "n" "p" 3; "d" "e" 5; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 6; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 6; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 6; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 6; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 6; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 6; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 6; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "j" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "j" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "j" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "j" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "j" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "j" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "j" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "j" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "j" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "j" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" 4; "c" "j" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" "q" 4; "c" "j" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" "q" 4; "c" "j" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" "q" 4; "c" "j" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" "q" 4; "c" "j" "m" "n" "p" "s" 3; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" "q" 4; "c" "j" 4; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" "q" 4; "c" "j" 4; "d" "e" 7; "e" "y" 4;
"a" "k" 4; "b" "k" "q" 4; "c" "j" 4; "d" "e" 8; "e" "y" 4;
"a" "k" 4; "b" "k" "q" 4; "c" "j" 4; "d" "e" 8; "e" "y" 4;
"a" "k" 4; "b" "k" "q" 4; "c" "j" 4; "d" "e" 8; "e" "y" 4;
"a" "k" 4; "b" "k" "q" 4; "c" "j" 4; "d" "e" 8; "e" "y" 4;
"a" "k" 4; "b" "k" "q" 4; "c" "j" 4; "d" "e" 8; "e" "y" 4;
"a" "k" 4; "b" "k" "q" 4; "c" "j" 4; "d" "e" 8; "e" "y" 4;
"a" "k" 4; "b" "k" "q" 4; "c" "j" 4; "d" "e" 8; "e" "y" 4;
"a" "k" 4; "b" "k" "q" 4; "c" "j" 4; "d" "e" 8; "e" "y" 4;
"a" "k" 4; "b" "k" "q" 4; "c" "j" 4; "d" "e" 8; "e" "y" 4;
"a" "k" 4; "b" "k" "q" 4; "c" "j" 4; "d" "e" 8; "e" "y" 4;
"a" "k" 4; "b" "k" "q" 4; "c" "j" 4; "d" "e" 8; "e" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" 4; "d" "e" 8; "e" "a" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" 4; "d" "e" 8; "e" "a" "y" 4;
