none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "d" 1; "d" "s" 1; "e" "a" 1;
"a" "d" 1; "d" "s" 1; "e" "a" 1;
"a" "d" 1; "d" "s" 1; "e" "a" 1;
"a" "d" 1; "d" "s" 1; "e" "a" 1;
"a" "d" 1; "d" "s" 1; "e" "a" 1;
"a" "d" 1; "d" "s" 1; "e" "a" 1;
"a" "d" 1; "c" "c" 1; "d" "s" 1; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 1; "d" "s" 1; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 1; "d" "s" 1; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 1; "d" "s" 1; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 1; "d" "s" 1; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 1; "d" "s" 2; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "e" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "e" "k" "r" 2; "b" "b" 2; "c" "c" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" 2; "c" "c" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" 2; "c" "c" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" 2; "c" "c" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "x" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "x" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "x" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "x" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "x" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "x" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "x" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "x" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "x" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "x" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "x" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "x" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "o" "x" 2; "d" "s" "t" "z" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "o" "x" 2; "d" "s" "t" "z" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "o" "x" 2; "d" "s" "t" "z" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "o" "x" 2; "d" "s" "t" "z" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "o" "x" 2; "d" "s" "t" "z" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "o" "x" 2; "d" "s" "t" "z" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "o" "x" 2; "d" "s" "t" "z" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "o" "x" 2; "d" "s" "t" "z" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "o" "x" 2; "d" "s" "t" "z" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "o" "x" 2; "d" "s" "t" "z" 2; "e" "q" 2;
"a" "d" "e" "k" "r" 2; "b" "b" "w" 2; "c" "a" "c" "o" "x" 2; "d" "s" "t" "z" 2; "e" "q" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 2; "c" "a" "c" "o" "x" 2; "d" "s" 3; "e" "q" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 2; "c" "a" "c" "o" "x" 2; "d" "s" 3; "e" "q" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 2; "c" "a" "c" "o" "x" 2; "d" "s" 3; "e" "q" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" 3; "c" "a" "c" "o" 2; "d" "s" 3; "e" "q" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" 3; "c" "a" "c" "o" 2; "d" "s" 3; "e" "q" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" 3; "c" "a" "c" "o" 2; "d" "s" 3; "e" "q" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" 3; "c" "a" "o" "u" 2; "d" "s" 3; "e" "q" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 3; "c" "a" "o" "q" "u" 2; "d" "s" 3; "e" "q" "w" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 3; "c" "a" "o" "q" "u" 2; "d" "s" 3; "e" "q" "w" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 3; "c" "a" "o" "q" "u" 2; "d" "s" "z" 3; "e" "q" "w" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 3; "c" "a" "o" "q" "u" 2; "d" "s" 4; "e" "q" "w" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 3; "c" "a" "o" "q" "u" 2; "d" "s" 4; "e" "q" "w" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 3; "c" "a" "o" "q" "u" 2; "d" "s" 4; "e" "q" "w" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 3; "c" "a" "o" "q" "u" 2; "d" "s" 4; "e" "q" "w" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 3; "c" "a" "o" "q" "u" 2; "d" "s" 4; "e" "q" "w" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 3; "c" "a" "o" "q" "u" 2; "d" "s" 4; "e" "q" "w" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 3; "c" "a" "o" "q" "u" 2; "d" "s" 4; "e" "q" "w" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 3; "c" "a" "o" "q" "u" 2; "d" "s" 4; "e" "q" "w" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 3; "c" "a" "o" "q" "u" 2; "d" "s" 4; "e" "q" "w" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 3; "c" "a" "o" "q" "u" 2; "d" "s" 4; "e" "q" "w" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 3; "c" "a" "o" "q" "u" 2; "d" "s" 4; "e" "q" "w" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 3; "c" "a" "o" "q" "u" 2; "d" "s" 4; "e" "q" "w" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 3; "c" "a" "o" "q" "u" 2; "d" "s" 4; "e" "q" "w" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 3; "c" "a" "o" "q" "u" 2; "d" "s" 4; "e" "q" "w" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 3; "c" "a" "o" "q" "u" 2; "d" "s" 4; "e" "q" "w" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 3; "c" "a" "o" "q" "u" 2; "d" "s" 4; "e" "q" "w" 2;
"a" "d" "e" "k" "q" "r" 2; "b" "b" "w" 3; "c" "a" "o" "q" "u" 2; "d" "s" 4; "e" "q" "w" 2;
"a" "d" "e" "k" "q" "r" "x" 2; "b" "b" "w" 3; "c" "a" "o" "p" "q" "u" 2; "d" "s" 4; "e" "a" "q" "w" 2;
"a" "d" "e" "k" "q" "r" "x" 2; "b" "b" "w" 3; "c" "a" "o" "p" "q" "u" 2; "d" "s" 4; "e" "a" "q" "w" 2;
"a" "d" 3; "b" "b" "w" 3; "c" "a" "o" "p" "q" "u" 2; "d" "s" "z" 4; "e" "a" "q" "w" 2;
"a" "d" 3; "b" "b" "w" 3; "c" "a" "o" "p" "q" "u" 2; "d" "s" "z" 4; "e" "a" "n" "q" "w" "y" 2;
"a" "d" 3; "b" "b" "w" 3; "c" "a" "o" "p" "q" "u" 2; "d" "s" "z" 4; "e" "a" "n" "q" "w" "y" 2;
"a" "d" 3; "b" "b" "w" 3; "c" "a" "o" "p" "q" "u" 2; "d" "s" "z" 4; "e" "a" "n" "q" "w" "y" 2;
"a" "d" 3; "b" "b" "w" 3; "c" "a" "o" "p" "q" "u" 2; "d" "s" "z" 4; "e" "a" "n" "q" "w" "y" 2;
"a" "d" 3; "b" "b" "w" 3; "c" "u" 3; "d" "s" "z" 4; "e" "a" "n" "q" "w" "y" 2;
"a" "d" 3; "b" "b" "w" 3; "c" "u" 3; "d" "s" "z" 4; "e" "a" "n" "q" "w" "y" 2;
"a" "d" 3; "b" "b" "w" 3; "c" "u" 3; "d" "s" "z" 4; "e" "a" "n" "q" "w" "y" 2;
"a" "d" 3; "b" "b" "w" 3; "c" "u" 3; "d" "s" "z" 4; "e" "a" "n" "q" "w" "y" 2;
"a" "d" 3; "b" "b" "w" 3; "c" "u" 3; "d" "s" "z" 4; "e" "a" "n" "q" "w" "y" 2;
"a" "d" 3; "b" "b" "w" 3; "c" "u" 3; "d" "s" "z" 4; "e" "a" "n" "q" "w" "y" 2;
"a" "d" 3; "b" "b" "w" 3; "c" "u" 3; "d" "s" "z" 4; "e" "a" "n" "q" "w" "y" 2;
"a" "d" 3; "b" "b" "w" 3; "c" "u" 3; "d" "s" "z" 4; "e" "a" "n" "q" "w" "y" 2;
"a" "d" 3; "b" "b" "w" 3; "c" "u" 4; "d" "s" "z" 4; "e" "a" "e" "n" "q" "w" "y" 2;
"a" "d" 3; "b" "b" "w" 3; "c" "u" 4; "d" "s" "z" 4; "e" "a" "e" "n" "q" "w" "y" 2;
"a" "d" 3; "b" "b" "w" 3; "c" "u" 4; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "w" "y" 2;
"a" "d" 3; "b" "b" "w" 3; "c" "u" 4; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "w" "y" 2;
"a" "d" 3; "b" "b" "w" 3; "c" "u" 4; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "w" "y" 2;
"a" "d" 3; "b" "b" "w" 3; "c" "u" 4; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "w" "y" 2;
"a" "d" 3; "b" "b" 4; "c" "u" 4; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "w" "y" 2;
"a" "d" 3; "b" "b" 4; "c" "u" 4; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "w" "y" 2;
"a" "d" 3; "b" "b" 4; "c" "u" 4; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "w" "y" 2;
"a" "d" "m" 3; "b" "b" 4; "c" "u" 4; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "w" "y" 2;
"a" "d" "m" 3; "b" "b" 4; "c" "u" 4; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "w" "y" 2;
"a" "d" "m" 3; "b" "b" 4; "c" "u" 4; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "w" "y" 2;
"a" "d" "m" 3; "b" "b" 4; "c" "u" 4; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "w" "y" 2;
"a" "d" "m" "r" 3; "b" "b" 4; "c" "u" 4; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "w" "y" 2;
"a" "d" "m" "r" 3; "b" "b" 4; "c" "u" 4; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "w" "y" 2;
"a" "d" "e" "m" "r" 3; "b" "b" 4; "c" "u" 5; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "e" "m" "r" 3; "b" "b" 4; "c" "u" 5; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "e" "m" "r" 3; "b" "b" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "e" "m" "r" 3; "b" "b" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "e" "m" "r" 3; "b" "b" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "e" "m" "r" 3; "b" "b" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "e" "m" "r" 3; "b" "b" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "e" "m" "r" 3; "b" "b" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "e" "m" "r" "z" 3; "b" "b" "w" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "m" "r" "z" 3; "b" "b" "w" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "m" "r" "z" 3; "b" "b" "w" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "m" "r" "z" 3; "b" "b" "w" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "m" "r" "z" 3; "b" "b" "w" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "m" "r" "z" 3; "b" "b" "w" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "m" "r" "z" 3; "b" "b" "w" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "m" "r" "z" 3; "b" "b" "w" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "m" "r" "z" 3; "b" "b" "w" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "m" "r" "z" 3; "b" "b" "w" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "m" "r" "z" 3; "b" "b" "w" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "m" "r" "z" 3; "b" "b" "w" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "m" "q" "r" "z" 3; "b" "b" "w" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "m" "q" "r" "z" 3; "b" "b" "w" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "m" "q" "r" "z" 3; "b" "b" "w" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "m" "q" "r" "z" 3; "b" "b" "w" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "m" "q" "r" "z" 3; "b" "b" "w" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" 4; "b" "b" "w" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "q" 4; "b" "b" "w" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "q" 4; "b" "b" "w" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "q" 4; "b" "b" "w" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "q" 4; "b" "b" "w" 4; "c" "u" 6; "d" "s" "z" 4; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "q" 4; "b" "b" "w" 4; "c" "u" 6; "d" "s" 5; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "q" 4; "b" "b" "w" 4; "c" "u" 6; "d" "s" 5; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "q" 4; "b" "b" "w" 4; "c" "u" 6; "d" "s" 5; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "q" 4; "b" "b" "w" 4; "c" "u" 6; "d" "s" 5; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "q" 4; "b" "b" "w" 4; "c" "u" 6; "d" "s" 5; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "q" 4; "b" "b" "w" 4; "c" "u" 6; "d" "s" 5; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "q" 4; "b" "b" "w" 4; "c" "u" 6; "d" "s" 5; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "q" 4; "b" "b" "w" 4; "c" "u" 6; "d" "s" 5; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "q" "r" 4; "b" "b" "w" 4; "c" "u" 7; "d" "s" 5; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "q" "r" 4; "b" "b" "w" 4; "c" "u" 7; "d" "s" 5; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "q" "r" 4; "b" "b" "w" 4; "c" "u" 7; "d" "s" 5; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "q" "r" 4; "b" "b" "w" 4; "c" "u" 7; "d" "s" 5; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "q" "r" 4; "b" "b" "w" 4; "c" "u" 7; "d" "s" 5; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "q" "r" 4; "b" "b" "w" 4; "c" "u" 7; "d" "s" 5; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "q" "r" 4; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "q" "r" 4; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "a" "d" "e" "n" "q" "s" "w" "y" 2;
"a" "d" "q" "r" 4; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "a" "d" "e" "k" "n" "q" "s" "w" "y" 2;
"a" "d" "m" "q" "r" 4; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "a" "d" "e" "k" "n" "q" "s" "w" "y" 2;
"a" "d" "m" "q" "r" 4; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "a" "d" "e" "k" "n" "o" "q" "s" "w" "y" 2;
"a" "d" "m" "q" "r" 4; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 3;
"a" "d" "m" "q" "r" 4; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 3;
"a" "d" "m" "q" "r" 4; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 3;
"a" "d" "m" "q" "r" 4; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
