none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" 2; "d" "b" 1;
"a" "b" 2; "d" "b" 1;
"a" "b" 2; "c" "i" 1; "d" "b" 1;
"a" "b" 2; "b" "r" 1; "c" "i" 1; "d" "b" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" "x" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "i" "n" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "i" "n" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "h" "i" "n" "x" 1; "d" "b" "c" "x" 1;
"a" "k" 3; "b" "e" "g" "h" "r" 2; "c" "p" 2; "d" "b" "c" "d" "h" "j" "t" "u" "x" "y" 1; "e" "m" "y" 1;
"a" "k" 3; "b" "e" "g" "h" "r" 2; "c" "p" 2; "d" "b" "c" "d" "h" "j" "t" "u" "x" "y" 1; "e" "m" "w" "y" 1;
"a" "k" 3; "b" "e" "g" "h" "r" 2; "c" "p" 2; "d" "b" "c" "d" "h" "j" "t" "u" "x" "y" 1; "e" "m" "w" "y" 1;
"a" "k" 3; "b" "e" "g" "h" "r" 2; "c" "p" 2; "d" "b" "c" "d" "h" "j" "t" "u" "x" "y" 1; "e" "m" "w" "y" 1;
"a" "k" 3; "b" "e" "g" "h" "r" 2; "c" "p" 2; "d" "b" "c" "d" "h" "j" "t" "u" "x" "y" 1; "e" "m" "w" "y" 1;
"a" "k" 3; "b" "e" "g" "h" "r" 2; "c" "a" "p" 2; "d" "d" 2; "e" "b" "m" "w" "y" 1;
"a" "k" 3; "b" "e" "g" "h" "r" 2; "c" "a" "p" 2; "d" "d" 2; "e" "b" "m" "w" "y" 1;
"a" "k" 3; "b" "e" "g" "h" "r" 2; "c" "a" "p" 2; "d" "d" 2; "e" "b" "m" "w" "y" 1;
"a" "k" 3; "b" "e" "g" "h" "r" 2; "c" "a" "p" 2; "d" "d" 2; "e" "w" 2;
"a" "k" 3; "b" "e" "g" "h" "r" 2; "c" "a" "p" 2; "d" "d" 2; "e" "w" 2;
"a" "k" 3; "b" "e" "g" "h" "r" "u" 2; "c" "a" "p" 2; "d" "d" 2; "e" "w" 2;
"a" "k" 3; "b" "e" "g" "h" "r" "u" 2; "c" "a" "p" 2; "d" "d" "y" 2; "e" "w" 2;
"a" "k" 3; "b" "e" "g" "h" "r" "u" 2; "c" "a" "p" 2; "d" "d" "y" 2; "e" "w" 2;
"a" "k" 3; "b" "e" "g" "h" "r" "u" 2; "c" "a" "p" 2; "d" "d" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "e" "g" "h" "r" "u" 2; "c" "a" "p" 2; "d" "d" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "e" "g" "h" "r" "u" 2; "c" "a" "p" 2; "d" "d" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "e" "g" "h" "r" "u" 2; "c" "a" "p" 2; "d" "d" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "e" "g" "h" "r" "u" 2; "c" "a" "p" 2; "d" "d" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "e" "g" "h" "r" "u" 2; "c" "a" "p" 2; "d" "d" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "e" "g" "h" "r" "u" 2; "c" "a" "p" 2; "d" "d" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "e" "g" "h" "r" "u" 2; "c" "a" "p" 2; "d" "d" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "e" "g" "h" "r" "u" 2; "c" "a" "p" 2; "d" "d" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "e" "g" "h" "r" "u" 2; "c" "a" "p" 2; "d" "d" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "e" "g" "h" "r" "u" 2; "c" "a" "p" 2; "d" "d" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "e" "g" "h" "r" "u" 2; "c" "a" "p" 2; "d" "d" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "e" "g" "h" "r" "u" 2; "c" "a" 3; "d" "d" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "e" "g" "h" "r" "u" 2; "c" "a" 3; "d" "d" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "e" "g" "h" "r" "u" 2; "c" "a" 3; "d" "d" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "e" "g" "h" "r" "u" 2; "c" "a" 3; "d" "d" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "e" "g" "h" "r" "u" 2; "c" "a" 3; "d" "d" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "e" "g" "h" "j" "r" "u" 2; "c" "a" 3; "d" "d" "l" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "e" "g" "h" "j" "r" "u" 2; "c" "a" 3; "d" "d" "l" "q" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "e" "g" "h" "j" "r" "u" 2; "c" "a" 3; "d" "d" "l" "q" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "e" "g" "h" "j" "r" "u" 2; "c" "a" 3; "d" "d" "l" "q" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "e" "g" "h" "j" "r" "u" 2; "c" "a" 3; "d" "d" "l" "q" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "e" "g" "h" "j" "r" "u" 2; "c" "a" 3; "d" "d" "l" "q" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "e" "g" "h" "j" "r" "u" 2; "c" "a" 3; "d" "d" "l" "q" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "e" "g" "h" "j" "r" "u" 2; "c" "a" 3; "d" "d" "l" "q" "t" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "e" "g" "h" "j" "r" "u" "z" 2; "c" "a" 3; "d" "d" "l" "q" "t" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "e" "g" "h" "j" "r" "u" "z" 2; "c" "a" 3; "d" "d" "l" "q" "t" "u" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "e" "g" "h" "j" "r" "u" "z" 2; "c" "a" 3; "d" "d" "l" "q" "t" "u" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "e" "g" "h" "j" "k" "r" "u" "z" 2; "c" "a" 3; "d" "d" "l" "q" "t" "u" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "h" 3; "c" "a" 3; "d" "d" "l" "q" "t" "u" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "h" 3; "c" "a" 3; "d" "d" "l" "q" "r" "t" "u" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "h" 3; "c" "a" 3; "d" "d" "l" "q" "r" "t" "u" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "h" 3; "c" "a" 3; "d" "d" "l" "q" "r" "t" "u" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "h" 3; "c" "a" 3; "d" "d" "l" "q" "r" "t" "u" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "h" 3; "c" "a" 3; "d" "d" "l" "q" "r" "t" "u" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "h" 3; "c" "a" 3; "d" "d" "l" "q" "r" "t" "u" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "h" 3; "c" "a" 3; "d" "d" "l" "q" "r" "t" "u" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "h" 3; "c" "a" 3; "d" "d" "l" "q" "r" "t" "u" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "h" 3; "c" "a" 3; "d" "d" "l" "q" "r" "t" "u" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "h" 3; "c" "a" 3; "d" "d" "l" "q" "r" "t" "u" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "h" 3; "c" "a" 3; "d" "d" "l" "q" "r" "t" "u" "y" 2; "e" "m" "w" 2;
"a" "k" 3; "b" "a" "h" 3; "c" "a" 3; "d" "d" "l" "q" "r" "t" "u" "y" 2; "e" "m" "w" 2;
"a" "k" 4; "b" "a" "h" 3; "c" "a" 3; "d" "d" "l" "q" "r" "t" "u" "y" 2; "e" "m" "w" 2;
"a" "k" 4; "b" "a" "h" 3; "c" "a" 3; "d" "d" "l" "q" "r" "t" "u" "y" 2; "e" "m" "w" 2;
"a" "k" 5; "b" "a" "h" 3; "c" "a" 3; "d" "b" "d" "l" "q" "r" "t" "u" "v" "y" 2; "e" "m" "w" 2;
"a" "k" 5; "b" "a" "h" 3; "c" "a" 3; "d" "b" "d" "l" "q" "r" "t" "u" "v" "y" 2; "e" "m" "w" 2;
"a" "k" 5; "b" "a" "h" 3; "c" "a" 3; "d" "b" "d" "l" "q" "r" "t" "u" "v" "y" 2; "e" "m" "w" 2;
"a" "k" 5; "b" "a" "h" 3; "c" "a" 3; "d" "b" "d" "l" "q" "r" "t" "u" "v" "y" 2; "e" "m" "w" 2;
"a" "k" 5; "b" "a" "h" 3; "c" "a" 3; "d" "b" "d" "l" "q" "r" "t" "u" "v" "y" 2; "e" "m" "w" 2;
"a" "k" 5; "b" "a" "h" 3; "c" "a" 3; "d" "b" "d" "l" "q" "r" "t" "u" "v" "y" 2; "e" "m" "w" 2;
"a" "k" 5; "b" "a" "h" 3; "c" "a" 3; "d" "b" "d" "l" "q" "r" "t" "u" "v" "y" 2; "e" "m" "w" 2;
"a" "k" 5; "b" "a" "h" 3; "c" "a" 3; "d" "b" "d" "l" "q" "r" "t" "u" "v" "y" 2; "e" "m" "w" 2;
"a" "k" 5; "b" "a" "h" 3; "c" "a" 3; "d" "b" "d" "l" "q" "r" "t" "u" "v" "y" 2; "e" "i" "m" "w" 2;
"a" "k" 5; "b" "a" "h" 3; "c" "a" 3; "d" "b" "d" "l" "q" "r" "t" "u" "v" "y" 2; "e" "i" "m" "w" 2;
"a" "k" 5; "b" "a" "h" "z" 3; "c" "a" 3; "d" "b" "d" "l" "q" "r" "t" "u" "v" "y" 2; "e" "i" "m" "w" 2;
"a" "k" 5; "b" "a" "h" "z" 3; "c" "a" 3; "d" "b" "d" "l" "q" "r" "t" "u" "v" "y" 2; "e" "i" "m" "w" 2;
"a" "k" 5; "b" "a" "h" "z" 3; "c" "a" 3; "d" "b" "d" "h" "l" "q" "r" "t" "u" "v" "y" 2; "e" "i" "m" "w" 2;
"a" "k" 5; "b" "a" "h" "z" 3; "c" "a" 3; "d" "b" "d" "h" "l" "q" "r" "t" "u" "v" "y" 2; "e" "i" "m" "w" 2;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "b" "d" "h" "l" "q" "r" "t" "u" "v" "y" 2; "e" "i" "m" "w" 2;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "b" "d" "h" "l" "q" "r" "t" "u" "v" "y" 2; "e" "i" "m" "w" 2;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "b" "d" "h" "l" "q" "r" "t" "u" "v" "y" 2; "e" "i" "m" "w" 2;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "b" "d" "h" "l" "q" "r" "t" "u" "v" "y" 2; "e" "i" "m" "w" 2;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "b" "d" "h" "l" "q" "r" "t" "u" "v" "y" 2; "e" "i" "m" "w" 2;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "b" "d" "h" "l" "q" "r" "t" "u" "v" "y" 2; "e" "i" "m" "w" 2;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "b" "d" "h" "l" "q" "r" "t" "u" "v" "y" 2; "e" "i" "m" "w" 2;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "b" "d" "h" "l" "q" "r" "t" "u" "v" "y" 2; "e" "i" "m" "n" "w" 2;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "t" 3; "e" "i" "m" "n" "w" 2;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "t" 3; "e" "i" "m" "n" "w" 2;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "t" 3; "e" "i" "m" "n" "w" 2;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "t" "y" 3; "e" "i" "m" "n" "w" 2;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "t" "y" 3; "e" "i" "m" "n" "w" 2;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "t" "y" 3; "e" "n" 3;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "t" "y" 3; "e" "n" 3;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "t" "y" 3; "e" "n" 3;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "t" "y" 3; "e" "n" 3;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "t" "y" 3; "e" "n" 3;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "t" "y" 3; "e" "n" 3;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "t" "y" 3; "e" "n" 3;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "t" "y" 3; "e" "n" 3;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "t" "y" 3; "e" "n" 3;
"a" "k" 5; "b" "z" 4; "c" "a" 3; "d" "t" "y" 3; "e" "n" 3;
"a" "k" 5; "b" "z" 4; "c" "a" "f" 3; "d" "t" "y" 3; "e" "n" 3;
"a" "k" 5; "b" "z" 4; "c" "a" "f" 3; "d" "t" "y" 3; "e" "n" 3;
"a" "k" 5; "b" "z" 4; "c" "a" "f" 3; "d" "y" 4; "e" "n" 3;
"a" "k" 5; "b" "z" 4; "c" "a" "f" 3; "d" "y" 4; "e" "n" 3;
"a" "k" 5; "b" "z" 4; "c" "a" "f" 3; "d" "y" 4; "e" "n" 3;
"a" "k" 5; "b" "z" 4; "c" "a" "f" 3; "d" "y" 4; "e" "n" 3;
"a" "k" 5; "b" "z" 4; "c" "a" "f" 3; "d" "y" 4; "e" "n" 3;
"a" "k" 5; "b" "z" 4; "c" "a" "f" 3; "d" "y" 4; "e" "n" 3;
"a" "k" 5; "b" "z" 4; "c" "a" "f" 3; "d" "y" 4; "e" "n" 3;
"a" "k" 5; "b" "c" "z" 4; "c" "a" "f" 3; "d" "y" 4; "e" "n" 3;
"a" "k" 5; "b" "c" "z" 4; "c" "a" "f" 3; "d" "y" 4; "e" "n" 3;
"a" "k" 5; "b" "c" "z" 4; "c" "a" "f" 3; "d" "y" 4; "e" "n" 3;
"a" "k" 5; "b" "c" "z" 4; "c" "a" "f" "q" 3; "d" "y" 4; "e" "n" 3;
"a" "k" 5; "b" "c" "z" 4; "c" "a" "f" "q" 3; "d" "y" 4; "e" "n" 3;
"a" "k" 5; "b" "c" "z" 4; "c" "a" "f" "q" 3; "d" "y" 4; "e" "n" 3;
"a" "k" 5; "b" "c" "z" 4; "c" "a" "f" "q" 3; "d" "y" 4; "e" "n" 3;
"a" "k" 5; "b" "c" "u" "z" 4; "c" "a" "f" "q" 3; "d" "y" 4; "e" "m" "n" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "m" "n" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "m" "n" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "m" "n" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "m" "n" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "m" "n" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "m" "n" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "m" "n" "y" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "m" "n" "y" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "m" "n" "y" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "m" "n" "y" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "m" "n" "y" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "m" "n" "y" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "m" "n" "y" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "m" "n" "y" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "m" "n" "y" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "m" "n" "y" 3;
