none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "k" 1;
"b" "k" 1;
"b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1; "c" "i" 1; "d" "a" 1;
"a" "o" 1; "b" "k" 1; "c" "i" 1; "d" "a" 1;
"a" "g" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "a" "c" "h" "l" "m" "w" "z" 1; "e" "h" "x" 1;
"a" "g" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "a" "c" "h" "l" "m" "w" "z" 1; "e" "h" "x" 1;
"a" "g" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "a" "c" "h" "l" "m" "w" "z" 1; "e" "h" "j" "x" 1;
"a" "g" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "a" "c" "h" "l" "m" "w" "z" 1; "e" "h" "j" "x" 1;
"a" "g" "k" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "a" "c" "h" "l" "m" "w" "z" 1; "e" "h" "j" "x" 1;
"a" "g" "k" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "a" "c" "h" "l" "m" "w" "z" 1; "e" "h" "j" "x" 1;
"a" "d" "g" "k" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "h" 2; "e" "h" "j" "x" 1;
"a" "d" "g" "k" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "h" 2; "e" "h" "j" "x" 1;
"a" "d" "g" "k" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "h" 2; "e" "h" "j" "x" 1;
"a" "d" "g" "k" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "h" 2; "e" "h" "j" "x" 1;
"a" "d" "g" "k" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "h" 2; "e" "h" "j" "x" 1;
"a" "d" "g" "k" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "h" 2; "e" "h" "j" "x" 1;
"a" "d" "g" "k" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "h" 2; "e" "h" "j" "x" 1;
"a" "d" "g" "k" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "h" 2; "e" "h" "j" "x" 1;
"a" "d" "g" "k" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "h" 2; "e" "h" "j" "x" 1;
"a" "d" "g" "k" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "h" 2; "e" "h" "j" "x" 1;
"a" "d" "g" "k" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "h" 2; "e" "h" "j" "x" 1;
"a" "d" "g" "k" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "h" 2; "e" "h" "j" "n" "x" 1;
"a" "d" "g" "k" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "h" 2; "e" "h" "j" "n" "x" 1;
"a" "d" "g" "k" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "h" 2; "e" "h" "j" "n" "x" 1;
"a" "d" "g" "k" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "h" 2; "e" "h" "j" "n" "x" 1;
"a" "d" "g" "k" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "h" 2; "e" "h" "j" "n" "w" "x" 1;
"a" "d" "g" "k" "o" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "h" 2; "e" "h" "j" "n" "w" "x" 1;
"a" "d" "g" "k" "o" "q" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "h" 2; "e" "h" "j" "m" "n" "w" "x" 1;
"a" "d" "g" "k" "o" "q" 1; "b" "n" 2; "c" "i" "k" "n" 1; "d" "h" 2; "e" "h" "j" "m" "n" "w" "x" 1;
"a" "a" "d" "g" "k" "o" "q" 1; "b" "n" 2; "c" "c" "f" "i" "k" "n" 1; "d" "a" "h" 2; "e" "h" "j" "m" "n" "s" "w" "x" 1;
"a" "a" "d" "g" "k" "o" "q" "x" 1; "b" "n" 2; "c" "c" "f" "i" "k" "n" 1; "d" "a" "h" 2; "e" "h" "j" "m" "n" "s" "w" "x" 1;
"a" "a" "d" "g" "k" "o" "q" "x" 1; "b" "n" 2; "c" "c" "f" "i" "k" "n" 1; "d" "a" "h" 2; "e" "h" "j" "m" "n" "s" "w" "x" 1;
"a" "a" "d" "g" "k" "o" "q" "x" 1; "b" "n" 2; "c" "c" 2; "d" "a" "h" 2; "e" "h" "j" "m" "n" "s" "w" "x" 1;
"a" "a" "d" "g" "k" "o" "q" "x" 1; "b" "n" 2; "c" "c" 2; "d" "a" "h" 2; "e" "h" "j" "m" "n" "s" "w" "x" 1;
"a" "a" "d" "g" "k" "o" "q" "x" 1; "b" "n" 2; "c" "c" 2; "d" "a" "h" 2; "e" "h" "j" "m" "n" "s" "w" "x" 1;
"a" "a" "d" "g" "k" "o" "q" "x" 1; "b" "n" 2; "c" "c" 2; "d" "a" "h" 2; "e" "h" "j" "m" "n" "s" "w" "x" 1;
"a" "o" 2; "b" "n" 2; "c" "c" 2; "d" "a" "h" 2; "e" "h" "j" "m" "n" "s" "w" "x" 1;
"a" "o" 2; "b" "n" 2; "c" "c" 2; "d" "a" "h" 2; "e" "h" "j" "m" "n" "s" "w" "x" 1;
"a" "o" 2; "b" "n" 2; "c" "c" 2; "d" "a" "h" 2; "e" "h" "j" "m" "n" "s" "w" "x" 1;
"a" "o" 2; "b" "n" 2; "c" "c" 2; "d" "a" "h" 2; "e" "h" "j" "m" "n" "s" "w" "x" 1;
"a" "o" 2; "b" "n" 2; "c" "c" 2; "d" "a" "h" 2; "e" "h" "j" "m" "n" "s" "w" "x" 1;
"a" "o" 2; "b" "n" 2; "c" "c" 2; "d" "a" "h" 2; "e" "h" "j" "m" "n" "s" "w" "x" 1;
"a" "o" 2; "b" "n" 2; "c" "c" 2; "d" "a" "h" 2; "e" "h" "j" "m" "n" "s" "w" "x" 1;
"a" "o" 2; "b" "n" 2; "c" "c" 2; "d" "a" "h" 2; "e" "h" "j" "m" "n" "s" "w" "x" 1;
"a" "o" 2; "b" "n" 2; "c" "c" 2; "d" "a" "h" 2; "e" "w" 2;
"a" "o" 2; "b" "n" 2; "c" "c" "i" 2; "d" "a" "h" 2; "e" "w" 2;
"a" "o" 2; "b" "n" 2; "c" "c" "i" 2; "d" "a" "h" 2; "e" "w" 2;
"a" "o" 2; "b" "n" 2; "c" "c" "i" 2; "d" "a" "h" 2; "e" "w" 2;
"a" "o" 2; "b" "n" 2; "c" "c" "i" 2; "d" "a" "h" 2; "e" "w" 2;
"a" "o" 2; "b" "n" 2; "c" "c" "i" "o" 2; "d" "a" "h" 2; "e" "w" 2;
"a" "o" 2; "b" "n" 2; "c" "c" "i" "o" 2; "d" "a" "h" 2; "e" "w" 2;
"a" "o" 2; "b" "n" 2; "c" "c" "i" "o" 2; "d" "a" "h" 2; "e" "w" 2;
"a" "o" 2; "b" "k" "n" 2; "c" "c" "i" "o" 2; "d" "a" "h" 2; "e" "w" 2;
"a" "k" "o" 2; "b" "k" "n" 2; "c" "c" "i" "o" 2; "d" "a" "h" 2; "e" "w" 2;
"a" "k" "o" 2; "b" "k" "n" 2; "c" "c" "i" "o" 2; "d" "a" "h" 2; "e" "w" 2;
"a" "k" "o" 2; "b" "k" "n" 2; "c" "c" "i" "o" 2; "d" "a" "h" 2; "e" "w" 2;
"a" "k" "o" 2; "b" "n" 3; "c" "c" "i" "o" 2; "d" "a" "h" 2; "e" "w" 2;
"a" "k" "o" 2; "b" "n" 3; "c" "c" "i" "o" 2; "d" "a" "h" 2; "e" "w" 2;
"a" "k" "o" 2; "b" "n" 3; "c" "c" "i" "o" 2; "d" "a" "h" 2; "e" "w" 2;
"a" "k" "o" 2; "b" "n" 3; "c" "c" "i" "o" 2; "d" "a" "h" 2; "e" "w" 2;
"a" "k" "o" 2; "b" "n" 3; "c" "c" "i" "o" 2; "d" "a" "h" 2; "e" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "o" 2; "d" "a" "d" "h" 2; "e" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "o" 2; "d" "a" "d" "h" 2; "e" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "o" 2; "d" "a" "d" "h" 2; "e" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "o" 2; "d" "a" "d" "h" 2; "e" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "o" 2; "d" "a" "d" "h" 2; "e" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "o" 2; "d" "a" "d" "h" 2; "e" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "o" "y" 2; "d" "a" "d" "h" 2; "e" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "o" "y" 2; "d" "a" "d" "h" 2; "e" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "o" "y" 2; "d" "a" "d" "h" 2; "e" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "o" "y" 2; "d" "a" "d" "h" 2; "e" "p" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "o" "y" 2; "d" "a" "d" "h" 2; "e" "p" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "o" "y" 2; "d" "a" "d" "h" 2; "e" "p" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "o" "y" 2; "d" "a" "d" "h" 2; "e" "p" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "o" "y" 2; "d" "a" "d" "h" 2; "e" "p" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "o" "y" 2; "d" "a" "d" "h" 2; "e" "p" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "o" "y" 2; "d" "a" "d" "h" 2; "e" "p" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "o" "y" 2; "d" "a" "d" "h" 2; "e" "p" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "o" "y" 2; "d" "a" "d" "h" 2; "e" "p" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "o" "y" 2; "d" "a" "d" "h" 2; "e" "p" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "o" "y" 2; "d" "a" "d" "h" 2; "e" "p" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "o" "y" 2; "d" "a" "d" "h" 2; "e" "p" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "n" "o" "y" 2; "d" "a" "d" "h" 2; "e" "p" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "n" "o" "y" 2; "d" "a" "d" "h" 2; "e" "p" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "i" "n" "o" "y" 2; "d" "a" "d" "h" 2; "e" "p" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "f" "i" "n" "o" "y" 2; "d" "a" "d" "h" 2; "e" "p" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "f" "i" "n" "o" "y" 2; "d" "a" "d" "h" 2; "e" "p" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "f" "i" "n" "o" "y" 2; "d" "a" "d" "h" 2; "e" "p" "w" 2;
"a" "o" 3; "b" "n" 3; "c" "c" "f" "i" "n" "o" "y" 2; "d" "a" "d" "h" 2; "e" "p" "w" "x" 2;
"a" "o" 3; "b" "n" 3; "c" "o" 3; "d" "a" "d" "h" 2; "e" "p" "w" "x" 2;
"a" "o" 3; "b" "n" 3; "c" "o" 3; "d" "a" "d" "h" 2; "e" "p" "w" "x" 2;
"a" "o" 3; "b" "n" 3; "c" "o" 3; "d" "a" "d" "h" 2; "e" "a" "p" "w" "x" 2;
"a" "o" 3; "b" "n" 3; "c" "o" 3; "d" "a" "d" "h" 2; "e" "a" "p" "w" "x" 2;
"a" "o" 3; "b" "n" 3; "c" "o" 3; "d" "a" "d" "h" 2; "e" "a" "p" "w" "x" 2;
"a" "o" 3; "b" "n" 3; "c" "o" 3; "d" "a" "d" "h" 2; "e" "a" "p" "w" "x" 2;
"a" "o" 3; "b" "n" 3; "c" "o" 3; "d" "a" "d" "h" "l" 2; "e" "a" "p" "w" "x" 2;
"a" "o" 3; "b" "n" 3; "c" "o" 3; "d" "a" "d" "h" "l" 2; "e" "a" "p" "w" "x" 2;
"a" "o" 3; "b" "n" 3; "c" "o" 3; "d" "a" "d" "h" "l" 2; "e" "a" "p" "w" "x" 2;
"a" "o" 3; "b" "n" 3; "c" "o" 3; "d" "a" "d" "h" "l" 2; "e" "a" "p" "w" "x" 2;
"a" "o" 3; "b" "n" 3; "c" "o" 3; "d" "a" "d" "h" "l" 2; "e" "a" "p" "w" "x" 2;
"a" "o" 3; "b" "n" 3; "c" "o" 3; "d" "a" "d" "h" "l" 2; "e" "a" "p" "w" "x" 2;
"a" "o" "v" 3; "b" "n" 3; "c" "o" 3; "d" "a" "d" "h" "l" 2; "e" "a" "p" "w" "x" 2;
"a" "o" "v" 3; "b" "n" 3; "c" "o" 3; "d" "a" "d" "h" "l" 2; "e" "a" "p" "w" "x" 2;
"a" "o" "v" 3; "b" "n" 3; "c" "o" 3; "d" "a" "d" "h" "l" 2; "e" "a" "p" "w" "x" 2;
"a" "o" "v" 3; "b" "n" 3; "c" "o" 3; "d" "a" "d" "h" "l" 2; "e" "a" "p" "w" "x" 2;
"a" "o" "v" 3; "b" "n" "u" 3; "c" "o" 3; "d" "a" "c" "d" "h" "l" 2; "e" "a" "p" "w" "x" 2;
"a" "o" "v" 3; "b" "n" "u" 3; "c" "o" 3; "d" "c" 3; "e" "a" "p" "w" "x" 2;
"a" "o" "v" 3; "b" "n" "u" 3; "c" "o" 3; "d" "c" 3; "e" "a" "p" "w" "x" 2;
"a" "o" "v" 3; "b" "n" "u" 3; "c" "o" 3; "d" "c" 3; "e" "a" "p" "w" "x" 2;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "o" 3; "d" "c" 3; "e" "a" "p" "w" "x" 2;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "o" 3; "d" "c" 3; "e" "a" "p" "w" "x" 2;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "o" 3; "d" "c" 3; "e" "a" "p" "w" "x" 2;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "o" 3; "d" "c" 3; "e" "a" "p" "w" "x" 2;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "o" 3; "d" "c" 3; "e" "a" "p" "w" "x" 2;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "o" 3; "d" "c" 3; "e" "a" "p" "w" "x" 2;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "i" "o" 3; "d" "c" 3; "e" "a" "p" "w" "x" 2;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "i" "o" 3; "d" "c" 3; "e" "a" "p" "w" "x" 2;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "i" "o" 3; "d" "c" 3; "e" "a" "p" "w" "x" 2;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "i" "o" 3; "d" "c" 3; "e" "a" "p" "w" "x" 2;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "i" "o" 3; "d" "c" 3; "e" "a" 3;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "i" "o" 3; "d" "c" 3; "e" "a" 3;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "i" 3; "d" "c" 3; "e" "a" 3;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "i" 3; "d" "c" 3; "e" "a" 3;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "i" 3; "d" "c" 3; "e" "a" 3;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "i" 3; "d" "c" 3; "e" "a" 3;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "i" 3; "d" "c" 3; "e" "a" 3;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "i" 3; "d" "c" 3; "e" "a" 3;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "i" 3; "d" "c" 3; "e" "a" 3;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "i" 3; "d" "c" 3; "e" "a" 3;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "i" 3; "d" "c" 3; "e" "a" 3;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "i" 4; "d" "c" 3; "e" "a" 3;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "i" 4; "d" "c" 3; "e" "a" 4;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "i" 4; "d" "c" 3; "e" "a" 4;
"a" "o" "v" "x" 3; "b" "n" "u" 3; "c" "i" 4; "d" "c" 3; "e" "a" 4;
"a" "o" "v" "x" 3; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" 3; "e" "a" 4;
"a" "o" "v" "x" 3; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" 3; "e" "a" 4;
"a" "o" "v" "x" 3; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" 3; "e" "a" 4;
"a" "o" "v" "x" 3; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" 3; "e" "a" 4;
"a" "o" "v" "x" 3; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" 3; "e" "a" 4;
"a" "o" "v" "x" 3; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" 3; "e" "a" 4;
"a" "o" "v" "x" 3; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" 3; "e" "a" 4;
"a" "o" "v" "x" 3; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" 3; "e" "a" 4;
"a" "o" "v" "x" 3; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" 3; "e" "a" 4;
"a" "o" "v" "x" 3; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" 3; "e" "a" 4;
"a" "o" "v" "x" 3; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" 3; "e" "a" 4;
"a" "o" "v" "x" 3; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" 3; "e" "a" 4;
"a" "o" "v" "x" 3; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" 3; "e" "a" 4;
"a" "o" "v" "x" 3; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" 3; "e" "a" 4;
"a" "o" 4; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" 3; "e" "a" 4;
"a" "o" 4; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" "l" 3; "e" "a" 4;
"a" "o" 4; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" "l" 3; "e" "a" 4;
"a" "o" 4; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" "l" 3; "e" "a" 4;
"a" "o" 4; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" "l" 3; "e" "a" 4;
"a" "o" 4; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" "l" 3; "e" "a" 4;
"a" "o" 4; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" "l" 3; "e" "a" 4;
"a" "o" 4; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" "l" 3; "e" "a" 4;
"a" "o" 4; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" "l" 3; "e" "a" 4;
"a" "o" 4; "b" "n" "q" "u" 3; "c" "i" 4; "d" "c" "h" "l" 3; "e" "a" 4;
"a" "o" 4; "b" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "o" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "o" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "o" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "o" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "o" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
